"Time","63 sinus","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","32 FLx (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.462753,44.190262,85.884445,63.890533,4.029988,14.559440,2.940876,14.877826,4.738836,16.847607,0,3.201940,13.500213,5.223907,12.532990,6.057593,15.142518,6.132466,13.775900,6.192737,13.130898,6.347148,12.659640,6.914742,13.817309,7.956839,13.228753,8.003140,13.996881,0,-0.01693,0.00379,-0.02029,-0.01169,0.00722,-0.01174,0.00716,0.00194,0.00028,0.10130,3.27781
0.011,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.724884,44.127663,85.498825,63.852543,4.027586,14.554641,2.940564,14.868088,4.739104,16.853283,0,3.200710,13.490726,5.223426,12.519448,6.056974,15.134011,6.133932,13.766768,6.195787,13.125101,6.354451,12.652779,6.913021,13.811347,7.955378,13.222188,8.000728,13.990556,0,-0.02014,0.00395,-0.01992,-0.01228,0.00726,-0.01306,0.01541,0.00251,0.00011,0.07412,3.27809
0.012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.987015,44.065063,85.113205,63.814556,4.025185,14.549842,2.940252,14.858349,4.739372,16.858959,0,3.199479,13.481241,5.222945,12.505906,6.056355,15.125504,6.135397,13.757634,6.198838,13.119305,6.361754,12.645916,6.911298,13.805386,7.953916,13.215623,7.998316,13.984231,0,-0.02101,0.00404,-0.02055,-0.01674,0.00847,-0.01257,0.00800,0.00300,0.00002,0.08699,3.27725
0.013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.298096,44.032391,84.803192,63.910858,4.022265,14.544812,2.939807,14.849207,4.736973,16.862440,0,3.198092,13.471353,5.222367,12.492793,6.055844,15.116449,6.130741,13.745309,6.200319,13.110567,6.366185,12.637014,6.907788,13.799531,7.951713,13.208845,7.995649,13.976344,0,-0.01357,0.00372,-0.01938,-0.01389,0.00822,-0.01174,0.01095,0.00352,0.00033,0.11573,3.27667
0.014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.656998,44.028931,84.566986,64.138268,4.018840,14.539558,2.939233,14.840646,4.731970,16.863781,0,3.196551,13.461071,5.221695,12.480101,6.055437,15.106857,6.120107,13.729867,6.200266,13.098958,6.367812,12.626122,6.902533,13.793780,7.948786,13.201859,7.992734,13.966934,0,-0.01861,0.00367,-0.02015,-0.01371,0.00835,-0.01132,0.00188,0.00341,0.00015,0.09766,3.27637
0.015,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,169.015884,44.025467,84.330788,64.365685,4.015415,14.534305,2.938659,14.832085,4.726966,16.865120,0,3.195010,13.450789,5.221023,12.467407,6.055030,15.097266,6.109473,13.714425,6.200214,13.087350,6.369439,12.615228,6.897277,13.788030,7.945858,13.194875,7.989819,13.957523,0,-0.01806,0.00344,-0.02018,-0.01085,0.00851,-0.01238,0.00555,0.00182,0.00015,0.08265,3.27644
0.016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.374786,44.022007,84.094589,64.593094,4.011989,14.529051,2.938085,14.823524,4.721963,16.866459,0,3.193469,13.440509,5.220350,12.454714,6.054624,15.087674,6.098839,13.698983,6.200162,13.075741,6.371065,12.604335,6.892022,13.782279,7.942932,13.187889,7.986904,13.948113,0,-0.01858,0.00306,-0.02037,-0.01811,0.00873,-0.01231,0.00458,0.00252,0.00020,0.09755,3.27690
0.017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.395721,44.120754,83.937744,64.900215,4.008461,14.526964,2.937403,14.815639,4.714694,16.864832,0,3.192244,13.430068,5.218966,12.442095,6.054578,15.077767,6.090778,13.685245,6.199258,13.064617,6.372234,12.595747,6.886386,13.776383,7.938456,13.183550,7.984089,13.940928,0,-0.01651,0.00418,-0.02090,-0.01151,0.00992,-0.01287,0.00620,0.00274,0.00028,0.11437,3.27709
0.018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.086716,44.319290,83.858368,65.285164,4.004831,14.527968,2.936615,14.808414,4.705214,16.860306,0,3.191329,13.419473,5.216885,12.429547,6.054885,15.067554,6.085229,13.673168,6.197522,13.053966,6.372957,12.589410,6.880378,13.770347,7.932470,13.181792,7.981373,13.935913,0,-0.01777,0.00325,-0.01962,-0.01191,0.00833,-0.01204,0.00160,0.00228,0.00013,0.10207,3.27702
0.019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.777725,44.517822,83.778992,65.670105,4.001203,14.528973,2.935827,14.801189,4.695734,16.855782,0,3.190413,13.408876,5.214805,12.417000,6.055192,15.057339,6.079680,13.661093,6.195786,13.043314,6.373679,12.583073,6.874370,13.764310,7.926483,13.180035,7.978657,13.930900,0,-0.01780,0.00371,-0.02128,-0.01802,0.00882,-0.01229,0.00665,0.00270,0.00011,0.09153,3.27702
