"Time","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","v3 R COP","60 RDS cle","58 R mark","57 rm dwn st","56 rm dwn sw","55 rmp up st","54 rmp up sw","53 Ramp down","52 Ramp up","51 right DS","50 left DS","49 lHL swoff","48 lHL swon","47 rHL swoff","46 rHL swon","45 Memory","44 lFL swon","43 rFL swoff","42 rFL swon","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","36 CoMx (cm)","34a FRx (cm)","34 FRx (cm)","33 FLy (cm)","31 Keyboard","35 FRy (cm)","29 HRx (cm)","v2 L COP","32a FLx (cm)","61 LDS cle","59 L mark","32 FLx (cm)","27 HLx (cm)","30 HRy (cm)","28 HLy (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.010,6.460174,1.981981,6.357124,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,166.648865,36.559216,82.170670,91.290070,11.881682,-11.042422,12.674227,6.881947,0,5.569385,9.037744,0.000000,14.284198,0,0,15.045537,8.166636,4.904898,7.203994,7.955906,12.767329,8.218980,8.847396,8.683846,8.597737,9.203546,8.150590,8.838265,9.838123,10.427505,9.953364,10.379655,11.066388,0,0.00128,0.00055,0.00691,0.00060,0.00055,0.00092,0.00359,0.00161,-1.48024,0.09760,3.27686
0.011,6.463633,2.027844,6.360462,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,167.043320,36.484795,82.209793,90.973251,11.903909,-11.012030,12.664236,6.880592,0,5.570255,9.062814,0.000000,13.999899,0,0,15.060600,8.156805,4.906430,7.203411,7.955974,12.759380,8.204064,8.875408,8.665415,8.626859,9.191993,8.161626,8.839356,9.852374,10.430627,9.959595,10.385293,11.071403,0,0.00125,0.00058,0.00676,0.00061,0.00054,0.00092,0.00360,0.00170,-1.47645,0.09759,3.27693
0.012,6.466943,2.073708,6.363799,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,167.437775,36.410374,82.248917,90.656441,11.926136,-10.981636,12.654246,6.879237,0,5.571126,9.087884,0.000000,13.715600,0,0,15.075663,8.146975,4.907962,7.202828,7.956040,12.751431,8.189149,8.903419,8.646984,8.655980,9.180441,8.172662,8.840448,9.866625,10.433749,9.965825,10.390932,11.076418,0,0.00123,0.00058,0.00687,0.00061,0.00054,0.00090,0.00365,0.00177,-1.47937,0.09742,3.27688
0.013,6.470110,2.119571,6.367137,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,167.832230,36.335953,82.288040,90.339622,11.948362,-10.951242,12.644257,6.877882,0,5.571996,9.112955,0.000000,13.431301,0,0,15.090725,8.137143,4.909495,7.202245,7.956108,12.743482,8.174233,8.931432,8.628553,8.685101,9.168888,8.183698,8.841540,9.880877,10.436871,9.972055,10.396570,11.081432,0,0.00125,0.00058,0.00679,0.00061,0.00053,0.00089,0.00402,0.00174,-1.47860,0.09727,3.27665
0.014,6.473085,2.154293,6.370027,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,168.504288,36.335159,82.505905,89.952446,11.962348,-10.911952,12.634254,6.876824,0,5.572794,9.139030,0.000000,13.125747,0,0,15.105198,8.129790,4.910911,7.201670,7.956495,12.733910,8.164973,8.960704,8.613363,8.709263,9.156554,8.195254,8.842858,9.896873,10.438864,9.976460,10.400949,11.085876,0,0.00127,0.00058,0.00531,0.00062,0.00053,0.00090,0.00427,0.00184,-1.47818,0.09742,3.27677
0.015,6.475874,2.174002,6.372313,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,169.550385,36.433567,82.964622,89.470474,11.965228,-10.860672,12.624234,6.876167,0,5.573495,9.166460,0.000000,12.791553,0,0,15.118875,8.125776,4.912171,7.201105,7.957315,12.722150,8.163334,8.991674,8.602539,8.726742,9.143167,8.207515,8.844481,9.915225,10.439337,9.978402,10.403631,11.089550,0,0.00123,0.00058,0.00534,0.00063,0.00051,0.00092,0.00432,0.00200,-1.48049,0.09756,3.27739
0.016,6.478483,2.193711,6.374599,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,170.596481,36.531979,83.423340,88.988503,11.968108,-10.809392,12.614215,6.875509,0,5.574195,9.193890,0.000000,12.457360,0,0,15.132552,8.121762,4.913432,7.200540,7.958135,12.710391,8.161695,9.022644,8.591715,8.744221,9.129781,8.219774,8.846106,9.933577,10.439810,9.980345,10.406314,11.093225,0,0.00124,0.00059,0.00507,0.00065,0.00054,0.00091,0.00410,0.00205,-1.48274,0.09742,3.27761
0.017,6.480918,2.213420,6.376884,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,171.642563,36.630386,83.882057,88.506531,11.970988,-10.758112,12.604196,6.874852,0,5.574896,9.221319,0.000000,12.123167,0,0,15.146230,8.117748,4.914692,7.199975,7.958955,12.698631,8.160055,9.053615,8.580891,8.761700,9.116393,8.232034,8.847729,9.951928,10.440282,9.982288,10.408996,11.096899,0,0.00124,0.00059,0.00506,0.00065,0.00054,0.00091,0.00439,0.00204,-1.48210,0.09712,3.27731
0.018,6.483160,2.231636,6.379066,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,172.107742,36.620045,84.473801,88.031937,11.967603,-10.699219,12.594104,6.874149,0,5.575506,9.244909,0.000000,11.756523,0,0,15.159278,8.113964,4.916514,7.199520,7.961439,12.686334,8.154764,9.086973,8.566793,8.780377,9.092316,8.246160,8.850531,9.969762,10.442212,9.985754,10.411608,11.100658,0,0.00127,0.00058,0.00530,0.00066,0.00054,0.00091,0.00465,0.00207,-1.47978,0.09726,3.27713
0.019,6.485214,2.247838,6.381109,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,171.790161,36.463173,85.244781,87.567276,11.955775,-10.630067,12.583912,6.873384,0,5.575993,9.263328,0.000000,11.346155,0,0,15.171479,8.110489,4.919092,7.199211,7.966167,12.673311,8.144554,9.123549,8.548287,8.800672,9.053833,8.262798,8.854919,9.986900,10.446106,9.991273,10.414125,11.104534,0,0.00127,0.00057,0.00529,0.00065,0.00054,0.00077,0.00469,0.00218,-1.47960,0.09754,3.27713
