"Time","v5 L COP","37a CoMy (cm)","37 CoMy (cm)","v3 xCoM","v4 R COP","67 RDS cle","65 R mark","34 FRx (cm)","29 HRx (cm)","68 LDS cle","66 L mark","32 FLx (cm)","27 HLx (cm)","3 Platform","2 Trdml"
0.000,0.000000,0.764322,4.879334,4.915535,0.000000,0,0,18.796661,16.264402,0,0,20.490458,14.818064,1.48429,0.09961
0.001,0.000000,0.796620,4.880440,4.918175,0.000000,0,0,18.785919,16.264977,0,0,20.493959,14.806875,1.48477,0.09973
0.002,0.000000,0.828919,4.881545,4.920862,0.000000,0,0,18.775177,16.265553,0,0,20.497461,14.795687,1.48191,0.09966
0.003,0.000000,0.867322,4.882613,4.923724,0.000000,0,0,18.763193,16.267979,0,0,20.501490,14.784437,1.48503,0.09961
0.004,0.000000,0.907826,4.883669,4.926621,0.000000,0,0,18.750780,16.271040,0,0,20.505699,14.773166,1.48395,0.09982
0.005,0.000000,0.948330,4.884726,4.929766,0.000000,0,0,18.738369,16.274103,0,0,20.509909,14.761894,1.48476,0.09996
0.006,0.000000,0.988833,4.885782,4.932963,0.000000,0,0,18.725958,16.277166,0,0,20.514118,14.750624,1.48430,0.09984
0.007,0.000000,1.031963,4.887255,4.936415,0.000000,0,0,18.712278,16.278038,0,0,20.517525,14.739483,1.48406,0.09998
0.008,0.000000,1.075996,4.888870,4.939921,0.000000,0,0,18.698164,16.278158,0,0,20.520657,14.728388,1.48228,0.10025
0.009,0.000000,1.120029,4.890486,4.943480,0.000000,0,0,18.684050,16.278278,0,0,20.523787,14.717293,1.48473,0.10009
0.010,0.000000,1.164062,4.892102,4.947051,0.000000,0,0,18.669935,16.278397,0,0,20.526918,14.706198,1.48528,0.09989
0.011,0.000000,1.205358,4.893456,4.950458,0.000000,0,0,18.659113,16.280890,0,0,20.530390,14.695131,1.48451,0.10007
0.012,0.000000,1.245713,4.894722,4.953830,0.000000,0,0,18.649420,16.284201,0,0,20.533978,14.684073,1.48464,0.10015
0.013,0.000000,1.286068,4.895987,4.957041,0.000000,0,0,18.639729,16.287510,0,0,20.537565,14.673017,1.48576,0.09982
0.014,0.000000,1.326423,4.897252,4.960219,0.000000,0,0,18.630037,16.290821,0,0,20.541153,14.661959,1.48381,0.09966
0.015,0.000000,1.366271,4.898586,4.963397,0.000000,0,0,18.618412,16.293261,0,0,20.544592,14.651173,1.48390,0.09983
0.016,0.000000,1.405945,4.899945,4.966576,0.000000,0,0,18.606123,16.295401,0,0,20.547979,14.640479,1.48382,0.09978
0.017,0.000000,1.445620,4.901304,4.969868,0.000000,0,0,18.593834,16.297541,0,0,20.551367,14.629786,1.48466,0.09947
0.018,0.000000,1.485294,4.902663,4.973185,0.000000,0,0,18.581545,16.299681,0,0,20.554754,14.619092,1.48896,0.09949
0.019,0.000000,1.526755,4.904225,4.976665,0.000000,0,0,18.572506,16.303656,0,0,20.558350,14.608514,1.48410,0.09960
0.020,0.000000,1.568831,4.905856,4.980179,0.000000,0,0,18.564587,16.308262,0,0,20.562016,14.597975,1.48768,0.09953
0.021,0.000000,1.610907,4.907487,4.983901,0.000000,0,0,18.556665,16.312868,0,0,20.565681,14.587437,1.48284,0.09929
0.022,0.000000,1.652983,4.909118,4.987667,0.000000,0,0,18.548744,16.317474,0,0,20.569347,14.576898,1.48303,0.09920
0.023,0.000000,1.701221,4.910804,4.991607,0.000000,0,0,18.533722,16.318741,0,0,20.572756,14.566407,1.48540,0.09935
0.024,0.000000,1.751580,4.912510,4.995585,0.000000,0,0,18.516258,16.318857,0,0,20.576077,14.555934,1.48285,0.09929
0.025,0.000000,1.801938,4.914216,4.999611,0.000000,0,0,18.498793,16.318975,0,0,20.579397,14.545461,1.48318,0.09892
0.026,0.000000,1.852296,4.915921,5.003647,0.000000,0,0,18.481327,16.319092,0,0,20.582718,14.534986,1.48645,0.09891
0.027,0.000000,1.906794,4.917353,5.007678,0.000000,0,0,18.470661,16.331387,0,0,20.585651,14.524505,1.48404,0.09912
