"Time","v3 L COP","37a CoMy (cm)","37 CoMy (cm)","v1 xCoM","v2 R COP","66 RDS cle","64 R mark","34 FRx (cm)","29 HRx (cm)","67 LDS cle","65 L mark","32 FLx (cm)","27 HLx (cm)","3 Platform","2 Trdml"
0.000,0.000000,4.082846,5.245632,5.425264,0.000000,1,0,16.006475,12.479945,1,0,17.437860,12.775278,0.00005,0.09737
0.001,0.000000,3.969545,5.249516,5.425192,0.000000,1,0,15.996111,12.513321,1,0,17.480722,12.764274,0.00005,0.09755
0.002,0.000000,3.850363,5.253430,5.424904,0.000000,1,0,15.986333,12.546698,1,0,17.518751,12.753016,-0.00020,0.09734
0.003,0.000000,3.731181,5.257345,5.424616,0.000000,1,0,15.976555,12.580073,1,0,17.556780,12.741757,0.00015,0.09720
0.004,0.000000,3.611999,5.261259,5.424328,0.000000,1,0,15.966777,12.613449,1,0,17.594809,12.730499,0.00000,0.09757
0.005,0.000000,3.494826,5.265031,5.423986,0.000000,1,0,15.956930,12.647113,1,0,17.631741,12.719289,-0.00005,0.09765
0.006,0.000000,3.386562,5.268172,5.423404,0.000000,1,0,15.946776,12.682051,1,0,17.663801,12.708290,0.00005,0.09762
0.007,0.000000,3.278297,5.271314,5.422821,0.000000,1,0,15.936623,12.716989,1,0,17.695864,12.697290,0.00010,0.09756
0.008,0.000000,3.170033,5.274455,5.422238,0.000000,1,0,15.926470,12.751927,1,0,17.727924,12.686292,0.00020,0.09786
0.009,0.000000,3.066962,5.277521,5.421579,0.000000,1,0,15.916301,12.786940,1,0,17.759018,12.675359,0.00005,0.09805
0.010,0.000000,2.986920,5.280255,5.420580,0.000000,1,0,15.906062,12.822282,1,0,17.785814,12.664719,0.00020,0.09802
0.011,0.000000,2.906878,5.282990,5.419581,0.000000,1,0,15.895824,12.857624,1,0,17.812609,12.654078,-0.00015,0.09795
0.012,0.000000,2.826837,5.285724,5.418582,0.000000,1,0,15.885586,12.892967,1,0,17.839405,12.643437,0.00000,0.09825
0.013,0.000000,2.750050,5.288420,5.417505,0.000000,1,0,15.875274,12.928410,1,0,17.865173,12.632751,0.00020,0.09837
0.014,0.000000,2.687699,5.290946,5.416083,0.000000,1,0,15.864633,12.964295,1,0,17.886385,12.621867,0.00005,0.09810
0.015,0.000000,2.625347,5.293472,5.414661,0.000000,1,0,15.853991,13.000181,1,0,17.907597,12.610984,0.00025,0.09802
0.016,0.000000,2.562996,5.295998,5.413240,0.000000,1,0,15.843349,13.036068,1,0,17.928808,12.600100,0.00000,0.09836
0.017,0.000000,2.500837,5.298537,5.411774,0.000000,1,0,15.832781,13.071796,1,0,17.948889,12.589348,0.00000,0.09836
0.018,0.000000,2.439531,5.301134,5.410110,0.000000,1,0,15.822536,13.106829,1,0,17.963945,12.579182,0.00015,0.09800
0.019,0.000000,2.378225,5.303730,5.408445,0.000000,1,0,15.812290,13.141861,1,0,17.979002,12.569016,-0.00015,0.09811
0.020,0.000000,2.316919,5.306327,5.406781,0.000000,1,0,15.802044,13.176893,1,0,17.994059,12.558849,0.00015,0.09844
0.021,0.000000,2.253126,5.308807,5.405183,0.000000,1,0,15.791826,13.211883,1,0,18.008253,12.548763,-0.00010,0.09827
0.022,0.000000,2.178300,5.310775,5.403882,0.000000,1,0,15.781729,13.246681,1,0,18.018614,12.539033,0.00020,0.09800
0.023,0.000000,2.103473,5.312742,5.402581,0.000000,1,0,15.771630,13.281481,1,0,18.028976,12.529303,0.00000,0.09812
0.024,0.000000,2.028647,5.314709,5.401280,0.000000,1,0,15.761533,13.316279,1,0,18.039339,12.519572,0.00015,0.09814
0.025,0.000000,1.948150,5.316725,5.400058,0.000000,1,0,15.751455,13.351441,1,0,18.048409,12.509765,0.00010,0.09813
0.026,0.000000,1.842500,5.318959,5.399189,0.000000,1,0,15.741469,13.388217,1,0,18.051752,12.499614,0.00005,0.09789
0.027,0.806385,1.736851,5.321192,5.398320,0.000000,1,0,15.731483,13.424992,1,1,18.055094,12.489464,-0.00010,0.09780
0.028,3.837910,1.631202,5.323425,5.397450,0.000000,1,0,15.721498,13.461767,1,0,18.058437,12.479313,0.00000,0.09806
0.029,6.061428,1.525918,5.325480,5.396661,0.000000,1,0,15.711495,13.498301,1,0,18.061201,12.469064,0.00015,0.09812
0.030,6.055336,1.422256,5.326737,5.396225,0.000000,1,0,15.701417,13.533762,1,0,18.061394,12.458376,0.00005,0.09783
0.031,6.049665,1.318593,5.327996,5.395789,0.000000,1,0,15.691339,13.569222,1,0,18.061586,12.447688,0.00005,0.09775
0.032,6.045156,1.214931,5.329254,5.395354,0.000000,1,0,15.681260,13.604684,1,0,18.061779,12.437001,0.00005,0.09808
0.033,6.040820,1.116499,5.330423,5.394953,0.000000,1,0,15.671206,13.640059,1,0,18.061537,12.426378,0.00005,0.09802
0.034,6.036967,1.041263,5.331197,5.394705,0.000000,1,0,15.661255,13.675053,1,0,18.059366,12.416044,0.00000,0.09759
0.035,6.033379,0.966027,5.331971,5.394458,0.000000,1,0,15.651304,13.710046,1,0,18.057196,12.405711,0.00005,0.09759
0.036,6.030518,0.890791,5.332744,5.394210,0.000000,1,0,15.641353,13.745039,1,0,18.055025,12.395377,0.00005,0.09789
0.037,6.028042,0.824818,5.333373,5.393953,0.000000,1,0,15.631353,13.779536,1,0,18.052109,12.385015,-0.00005,0.09779
