"Time","63 sinus","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 sinus rmp","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37a CoMy (cm)","37 CoMy (cm)","v1 xCoM","v2 R COP","66 RDS cle","64 R mark","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","29 HRx (cm)","v3 L COP","67 LDS cle","65 L mark","32 FLx (cm)","31 Keyboard","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch","28a HLy (cm)"
0.010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.633743,34.890835,88.981155,91.553017,2.986920,5.280255,5.420580,0.000000,1,0,14.683750,4.273175,15.906062,6.112274,12.822282,0.000000,1,0,17.785814,0,3.870093,6.099411,12.664719,8.260056,15.862971,8.718075,12.433790,9.228690,12.067962,9.621264,11.591692,9.546651,13.120812,10.844164,13.156775,10.860486,14.205548,0,-0.01722,0.00145,-0.01873,-0.01440,0.00846,-0.01236,0.00655,0.00363,0.00020,0.09802,3.27771,6.103856
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.072296,34.215797,88.973602,91.031075,2.906878,5.282990,5.419581,0.000000,1,0,14.673160,4.275282,15.895824,6.109832,12.857624,0.000000,1,0,17.812609,0,3.873970,6.099411,12.654078,8.257163,15.850183,8.712150,12.459052,9.225737,12.094193,9.602381,11.603323,9.547778,13.138423,10.843784,13.162648,10.862634,14.210401,0,-0.01859,0.00399,-0.02154,-0.01368,0.01096,-0.01196,0.00338,0.00158,-0.00015,0.09795,3.27751,6.102847
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.510864,33.540764,88.966057,90.509140,2.826837,5.285724,5.418582,0.000000,1,0,14.662569,4.277389,15.885586,6.107391,12.892967,0.000000,1,0,17.839405,0,3.877847,6.099411,12.643437,8.254272,15.837394,8.706224,12.484313,9.222783,12.120424,9.583499,11.614953,9.548905,13.156034,10.843406,13.168521,10.864781,14.215252,0,-0.01752,0.00286,-0.02444,-0.01368,0.00705,-0.01254,0.00417,0.00504,0.00000,0.09825,3.27705,6.101838
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.109802,32.958652,88.901466,89.975212,2.750050,5.288420,5.417505,0.000000,1,0,14.660625,4.278572,15.875274,6.107098,12.928410,0.000000,1,0,17.865173,0,3.881115,6.098866,12.632751,8.252593,15.824712,8.702438,12.512583,9.219500,12.147006,9.566742,11.628673,9.550159,13.174596,10.843698,13.175070,10.866859,14.220601,0,-0.01833,0.00405,-0.02257,-0.01414,0.00987,-0.01149,0.00608,0.00295,0.00020,0.09837,3.27667,6.100248
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.419922,32.788658,88.583916,89.388115,2.687699,5.290946,5.416083,0.000000,1,0,14.697034,4.275658,15.864633,6.116333,12.964295,0.000000,1,0,17.886385,0,3.881682,6.095906,12.621867,8.256301,15.812503,8.708138,12.554193,9.214750,12.175146,9.559409,11.651656,9.551968,13.197372,10.846970,13.184618,10.868634,14.228150,0,-0.01868,0.00378,-0.02010,-0.01497,0.00246,-0.01131,0.00879,0.00107,0.00005,0.09810,3.27667,6.096080
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.730042,32.618664,88.266357,88.801018,2.625347,5.293472,5.414661,0.000000,1,0,14.733441,4.272744,15.853991,6.125569,13.000181,0.000000,1,0,17.907597,0,3.882250,6.092945,12.610984,8.260008,15.800293,8.713839,12.595801,9.210001,12.203286,9.552075,11.674640,9.553777,13.220148,10.850242,13.194165,10.870409,14.235701,0,-0.01792,0.00334,-0.01837,-0.01296,0.01014,-0.01276,0.01339,-0.00379,0.00025,0.09802,3.27671,6.091912
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.040161,32.448669,87.948799,88.213921,2.562996,5.295998,5.413240,0.000000,1,0,14.769850,4.269830,15.843349,6.134805,13.036068,0.000000,1,0,17.928808,0,3.882817,6.089984,12.600100,8.263715,15.788084,8.719540,12.637411,9.205252,12.231425,9.544743,11.697623,9.555586,13.242925,10.853514,13.203713,10.872184,14.243250,0,-0.01748,0.00383,-0.01713,-0.01396,0.00947,-0.01126,0.00138,0.00904,0.00000,0.09836,3.27694,6.087744
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.341461,32.303669,87.670021,87.625999,2.500837,5.298537,5.411774,0.000000,1,0,14.804497,4.268085,15.832781,6.141542,13.071796,0.000000,1,0,17.948889,0,3.883261,6.087420,12.589348,8.266095,15.775600,8.724636,12.676401,9.199944,12.261104,9.537770,11.720555,9.557221,13.266516,10.856244,13.213922,10.874047,14.251496,0,-0.01768,0.00392,-0.02017,-0.01396,0.00828,-0.01194,0.00266,0.00157,0.00000,0.09836,3.27716,6.084491
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.603561,32.269512,87.563217,87.034447,2.439531,5.301134,5.410110,0.000000,1,0,14.831332,4.271523,15.822536,6.137202,13.106829,0.000000,1,0,17.963945,0,3.883160,6.086614,12.579182,8.262590,15.761901,8.727056,12.703777,9.192163,12.297602,9.532400,11.743262,9.558090,13.293720,10.856576,13.227058,10.876305,14.262830,0,-0.01807,0.00384,-0.02115,-0.01361,0.01064,-0.01168,0.00682,0.00090,0.00015,0.09800,3.27731,6.085298
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.865662,32.235352,87.456413,86.442886,2.378225,5.303730,5.408445,0.000000,1,0,14.858168,4.274961,15.812290,6.132863,13.141861,0.000000,1,0,17.979002,0,3.883059,6.085807,12.569016,8.259087,15.748201,8.729474,12.731153,9.184383,12.334100,9.527030,11.765970,9.558958,13.320925,10.856907,13.240196,10.878561,14.274163,0,-0.01787,0.00297,-0.02365,-0.01422,0.00926,-0.01133,0.00530,0.00348,-0.00015,0.09811,3.27737,6.086104
0.020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.127762,32.201195,87.349609,85.851334,2.316919,5.306327,5.406781,0.000000,1,0,14.885003,4.278399,15.802044,6.128523,13.176893,0.000000,1,0,17.994059,0,3.882958,6.085001,12.558849,8.255582,15.734502,8.731894,12.758531,9.176602,12.370599,9.521660,11.788677,9.559826,13.348130,10.857239,13.253334,10.880818,14.285497,0,-0.01656,0.00424,-0.01971,-0.01376,0.00635,-0.01262,0.00862,0.00527,0.00015,0.09844,3.27699,6.086911
0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.454269,32.169437,87.289452,85.234581,2.253126,5.308807,5.405183,0.000000,1,0,14.907436,4.281445,15.791826,6.124092,13.211883,0.000000,1,0,18.008253,0,3.882662,6.084099,12.548763,8.253798,15.721641,8.734397,12.788732,9.168089,12.406305,9.513037,11.813258,9.560843,13.374502,10.857471,13.265130,10.882880,14.296385,0,-0.01764,0.00427,-0.02053,-0.01276,0.00873,-0.01346,0.00530,0.00091,-0.00010,0.09827,3.27674,6.087177
