"Time","56 FLl Sw of","55 FLl Sw on","52 HLl Sw of","v3 R COP","70 RDS cle","34 FRx (cm)","29 HRx (cm)","v5 L COP","71 LDS cle","37a CoMy (cm)","32 FLx (cm)","57 FLr Sw on","58 FLr Sw of","53 HLr Sw on","51 HLl Sw on","27 HLx (cm)","54 HLr Sw of","67 xCoM","v7 xCoM","3 Platform","2 Trdml","37b CoMy (cm)","37 CoMy (cm)","66 rm dwn st","65 rm dwn sw","64 rmp up st","63 rmp up sw","62 Ramp down","61 Ramp up","50 Sinus rmp","49 St rmp dw","48 Sw rmp dw","47 St rmp up","46 Sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Rump up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","36 CoMx (cm)","60 Right DS","59 Left DS","v6 L Mos","v4 R Mos","34a FRx (cm)","31 Keyboard","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","1 Synch","29a HRx (cm)","69 L marks","68 R marks","28 HLy (cm)","33 FLy (cm)","35 FRy (cm)","30 HRy (cm)","v2 Virtual","v1 Virtual","32a FLx (cm)","27a HLx (cm)"
0.010,0,0,0,0.000000,0,14.948833,10.309957,0.000000,0,0.730275,13.178009,0,0,0,0,10.562458,0,5.620041,5.620041,-1.48106,0.09699,5.638394,-0.268624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.672485,42.752872,81.315155,84.904305,12.457814,0,0,-5.620256,5.620256,2.072177,0,8.448311,14.717633,8.042106,9.817655,8.167443,9.305736,8.425740,8.863802,8.707003,10.414217,10.133984,9.952625,10.361615,10.980210,0,-0.01831,-0.00565,-0.01895,-0.01416,0.00850,-0.01696,0.00173,0.00063,3.27807,-11.456504,0,0,7.193683,6.119503,4.566148,4.413283,0.415000,155.724518,13.178009,10.613400
0.011,0,0,0,0.000000,0,14.952724,10.299333,0.000000,0,0.781940,13.174749,0,0,0,0,10.564355,0,5.617303,5.617303,-1.48128,0.09676,5.643091,-0.309193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.724579,43.892147,80.835472,85.053383,12.447195,0,0,-5.617347,5.617347,1.851695,0,8.449737,14.728588,8.040379,9.805663,8.165128,9.292035,8.442989,8.852438,8.704548,10.403266,10.135645,9.949748,10.359648,10.975201,0,-0.00728,0.00535,-0.02090,-0.01362,0.00783,-0.01180,0.00622,0.00316,3.27730,-11.563096,0,0,7.193271,6.119990,4.569024,4.414180,0.374262,155.678467,13.174749,10.632101
0.012,0,0,0,0.000000,0,14.956730,10.280827,0.000000,0,0.745686,13.164892,0,0,0,0,10.568860,0,5.615000,5.615000,-1.48000,0.09687,5.645588,-0.354722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.506332,44.580898,80.334732,85.065163,12.444542,0,0,-5.614948,5.614948,1.636703,0,8.451238,14.739977,8.038870,9.792152,8.163542,9.276199,8.461119,8.837693,8.702664,10.392468,10.136517,9.945176,10.356712,10.968099,0,-0.02160,0.00394,-0.02115,-0.01490,0.00907,-0.01245,0.00519,0.00366,3.27711,-11.669900,0,0,7.192729,6.120487,4.571608,4.414623,0.328221,155.568634,13.164892,10.628009
0.013,0,0,0,0.000000,0,14.960821,10.256611,0.000000,0,0.645766,13.150257,0,0,0,0,10.575254,0,5.613012,5.613012,-1.48034,0.09715,5.646495,-0.403844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.816467,44.943409,79.818741,84.977516,12.447659,0,0,-5.612809,5.612809,1.425688,0,8.452793,14.751678,8.037518,9.777542,8.162483,9.258818,8.479885,8.820500,8.701195,10.381783,10.136817,9.939376,10.353078,10.959482,0,-0.01073,0.00467,-0.02043,-0.01299,0.00870,-0.01160,0.00282,0.00117,3.27734,-11.776855,0,0,7.192094,6.120990,4.573981,4.414736,0.278341,155.412643,13.150257,10.607411
0.014,0,0,0,0.000000,0,14.964912,10.232395,0.000000,0,0.545847,13.135621,0,0,0,0,10.581648,0,5.611025,5.611025,-1.47712,0.09705,5.647401,-0.452965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.126602,45.305920,79.302757,84.889862,12.450775,0,0,-5.610857,5.610857,1.214672,0,8.454348,14.763381,8.036166,9.762931,8.161426,9.241436,8.498652,8.803307,8.699725,10.371098,10.137116,9.933577,10.349443,10.950867,0,-0.02380,-0.01081,-0.02271,-0.01489,0.00876,-0.00062,0.00486,0.00480,3.27752,-11.883811,0,0,7.191459,6.121493,4.576355,4.414849,0.228460,155.256638,13.135621,10.586814
0.015,0,0,0,0.000000,0,14.969003,10.208179,0.000000,0,0.445927,13.120986,0,0,0,0,10.588042,0,5.609037,5.609037,-1.48026,0.09686,5.648308,-0.502086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.436737,45.668430,78.786766,84.802216,12.453892,0,0,-5.608998,5.608998,1.003657,0,8.455903,14.775083,8.034814,9.748321,8.160368,9.224054,8.517417,8.786114,8.698255,10.360412,10.137416,9.927776,10.345809,10.942250,0,-0.02183,0.00408,-0.02001,-0.01302,0.00958,-0.01338,0.00899,0.00176,3.27768,-11.990767,0,0,7.190824,6.121997,4.578728,4.414962,0.178580,155.100647,13.120986,10.566216
0.016,0,0,0,0.000000,0,14.972513,10.191895,0.000000,0,0.420691,13.112491,0,0,0,0,10.590746,0,5.606665,5.606665,-1.48889,0.09701,5.644426,-0.548498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.578903,46.203327,78.286018,84.559807,12.455428,0,0,-5.606807,5.606807,0.814920,0,8.457665,14.785503,8.033834,9.739182,8.161909,9.214225,8.530264,8.774420,8.697824,10.353162,10.135268,9.920171,10.342984,10.931698,0,-0.01863,-0.00320,-0.01983,-0.01649,0.00770,-0.01175,0.00634,0.00322,3.27730,-12.079814,0,0,7.190235,6.122479,4.581134,4.414495,0.131727,155.009827,13.112491,10.562392
0.017,0,0,0,0.000000,0,14.975603,10.181354,0.000000,0,0.449537,13.108442,0,0,0,0,10.590777,0,5.604013,5.604013,-1.47832,0.09721,5.637077,-0.592948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.599457,46.863052,77.796303,84.205322,12.455818,0,0,-5.604445,5.604445,0.642315,0,8.459578,14.794996,8.033123,9.734009,8.165334,9.209864,8.538824,8.766709,8.698144,10.348399,10.131349,9.911258,10.340746,10.919744,0,-0.01491,0.00594,-0.02195,-0.01269,0.00844,-0.01154,0.00652,0.00154,3.27654,-12.155894,0,0,7.189682,6.122946,4.583565,4.413608,0.087067,154.966217,13.108442,10.570714
0.018,0,0,0,0.000000,0,14.978693,10.170813,0.000000,0,0.478384,13.104394,0,0,0,0,10.590808,0,5.601362,5.601362,-1.47899,0.09714,5.629728,-0.637398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.619995,47.522778,77.306580,83.850845,12.456209,0,0,-5.601728,5.601728,0.469709,0,8.461490,14.804488,8.032413,9.728834,8.168757,9.205503,8.547384,8.758998,8.698464,10.343637,10.127429,9.902344,10.338508,10.907788,0,-0.01878,0.00298,-0.01987,-0.01529,0.00725,-0.01200,0.00179,0.00245,3.27621,-12.231976,0,0,7.189128,6.123413,4.585995,4.412721,0.042407,154.922592,13.104394,10.579036
0.019,0,0,0,0.000000,0,14.981782,10.160272,0.000000,0,0.507230,13.100346,0,0,0,0,10.590839,0,5.598711,5.598711,-1.47917,0.09703,5.622379,-0.681848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.640549,48.182503,76.816864,83.496361,12.456600,0,0,-5.598832,5.598832,0.297104,0,8.463402,14.813981,8.031701,9.723660,8.172182,9.201141,8.555944,8.751287,8.698785,10.338875,10.123508,9.893431,10.336270,10.895834,0,-0.01966,0.00742,-0.01865,-0.01252,0.00793,-0.01210,0.00547,0.00190,3.27621,-12.308056,0,0,7.188574,6.123879,4.588425,4.411833,-0.002253,154.878983,13.100346,10.587358
0.020,0,0,0,1.488174,0,14.984857,10.145609,0.000000,0,0.468277,13.092055,0,1,0,0,10.593109,0,5.595610,5.595610,-1.48043,0.09715,5.624696,-0.730440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.244263,49.125450,76.395309,83.117348,12.444924,0,0,-5.595688,4.107515,0.145878,0,8.463231,14.821581,8.032242,9.714495,8.172349,9.188639,8.563911,8.746210,8.699421,10.335688,10.119139,9.884614,10.332128,10.885368,0,-0.01957,0.00508,-0.01955,-0.01279,0.00764,-0.01278,0.00591,0.00416,3.27674,-12.363431,0,1,7.187973,6.124172,4.590761,4.410318,-0.051275,154.777176,13.092055,10.590835
0.021,0,0,0,3.736170,1,14.987920,10.127960,0.000000,0,0.380229,13.080694,0,0,0,0,10.597000,0,5.592183,5.592183,-1.48027,0.09742,5.634012,-0.782029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.546143,50.273491,76.023109,82.720566,12.424511,1,0,-5.592420,1.856250,0.010134,0,8.461553,14.827810,8.033689,9.702438,8.170158,9.170240,8.571449,8.743042,8.700285,10.333640,10.114441,9.875867,10.326607,10.875980,0,-0.01660,0.00488,-0.02301,-0.01337,0.00855,-0.01268,0.00302,-0.00113,3.27765,-12.403813,0,0,7.187337,6.124337,4.593029,4.408349,-0.103454,154.633240,13.080694,10.590803
