"Time","64 sinus3","63 Ramp down","62 Ramp up","61 right DS","60 left DS","59 rHL swoff","58 rHL swon","57 lHL swoff","55 rFL swoff","56 lHL swon","54 rFL swon","53 lFL swoff","52 lFL swon","51 sinus2","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37a CoMy (cm)","37 CoMy (cm)","v3 xCoM","v4 R COP","36 CoMx (cm)","35 FRy (cm)","67 RDS cle","65 R mark","34 FRx (cm)","33 FLy (cm)","29 HRx (cm)","v5 L COP","68 LDS cle","66 L mark","32 FLx (cm)","31 Keyboard","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch","v2 Virtual","v1 Virtual"
0.010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.719299,21.222330,75.154877,73.236191,1.164062,4.892102,4.947051,0.000000,17.634237,4.520708,0,0,18.669935,5.953696,16.278397,0.000000,0,0,20.526918,0,3.115768,5.573673,14.706198,8.013541,18.604197,8.185403,16.562147,8.276841,15.854479,8.478049,15.266721,8.529164,16.666933,9.870662,16.256475,9.875636,17.195326,0,0.00088,0.00071,0.00209,0.00069,0.00053,0.00070,0.01181,0.00874,1.48528,0.09989,3.27824,,
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.778961,21.242207,75.130249,73.221931,1.205358,4.893456,4.950458,0.000000,17.632341,4.520633,0,0,18.659113,5.950137,16.280890,0.000000,0,0,20.530390,0,3.117903,5.572761,14.695131,8.013217,18.598164,8.178210,16.572325,8.271939,15.860047,8.475058,15.267208,8.527255,16.666700,9.868908,16.256226,9.873418,17.193991,0,0.00078,0.00070,0.00212,0.00068,0.00055,0.00071,0.01139,0.00898,1.48451,0.10007,3.27800,,
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.822174,21.274050,75.077560,73.211754,1.245713,4.894722,4.953830,0.000000,17.628677,4.520545,0,0,18.649420,5.946837,16.284201,0.000000,0,0,20.533978,0,3.120078,5.571816,14.684073,8.013335,18.592369,8.168360,16.585352,8.265899,15.867260,8.472509,15.267946,8.525320,16.666325,9.867372,16.255955,9.871279,17.192482,0,0.00077,0.00070,0.00211,0.00069,0.00053,0.00071,0.01223,0.00738,1.48464,0.10015,3.27731,,
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.865372,21.305891,75.024879,73.201576,1.286068,4.895987,4.957041,0.000000,17.625013,4.520457,0,0,18.639729,5.943538,16.287510,0.000000,0,0,20.537565,0,3.122254,5.570872,14.673017,8.013453,18.586575,8.158510,16.598379,8.259858,15.874473,8.469961,15.268684,8.523385,16.665949,9.865835,16.255684,9.869140,17.190975,0,0.00075,0.00067,0.00209,0.00069,0.00052,0.00072,0.01212,0.00680,1.48576,0.09982,3.27668,,
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.908585,21.337734,74.972191,73.191399,1.326423,4.897252,4.960219,0.000000,17.621349,4.520368,0,0,18.630037,5.940238,16.290821,0.000000,0,0,20.541153,0,3.124429,5.569927,14.661959,8.013572,18.580780,8.148660,16.611406,8.253818,15.881685,8.467413,15.269423,8.521449,16.665571,9.864299,16.255411,9.867000,17.189466,0,0.00072,0.00063,0.00209,0.00070,0.00052,0.00072,0.01268,0.00661,1.48381,0.09966,3.27607,,
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.988663,21.219282,74.922874,73.245010,1.366271,4.898586,4.963397,0.000000,17.620481,4.520599,0,0,18.618412,5.938210,16.293261,0.000000,0,0,20.544592,0,3.126754,5.568888,14.651173,8.014106,18.573118,8.145419,16.617464,8.251245,15.884404,8.466266,15.268483,8.519588,16.664974,9.861667,16.253359,9.865413,17.186382,0,0.00072,0.00062,0.00199,0.00068,0.00052,0.00073,0.01236,0.00655,1.48390,0.09983,3.27641,,
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.081421,21.049114,74.874718,73.320572,1.405945,4.899945,4.966576,0.000000,17.620575,4.520941,0,0,18.606123,5.936618,16.295401,0.000000,0,0,20.547979,0,3.129130,5.567817,14.640479,8.014783,18.564816,8.144452,16.621126,8.249866,15.885576,8.465599,15.266966,8.517754,16.664301,9.858656,16.250690,9.864017,17.182755,0,0.00073,0.00061,0.00191,0.00069,0.00053,0.00072,0.01111,0.00683,1.48382,0.09978,3.27710,,
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.174179,20.878946,74.826569,73.396133,1.445620,4.901304,4.969868,0.000000,17.620668,4.521282,0,0,18.593834,5.935027,16.297541,0.000000,0,0,20.551367,0,3.131506,5.566746,14.629786,8.015460,18.556513,8.143486,16.624788,8.248487,15.886748,8.464933,15.265450,8.515918,16.663628,9.855646,16.248024,9.862619,17.179129,0,0.00073,0.00060,0.00196,0.00070,0.00055,0.00072,0.01059,0.00735,1.48466,0.09947,3.27762,,
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.266937,20.708778,74.778412,73.471703,1.485294,4.902663,4.973185,0.000000,17.620762,4.521623,0,0,18.581545,5.933435,16.299681,0.000000,0,0,20.554754,0,3.133883,5.565674,14.619092,8.016136,18.548210,8.142519,16.628450,8.247107,15.887920,8.464268,15.263932,8.514083,16.662952,9.852636,16.245358,9.861223,17.175501,0,0.00075,0.00059,0.00197,0.00070,0.00057,0.00070,0.00975,0.00757,1.48896,0.09949,3.27808,,
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.253708,20.628439,74.741486,73.566711,1.526755,4.904225,4.976665,0.000000,17.620255,4.522067,0,0,18.572506,5.933602,16.303656,0.000000,0,0,20.558350,0,3.136350,5.567750,14.608514,8.019860,18.538937,8.142499,16.633902,8.247183,15.890445,8.463097,15.263622,8.511945,16.662031,9.851212,16.245132,9.860977,17.174997,0,0.00077,0.00058,0.00188,0.00070,0.00057,0.00069,0.00935,0.00775,1.48410,0.09960,3.27769,,
0.020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.204010,20.579008,74.708420,73.668419,1.568831,4.905856,4.980179,0.000000,17.619539,4.522545,0,0,18.564587,5.934374,16.308262,0.000000,0,0,20.562016,0,3.138849,5.570908,14.597975,8.024632,18.529325,8.142805,16.639971,8.247759,15.893434,8.461752,15.263726,8.509702,16.661022,9.850332,16.245750,9.861128,17.175571,0,0.00080,0.00058,0.00188,0.00068,0.00057,0.00072,0.00991,0.00781,1.48768,0.09953,3.27701,,
0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.154312,20.529575,74.675354,73.770126,1.610907,4.907487,4.983901,0.000000,17.618826,4.523024,0,0,18.556665,5.935145,16.312868,0.000000,0,0,20.565681,0,3.141348,5.574067,14.587437,8.029404,18.519716,8.143110,16.646040,8.248335,15.896422,8.460406,15.263831,8.507460,16.660013,9.849454,16.246367,9.861278,17.176144,0,0.00081,0.00058,0.00193,0.00066,0.00060,0.00071,0.01190,0.00852,1.48284,0.09929,3.27716,,
0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.104630,20.480145,74.642288,73.871834,1.652983,4.909118,4.987667,0.000000,17.618111,4.523502,0,0,18.548744,5.935917,16.317474,0.000000,0,0,20.569347,0,3.143847,5.577225,14.576898,8.034175,18.510107,8.143416,16.652109,8.248911,15.899411,8.459062,15.263936,8.505218,16.659004,9.848575,16.246983,9.861428,17.176716,0,0.00081,0.00060,0.00200,0.00065,0.00061,0.00070,0.01269,0.00905,1.48303,0.09920,3.27762,,
0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.917007,20.590485,74.676147,73.846741,1.701221,4.910804,4.991607,0.000000,17.617239,4.524068,0,0,18.533722,5.937182,16.318741,0.000000,0,0,20.572756,0,3.146320,5.579103,14.566407,8.031382,18.509180,8.142127,16.656311,8.246041,15.899027,8.456821,15.262368,8.503954,16.657875,9.845197,16.243681,9.861202,17.175171,0,0.00081,0.00059,0.00196,0.00062,0.00061,0.00071,0.01417,0.00844,1.48540,0.09935,3.27712,,
0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.681946,20.755800,74.733032,73.778015,1.751580,4.912510,4.995585,0.000000,17.616314,4.524664,0,0,18.516258,5.938617,16.318857,0.000000,0,0,20.576077,0,3.148784,5.580541,14.555934,8.025986,18.511240,8.140289,16.659868,8.241986,15.897483,8.454273,15.260224,8.503027,16.656706,9.840959,16.239033,9.860847,17.172897,0,0.00081,0.00059,0.00186,0.00059,0.00060,0.00068,0.01445,0.00847,1.48285,0.09929,3.27628,,
0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.446869,20.921116,74.789917,73.709290,1.801938,4.914216,4.999611,0.000000,17.615387,4.525261,0,0,18.498793,5.940053,16.318975,0.000000,0,0,20.579397,0,3.151248,5.581978,14.545461,8.020589,18.513300,8.138452,16.663425,8.237931,15.895938,8.451726,15.258081,8.502100,16.655535,9.836720,16.234383,9.860493,17.170624,0,0.00085,0.00060,0.00185,0.00058,0.00061,0.00068,0.01526,0.00713,1.48318,0.09892,3.27646,,
0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.211807,21.086432,74.846794,73.640564,1.852296,4.915921,5.003647,0.000000,17.614462,4.525857,0,0,18.481327,5.941488,16.319092,0.000000,0,0,20.582718,0,3.153713,5.583416,14.534986,8.015193,18.515360,8.136614,16.666983,8.233876,15.894394,8.449178,15.255938,8.501173,16.654364,9.832483,16.229733,9.860138,17.168350,0,0.00087,0.00061,0.00188,0.00056,0.00062,0.00067,0.01539,0.00768,1.48645,0.09891,3.27699,,
