"Time","60 right DS","59 left DS","37a CoMy (cm)","37 CoMy (cm)","35 FRy (cm)","30 HRy (cm)","v1 xCoM","v3 L COP","v2 R COP","3 Platform","2 Trdml"
0.000,0,0,-2.551920,5.670368,4.746188,3.998957,5.536060,0.000000,0.000000,0.87477,0.10208
0.001,0,0,-2.760790,5.668722,4.753538,3.996540,5.531068,0.000000,0.000000,0.85339,0.10200
0.002,0,0,-2.969660,5.667077,4.760888,3.994123,5.526076,0.000000,0.000000,0.81047,0.10144
0.003,0,0,-3.177288,5.665293,4.768585,3.991736,5.521122,0.000000,0.000000,0.78790,0.10167
0.004,0,0,-3.360291,5.660776,4.783159,3.989952,5.516912,0.000000,0.000000,0.76639,0.10171
0.005,0,0,-3.543295,5.656259,4.797734,3.988169,5.512702,0.000000,0.000000,0.74382,0.10151
0.006,0,0,-3.726299,5.651742,4.812308,3.986385,5.508491,0.000000,0.000000,0.72198,0.10150
0.007,0,0,-3.905428,5.647206,4.825886,3.984555,5.504305,0.000000,0.000000,0.69142,0.10162
0.008,0,0,-4.007714,5.642303,4.819696,3.981788,5.500601,0.000000,0.000000,0.65176,0.10157
0.009,0,0,-4.110001,5.637399,4.813506,3.979022,5.496897,0.000000,0.000000,0.62938,0.10122
0.010,0,0,-4.212287,5.632495,4.807316,3.976255,5.493193,0.000000,0.000000,0.60728,0.10125
0.011,0,0,-4.308057,5.627574,4.801799,3.973513,5.489501,0.000000,0.000000,0.57988,0.10134
0.012,0,0,-4.274580,5.622314,4.809620,3.971245,5.486050,0.000000,0.000000,0.55791,0.10103
0.013,0,0,-4.241102,5.617054,4.817442,3.968977,5.482600,0.000000,0.000000,0.53438,0.10087
0.014,0,0,-4.207623,5.611794,4.825264,3.966709,5.479149,0.000000,0.000000,0.49689,0.10120
0.015,0,0,-4.169081,5.606626,4.833553,3.964407,5.475711,0.000000,0.000000,0.45914,0.10128
0.016,0,0,-4.030088,5.603275,4.851124,3.961434,5.472508,0.000000,0.000000,0.43620,0.10097
0.017,0,0,-3.891095,5.599926,4.868695,3.958461,5.469306,0.000000,0.000000,0.41162,0.10141
0.018,0,0,-3.752101,5.596575,4.886266,3.955488,5.466103,0.000000,0.000000,0.38600,0.10153
0.019,0,0,-3.611630,5.593202,4.903231,3.952531,5.462926,0.000000,0.000000,0.36163,0.10119
0.020,0,0,-3.441839,5.589357,4.908162,3.949896,5.460274,0.000000,0.000000,0.33690,0.10151
0.021,0,0,-3.272048,5.585512,4.913092,3.947261,5.457621,0.000000,0.000000,0.30742,0.10170
0.022,0,0,-3.102256,5.581667,4.918023,3.944626,5.454968,0.000000,0.000000,0.25970,0.10140
0.023,0,0,-2.933233,5.577899,4.923447,3.942023,5.452360,0.000000,0.000000,0.23349,0.10126
0.024,0,0,-2.779433,5.575634,4.938663,3.940038,5.450626,0.000000,0.000000,0.21002,0.10131
0.025,0,0,-2.625633,5.573370,4.953878,3.938054,5.448894,0.410699,0.000000,0.18170,0.10115
0.026,0,1,-2.471833,5.571105,4.969093,3.936069,5.447160,3.569926,0.000000,0.15610,0.10036
0.027,0,1,-2.321792,5.568858,4.983751,3.934072,5.445480,6.318309,0.000000,0.12331,0.09991
0.028,0,1,-2.246303,5.566958,4.987356,3.931821,5.444855,6.317208,0.000000,0.07744,0.09986
0.029,0,1,-2.170814,5.565058,4.990961,3.929570,5.444231,6.316234,0.000000,0.05281,0.09951
0.030,0,1,-2.095324,5.563158,4.994565,3.927319,5.443605,6.316112,0.000000,0.02698,0.09906
0.031,0,1,-2.022914,5.561292,4.997423,3.925105,5.443007,6.316452,0.000000,0.00528,0.09863
0.032,0,1,-2.011580,5.560092,4.985474,3.923626,5.442945,6.319888,0.000000,-0.02179,0.09857
0.033,0,1,-2.000245,5.558893,4.973524,3.922148,5.442883,6.324458,0.000000,-0.04831,0.09869
0.034,0,1,-1.988910,5.557694,4.961574,3.920670,5.442822,6.336609,0.000000,-0.08220,0.09855
0.035,0,1,-1.978943,5.556457,4.950375,3.919168,5.442737,6.350176,0.000000,-0.12585,0.09805
0.036,0,1,-1.996109,5.554484,4.954071,3.917203,5.442207,6.373222,0.000000,-0.15416,0.09808
0.037,0,1,-2.013275,5.552510,4.957766,3.915239,5.441677,6.395789,0.000000,-0.17844,0.09823
0.038,0,1,-2.030442,5.550537,4.961461,3.913275,5.441146,6.415157,0.000000,-0.20427,0.09809
0.039,0,1,-2.045757,5.548531,4.964358,3.911269,5.440558,6.432302,0.000000,-0.22923,0.09757
0.040,0,1,-2.024364,5.545867,4.951410,3.908457,5.438805,6.434573,0.000000,-0.26561,0.09782
0.041,0,1,-2.002971,5.543204,4.938463,3.905644,5.437052,6.436341,0.286480,-0.30571,0.09821
0.042,1,1,-1.981578,5.540541,4.925516,3.902832,5.435299,6.434743,2.490168,-0.33133,0.09804
0.043,1,1,-1.959625,5.537870,4.912767,3.900003,5.433492,6.434693,4.406469,-0.35951,0.09771
0.044,1,1,-1.926585,5.535041,4.903952,3.896862,5.430613,6.445002,4.399487,-0.38179,0.09809
0.045,1,1,-1.893544,5.532213,4.895136,3.893720,5.427732,6.455979,4.392747,-0.40730,0.09820
0.046,1,1,-1.860503,5.529384,4.886320,3.890579,5.424853,6.471431,4.387624,-0.44055,0.09809
0.047,1,1,-1.829232,5.526658,4.877612,3.887426,5.421916,6.486143,4.382500,-0.47815,0.09777
0.048,1,1,-1.833067,5.525962,4.871024,3.884042,5.417866,6.495911,4.377381,-0.50401,0.09801
0.049,1,1,-1.836901,5.525266,4.864435,3.880658,5.413816,6.504891,4.372294,-0.52713,0.09819
0.050,1,1,-1.840736,5.524570,4.857847,3.877274,5.409766,6.508594,4.367420,-0.55418,0.09815
0.051,1,1,-1.847435,5.523882,4.851330,3.873873,5.405675,6.511828,4.362638,-0.57635,0.09803
0.052,1,1,-1.910949,5.523361,4.846219,3.870121,5.400799,6.511924,4.358473,-0.60831,0.09842
0.053,1,1,-1.974462,5.522840,4.841107,3.866370,5.395922,6.511802,4.354245,-0.64963,0.09868
0.054,1,1,-2.037976,5.522319,4.835996,3.862618,5.391046,6.510227,4.349590,-0.67194,0.09852
0.055,1,1,-2.104415,5.521677,4.830688,3.858891,5.386142,6.508562,4.344730,-0.69444,0.09868
0.056,1,1,-2.228877,5.518644,4.821476,3.855648,5.380698,6.506299,4.338501,-0.71825,0.09927
0.057,1,1,-2.353339,5.515612,4.812264,3.852404,5.375254,6.503598,4.332273,-0.73943,0.09925
0.058,1,1,-2.477801,5.512579,4.803052,3.849161,5.369810,6.497966,4.326042,-0.76474,0.09927
0.059,1,1,-2.602675,5.509495,4.794109,3.845907,5.364359,6.491642,4.320052,-0.80577,0.09996
0.060,1,1,-2.735718,5.505400,4.790493,3.842443,5.358787,6.480682,4.315669,-0.82425,0.10006
0.061,1,1,-2.868760,5.501305,4.786876,3.838979,5.353215,6.469807,4.311489,-0.84859,0.09998
0.062,1,1,-3.001802,5.497209,4.783259,3.835515,5.347643,6.459501,4.308665,-0.87363,0.10058
0.063,1,1,-3.134833,5.493209,4.779810,3.832036,5.342041,6.450037,4.305937,-0.88853,0.10079
0.064,1,1,-3.267625,5.491101,4.779705,3.828270,5.335845,6.446211,4.303853,-0.91093,0.10048
0.065,1,1,-3.400416,5.488993,4.779599,3.824503,5.329648,6.442573,4.301805,-0.94048,0.10087
0.066,1,1,-3.533208,5.486884,4.779494,3.820737,5.323452,6.440192,4.299995,-0.97054,0.10118
0.067,1,1,-3.663882,5.484694,4.779291,3.817040,5.317217,6.437193,4.298170,-0.98163,0.10079
0.068,1,1,-3.752562,5.480878,4.777153,3.814707,5.310208,6.430060,4.296247,-1.00896,0.10106
0.069,1,1,-3.841241,5.477061,4.775014,3.812374,5.303199,6.422625,4.294249,-1.02751,0.10142
0.070,1,1,-3.929920,5.473245,4.772876,3.810042,5.296190,6.413168,4.291749,-1.04756,0.10121
0.071,1,1,-4.017169,5.469386,4.770659,3.807678,5.289134,6.403926,4.289141,-1.07553,0.10120
0.072,1,1,-4.076046,5.464674,4.766883,3.804703,5.281131,6.396125,4.285804,-1.10132,0.10151
0.073,1,1,-4.134923,5.459963,4.763106,3.801728,5.273128,6.388532,4.282458,-1.11681,0.10133
0.074,1,1,-4.193800,5.455252,4.759330,3.798752,5.265125,6.382336,4.279047,-1.13441,0.10103
0.075,1,1,-4.251307,5.450503,4.755650,3.795774,5.257095,6.376229,4.275733,-1.14882,0.10130
0.076,1,1,-4.281630,5.445007,4.753882,3.792737,5.248526,6.370709,4.273063,-1.16409,0.10132
0.077,1,1,-4.311954,5.439512,4.752115,3.789701,5.239957,6.365306,4.270458,-1.18713,0.10103
0.078,1,1,-4.342278,5.434016,4.750348,3.786664,5.231388,6.360688,4.268283,-1.21310,0.10116
0.079,1,1,-4.372070,5.428627,4.748595,3.783681,5.222835,6.356224,4.266127,-1.22658,0.10134
0.080,1,1,-4.391323,5.425341,4.747139,3.781764,5.214608,6.352792,4.264091,-1.24075,0.10123
0.081,1,1,-4.410575,5.422054,4.745682,3.779848,5.206380,6.349394,4.262139,-1.25429,0.10114
0.082,1,1,-4.429827,5.418768,4.744226,3.777931,5.198153,6.346220,4.260748,-1.27141,0.10131
0.083,1,1,-4.452742,5.415445,4.742956,3.776007,5.189948,6.342977,4.259510,-1.28888,0.10132
0.084,1,1,-4.548301,5.411380,4.745387,3.773937,5.182188,6.339263,4.259296,-1.30733,0.10097
0.085,1,1,-4.643859,5.407316,4.747818,3.771866,5.174428,6.335653,4.259177,-1.32021,0.10107
0.086,1,1,-4.739418,5.403252,4.750248,3.769795,5.166668,6.332739,4.259693,-1.33327,0.10130
0.087,1,1,-4.836027,5.399155,4.752668,3.767742,5.158914,6.330108,4.260212,-1.34178,0.10100
0.088,1,1,-4.953458,5.394414,4.754862,3.766039,5.151276,6.329369,4.260757,-1.35245,0.10070
0.089,1,1,-5.070889,5.389673,4.757056,3.764335,5.143638,6.328756,4.261230,-1.36574,0.10091
0.090,1,1,-5.188320,5.384932,4.759250,3.762632,5.136001,6.328991,4.261222,-1.38216,0.10092
0.091,1,1,-5.305937,5.380124,4.761282,3.760979,5.128368,6.329172,4.261101,-1.39159,0.10052
0.092,1,1,-5.427232,5.373981,4.760096,3.760326,5.120850,6.328985,4.260230,-1.39880,0.10038
0.093,1,1,-5.548528,5.367840,4.758911,3.759673,5.113331,6.328874,4.259347,-1.40871,0.10063
0.094,1,1,-5.669823,5.361698,4.757725,3.759021,5.105812,6.329275,4.258386,-1.41168,0.10053
0.095,1,1,-5.787889,5.355505,4.756577,3.758399,5.098300,6.329874,4.257514,-1.42667,0.09998
0.096,1,1,-5.841896,5.348309,4.756155,3.758393,5.090942,6.331798,4.257241,-1.43922,0.10026
0.097,1,1,-5.895903,5.341112,4.755734,3.758387,5.083583,6.333599,4.256983,-1.44496,0.10042
0.098,1,1,-5.949909,5.333915,4.755313,3.758381,5.076225,6.334577,4.256821,-1.44785,0.10003
0.099,1,1,-6.001263,5.326816,4.754914,3.758330,5.068875,6.335118,4.256593,-1.45355,0.09998
0.100,1,1,-5.999994,5.321672,4.754953,3.757380,5.061697,6.332734,4.255919,-1.45796,0.10029
0.101,1,1,-5.998724,5.316528,4.754992,3.756430,5.054518,6.330194,4.255297,-1.46278,0.10025
0.102,1,1,-5.997456,5.311385,4.755031,3.755480,5.047339,6.326613,4.255025,-1.47163,0.10016
0.103,1,1,-5.995832,5.306220,4.755118,3.754673,5.040175,6.323238,4.254934,-1.47368,0.10068
0.104,1,1,-5.987185,5.300647,4.756170,3.756713,5.033286,6.321230,4.256057,-1.47479,0.10077
0.105,1,1,-5.978537,5.295074,4.757221,3.758753,5.026397,6.319378,4.257281,-1.47801,0.10051
0.106,1,1,-5.969889,5.289501,4.758272,3.760793,5.019508,6.318563,4.259187,-1.47858,0.10078
0.107,1,1,-5.961802,5.283868,4.759320,3.762833,5.012671,6.317751,4.261074,-1.48238,0.10086
0.108,1,1,-5.964845,5.277046,4.760292,3.764877,5.006874,6.316957,4.262834,-1.47852,0.10077
0.109,1,1,-5.967887,5.270223,4.761264,3.766921,5.001077,6.316072,4.264533,-1.48198,0.10074
0.110,1,1,-5.970930,5.263400,4.762236,3.768965,4.995280,6.314577,4.265828,-1.48236,0.10103
0.111,1,1,-5.974883,5.256635,4.763116,3.770959,4.989554,6.312943,4.267036,-1.47746,0.10099
0.112,1,1,-5.996894,5.251011,4.762173,3.771971,4.985253,6.310374,4.267668,-1.47447,0.10084
0.113,1,1,-6.018906,5.245388,4.761230,3.772984,4.980951,6.307751,4.268156,-1.47273,0.10106
0.114,1,1,-6.040917,5.239765,4.760286,3.773996,4.976650,6.304770,4.267684,-1.46689,0.10125
0.115,1,1,-6.061950,5.234142,4.759199,3.774971,4.972436,6.301865,4.267043,-1.46193,0.10106
0.116,1,1,-6.063584,5.228520,4.755257,3.775225,4.969976,6.299476,4.265267,-1.45695,0.10122
0.117,1,1,-6.065218,5.222899,4.751316,3.775479,4.967515,6.297326,4.263474,-1.45389,0.10148
0.118,1,1,-6.066853,5.217277,4.747374,3.775733,4.965055,6.296783,4.261570,-1.45035,0.10133
0.119,1,1,-6.066473,5.211598,4.743506,3.776038,4.962666,6.296552,4.259805,-1.44366,0.10120
0.120,1,1,-6.026151,5.204783,4.741109,3.777339,4.961706,6.298409,4.258964,-1.43245,0.10148
0.121,1,1,-5.985828,5.197968,4.738712,3.778640,4.960745,6.300198,4.258193,-1.42241,0.10144
0.122,1,1,-5.945505,5.191154,4.736315,3.779940,4.959784,6.301528,4.257895,-1.41577,0.10107
0.123,1,1,-5.901815,5.184370,4.733985,3.781211,4.958865,6.302429,4.257578,-1.40842,0.10133
0.124,1,1,-5.791330,5.178210,4.732985,3.781881,4.958769,6.300453,4.257128,-1.40106,0.10143
0.125,1,1,-5.680846,5.172050,4.731984,3.782550,4.958674,6.298351,4.256745,-1.39116,0.10107
0.126,1,1,-5.570361,5.165891,4.730983,3.783220,4.958579,6.295408,4.256820,-1.37846,0.10107
0.127,1,1,-5.456336,5.159781,4.730093,3.783974,4.958516,6.292748,4.257066,-1.36279,0.10133
0.128,1,1,-5.272088,5.154658,4.731405,3.786419,4.959108,6.291994,4.258461,-1.35364,0.10121
0.129,1,1,-5.087840,5.149536,4.732717,3.788864,4.959701,6.291564,4.259971,-1.34109,0.10074
0.130,1,1,-4.903592,5.144413,4.734028,3.791308,4.960293,6.293306,4.262261,-1.33119,0.10108
0.131,1,1,-4.716805,5.139303,4.735306,3.793835,4.960928,6.295259,4.264575,-1.31885,0.10108
0.132,1,1,-4.479669,5.134453,4.735911,3.797995,4.962403,6.298614,4.267060,-1.30675,0.10056
0.133,1,1,-4.242531,5.129604,4.736517,3.802155,4.963879,6.301833,4.269520,-1.28795,0.10044
0.134,1,1,-4.005394,5.124754,4.737122,3.806314,4.965355,6.304148,4.271816,-1.26834,0.10066
0.135,1,1,-3.768102,5.120004,4.737597,3.810557,4.966872,6.306056,4.274065,-1.25552,0.10048
0.136,1,1,-3.527742,5.117219,4.735488,3.816452,4.969216,6.305233,4.275990,-1.24298,0.09998
0.137,1,1,-3.287381,5.114436,4.733380,3.822348,4.971560,6.304351,4.277908,-1.22636,0.10017
0.138,1,1,-3.047020,5.111651,4.731271,3.828243,4.973904,6.303062,4.279773,-1.20901,0.10025
0.139,1,1,-2.809052,5.108900,4.729159,3.834136,4.976291,6.302103,4.281664,-1.19292,0.10011
0.140,1,1,-2.618523,5.106781,4.726995,3.839976,4.979552,6.303349,4.283726,-1.16429,0.09984
0.141,1,1,-2.427994,5.104662,4.724830,3.845816,4.982813,6.304718,4.285734,-1.15085,0.10002
0.142,1,1,-2.237465,5.102544,4.722665,3.851656,4.986074,6.306908,4.287383,-1.13519,0.10012
0.143,1,1,-2.049665,5.100440,4.720556,3.857356,4.989384,6.308949,4.288916,-1.11824,0.09987
0.144,1,1,-1.915979,5.098628,4.719555,3.860276,4.993665,6.309988,4.289677,-1.09900,0.09997
0.145,1,1,-1.782294,5.096816,4.718554,3.863197,4.997946,6.311072,4.290485,-1.08301,0.10023
0.146,1,1,-1.648608,5.095003,4.717553,3.866117,5.002227,6.312446,4.291611,-1.05331,0.10019
0.147,1,1,-1.518192,5.093246,4.716870,3.868906,5.006522,6.314082,4.292941,-1.02560,0.09990
0.148,1,1,-1.452624,5.092582,4.722509,3.869069,5.011096,6.317477,4.295641,-1.00592,0.10023
0.149,1,1,-1.387057,5.091918,4.728148,3.869233,5.015671,6.320874,4.298390,-0.99043,0.10036
0.150,1,1,-1.321489,5.091254,4.733787,3.869396,5.020245,6.324292,4.301465,-0.97159,0.10009
0.151,1,1,-1.255075,5.090568,4.739316,3.869497,5.024815,6.327404,4.304383,-0.95023,0.09981
0.152,1,1,-1.171877,5.089433,4.742667,3.868351,5.029292,6.328473,4.306254,-0.92964,0.10011
0.153,1,1,-1.088679,5.088298,4.746018,3.867204,5.033769,6.329319,4.307940,-0.89108,0.09996
0.154,1,1,-1.005481,5.087163,4.749370,3.866058,5.038247,6.328675,4.308391,-0.86894,0.09943
0.155,1,1,-0.921718,5.086009,4.752563,3.864938,5.042710,6.328013,4.308710,-0.84995,0.09948
0.156,1,1,-0.826768,5.084472,4.752607,3.864345,5.046907,6.327230,4.308154,-0.82954,0.09969
0.157,1,1,-0.731818,5.082936,4.752652,3.863751,5.051105,6.326685,4.307664,-0.80646,0.09941
0.158,1,1,-0.636868,5.081399,4.752697,3.863158,5.055302,6.327733,4.307626,-0.78290,0.09894
0.159,1,1,-0.541041,5.079894,4.752915,3.862617,5.059484,6.329186,4.307823,-0.75636,0.09905
0.160,1,1,-0.427835,5.078997,4.756583,3.863119,5.063390,6.333362,4.309591,-0.71803,0.09912
0.161,1,1,-0.314628,5.078101,4.760251,3.863621,5.067296,6.337653,4.311435,-0.69351,0.09901
0.162,1,1,-0.201422,5.077205,4.763918,3.864123,5.071201,6.342712,4.313792,-0.67006,0.09880
0.163,1,1,-0.089067,5.076439,4.767493,3.864705,5.075109,6.347562,4.316052,-0.64960,0.09907
0.164,1,1,0.006390,5.078271,4.769228,3.866855,5.079046,6.351014,4.317668,-0.62474,0.09926
0.165,1,1,0.101847,5.080102,4.770962,3.869005,5.082984,6.354376,4.319362,-0.60251,0.09910
0.166,1,1,0.197304,5.081934,4.772696,3.871155,5.086922,6.357143,4.321578,-0.56931,0.09895
0.167,1,1,0.290453,5.083678,4.774683,3.873332,5.090875,6.360003,4.324069,-0.52972,0.09922
0.168,1,1,0.337831,5.083689,4.781688,3.876034,5.095142,6.363495,4.328399,-0.50366,0.09944
0.169,1,1,0.385209,5.083701,4.788693,3.878736,5.099409,6.366983,4.332855,-0.48036,0.09906
0.170,1,1,0.432587,5.083712,4.795697,3.881438,5.103676,6.370451,4.338156,-0.45699,0.09909
0.171,1,1,0.479913,5.083735,4.802601,3.884211,5.107976,6.373766,4.343385,-0.43175,0.09938
0.172,1,1,0.526199,5.083991,4.807500,3.888384,5.112936,6.376060,4.348135,-0.40617,0.09934
0.173,1,1,0.572484,5.084247,4.812398,3.892558,5.117896,6.378175,4.352834,-0.37450,0.09890
0.174,1,1,0.618770,5.084502,4.817297,3.896731,5.122855,6.379086,4.357187,-0.33038,0.09925
0.175,1,1,0.665296,5.084782,4.822141,3.900908,5.127857,6.379853,4.361540,-0.30568,0.09953
0.176,1,1,0.716590,5.085529,4.825888,3.905177,5.133688,6.379649,4.365893,-0.27931,0.09923
0.177,1,1,0.767885,5.086276,4.829635,3.909446,5.139520,6.379457,4.370164,-0.25691,0.09910
0.178,1,1,0.819180,5.087023,4.833381,3.913716,5.145352,6.379342,4.373880,-0.22997,0.09958
0.179,1,1,0.872706,5.087767,4.836989,3.917956,5.151231,6.379405,4.377435,-0.20473,0.09949
0.180,1,1,0.970480,5.088437,4.837842,3.921634,5.158061,6.380652,4.379908,-0.17168,0.09917
0.181,1,1,1.068254,5.089107,4.838693,3.925312,5.164890,6.382123,4.382330,-0.12712,0.09944
0.182,1,1,1.166028,5.089777,4.839545,3.928990,5.171719,6.385093,4.384417,-0.10080,0.09960
0.183,1,1,1.264638,5.090498,4.840441,3.932690,5.178593,6.388227,4.386585,-0.07474,0.09947
0.184,1,1,1.379839,5.092249,4.842210,3.936816,5.186353,6.392451,4.389294,-0.05023,0.09920
0.185,1,1,1.495040,5.094000,4.843979,3.940942,5.194113,6.396439,4.392061,-0.02176,0.09933
0.186,1,1,1.610241,5.095752,4.845747,3.945068,5.201873,6.398844,4.395211,0.00525,0.09948
0.187,1,1,1.725991,5.097521,4.847544,3.949174,5.209663,6.400718,4.398359,0.03619,0.09932
0.188,1,1,1.852636,5.099661,4.849885,3.952883,5.218046,6.399030,4.401492,0.07922,0.09887
0.189,1,1,1.979281,5.101801,4.852225,3.956591,5.226428,6.397413,4.404599,0.10649,0.09908
0.190,1,1,2.105926,5.103940,4.854566,3.960300,5.234811,6.396275,4.407532,0.13060,0.09921
0.191,1,1,2.234921,5.106065,4.856868,3.963989,5.243244,6.395830,4.410425,0.15656,0.09890
0.192,1,1,2.410537,5.107882,4.858384,3.967272,5.252686,6.400033,4.413053,0.18234,0.09839
0.193,1,1,2.586152,5.109698,4.859900,3.970556,5.262127,6.404489,4.415626,0.21135,0.09853
0.194,1,1,2.761767,5.111515,4.861416,3.973840,5.271569,6.410640,4.417833,0.24416,0.09857
0.195,1,1,2.938301,5.113400,4.862988,3.977053,5.281059,6.416469,4.419996,0.28474,0.09814
0.196,1,1,3.133072,5.116646,4.865659,3.978872,5.291502,6.420143,4.421871,0.31154,0.09777
0.197,1,1,3.327842,5.119892,4.868330,3.980691,5.301945,6.423670,4.423834,0.33488,0.09786
0.198,1,1,3.522613,5.123138,4.871002,3.982510,5.312388,6.426224,4.426392,0.36102,0.09787
0.199,1,1,3.717988,5.126430,4.873827,3.984325,5.322880,6.428938,4.429134,0.38728,0.09778
0.200,1,1,3.925361,5.130614,4.879720,3.986073,5.334344,6.432725,4.433112,0.41228,0.09766
0.201,1,1,4.132732,5.134799,4.885613,3.987820,5.345808,6.436601,4.437053,0.44318,0.09777
0.202,1,1,4.340105,5.138983,4.891506,3.989567,5.357272,6.441066,4.440742,0.48491,0.09804
0.203,1,1,4.546846,5.143233,4.897146,3.991314,5.368772,6.445481,4.444167,0.51073,0.09811
0.204,1,1,4.741093,5.148793,4.897786,3.993052,5.380985,6.449558,4.445818,0.53537,0.09780
0.205,1,1,4.935339,5.154353,4.898425,3.994790,5.393198,6.453624,4.447357,0.55811,0.09809
0.206,1,1,5.129586,5.159912,4.899064,3.996528,5.405411,6.457627,4.448151,0.58185,0.09834
0.207,1,1,5.322549,5.165460,4.899803,3.998275,5.417652,6.461673,4.449055,0.60756,0.09824
0.208,1,1,5.490046,5.170773,4.902515,4.000196,5.430425,6.466010,4.450705,0.62773,0.09798
0.209,1,1,5.657542,5.176085,4.905227,4.002118,5.443199,6.470268,4.452516,0.65958,0.09833
0.210,1,1,5.825038,5.181397,4.907939,4.004040,5.455972,6.473998,4.455398,0.69781,0.09847
0.211,1,1,5.992298,5.186757,4.910830,4.005951,5.468772,6.477562,4.458421,0.71875,0.09814
0.212,1,1,6.154852,5.193041,4.917275,4.007662,5.482093,6.480017,4.462379,0.74670,0.09820
0.213,1,1,6.317406,5.199325,4.923719,4.009373,5.495414,6.482605,4.466367,0.76740,0.09858
0.214,1,1,6.479960,5.205609,4.930164,4.011084,5.508736,6.486084,4.470547,0.78809,0.09857
0.215,1,1,6.641346,5.211926,4.936443,4.012910,5.522063,6.489974,4.474655,0.80907,0.09834
0.216,1,1,6.779560,5.218901,4.939435,4.017025,5.535512,6.496612,4.478275,0.83600,0.09876
0.217,1,1,6.917773,5.225875,4.942427,4.021140,5.548962,6.503349,4.481879,0.87680,0.09899
0.218,1,1,7.055986,5.232850,4.945418,4.025254,5.562411,6.510749,4.485374,0.89549,0.09894
0.219,1,1,7.194352,5.239862,4.948494,4.029344,5.575848,6.517861,4.488932,0.91795,0.09900
0.220,1,1,7.335731,5.247633,4.953228,4.032936,5.589020,6.523038,4.492914,0.93570,0.09923
0.221,1,1,7.477111,5.255405,4.957963,4.036528,5.602191,6.527947,4.496939,0.95544,0.09936
0.222,1,1,7.618491,5.263176,4.962698,4.040119,5.615364,6.531058,4.501257,0.97589,0.09916
0.223,1,1,7.758599,5.270965,4.967394,4.043743,5.628496,6.534097,4.505572,0.99426,0.09932
0.224,1,1,7.873487,5.279078,4.971347,4.047990,5.640848,6.536650,4.509867,1.01944,0.09959
0.225,1,1,7.988375,5.287191,4.975299,4.052238,5.653199,6.539601,4.514116,1.05035,0.09961
0.226,1,1,8.103263,5.295304,4.979251,4.056485,5.665550,6.545213,4.518051,1.06870,0.09929
0.227,1,1,8.218173,5.303408,4.983023,4.060829,5.677843,6.551507,4.521911,1.09026,0.09956
0.228,1,1,8.333526,5.311314,4.983217,4.067084,5.688970,6.562358,4.525271,1.10501,0.09969
0.229,1,1,8.448877,5.319219,4.983410,4.073340,5.700097,6.572982,4.528598,1.11917,0.09944
0.230,1,1,8.564230,5.327125,4.983603,4.079597,5.711225,6.582074,4.531707,1.13808,0.09920
0.231,1,1,8.678919,5.335100,4.983887,4.085796,5.722291,6.590040,4.534841,1.15988,0.09953
0.232,1,1,8.780456,5.344438,4.985970,4.090882,5.732157,6.590463,4.538145,1.18716,0.09958
0.233,1,1,8.881992,5.353776,4.988054,4.095968,5.742023,6.590441,4.541517,1.20230,0.09906
0.234,1,1,8.983529,5.363114,4.990137,4.101054,5.751889,6.587431,4.545339,1.21623,0.09909
0.235,1,1,9.082379,5.372450,4.992342,4.106052,5.761682,6.584880,4.549229,1.23352,0.09935
0.236,1,1,9.127957,5.381751,4.996976,4.109321,5.770033,6.585395,4.553577,1.24821,0.09914
0.237,1,1,9.173535,5.391052,5.001610,4.112590,5.778384,6.586266,4.557830,1.26103,0.09872
0.238,1,1,9.219112,5.400352,5.006244,4.115858,5.786735,6.589520,4.561447,1.27258,0.09887
0.239,1,1,9.262024,5.409675,5.010696,4.119034,5.795013,6.592783,4.564816,1.29001,0.09896
0.240,1,1,9.252049,5.419432,5.011528,4.120366,5.801847,6.596098,4.566520,1.31226,0.09891
0.241,1,1,9.242076,5.429190,5.012361,4.121698,5.808680,6.599247,4.568075,1.32460,0.09859
0.242,1,1,9.232101,5.438947,5.013194,4.123031,5.815513,6.601284,4.568627,1.33752,0.09860
0.243,1,1,9.217709,5.448697,5.014009,4.124386,5.822259,6.603097,4.569191,1.34676,0.09880
0.244,1,1,9.115668,5.458303,5.014466,4.126190,5.827281,6.603421,4.569820,1.35561,0.09879
0.245,1,1,9.013628,5.467910,5.014924,4.127995,5.832304,6.603775,4.570570,1.36469,0.09827
0.246,1,1,8.911587,5.477516,5.015382,4.129800,5.837327,6.604329,4.572126,1.37756,0.09844
0.247,1,1,8.807238,5.487054,5.015954,4.131515,5.842264,6.605125,4.573808,1.38974,0.09874
0.248,1,1,8.657104,5.495235,5.018807,4.131444,5.845504,6.607543,4.576340,1.40697,0.09867
0.249,1,1,8.506969,5.503417,5.021659,4.131374,5.848745,6.609836,4.578598,1.41301,0.09823
0.250,1,1,8.356835,5.511598,5.024511,4.131303,5.851986,6.611297,4.579027,1.41992,0.09866
0.251,1,1,8.204638,5.519784,5.026787,4.131289,5.855128,6.612253,4.578870,1.42845,0.09889
0.252,1,1,8.011537,5.528062,5.017622,4.132387,5.856318,6.609830,4.574786,1.43604,0.09859
0.253,1,1,7.818435,5.536340,5.008456,4.133484,5.857508,6.607197,4.570713,1.44252,0.09851
0.254,1,1,7.625333,5.544619,4.999291,4.134582,5.858698,6.603165,4.566711,1.44791,0.09885
0.255,1,1,7.431405,5.552837,4.990671,4.135636,5.859774,6.599322,4.563328,1.45724,0.09879
