"Time","60 right DS","59 left DS","37a CoMy (cm)","37 CoMy (cm)","v1 xCoM","v3 L COP","v2 R COP","3 Platform"
0.071,1,1,1.258301,5.046148,5.117550,5.827236,3.796978,1.48491
0.072,1,1,1.244823,5.047447,5.118215,5.827057,3.783539,1.48336
0.073,1,1,1.231345,5.048747,5.118879,5.830552,3.769706,1.48518
0.074,1,1,1.217867,5.050046,5.119544,5.834778,3.755795,1.48036
0.075,1,1,1.207868,5.051126,5.120765,5.842383,3.745107,1.48212
0.076,1,1,1.199017,5.052135,5.122171,5.850660,3.735060,1.48304
0.077,1,1,1.190165,5.053143,5.123576,5.858897,3.731187,1.48289
0.078,1,1,1.181314,5.054151,5.124981,5.867126,3.728542,1.48316
0.079,1,1,1.191040,5.055340,5.126853,5.872156,3.733245,1.48503
0.080,1,1,1.206892,5.056590,5.128879,5.876549,3.739410,1.48356
0.081,1,1,1.222745,5.057840,5.130905,5.879754,3.746909,1.48042
0.082,1,1,1.238597,5.059090,5.132931,5.882723,3.754674,1.48310
0.083,1,1,1.267298,5.060316,5.135165,5.887005,3.757685,1.48243
0.084,1,1,1.300237,5.061535,5.137469,5.891548,3.759750,1.48488
0.085,1,1,1.333176,5.062754,5.139772,5.895504,3.759824,1.48394
0.086,1,1,1.366116,5.063973,5.142075,5.899344,3.759501,1.48259
0.087,1,1,1.419434,5.065145,5.144416,5.900377,3.761236,1.48311
0.088,1,1,1.479473,5.066299,5.146770,5.900850,3.763381,1.48226
0.089,1,1,1.539513,5.067454,5.149123,5.900455,3.766146,1.48254
0.090,1,1,1.599552,5.068609,5.151476,5.899889,3.769034,1.48342
0.091,1,1,1.667366,5.070308,5.153773,5.900742,3.770245,1.48432
0.092,1,1,1.737744,5.072187,5.156051,5.901878,3.771122,1.48518
0.093,1,1,1.808122,5.074065,5.158330,5.902966,3.771161,1.48321
0.094,1,1,1.878500,5.075943,5.160608,5.904042,3.771034,1.48382
0.095,1,1,1.939197,5.077992,5.162772,5.903231,3.771470,1.48366
0.096,1,1,1.996701,5.080097,5.164898,5.902043,3.772019,1.48286
0.097,1,1,2.054204,5.082202,5.167024,5.900259,3.773075,1.48246
0.098,1,1,2.111708,5.084307,5.169150,5.898357,3.774233,1.48260
0.099,1,1,2.147956,5.086615,5.171190,5.897712,3.775650,1.48264
