"Time","66 RDS cle","64 R marks","63 sinus","62 Ramp down","61 Ramp up","60 right DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 simus rmp","49 St rmp dw","48 Sw rmp dw","47 St rmp up","46 Sw rmp up","45 Sw offset","44 Sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","67 LDS cle","v2 R COP","v3 L COP","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","29 HRx (cm)","65 L marks","59 left DS","32 FLx (cm)","31 Keyboard","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.182281,51.608803,95.517395,108.044601,0,0.000000,0.000000,5.395230,-7.149152,5.642766,14.834167,4.934532,17.628254,6.246100,11.604353,0,0,16.310297,0,4.847742,6.541706,12.406235,8.058635,17.902575,7.668630,11.793455,7.889351,11.379737,8.486161,11.087555,8.137480,12.534680,9.462489,12.977082,9.441622,13.868675,0,-0.01751,0.00350,-0.02036,-0.01736,0.00841,-0.01208,0.00460,0.00491,-1.47818,0.10188,3.27744
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.207230,52.232323,95.842194,108.473587,0,0.000000,0.000000,5.397904,-6.937255,5.635564,14.840693,4.932368,17.637047,6.245134,11.594482,0,0,16.299868,0,4.848126,6.542149,12.422794,8.056600,17.911676,7.669729,11.781863,7.886334,11.370013,8.491884,11.082618,8.140887,12.529770,9.462914,12.979424,9.445566,13.871590,0,-0.01797,0.00388,-0.01955,-0.01362,0.00825,-0.01469,0.00584,0.00235,-1.47948,0.08740,3.27754
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.232178,52.855843,96.167000,108.902573,0,0.000000,0.000000,5.401095,-6.725358,5.628362,14.847218,4.930204,17.645840,6.244167,11.584612,0,0,16.289438,0,4.848510,6.542592,12.439354,8.054565,17.920778,7.670828,11.770271,7.883317,11.360291,8.497606,11.077680,8.144295,12.524860,9.463337,12.981766,9.449510,13.874505,0,-0.01654,0.00276,-0.02046,-0.01318,0.00973,-0.01296,0.00381,0.00153,-1.47797,0.11239,3.27777
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.612595,53.480469,96.550621,109.323494,0,0.000000,0.000000,5.404808,-6.463634,5.621724,14.853530,4.928004,17.655075,6.243143,11.574702,0,0,16.278938,0,4.848978,6.543119,12.455955,8.055623,17.931084,7.670104,11.760757,7.879076,11.351433,8.502174,11.073010,8.148627,12.520307,9.464142,12.984378,9.452063,13.877138,0,-0.02018,0.00338,-0.02072,-0.01443,0.00824,-0.01263,0.00473,0.00264,-1.47848,0.10256,3.27762
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.406967,54.106388,97.002724,109.735023,0,0.000000,0.000000,5.408963,-6.143888,5.615743,14.859594,4.925761,17.664824,6.242051,11.564746,0,0,16.268356,0,4.849543,6.543745,12.472603,8.060281,17.942793,7.667256,11.753663,7.873413,11.343582,8.505400,11.068653,8.154037,12.516168,9.465390,12.987307,9.452994,13.879443,0,-0.01742,0.00361,-0.02590,-0.01298,0.01005,-0.01259,0.00456,0.00344,-1.47848,0.08857,3.27701
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.201340,54.732307,97.454834,110.146553,0,0.000000,0.000000,5.413602,-5.824141,5.609762,14.865659,4.923518,17.674574,6.240960,11.554790,0,0,16.257774,0,4.850109,6.544370,12.489251,8.064939,17.954502,7.664408,11.746570,7.867749,11.335732,8.508625,11.064296,8.159449,12.512028,9.466639,12.990234,9.453927,13.881749,0,-0.01671,0.00286,-0.02271,-0.01370,0.00592,-0.01473,0.00549,0.00275,-1.47799,0.10070,3.27681
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.995712,55.358227,97.906944,110.558075,0,0.000000,0.000000,5.418652,-5.504395,5.603780,14.871723,4.921274,17.684324,6.239868,11.544834,0,0,16.247194,0,4.850674,6.544995,12.505898,8.069597,17.966209,7.661560,11.739476,7.862084,11.327882,8.511850,11.059937,8.164859,12.507889,9.467887,12.993162,9.454860,13.884054,0,-0.02194,0.00303,-0.02118,-0.01497,0.00154,-0.01174,0.00997,0.00212,-1.47944,0.09635,3.27712
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.017792,56.025238,98.356178,110.957817,0,0.000000,0.000000,5.424166,-5.144849,5.597623,14.878016,4.919009,17.694389,6.238753,11.534973,0,0,16.236473,0,4.851163,6.545734,12.521788,8.073700,17.980898,7.658166,11.730160,7.861184,11.318484,8.515882,11.055484,8.171172,12.504744,9.470024,12.997583,9.457810,13.887344,0,-0.01444,0.00327,-0.01978,-0.01260,0.00900,-0.01246,0.00760,0.00198,-1.47869,0.09680,3.27714
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.305038,56.740097,98.802078,111.343842,0,0.000000,0.000000,5.430073,-4.738959,5.591260,14.884575,4.916719,17.704819,6.237610,11.525223,0,0,16.225592,0,4.851565,6.546608,12.536794,8.077154,17.999054,7.654138,11.718254,7.865829,11.307285,8.520857,11.050918,8.178537,12.502757,9.473197,13.003743,9.463111,13.891779,0,-0.01231,0.00419,-0.02214,-0.01342,0.01276,-0.01165,0.00309,0.00253,-1.47831,0.10474,3.27684
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.592285,57.454960,99.247971,111.729858,0,0.000000,0.000000,5.436420,-4.333069,5.584898,14.891133,4.914428,17.715250,6.236466,11.515471,0,0,16.214710,0,4.851966,6.547481,12.551799,8.080609,18.017210,7.650109,11.706348,7.870475,11.296087,8.525830,11.046352,8.185903,12.500770,9.476371,13.009904,9.468411,13.896214,0,-0.01879,0.00392,-0.02064,-0.01233,0.00781,-0.01191,0.00436,0.00264,-1.47521,0.09367,3.27671
