"Time","67 LDS cle","65 L mark","64 R mark","63 sinus","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37a CoMy (cm)","v3 L COP","v2 R COP","37 CoMy (cm)","v1 xCoM","36 CoMx (cm)","35 FRy (cm)","32 FLx (cm)","27 HLx (cm)","66 RDS cle","34 FRx (cm)","33 FLy (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","28 HLy (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.010,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.926880,36.418747,88.247917,59.430294,-0.165010,0.000000,0.000000,4.120898,4.114946,7.490097,2.851139,8.856365,4.088581,0,9.505055,4.411281,0,3.119406,6.481687,4.263358,6.296681,9.350104,5.952802,6.467204,6.000377,5.858457,6.227859,5.230629,6.619048,6.452127,7.762836,6.056745,7.634342,6.663652,0,-0.01285,0.00536,-0.01867,-0.01887,0.00904,-0.01329,0.00231,-0.00023,-1.36338,0.09546,3.27718
0.011,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.649612,35.810253,87.975571,59.501453,-0.224376,0.000000,0.000000,4.121173,4.112916,7.491732,2.839356,8.845465,4.091701,0,9.555103,4.410570,0,3.118815,6.471325,4.271481,6.302947,9.393695,5.953197,6.452267,6.001540,5.848351,6.222723,5.220415,6.611845,6.446743,7.755603,6.052108,7.632699,6.658344,0,-0.01270,0.00255,-0.02874,-0.01652,0.00839,-0.01318,0.00050,0.00056,-1.37387,0.11526,3.27719
0.012,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.372345,35.201763,87.703224,59.572613,-0.283742,0.000000,0.000000,4.121449,4.109890,7.493367,2.827573,8.834563,4.094822,0,9.605150,4.409859,0,3.118224,6.460965,4.279604,6.309212,9.437284,5.953593,6.437330,6.002704,5.838244,6.217588,5.210200,6.604641,6.441358,7.748370,6.047471,7.631055,6.653035,0,-0.01967,0.00419,-0.01967,-0.01345,0.00823,-0.01434,0.00431,0.00381,-1.38380,0.10240,3.27688
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.952988,34.621799,87.377090,59.520187,-0.361651,0.000000,0.000000,4.121464,4.106147,7.495642,2.816027,8.823769,4.100145,0,9.652883,4.409182,0,3.117677,6.450647,4.289305,6.312219,9.478385,5.953708,6.422752,6.005960,5.826785,6.215381,5.201703,6.597044,6.435580,7.741256,6.042641,7.625720,6.649706,0,-0.01679,0.00039,-0.01951,-0.01746,0.00890,-0.01331,0.00472,0.00334,-1.39327,0.08696,3.27670
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.226074,34.103588,86.934540,59.200253,-0.479698,0.000000,0.000000,4.120918,4.101310,7.499301,2.804993,8.813202,4.110235,0,9.695605,4.408578,0,3.117228,6.440422,4.302420,6.308172,9.514095,5.953213,6.408952,6.013744,5.812396,6.219512,5.196923,6.588597,6.428950,7.734399,6.037393,7.612395,6.650662,0,-0.01643,-0.00388,-0.01906,-0.01535,0.00837,-0.01190,0.00646,-0.00119,-1.40215,0.12159,3.27677
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.499161,33.585377,86.491989,58.880318,-0.597745,0.000000,0.000000,4.120371,4.095911,7.502961,2.793959,8.802635,4.120325,0,9.738327,4.407975,0,3.116779,6.430197,4.315535,6.304125,9.549806,5.952719,6.395152,6.021528,5.798007,6.223643,5.192143,6.580150,6.422321,7.727541,6.032145,7.599070,6.651618,0,-0.01956,0.00481,-0.02002,-0.01209,0.00797,-0.01281,0.00173,0.00899,-1.40068,0.10063,3.27682
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.772247,33.067165,86.049431,58.560383,-0.715792,0.000000,0.000000,4.119825,4.089654,7.506621,2.782925,8.792069,4.130414,0,9.781050,4.407372,0,3.116330,6.419972,4.328650,6.300078,9.585516,5.952224,6.381351,6.029312,5.783617,6.227775,5.187364,6.571702,6.415691,7.720684,6.026897,7.585744,6.652574,0,-0.01964,0.00341,-0.02057,-0.01084,0.00830,-0.01322,0.02073,0.00445,-1.42346,0.07893,3.27682
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.877228,32.600273,85.617073,58.445404,-0.847537,0.000000,0.000000,4.119162,4.083006,7.510970,2.772119,8.781738,4.155465,0,9.821619,4.406784,0,3.115885,6.409646,4.328359,6.295105,9.622232,5.952351,6.369061,6.034632,5.769008,6.230734,5.179485,6.562857,6.409055,7.713147,6.021692,7.572239,6.652696,0,-0.01855,0.00613,-0.01888,-0.01542,0.00963,-0.01490,-0.00018,-0.00617,-1.43243,0.08521,3.27680
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.618332,32.244476,85.206764,58.774071,-1.008932,0.000000,0.000000,4.118244,4.075761,7.516811,2.761806,8.771919,4.212896,0,9.857531,4.406227,0,3.115449,6.399099,4.299050,6.288125,9.661129,5.953823,6.360036,6.034616,5.753921,6.231156,5.164900,6.553149,6.402403,7.704137,6.016581,7.558345,6.651012,0,-0.01509,0.00280,-0.02103,-0.00508,0.00844,-0.01216,0.00664,0.00364,-1.44016,0.11068,3.27673
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.359436,31.888674,84.796455,59.102737,-1.170326,0.000000,0.000000,4.117326,4.068087,7.522652,2.751493,8.762100,4.270327,0,9.893441,4.405670,0,3.115013,6.388552,4.269741,6.281145,9.700025,5.955294,6.351012,6.034600,5.738835,6.231578,5.150314,6.543442,6.395751,7.695128,6.011469,7.544451,6.649329,0,-0.01915,0.00526,-0.02134,-0.00393,0.00912,-0.01378,0.00541,0.00309,-1.43989,0.10316,3.27677
