"Time","v3 L COP","v1 xCoM","37a CoMy (cm)","v2 R COP","66 RDS cle","64 Rmark cle","34 FRx (cm)","29 HRx (cm)","67 LDS cle","33 FLy (cm)","65 Lmark cle","32 FLx (cm)","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","3 Platform","2 Trdml","1 Synch"
0.031,0.000000,5.722278,-0.146543,0.000000,1,0,18.459469,12.712103,1,6.173773,0,16.064264,4.725248,7.140610,12.966851,0.00000,0.08587,3.27699
0.032,0.000000,5.725169,-0.086526,0.000000,1,0,18.461197,12.700408,1,6.173973,0,16.053988,4.725692,7.139460,13.008260,0.00002,0.10628,3.27707
0.033,0.000000,5.727999,-0.027075,0.000000,1,0,18.462324,12.688676,1,6.174162,0,16.043749,4.726191,7.137943,13.048876,0.00013,0.11738,3.27710
0.034,0.000000,5.730678,0.030196,0.000000,1,0,18.461134,12.676799,1,6.174307,0,16.033648,4.726902,7.135014,13.086435,0.00015,0.09975,3.27695
0.035,0.000000,5.733348,0.087466,0.738320,1,0,18.459946,12.664922,1,6.174453,0,16.023544,4.727612,7.132085,13.123995,-0.00031,0.08346,3.27684
0.036,0.000000,5.735995,0.144736,3.301930,1,1,18.458757,12.653045,1,6.174598,0,16.013443,4.728322,7.129156,13.161553,-0.00002,0.08197,3.27692
0.037,0.000000,5.738705,0.201048,5.128638,1,0,18.457058,12.641173,1,6.174733,0,16.003374,4.728984,7.126045,13.198206,-0.00012,0.10315,3.27701
0.038,0.000000,5.741571,0.253666,5.133561,1,0,18.453388,12.629325,1,6.174826,0,15.993428,4.729460,7.122233,13.231361,0.00002,0.11077,3.27716
0.039,0.000000,5.744420,0.306285,5.138417,1,0,18.449720,12.617476,1,6.174920,0,15.983482,4.729936,7.118422,13.264517,-0.00008,0.09265,3.27718
0.040,0.000000,5.747225,0.358903,5.143108,1,0,18.446051,12.605628,1,6.175013,0,15.973536,4.730412,7.114610,13.297673,0.00027,0.07099,3.27664
0.041,0.000000,5.749917,0.408156,5.147807,1,0,18.441751,12.593762,1,6.175061,0,15.963557,4.730964,7.110774,13.330423,0.00015,0.11208,3.27626
0.042,0.000000,5.752326,0.444435,5.152524,1,0,18.435017,12.581827,1,6.174933,0,15.953448,4.731806,7.106840,13.361611,0.00013,0.10552,3.27649
0.043,0.000000,5.754653,0.480715,5.157222,1,0,18.428284,12.569892,1,6.174806,0,15.943340,4.732648,7.102906,13.392798,0.00004,0.09289,3.27676
0.044,0.000000,5.756771,0.516994,5.161874,1,0,18.421549,12.557958,1,6.174678,0,15.933232,4.733490,7.098973,13.423986,0.00002,0.09292,3.27722
0.045,0.000000,5.758855,0.551243,5.166453,1,0,18.414694,12.546147,1,6.174738,0,15.923108,4.734358,7.095336,13.455160,0.00017,0.06802,3.27751
0.046,0.000000,5.760858,0.577668,5.170855,1,0,18.407373,12.534821,1,6.175521,0,15.912926,4.735327,7.092844,13.486278,0.00000,0.11758,3.27713
0.047,0.000000,5.762810,0.604093,5.175140,1,0,18.400053,12.523494,1,6.176303,0,15.902742,4.736297,7.090352,13.517396,0.00013,0.10694,3.27684
0.048,0.000000,5.764641,0.630517,5.179142,1,0,18.392733,12.512167,1,6.177086,0,15.892559,4.737266,7.087860,13.548513,0.00004,0.09077,3.27692
0.049,0.000000,5.766400,0.655433,5.183001,1,0,18.385057,12.500822,1,6.177831,0,15.882400,4.738120,7.085804,13.579109,-0.00002,0.07989,3.27698
0.050,0.000000,5.767984,0.674534,5.186505,1,0,18.376007,12.489407,1,6.178431,0,15.872333,4.738531,7.085432,13.607689,0.00015,0.09698,3.27698
0.051,0.000000,5.769533,0.693635,5.189888,1,0,18.366957,12.477990,1,6.179029,0,15.862266,4.738941,7.085060,13.636270,0.00012,0.11614,3.27690
0.052,0.000000,5.770995,0.712736,5.192974,1,0,18.357906,12.466575,1,6.179629,0,15.852199,4.739351,7.084688,13.664849,-0.00013,0.09922,3.27652
0.053,0.000000,5.772471,0.731536,5.195967,1,0,18.348686,12.455297,1,6.180246,0,15.842202,4.739593,7.084491,13.692818,0.00027,0.07557,3.27631
0.054,0.000000,5.773983,0.749179,5.198734,1,0,18.338802,12.444558,1,6.180935,0,15.832479,4.739185,7.084969,13.718430,-0.00002,0.09450,3.27676
0.055,0.000000,5.775548,0.766822,5.201395,1,0,18.328920,12.433819,1,6.181623,0,15.822755,4.738777,7.085447,13.744041,-0.00013,0.10919,3.27716
0.056,0.000000,5.777240,0.784465,5.203793,1,0,18.319038,12.423079,1,6.182312,0,15.813031,4.738369,7.085925,13.769653,-0.00017,0.09793,3.27731
0.057,0.000000,5.779021,0.804885,5.206078,1,0,18.308702,12.412507,1,6.182987,0,15.803368,4.737890,7.086313,13.794105,0.00002,0.09255,3.27739
0.058,0.000000,5.781019,0.836009,5.208082,1,0,18.296616,12.402579,1,6.183612,0,15.793935,4.737141,7.086356,13.814086,-0.00023,0.07157,3.27716
0.059,0.000000,5.783149,0.867132,5.210049,1,0,18.284531,12.392651,1,6.184237,0,15.784502,4.736392,7.086399,13.834067,0.00013,0.11595,3.27695
0.060,0.000000,5.785603,0.898256,5.211923,1,0,18.272446,12.382722,1,6.184862,0,15.775069,4.735642,7.086442,13.854049,0.00013,0.10536,3.27679
0.061,0.000000,5.788237,0.934365,5.213831,1,0,18.260275,12.372818,1,6.185479,0,15.765762,4.734962,7.086441,13.873679,0.00019,0.08578,3.27669
0.062,0.000000,5.791314,0.989691,5.215826,1,0,18.247776,12.363008,1,6.186061,0,15.756941,4.734543,7.086268,13.891958,0.00012,0.07838,3.27676
0.063,0.000000,5.794634,1.045016,5.217801,1,0,18.235277,12.353197,1,6.186644,0,15.748120,4.734125,7.086095,13.910237,0.00002,0.10725,3.27684
0.064,0.000000,5.798555,1.100342,5.219729,1,0,18.222778,12.343388,1,6.187226,0,15.739299,4.733706,7.085922,13.928516,0.00013,0.11207,3.27692
0.065,0.000000,5.802799,1.166164,5.221568,1,0,18.210045,12.333628,1,6.187748,0,15.730459,4.733293,7.085662,13.946059,0.00015,0.09331,3.27695
0.066,0.000000,5.807842,1.272447,5.223186,1,0,18.196402,12.324063,1,6.188040,0,15.721548,4.732897,7.085070,13.960770,-0.00013,0.07237,3.27679
0.067,0.000000,5.813345,1.378729,5.224735,1,0,18.182760,12.314499,1,6.188331,0,15.712638,4.732502,7.084478,13.975479,0.00012,0.12283,3.27667
0.068,0.000000,5.819986,1.485012,5.226111,1,0,18.169119,12.304935,1,6.188623,0,15.703727,4.732106,7.083886,13.990189,-0.00010,0.10817,3.27667
0.069,0.000000,5.827197,1.604151,5.227442,1,0,18.155508,12.295325,1,6.188910,0,15.694902,4.731670,7.083446,14.003798,0.00013,0.08770,3.27670
0.070,0.000000,5.835815,1.772845,5.228657,1,0,18.142023,12.285545,1,6.189185,0,15.686413,4.731076,7.083590,14.013164,0.00013,0.09007,3.27686
0.071,0.000000,5.844912,1.941538,5.229752,1,0,18.128536,12.275764,1,6.189459,0,15.677922,4.730483,7.083734,14.022530,0.00004,0.09675,3.27698
0.072,0.000000,5.855190,2.110232,5.230550,1,0,18.115049,12.265984,1,6.189733,0,15.669433,4.729889,7.083878,14.031896,-0.00010,0.11446,3.27698
0.073,0.000000,5.865833,2.288741,5.231162,1,0,18.101601,12.256161,1,6.190145,0,15.661095,4.729237,7.084052,14.040494,0.00013,0.09999,3.27695
0.074,0.000000,5.877377,2.505084,5.231313,1,0,18.088293,12.246173,1,6.191086,0,15.653342,4.728360,7.084342,14.046132,0.00002,0.08780,3.27679
0.075,0.000000,5.889325,2.721426,5.231366,1,0,18.074987,12.236185,1,6.192028,0,15.645591,4.727483,7.084632,14.051769,0.00002,0.08009,3.27670
0.076,0.000000,5.902272,2.937768,5.231178,1,0,18.061680,12.226197,1,6.192969,0,15.637838,4.726607,7.084923,14.057407,0.00015,0.10343,3.27686
0.077,0.000000,5.915645,3.158180,5.230999,1,0,18.048595,12.216263,1,6.194394,0,15.630642,4.725693,7.085002,14.062136,-0.00002,0.11370,3.27692
0.078,0.000000,5.930067,3.394274,5.230843,1,0,18.036362,12.206532,1,6.197677,0,15.625588,4.724637,7.084269,14.063360,0.00015,0.09663,3.27661
0.079,0.000000,5.944649,3.630368,5.230686,1,0,18.024128,12.196800,1,6.200961,0,15.620535,4.723581,7.083534,14.064585,0.00017,0.07528,3.27641
0.080,0.000000,5.959630,3.866462,5.230528,1,0,18.011896,12.187069,1,6.204245,0,15.615481,4.722525,7.082800,14.065809,0.00000,0.10637,3.27664
0.081,0.000000,5.974485,4.095546,5.230331,1,0,17.999744,12.177361,1,6.211832,0,15.621030,4.721468,7.082052,14.066669,0.00013,0.11491,3.27670
0.082,0.000000,5.989026,4.297611,5.230040,1,0,17.987911,12.167742,1,6.236006,0,15.667444,4.720410,7.081249,14.066124,0.00004,0.10355,3.27609
0.083,0.000000,6.003406,4.499675,5.229697,1,0,17.976078,12.158123,1,6.260179,0,15.713858,4.719353,7.080446,14.065579,0.00002,0.09386,3.27574
0.084,0.000000,6.017389,4.701740,5.229229,1,0,17.964245,12.148503,1,6.284353,0,15.760272,4.718295,7.079642,14.065035,0.00017,0.07579,3.27643
0.085,0.000000,6.031238,4.896854,5.228715,1,0,17.952396,12.138966,1,6.308648,0,15.806855,4.717184,7.078619,14.063735,-0.00013,0.11161,3.27696
0.086,0.000000,6.044755,5.065180,5.228086,1,0,17.940495,12.129741,1,6.333410,0,15.854089,4.715868,7.076742,14.059528,0.00002,0.10316,3.27689
0.087,0.000000,6.058119,5.233507,5.227459,1,0,17.928591,12.120516,1,6.358172,0,15.901322,4.714553,7.074866,14.055322,0.00017,0.09813,3.27679
0.088,0.000000,6.071102,5.401833,5.226838,1,0,17.916687,12.111291,1,6.382934,0,15.948556,4.713237,7.072990,14.051115,0.00002,0.08322,3.27664
0.089,0.000000,6.083909,5.562644,5.226269,1,0,17.904808,12.102025,1,6.407743,0,15.996289,4.712033,7.070935,14.046093,-0.00004,0.07662,3.27653
0.090,0.000000,6.096281,5.694495,5.225834,1,0,17.893017,12.092602,1,6.432734,0,16.045948,4.711261,7.068188,14.037931,-0.00004,0.12316,3.27661
0.091,0.000000,6.108508,5.826345,5.225465,1,0,17.881226,12.083178,1,6.457725,0,16.095608,4.710488,7.065442,14.029770,0.00029,0.10749,3.27673
0.092,0.000000,6.120379,5.958196,5.225260,1,0,17.869434,12.073754,1,6.482716,0,16.145267,4.709715,7.062695,14.021607,-0.00027,0.08099,3.27704
0.093,0.000000,6.132170,6.088253,5.225111,1,0,17.857639,12.064363,1,6.507786,0,16.195194,4.708999,7.059810,14.012833,0.00029,0.08716,3.27722
0.094,0.000000,6.143762,6.211396,5.225101,1,0,17.845839,12.055099,1,6.533160,0,16.246141,4.708499,7.056391,14.001696,0.00002,0.11288,3.27692
0.095,0.000000,6.155417,6.334539,5.225089,1,0,17.834036,12.045835,1,6.558535,0,16.297091,4.707999,7.052973,13.990559,0.00013,0.10865,3.27678
0.096,0.000000,6.167227,6.457683,5.225070,1,0,17.822235,12.036572,1,6.583909,0,16.348040,4.707499,7.049554,13.979422,0.00004,0.10096,3.27731
