"Time","67 LDS cle","66 RDS cle","65 L marks","64 R marks","63 sinus 2","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","v2 R COP","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","v3 L COP","32 FLx (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.010,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.991913,80.087616,109.638794,83.144409,0.000000,6.298276,-1.163809,6.355082,14.433626,5.612673,17.224545,6.869231,0,5.767095,11.558391,0.000000,15.850824,7.387694,11.776011,8.721107,17.920982,8.439781,11.880758,8.674871,11.399260,9.299826,11.219746,9.446494,12.792241,10.801769,13.127713,10.481561,13.962825,0,-0.01566,0.00346,-0.01971,-0.01409,0.00874,-0.01417,0.00501,0.00285,1.48307,0.09086,3.27672
0.011,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.941910,80.483284,109.833115,83.365150,0.000000,6.299538,-1.117215,6.354039,14.428250,5.615798,17.227175,6.868868,0,5.767367,11.547204,0.000000,15.839415,7.379863,11.803166,8.723755,17.918528,8.435974,11.868014,8.675920,11.384826,9.301646,11.209528,9.448569,12.781487,10.804636,13.123580,10.484860,13.956458,0,-0.01768,0.00370,-0.01901,-0.01373,0.00709,-0.01180,0.00595,0.00233,1.48411,0.07194,3.27617
0.012,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.891907,80.878944,110.027435,83.585899,0.000000,6.300702,-1.070622,6.352996,14.422874,5.618922,17.229805,6.868505,0,5.767641,11.536017,0.000000,15.828005,7.372032,11.830320,8.726401,17.916073,8.432167,11.855270,8.676967,11.370391,9.303467,11.199310,9.450644,12.770733,10.807503,13.119447,10.488159,13.950090,0,-0.01725,0.00406,-0.02112,-0.01298,0.00840,-0.01454,0.00361,0.00224,1.48464,0.11908,3.27655
0.013,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.812836,81.265259,110.207710,83.795288,0.000000,6.301774,-1.027142,6.351988,14.418027,5.621864,17.232592,6.868219,0,5.767816,11.524794,0.000000,15.816628,7.363777,11.855891,8.729108,17.913382,8.428499,11.843231,8.678472,11.355503,9.305120,11.188807,9.452721,12.760401,10.809692,13.114290,10.490639,13.943593,0,-0.01676,0.00408,-0.01946,-0.01343,0.00814,-0.01203,0.00436,0.00264,1.48452,0.09978,3.27680
0.014,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.663940,81.629097,110.354240,83.977417,0.000000,6.302695,-0.991138,6.351063,14.414449,5.624370,17.235748,6.868117,0,5.767757,11.513481,0.000000,15.805330,7.354504,11.877662,8.731956,17.910126,8.425163,11.832883,8.681072,11.339525,9.306369,11.177614,9.454802,12.751080,10.810256,13.106679,10.491147,13.936780,0,-0.01570,0.00331,-0.01942,-0.01363,0.01162,-0.01303,0.00269,0.00208,1.48505,0.09503,3.27673
0.015,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.515045,81.992935,110.500771,84.159546,0.000000,6.303556,-0.955134,6.350137,14.410871,5.626876,17.238907,6.868015,0,5.767699,11.502169,0.000000,15.794032,7.345230,11.899432,8.734805,17.906870,8.421827,11.822535,8.683673,11.323548,9.307618,11.166422,9.456882,12.741759,10.810821,13.099067,10.491656,13.929967,0,-0.02094,0.00540,-0.02136,-0.01376,0.00024,-0.01230,0.00396,0.00233,1.48242,0.08969,3.27652
0.016,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.366135,82.356773,110.647301,84.341675,0.000000,6.304318,-0.919131,6.349211,14.407293,5.629382,17.242064,6.867913,0,5.767641,11.490856,0.000000,15.782735,7.335957,11.921203,8.737654,17.903612,8.418491,11.812187,8.686274,11.307571,9.308867,11.155230,9.458963,12.732438,10.811384,13.091455,10.492165,13.923154,0,-0.01771,0.00452,-0.01992,-0.01411,0.00912,-0.00935,0.00419,0.00223,1.48539,0.11459,3.27599
0.017,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.236023,82.690186,110.797211,84.516647,0.000000,6.305054,-0.885103,6.348315,14.402857,5.631952,17.245604,6.867892,0,5.767546,11.479827,0.000000,15.771482,7.326838,11.942329,8.740439,17.900532,8.417164,11.800996,8.689441,11.292851,9.310554,11.145143,9.461094,12.723829,10.812159,13.085501,10.493410,13.917202,0,-0.01824,0.00368,-0.01962,-0.01438,0.00813,-0.01344,0.00473,0.00306,1.48458,0.09529,3.27584
0.018,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.151001,82.950508,110.955261,84.674438,0.000000,6.305748,-0.855819,6.347491,14.396361,5.634679,17.250059,6.868063,0,5.767365,11.469481,0.000000,15.760335,7.318090,11.961911,8.743075,17.897869,8.420656,11.787780,8.693967,11.281151,9.313288,11.137710,9.463346,12.716931,10.813437,13.083528,10.496425,13.913319,0,-0.02338,0.00492,-0.02025,-0.01418,0.00856,-0.01196,0.00468,0.00229,1.48405,0.08257,3.27668
0.019,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.065994,83.210838,111.113304,84.832230,0.000000,6.306381,-0.826536,6.346667,14.389865,5.637406,17.254515,6.868235,0,5.767183,11.459133,0.000000,15.749189,7.309342,11.981493,8.745710,17.895206,8.424149,11.774564,8.698494,11.269450,9.316021,11.130276,9.465599,12.710033,10.814716,13.081554,10.499438,13.909435,0,-0.01694,0.00396,-0.02077,-0.01347,0.00721,-0.01269,0.00726,0.00325,1.48386,0.08471,3.27715
0.020,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.980972,83.471161,111.271355,84.990021,0.000000,6.306917,-0.797253,6.345843,14.383369,5.640133,17.258972,6.868407,0,5.767002,11.448787,0.000000,15.738043,7.300594,12.001075,8.748345,17.892544,8.427641,11.761348,8.703021,11.257751,9.318755,11.122842,9.467852,12.703135,10.815995,13.079582,10.502453,13.905552,0,-0.01810,0.00275,-0.02135,-0.01298,0.00925,-0.01314,0.00436,0.00213,1.48312,0.11658,3.27669
0.021,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.898727,83.730652,111.433891,85.133026,0.000000,6.307355,-0.771458,6.345061,14.376790,5.642877,17.263556,6.868631,0,5.766737,11.438699,0.000000,15.726774,7.291832,12.020349,8.751052,17.889843,8.430091,11.748454,8.706300,11.247044,9.321265,11.115718,9.469937,12.696163,10.817212,13.077066,10.504383,13.901905,0,-0.01763,0.00294,-0.02211,-0.01404,0.01049,-0.01089,0.00533,0.00285,1.48412,0.10361,3.27639
0.022,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.823120,83.988136,111.607201,85.240532,0.000000,6.307630,-0.754038,6.344379,14.370010,5.645660,17.268452,6.868979,0,5.766274,11.429235,0.000000,15.715211,7.283036,12.038885,8.753931,17.887051,8.430040,11.736334,8.706580,11.238724,9.323236,11.109337,9.471622,12.689014,10.818281,13.073247,10.503713,13.898825,0,-0.01979,0.00384,-0.02058,-0.01282,0.00699,-0.01378,0.00613,0.00169,1.48388,0.08704,3.27647
0.023,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.747513,84.245621,111.780518,85.348038,0.000000,6.307831,-0.736619,6.343698,14.363231,5.648444,17.273346,6.869327,0,5.765811,11.419769,0.000000,15.703648,7.274239,12.057421,8.756809,17.884260,8.429990,11.724214,8.706861,11.230404,9.325207,11.102956,9.473308,12.681866,10.819349,13.069427,10.503042,13.895745,0,-0.00966,0.00568,-0.01917,-0.01357,0.01474,-0.01249,0.00457,0.00204,1.48430,0.09103,3.27659
0.024,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.671906,84.503105,111.953835,85.455544,0.000000,6.307913,-0.719199,6.343016,14.356451,5.651227,17.278240,6.869675,0,5.765348,11.410305,0.000000,15.692084,7.265443,12.075957,8.759687,17.881468,8.429939,11.712093,8.707143,11.222083,9.327177,11.096575,9.474993,12.674717,10.820418,13.065608,10.502371,13.892665,0,-0.01954,0.00322,-0.02051,-0.01302,0.01088,-0.01092,0.00334,0.00289,1.48700,0.12232,3.27681
0.025,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.528107,84.744308,112.142113,85.578194,0.000000,6.307963,-0.702762,6.342330,14.350167,5.653797,17.283573,6.869963,0,5.764916,11.400857,0.000000,15.680584,7.256808,12.094136,8.762216,17.879187,8.430127,11.700439,8.707800,11.213083,9.328803,11.089758,9.477105,12.667158,10.821470,13.061188,10.501947,13.889860,0,-0.01660,0.00427,-0.02025,-0.01328,0.00757,-0.01317,0.00449,0.00199,1.48600,0.11690,3.27693
0.026,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.220566,84.946404,112.366310,85.737221,0.000000,6.307960,-0.688683,6.341631,14.345076,5.655854,17.289957,6.870106,0,5.764560,11.391452,0.000000,15.669233,7.248563,12.111459,8.763903,17.878126,8.430891,11.689906,8.709360,11.202451,9.329599,11.081897,9.480247,12.658616,10.822482,13.055324,10.502115,13.887714,0,-0.01740,0.00504,-0.02050,-0.01302,0.00944,-0.01244,0.00480,0.00188,1.48372,0.08339,3.27678
0.027,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.913010,85.148499,112.590515,85.896248,0.000000,6.307952,-0.674604,6.340933,14.339984,5.657911,17.296339,6.870250,0,5.764204,11.382046,0.000000,15.657884,7.240318,12.128780,8.765591,17.877066,8.431654,11.679373,8.710920,11.191818,9.330397,11.074036,9.483388,12.650073,10.823493,13.049459,10.502283,13.885570,0,-0.01725,0.00459,-0.02060,-0.01286,0.00715,-0.01176,0.00369,0.00249,1.48429,0.08105,3.27667
0.028,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.605469,85.350594,112.814720,86.055275,0.000000,6.307937,-0.660525,6.340235,14.334892,5.659968,17.302723,6.870393,0,5.763848,11.372641,0.000000,15.646533,7.232073,12.146103,8.767278,17.876005,8.432418,11.668839,8.712481,11.181185,9.331194,11.066175,9.486529,12.641531,10.824505,13.043594,10.502452,13.883424,0,-0.01863,0.00403,-0.02095,-0.01365,0.00966,-0.01136,0.00585,0.00238,1.48533,0.10468,3.27667
0.029,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.214630,85.584595,113.034409,86.216118,0.000000,6.307922,-0.648224,6.339592,14.329843,5.661828,17.309406,6.870405,0,5.763564,11.363042,0.000000,15.635186,7.223807,12.162783,8.768652,17.875534,8.434848,11.658157,8.713908,11.170938,9.332496,11.057994,9.489714,12.633059,10.826082,13.038525,10.502884,13.881727,0,-0.01787,0.00436,-0.01953,-0.01427,0.00742,-0.01324,0.00601,0.00233,1.48587,0.11874,3.27672
0.030,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.623764,85.895203,113.243263,86.381302,0.000000,6.307909,-0.640195,6.339080,14.324894,5.663214,17.316809,6.870101,0,5.763451,11.352981,0.000000,15.623845,7.215492,12.177923,8.769276,17.876471,8.441281,11.647119,8.715016,11.161613,9.335011,11.049048,9.493001,12.624753,10.829020,13.035362,10.503951,13.881106,0,-0.01907,0.00423,-0.02072,-0.01392,0.01395,-0.01036,0.00500,0.00235,1.48330,0.08259,3.27687
0.031,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.032913,86.205818,113.452118,86.546494,0.000000,6.307823,-0.632166,6.338569,14.319945,5.664600,17.324213,6.869797,0,5.763339,11.342919,0.000000,15.612505,7.207176,12.193064,8.769899,17.877409,8.447715,11.636080,8.716125,11.152289,9.337525,11.040103,9.496288,12.616448,10.831957,13.032200,10.505018,13.880486,0,-0.01743,0.00366,-0.02060,-0.01335,0.01213,-0.01501,0.00592,0.00245,1.48430,0.07741,3.27698
0.032,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.442047,86.516434,113.660965,86.711685,0.000000,6.307614,-0.624136,6.338057,14.314997,5.665986,17.331615,6.869493,0,5.763226,11.332857,0.000000,15.601164,7.198860,12.208204,8.770523,17.878347,8.454148,11.625041,8.717233,11.142965,9.340039,11.031157,9.499576,12.608143,10.834894,13.029037,10.506085,13.879865,0,-0.01957,0.00286,-0.02128,-0.01464,0.00711,-0.01219,0.00577,0.00188,1.48483,0.10175,3.27698
