"Time","67 LDS cle","65 L mark","64 R mark","63 sinus","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37a CoMy (cm)","v3 L COP","v2 R COP","37 CoMy (cm)","v1 xCoM","36 CoMx (cm)","35 FRy (cm)","32 FLx (cm)","27 HLx (cm)","66 RDS cle","34 FRx (cm)","33 FLy (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","28 HLy (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.010,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.739166,46.069302,80.142418,81.681824,-2.898721,0.000000,0.000000,4.183210,4.059000,16.401834,2.788247,17.287037,13.461751,0,18.275879,4.622591,0,3.397839,14.708942,4.796506,6.315435,18.998510,6.104122,15.110334,6.210663,14.548634,6.772638,14.122590,6.623662,15.403200,7.817982,15.298017,7.760017,16.060640,0,-0.01575,0.00455,-0.02251,-0.01413,0.00809,-0.01245,0.00641,0.00192,1.48329,0.11301,3.27710
0.011,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.011276,45.366573,80.858208,81.975952,-2.839812,0.000000,0.000000,4.180500,4.058822,16.399445,2.776846,17.277061,13.502786,0,18.287033,4.622544,0,3.397359,14.698374,4.756530,6.305390,19.003870,6.105051,15.097222,6.217182,14.534603,6.767602,14.115856,6.622036,15.385117,7.817681,15.292698,7.757425,16.055683,0,-0.01872,0.00394,-0.01987,-0.01422,0.00854,-0.01343,0.01358,0.00345,1.48392,0.10937,3.27725
0.012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.579193,44.472080,81.676628,82.279251,-2.780843,0.000000,0.000000,4.177889,4.058681,16.398729,2.765683,17.267181,13.543681,0,18.296997,4.622500,0,3.397007,14.687922,4.716524,6.293447,19.006302,6.105144,15.085195,6.224956,14.520930,6.759566,14.109819,6.620335,15.364664,7.817901,15.288091,7.754903,16.051527,0,-0.01654,0.00482,-0.02026,-0.01178,0.00793,-0.01181,0.00162,0.00052,1.48329,0.08276,3.27740
0.013,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,144.147125,43.577591,82.495056,82.582550,-2.721874,0.000000,1.365780,4.175279,4.058633,16.398014,2.754520,17.257303,13.584576,0,18.306961,4.622457,0,3.396654,14.677469,4.676517,6.281505,19.008732,6.105236,15.073167,6.232730,14.507258,6.751530,14.103782,6.618632,15.344212,7.818122,15.283484,7.752380,16.047369,0,-0.01801,0.00357,-0.01915,-0.01294,0.00847,-0.01300,0.00462,0.00409,1.48590,0.10122,3.27719
0.014,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.715042,42.683098,83.313477,82.885857,-2.662905,0.000000,2.900364,4.172668,4.058597,16.397297,2.743357,17.247423,13.625471,1,18.316925,4.622413,0,3.396301,14.667017,4.636511,6.269562,19.011164,6.105329,15.061139,6.240503,14.493586,6.743493,14.097745,6.616930,15.323760,7.818342,15.278876,7.749857,16.043211,0,-0.01793,0.00345,-0.02049,-0.01282,0.00786,-0.01501,0.00226,0.00226,1.48491,0.12062,3.27689
0.015,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.832458,42.253487,83.276627,83.049332,-2.606431,0.000000,3.064475,4.170063,4.058442,16.393291,2.732936,17.237719,13.664573,1,18.322077,4.622403,0,3.396258,14.656700,4.631114,6.250432,19.008905,6.104558,15.048651,6.244241,14.477734,6.737056,14.067526,6.612723,15.308293,7.817251,15.274906,7.743288,16.039427,0,-0.01570,0.00314,-0.02112,-0.01355,0.00870,-0.01160,0.00728,0.00336,1.48463,0.11213,3.27689
0.016,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.609634,41.932922,83.039154,83.180008,-2.550542,0.000000,3.059203,4.167459,4.058271,16.388514,2.722689,17.228056,13.703255,1,18.326099,4.622401,0,3.396286,14.646415,4.633836,6.229615,19.005548,6.103586,15.036055,6.247032,14.461370,6.730993,14.031634,6.607928,15.293998,7.815851,15.271086,7.735769,16.035728,0,-0.01779,0.00311,-0.02008,-0.01352,0.00740,-0.01154,0.00534,0.00302,1.48509,0.07860,3.27696
0.017,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.386795,41.612354,82.801682,83.310684,-2.494653,0.000000,3.054200,4.164855,4.058035,16.383736,2.712443,17.218391,13.741937,1,18.330122,4.622399,0,3.396315,14.636129,4.636558,6.208799,19.002192,6.102613,15.023458,6.249823,14.445007,6.724931,13.995743,6.603133,15.279701,7.814452,15.267265,7.728251,16.032030,0,-0.01706,0.00394,-0.01970,-0.01312,0.00946,-0.01230,0.00511,0.00168,1.48354,0.09234,3.27686
0.018,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.163971,41.291790,82.564209,83.441368,-2.438763,0.000000,3.049230,4.162251,4.057791,16.378958,2.702196,17.208729,13.780619,1,18.334145,4.622396,0,3.396344,14.625844,4.639279,6.187983,18.998833,6.101641,15.010862,6.252614,14.428644,6.718868,13.959852,6.598338,15.265405,7.813052,15.263445,7.720732,16.028332,0,-0.01573,0.00272,-0.02032,-0.01303,0.00870,-0.01309,0.00299,0.00116,1.48494,0.10269,3.27670
0.019,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.603973,41.852650,81.962830,83.694237,-2.390862,0.000000,3.044574,4.159890,4.057555,16.376360,2.692713,17.199343,13.821280,1,18.333382,4.622439,0,3.396893,14.615365,4.641612,6.169497,18.993423,6.103066,14.999380,6.248593,14.422875,6.729321,13.960410,6.591851,15.262789,7.806559,15.260221,7.717088,16.025293,0,-0.01460,0.00302,-0.02000,-0.01361,0.00854,-0.01276,0.00183,0.00327,1.48473,0.10157,3.27698
