"Time","59 lHL swoff","58 lHL swon","57 rHL swoff","56 rHL swon","55 lFL swoff","54 lFL swon","53 rFL swoff","52 rFL swon","v1 xCoM","37a CoMy (cm)","v2 R COP","66 RDS cle","64 Rmark cle","34 FRx (cm)","29 HRx (cm)","v3 L COP","67 LDS cle","33 FLy (cm)","65 Lmark cle","32 FLx (cm)","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","3 Platform","2 Trdml","1 Synch","63 Ramp down","62 Ramp up","61 right DS","60 left DS","51 CoM peak","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","31 Keyboard","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM"
0.010,0,0,0,0,0,0,0,0,6.590733,-2.191409,0.000000,0,0,14.334196,9.596379,0.000000,0,6.972888,0,16.467716,5.394367,7.477111,10.436154,1.48446,0.07620,3.27617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.250549,78.851570,79.981186,91.613708,6.693162,13.364827,5.838605,0,8.940450,14.303901,9.335492,9.047020,9.933608,9.162202,10.497366,9.465079,9.682764,10.627917,10.834452,11.183430,10.530557,11.907514,0,-0.02759,0.00225,-0.01906,-0.01348,0.00779,-0.01182,0.00606,0.00356
0.011,0,0,0,0,0,0,0,0,6.586136,-2.237476,0.000000,0,0,14.323802,9.633451,0.000000,0,6.967387,0,16.474131,5.389721,7.476623,10.427256,1.48371,0.10700,3.27617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.003387,76.500282,79.674530,90.993416,6.690825,13.368671,5.838164,0,8.944158,14.289948,9.333068,9.107551,9.932828,9.195219,10.501257,9.474989,9.685905,10.644992,10.844844,11.187837,10.539203,11.910720,0,-0.01712,0.00320,-0.02288,-0.01411,0.00899,-0.01199,-0.02107,-0.00162
0.012,0,0,0,0,0,0,0,0,6.581989,-2.283543,0.000000,0,0,14.313407,9.670525,0.000000,0,6.961886,0,16.480547,5.385075,7.476135,10.418357,1.48466,0.10366,3.27655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.756210,74.149002,79.367882,90.373123,6.688486,13.372515,5.837723,0,8.947865,14.275994,9.330644,9.168082,9.932048,9.228236,10.505149,9.484898,9.689047,10.662066,10.855237,11.192243,10.547848,11.913926,0,-0.00394,0.00396,-0.02667,-0.01398,0.00905,-0.01320,-0.00050,-0.01429
0.013,0,0,0,0,0,0,0,0,6.578149,-2.316716,0.000000,0,0,14.302954,9.708430,0.000000,0,6.956500,0,16.486368,5.380389,7.475509,10.409482,1.48314,0.09865,3.27680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.013626,70.979973,79.328468,89.896629,6.686043,13.376852,5.837243,0,8.950351,14.262242,9.334819,9.230115,9.933393,9.267957,10.506029,9.497280,9.692057,10.678106,10.864382,11.197738,10.555376,11.917977,0,-0.02338,0.00423,-0.00620,-0.01378,0.00866,-0.01199,-0.01319,0.01309
0.014,0,0,0,0,0,0,0,0,6.574806,-2.319806,0.000000,0,0,14.292366,9.748281,0.000000,0,6.951384,0,16.490805,5.375608,7.474563,10.400665,1.48406,0.09455,3.27673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.448410,65.902863,79.912636,89.755653,6.683353,13.382338,5.836673,0,8.949982,14.248961,9.354393,9.295652,9.939692,9.323316,10.499882,9.515430,9.694759,10.691730,10.870617,11.205771,10.560297,11.924002,0,-0.01030,0.00718,-0.02623,-0.01312,0.00924,-0.01253,0.00203,0.00414
0.015,0,0,0,0,0,0,0,0,6.571822,-2.322895,0.000000,0,0,14.281777,9.788134,0.000000,0,6.946268,0,16.495241,5.370827,7.473616,10.391848,1.48415,0.12255,3.27674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.883209,60.825752,80.496803,89.614677,6.680663,13.387823,5.836102,0,8.949613,14.235680,9.373968,9.361190,9.945993,9.378675,10.493736,9.533582,9.697462,10.705353,10.876852,11.213804,10.565219,11.930026,0,-0.01048,0.00215,-0.01788,-0.01266,0.01319,-0.01173,-0.00741,-0.00032
0.016,0,0,0,0,0,0,0,0,6.569421,-2.325985,0.000000,0,0,14.271190,9.827985,0.000000,0,6.941152,0,16.499680,5.366046,7.472670,10.383030,1.48588,0.09931,3.27697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.317993,55.748642,81.080971,89.473701,6.677973,13.393309,5.835532,0,8.949244,14.222399,9.393542,9.426727,9.952293,9.434034,10.487589,9.551732,9.700165,10.718976,10.883087,11.221838,10.570140,11.936049,0,-0.01591,0.00473,-0.01498,-0.01345,0.00661,-0.01176,0.02373,0.00532
0.017,0,0,0,0,0,0,0,0,6.567427,-2.318344,0.000000,0,0,14.260570,9.868267,0.000000,0,6.936334,0,16.503366,5.361281,7.471767,10.374159,1.48388,0.07598,3.27704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.077789,51.422646,81.479507,89.305649,6.675405,13.398067,5.834959,0,8.949822,14.209952,9.403864,9.507729,9.944949,9.493288,10.478814,9.561860,9.705030,10.729480,10.889088,11.228935,10.575231,11.941815,0,0.00465,0.01182,-0.02770,-0.01368,0.00695,-0.01230,-0.01059,-0.00082
0.018,0,0,0,0,0,0,0,0,6.566093,-2.285666,0.000000,0,0,14.249876,9.909554,0.000000,0,6.932212,0,16.505304,5.356553,7.470970,10.365163,1.48483,0.08589,3.27674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.262573,48.849247,81.444908,89.074417,6.673121,13.401128,5.834379,0,8.952611,14.199457,9.392597,9.624813,9.905766,9.561626,10.463904,9.553267,9.714945,10.732705,10.894543,11.233850,10.580717,11.946976,0,0.01188,0.00702,-0.01147,-0.01215,0.00839,-0.01161,0.00190,0.00432
0.019,0,0,0,0,0,0,0,0,6.565162,-2.252987,0.000000,0,0,14.239183,9.950841,0.000000,0,6.928090,0,16.507242,5.351824,7.470172,10.356167,1.48368,0.11086,3.27661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.447372,46.275848,81.410309,88.843185,6.670837,13.404188,5.833799,0,8.955400,14.188961,9.381329,9.741897,9.866584,9.629966,10.448996,9.544673,9.724857,10.735929,10.899998,11.238766,10.586204,11.952137,0,-0.02296,0.00299,-0.02265,-0.01421,0.00839,-0.01255,0.00558,0.00382
