"1 Chan 1","2 Chan 2","3 Chan 3","4 Chan 4","5 Chan 5","6 Chan 6","7 Chan 7"
0.011859,0.009701,0.005644,0.021524,0.034939,0.0184113,0.000000
0.011931,0.008428,0.005734,0.020556,0.035068,0.0190070,0.000000
0.011984,0.007425,0.005779,0.019804,0.034980,0.0196184,0.000000
0.012074,0.006352,0.005799,0.019609,0.034990,0.0201893,0.000000
0.012143,0.005269,0.005798,0.019434,0.035801,0.0205705,0.000000
0.012079,0.004603,0.005728,0.018920,0.037096,0.0208104,0.000000
0.012091,0.004463,0.005629,0.018123,0.038292,0.0210105,0.000000
0.012153,0.004618,0.005533,0.017371,0.039442,0.0210911,0.000000
0.012141,0.004628,0.005480,0.016687,0.040802,0.0211774,0.000000
0.012121,0.004549,0.005428,0.016228,0.042058,0.0211530,0.000000
0.012132,0.004379,0.005384,0.015784,0.043918,0.0210886,0.000000
0.012096,0.004228,0.005343,0.015237,0.046268,0.0210049,0.000000
0.012140,0.003993,0.005329,0.015233,0.048519,0.0206801,0.000000
0.011890,0.003796,0.005326,0.015189,0.051108,0.0201891,0.000000
0.011542,0.003535,0.005333,0.015294,0.053390,0.0196136,0.000000
0.011351,0.003387,0.005339,0.015349,0.055300,0.0191471,0.000000
0.011339,0.003265,0.005336,0.015342,0.056697,0.0187722,0.000000
0.011215,0.003293,0.005310,0.015146,0.057509,0.0185091,0.000000
0.011105,0.003481,0.005269,0.014798,0.058178,0.0182483,0.000000
0.010891,0.003789,0.005176,0.014466,0.057990,0.0179682,0.000000
0.010958,0.004073,0.005063,0.014104,0.057361,0.0177791,0.000000
0.011236,0.004272,0.004946,0.013646,0.056537,0.0175895,0.000000
0.011200,0.004358,0.004794,0.013060,0.055774,0.0174859,0.000000
0.010945,0.004549,0.004665,0.012453,0.055335,0.0173221,0.000000
0.010780,0.004654,0.004531,0.011824,0.055012,0.0170990,0.000000
0.010427,0.004816,0.004394,0.011240,0.054040,0.0169554,0.000000
0.010107,0.004779,0.004295,0.010790,0.052713,0.0169030,0.000000
0.009769,0.004756,0.004218,0.010412,0.051321,0.0167817,0.000000
0.009713,0.004633,0.004190,0.010326,0.050224,0.0166382,0.000000
0.009708,0.004774,0.004127,0.010125,0.048966,0.0165025,0.000000
0.010007,0.004736,0.004104,0.010123,0.047768,0.0163395,0.000000
0.009964,0.004848,0.004092,0.010092,0.046263,0.0162285,0.000000
0.009866,0.005027,0.004085,0.010145,0.044921,0.0160018,0.000000
0.009763,0.005140,0.004075,0.010227,0.043813,0.0156641,0.000000
0.009797,0.005198,0.004048,0.010351,0.042321,0.0154423,0.000000
0.009905,0.005343,0.004007,0.010248,0.040688,0.0155510,0.000000
0.009858,0.005499,0.003964,0.010066,0.039101,0.0156314,0.000000
0.009782,0.005669,0.003954,0.009993,0.037792,0.0157149,0.000000
0.009696,0.005827,0.004184,0.009516,0.036591,0.0154961,0.000000
0.009828,0.005763,0.004439,0.009164,0.035026,0.0154676,0.000000
0.009770,0.005655,0.004664,0.008572,0.034130,0.0156404,0.000000
0.009570,0.005572,0.004909,0.008010,0.033491,0.0158081,0.000000
0.009426,0.005484,0.005189,0.007558,0.032933,0.0160581,0.000000
0.009655,0.005294,0.005525,0.007406,0.032428,0.0160298,0.000000
0.009763,0.004986,0.005839,0.007253,0.031850,0.0159811,0.000000
0.009621,0.004725,0.006117,0.007202,0.031280,0.0161360,0.000000
0.009790,0.004341,0.006219,0.007578,0.031144,0.0163681,0.000000
0.009974,0.004047,0.006347,0.008066,0.031036,0.0163852,0.000000
0.010100,0.003706,0.006461,0.008610,0.030980,0.0163854,0.000000
0.009972,0.003398,0.006545,0.008878,0.030760,0.0163638,0.000000
0.009851,0.003080,0.006622,0.009107,0.030797,0.0162888,0.000000
0.009357,0.002989,0.006644,0.009147,0.030893,0.0163231,0.000000
0.009140,0.002826,0.006667,0.009313,0.030550,0.0162671,0.000000
0.009037,0.002540,0.006717,0.009617,0.029760,0.0161503,0.000000
0.008976,0.002336,0.006772,0.009776,0.028780,0.0161086,0.000000
0.008828,0.002196,0.006830,0.009873,0.027785,0.0161651,0.000000
0.008683,0.002064,0.006900,0.010008,0.027009,0.0160788,0.000000
0.008562,0.001959,0.006954,0.010216,0.026149,0.0161016,0.000000
0.008302,0.001843,0.007009,0.010380,0.025235,0.0161716,0.000000
0.008115,0.001688,0.007013,0.010718,0.024523,0.0163588,0.000000
0.007394,0.001817,0.007006,0.010637,0.024292,0.0166654,0.000000
0.006859,0.001882,0.006977,0.010882,0.024032,0.0169180,0.000000
0.006319,0.001962,0.007074,0.011038,0.023739,0.0171591,0.000000
0.005674,0.002147,0.007164,0.011005,0.023559,0.0172922,0.000000
0.004953,0.002358,0.007266,0.010874,0.023377,0.0176285,0.000000
0.004592,0.002477,0.007408,0.011025,0.023197,0.0178422,0.000000
0.004352,0.002535,0.007577,0.012654,0.022997,0.0181479,0.000000
0.004002,0.002608,0.007718,0.014471,0.022629,0.0183240,0.000000
0.003711,0.002702,0.007841,0.016237,0.022336,0.0184295,0.000000
0.003419,0.002828,0.007987,0.017859,0.022110,0.0185420,0.000000
0.003076,0.002977,0.008121,0.019429,0.021608,0.0188881,0.000000
0.002736,0.003359,0.008542,0.020972,0.020870,0.0191345,0.000000
0.002431,0.003941,0.009036,0.022302,0.020029,0.0193624,0.000000
0.002139,0.004489,0.009506,0.023503,0.019157,0.0195500,0.000000
0.001846,0.005211,0.009955,0.022768,0.018017,0.0197587,0.000000
0.001557,0.005929,0.010392,0.021985,0.017048,0.0201065,0.000000
0.001239,0.006749,0.010816,0.021200,0.016072,0.0205051,0.000000
0.000925,0.007548,0.011535,0.020490,0.015137,0.0205648,0.000000
0.000620,0.008379,0.012082,0.019787,0.014561,0.0205053,0.000000
0.000314,0.008817,0.012296,0.019210,0.014230,0.0203342,0.000000
0.000000,0.009179,0.012524,0.018815,0.014111,0.0201485,0.000000
0.000000,0.009418,0.012756,0.018708,0.014210,0.0198728,0.000000
0.000000,0.009634,0.013150,0.018458,0.014363,0.0194949,0.000000
0.000000,0.009755,0.013626,0.018274,0.014573,0.0189588,0.000000
0.000000,0.009946,0.014256,0.018500,0.014658,0.0184938,0.000000
0.000178,0.010140,0.014873,0.019490,0.014615,0.0181527,0.000000
0.001032,0.010213,0.016096,0.020576,0.014365,0.0180820,0.000000
0.002126,0.010294,0.017305,0.020205,0.014095,0.0178209,0.000000
0.003698,0.010332,0.018659,0.019417,0.013791,0.0174879,0.000000
0.006676,0.010459,0.019996,0.019040,0.013188,0.0173409,0.000000
0.009380,0.010783,0.021559,0.018622,0.012164,0.0171127,0.000000
0.012418,0.011035,0.023137,0.018411,0.011444,0.0166963,0.000000
0.015419,0.011076,0.024419,0.018230,0.010841,0.0163176,0.000000
0.018554,0.010859,0.025549,0.018322,0.010368,0.0159026,0.000000
0.021557,0.010665,0.026578,0.018481,0.010012,0.0154596,0.000000
0.025089,0.010169,0.027523,0.020871,0.009851,0.0151055,0.000000
0.028625,0.009658,0.028365,0.023371,0.009700,0.0146332,0.000000
0.031954,0.009099,0.029147,0.025775,0.009601,0.0139956,0.000000
0.035430,0.008477,0.029577,0.028373,0.009323,0.0135552,0.000000
0.038838,0.007816,0.030144,0.030889,0.008785,0.0130693,0.000000
0.042009,0.007685,0.030988,0.033177,0.008058,0.0126544,0.000000
0.045568,0.007618,0.031601,0.035656,0.007278,0.0123360,0.000000
0.049689,0.007343,0.032226,0.038244,0.006550,0.0119400,0.000000
0.053946,0.007073,0.032798,0.040758,0.005743,0.0115692,0.000000
0.058270,0.006900,0.033156,0.043249,0.004872,0.0113182,0.000000
0.062674,0.006588,0.033353,0.045505,0.004013,0.0110245,0.000000
0.066093,0.006435,0.033441,0.046612,0.003311,0.0104970,0.000000
0.069432,0.006348,0.032888,0.047559,0.002717,0.0099313,0.000000
0.071854,0.006491,0.032239,0.047963,0.002114,0.0092088,0.000000
0.074688,0.006565,0.031611,0.048493,0.001424,0.0087488,0.000000
0.076220,0.006671,0.030906,0.048422,0.000919,0.0083383,0.000000
0.078097,0.006594,0.029812,0.048582,0.000892,0.0081067,0.000000
0.079424,0.006642,0.028595,0.048714,0.000820,0.0078500,0.000000
0.080604,0.006839,0.027282,0.048783,0.000747,0.0075459,0.000000
0.082209,0.007368,0.026052,0.049054,0.000624,0.0072354,0.000000
0.084458,0.008229,0.024934,0.049545,0.000472,0.0069665,0.000000
0.086296,0.009283,0.023840,0.050044,0.000284,0.0066686,0.000000
0.088228,0.010408,0.022807,0.050627,0.000130,0.0063828,0.000000
0.090208,0.011629,0.021821,0.051444,0.000034,0.0061340,0.000000
0.092377,0.012921,0.020892,0.052364,0.000013,0.0060024,0.000000
0.094653,0.014195,0.020002,0.053749,0.000013,0.0059360,0.000000
0.097067,0.015576,0.019118,0.055644,0.000013,0.0058937,0.000000
0.099245,0.017029,0.018260,0.057561,0.000013,0.0058588,0.000000
0.100247,0.018792,0.017337,0.059404,0.000000,0.0057472,0.000000
0.101614,0.020451,0.016407,0.061644,0.000000,0.0057754,0.000000
0.102607,0.022149,0.015454,0.063867,0.000000,0.0058186,0.000000
0.103556,0.023782,0.014514,0.066156,0.000205,0.0058861,0.000000
0.105395,0.025213,0.013707,0.068953,0.000566,0.0061006,0.000000
0.106785,0.026659,0.012937,0.071814,0.001140,0.0062623,0.000000
0.108992,0.027889,0.012301,0.075216,0.001781,0.0065528,0.000000
0.110635,0.029195,0.011758,0.078547,0.002595,0.0067798,0.000000
0.111529,0.030538,0.011278,0.081958,0.003487,0.0069033,0.000000
0.112912,0.031690,0.011011,0.085458,0.004567,0.0070116,0.000000
0.114474,0.032768,0.010869,0.088854,0.005721,0.0071281,0.000000
0.116188,0.033668,0.010839,0.092294,0.006975,0.0073165,0.000000
0.117251,0.034200,0.010828,0.095536,0.008336,0.0075390,0.000000
