"1 Chan 1","2 Chan 2","3 Chan 3","4 Chan 4","5 Chan 5","6 Chan 6","7 Chan 7"
0.000800,0.010470,0.011606,0.036876,0.019578,0.0169659,0.007103
0.000905,0.010840,0.011366,0.032853,0.019072,0.0176374,0.006726
0.001123,0.011114,0.011187,0.029321,0.018668,0.0180332,0.006274
0.001367,0.011345,0.011083,0.026036,0.018449,0.0182382,0.005808
0.001622,0.011595,0.011021,0.022743,0.018323,0.0184413,0.005346
0.001941,0.011815,0.010928,0.019864,0.018213,0.0184467,0.004826
0.002248,0.012022,0.010819,0.017193,0.018130,0.0183358,0.004335
0.002526,0.012316,0.010757,0.014401,0.018092,0.0182455,0.003931
0.002654,0.012622,0.010764,0.012171,0.018051,0.0181065,0.003702
0.002693,0.013004,0.010806,0.010452,0.018053,0.0179694,0.003535
0.002680,0.013418,0.010847,0.008827,0.018059,0.0178487,0.003418
0.002631,0.013886,0.010892,0.007762,0.017832,0.0177205,0.003320
0.002752,0.014531,0.010886,0.007480,0.017581,0.0174457,0.003078
0.002939,0.015325,0.010911,0.007583,0.017486,0.0171709,0.002816
0.003173,0.016117,0.010880,0.008013,0.017479,0.0167923,0.002551
0.003420,0.016867,0.010870,0.008630,0.017446,0.0161972,0.002268
0.003657,0.017980,0.010862,0.009154,0.017359,0.0158085,0.002009
0.003892,0.018977,0.010787,0.009614,0.017348,0.0154888,0.001792
0.004119,0.019870,0.010717,0.010144,0.017295,0.0150967,0.001573
0.004386,0.020725,0.010660,0.010842,0.017226,0.0145537,0.001316
0.004599,0.021491,0.010642,0.011050,0.017113,0.0142138,0.001115
0.004865,0.022230,0.010589,0.011460,0.016999,0.0138769,0.000896
0.005043,0.023021,0.010596,0.011937,0.016865,0.0136046,0.000740
0.005067,0.023812,0.010561,0.012320,0.016654,0.0136800,0.000708
0.005079,0.024325,0.010500,0.012758,0.016339,0.0136726,0.000680
0.005095,0.024780,0.010428,0.013280,0.015884,0.0137180,0.000640
0.005024,0.025310,0.010363,0.013633,0.015360,0.0141370,0.000663
0.004967,0.026049,0.010285,0.013962,0.014837,0.0146135,0.000692
0.004890,0.026795,0.010206,0.014456,0.014259,0.0151934,0.000740
0.004780,0.027434,0.010082,0.014915,0.013661,0.0158871,0.000836
0.004642,0.027911,0.009916,0.015197,0.013036,0.0167104,0.000978
0.004622,0.028907,0.009732,0.015668,0.012418,0.0175096,0.001038
0.004666,0.029989,0.009566,0.016064,0.012015,0.0182171,0.001049
0.004632,0.030817,0.009429,0.016257,0.011697,0.0190181,0.001121
0.004653,0.031574,0.009298,0.016539,0.011406,0.0196124,0.001160
0.004595,0.032138,0.009168,0.016676,0.011149,0.0202292,0.001246
0.004558,0.033286,0.009027,0.016825,0.010898,0.0208042,0.001320
0.004526,0.034174,0.008938,0.017034,0.010754,0.0209326,0.001366
0.004457,0.035329,0.008928,0.017133,0.010542,0.0211422,0.001418
