"Time","v1 xCoM","47 R marks","44 miry (cm)","43 mirx (cm)","41 CoMx (cm)","40 FRy (cm)","39a FRx (cm)","m1 R marks","39 FRx (cm)","38 FLy (cm)","35a HRx (cm)","35 HRx (cm)","37a FLx (cm)","42a CoMy (cm)","42 CoMy (cm)","m2 L marks","48 L marks","37 FLx (cm)","36 HRy (cm)","34 HLy (cm)","33a HLx (cm)","33 HLx (cm)","32 MTP ang","31 Keyboard","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","12 Sync","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,,0,7.048260,0.341863,14.095403,4.328016,26.084208,0,15.135773,5.995163,-11.398417,13.872060,-10.805571,0.602128,5.371063,0,0,14.592988,3.661801,6.722014,25.146523,12.355075,164.967545,0,72.484497,60.845161,49.811192,8.223744,15.390016,7.977191,14.408806,7.966262,13.748725,8.143597,13.041632,9.676752,13.984563,9.744807,12.386015,10.638422,13.208502,0,-0.01205,-0.01483,-0.02164,0.00961,0.00850,-0.01227,0.00615,0.00342,0.00000,0.11657,3.27695
0.001,,0,7.048020,0.340837,14.105199,4.345066,26.360996,0,15.162304,5.995200,-11.386844,13.860750,-10.795831,0.964778,5.370608,0,0,14.582188,3.656441,6.740919,25.467840,12.381422,164.419250,0,72.374420,60.593788,49.902721,8.244613,15.482862,7.981334,14.395216,7.966805,13.739980,8.147463,13.031428,9.675066,13.983262,9.745426,12.384816,10.638741,13.206771,0,-0.01933,-0.01343,-0.02274,0.00183,0.00804,-0.01236,0.00455,0.00180,-0.00015,0.11484,3.27756
0.002,,0,7.047780,0.339812,14.114994,4.362115,26.637785,0,15.188836,5.995237,-11.375271,13.849440,-10.786090,1.327427,5.370152,0,0,14.571386,3.651081,6.759825,25.789160,12.407770,163.870956,0,72.264351,60.342415,49.994251,8.265481,15.575710,7.985477,14.381627,7.967348,13.731235,8.151328,13.021224,9.673379,13.981962,9.746045,12.383617,10.639060,13.205040,0,-5.00000,2.10007,-0.00673,0.01602,0.01025,-0.01035,0.02591,-0.02237,0.00160,0.11139,3.27854
0.003,,0,7.047540,0.338787,14.124790,4.379164,26.914574,0,15.215367,5.995274,-11.363698,13.838129,-10.776350,1.690077,5.369697,0,0,14.560585,3.645721,6.778730,26.110477,12.434118,163.322662,0,72.154282,60.091042,50.085781,8.286350,15.668558,7.989621,14.368038,7.967891,13.722489,8.155193,13.011020,9.671693,13.980661,9.746664,12.382419,10.639379,13.203310,0,4.99985,-5.00000,-0.02254,0.00153,0.00989,-0.01425,0.00391,0.00739,0.00092,0.11258,3.27953
0.004,,0,7.046715,0.336349,14.113383,4.395145,27.175158,0,15.242844,5.992593,-11.360330,13.826825,-10.760524,2.180030,5.369989,0,0,14.549761,3.645256,6.801047,25.957518,12.460197,163.321594,0,71.746078,59.823074,50.419678,8.310492,15.735916,7.989461,14.356429,7.968515,13.709699,8.156857,12.997997,9.664993,13.980261,9.745933,12.382344,10.638666,13.199833,0,1.10919,-0.72836,-0.01891,0.00336,0.01004,-0.01096,0.00519,0.00134,0.00038,0.11760,3.27847
0.005,,0,7.045855,0.333828,14.100718,4.411063,27.434780,0,15.270375,5.989752,-11.357450,13.815520,-10.744336,2.677535,5.370326,0,0,14.538936,3.645082,6.823567,25.776424,12.486260,163.352982,0,71.320190,59.554127,50.767952,8.334827,15.801763,7.989047,14.344937,7.969144,13.696669,8.158392,12.984808,9.657996,13.979914,9.745121,12.382336,10.637893,13.196252,0,-0.69673,1.62540,-0.01991,0.00549,0.00871,-0.01093,0.00636,0.00214,0.00000,0.11675,3.27733
0.006,,0,7.044995,0.331306,14.088054,4.426981,27.694403,0,15.297907,5.986911,-11.354568,13.804216,-10.728148,3.175040,5.370663,0,0,14.528111,3.644907,6.846087,25.595329,12.512323,163.384369,0,70.894295,59.285175,51.116226,8.359163,15.867609,7.988632,14.333447,7.969772,13.683638,8.159925,12.971619,9.651000,13.979567,9.744309,12.382327,10.637119,13.192671,0,-1.56828,0.68182,-0.02170,0.00427,0.00896,-0.01230,0.00562,0.00311,0.00015,0.11331,3.27721
0.007,,0,7.044136,0.328785,14.075390,4.442899,27.954025,0,15.325438,5.984070,-11.351687,13.792912,-10.711961,3.672545,5.370999,0,0,14.517285,3.644733,6.868608,25.414236,12.538386,163.415756,0,70.468407,59.016224,51.464497,8.383499,15.933455,7.988217,14.321955,7.970401,13.670608,8.161460,12.958428,9.644003,13.979218,9.743498,12.382318,10.636346,13.189090,0,-0.47818,-0.02353,-0.02127,0.00122,0.00981,-0.01227,0.00449,0.00348,0.00008,0.11119,3.27713
0.008,,0,7.042945,0.328313,14.078103,4.457511,28.197706,0,15.353731,5.983246,-11.350762,13.781578,-10.691806,4.152950,5.371442,0,0,14.506590,3.649541,6.877447,25.126549,12.564225,163.706787,0,69.725883,58.902477,52.003468,8.409842,15.973351,7.988029,14.310175,7.971785,13.655860,8.161082,12.942868,9.632739,13.978822,9.745609,12.382981,10.635964,13.185867,0,0.01961,-0.04044,-0.01982,0.00443,0.00896,-0.01251,0.00609,0.00223,-0.00008,0.11314,3.27735
0.009,,0,7.041735,0.327963,14.081728,4.472045,28.440441,0,15.382069,5.982542,-11.349953,13.770242,-10.671416,4.632340,5.371890,0,0,14.495903,3.654644,6.885474,24.832541,12.590052,164.013229,0,68.964577,58.797935,52.553749,8.436305,16.011709,7.987854,14.298379,7.973213,13.641011,8.160591,12.927166,9.621222,13.978421,9.747893,12.383684,10.635607,13.182666,0,0.02100,-0.03552,-0.02277,0.00336,0.00914,-0.01172,0.00630,0.00467,0.00000,0.11470,3.27758
0.010,,0,7.040524,0.327613,14.085354,4.486579,28.683176,0,15.410405,5.981837,-11.349143,13.758905,-10.651027,5.111730,5.372338,0,0,14.485215,3.659748,6.893501,24.538530,12.615878,164.319672,0,68.203262,58.693394,53.104034,8.462767,16.050066,7.987679,14.286582,7.974641,13.626162,8.160101,12.911465,9.609704,13.978022,9.750178,12.384387,10.635248,13.179463,0,0.01601,-0.04468,-0.02042,0.00381,0.00809,-0.01468,0.00589,0.00226,0.00000,0.11500,3.27737
0.011,,0,7.039314,0.327263,14.088979,4.501114,28.925911,0,15.438743,5.981133,-11.348333,13.747569,-10.630636,5.591120,5.372787,0,0,14.474528,3.664851,6.901528,24.244520,12.641704,164.626114,0,67.441956,58.588856,53.654316,8.489229,16.088425,7.987504,14.274786,7.976069,13.611313,8.159610,12.895762,9.598186,13.977621,9.752463,12.385091,10.634890,13.176262,0,0.01895,-0.04956,-0.02031,0.00015,0.00912,-0.01389,0.00584,0.00360,-0.00015,0.11465,3.27714
0.012,,0,7.041608,0.328630,14.092548,4.520468,29.150843,0,15.468238,5.983551,-11.341564,13.736158,-10.610847,7.112599,5.380698,0,0,14.463963,3.665332,6.912497,23.875057,12.667292,164.401276,0,67.244011,58.457855,53.957794,8.508668,16.133167,7.989475,14.266361,7.976603,13.604653,8.161076,12.890445,9.594042,13.979661,9.752863,12.387578,10.638185,13.177436,0,0.01314,-0.04767,-0.01920,-0.00336,0.00883,-0.01309,0.00664,0.00217,0.00000,0.11016,3.27728
0.013,,0,7.044109,0.330098,14.096115,4.540108,29.374718,0,15.497803,5.986153,-11.334441,13.724743,-10.591093,8.695898,5.389052,0,0,14.453403,3.665538,6.923640,23.501118,12.692864,164.144913,0,67.079491,58.325287,54.246635,8.527691,16.178288,7.991574,14.258137,7.977082,13.598479,8.162659,12.885743,9.590334,13.981845,9.753151,12.390171,10.641697,13.178870,0,0.00447,-0.04218,-0.02161,0.00244,0.00732,-0.01221,0.00584,0.00262,0.00000,0.10962,3.27743
0.014,,0,7.046610,0.331566,14.099682,4.559748,29.598593,0,15.527367,5.988755,-11.327318,13.713328,-10.571339,10.279196,5.397407,0,0,14.442845,3.665744,6.934783,23.127178,12.718437,163.888550,0,66.914963,58.192719,54.535473,8.546713,16.223410,7.993672,14.249912,7.977562,13.592305,8.164241,12.881041,9.586626,13.984029,9.753439,12.392764,10.645208,13.180304,0,-0.00728,-0.03076,-0.02029,0.00198,0.00891,-0.01413,0.00539,0.00284,0.00000,0.11542,3.27758
0.015,,0,7.049111,0.333034,14.103249,4.579387,29.822468,0,15.556931,5.991357,-11.320195,13.701913,-10.551585,11.862494,5.405761,0,0,14.432287,3.665950,6.945927,22.753239,12.744010,163.632187,0,66.750443,58.060150,54.824314,8.565736,16.268530,7.995770,14.241688,7.978042,13.586131,8.165823,12.876339,9.582919,13.986214,9.753727,12.395358,10.648721,13.181738,0,-0.01707,-0.02258,-0.02498,0.00519,0.00912,-0.01270,0.00490,0.00308,0.00008,0.11615,3.27773
0.016,,0,7.049039,0.333366,14.098879,4.589508,30.014534,0,15.587285,5.990015,-11.308323,13.690476,-10.536304,13.305280,5.414442,0,0,14.421823,3.668195,6.952611,22.438852,12.763269,163.788727,0,65.909538,57.925087,55.465546,8.570379,16.296427,7.995438,14.230985,7.976791,13.573478,8.162868,12.858215,9.567832,13.982915,9.751796,12.393699,10.647504,13.176133,0,-3.13499,-0.01801,-0.01559,0.00900,0.00984,-0.01108,0.01076,-0.00861,0.00015,0.11418,3.27737
0.017,,0,7.048814,0.333631,14.094039,4.599064,30.204712,0,15.617684,5.988440,-11.296168,13.679039,-10.521289,14.739730,5.423142,0,0,14.411365,3.670560,6.959032,22.128000,12.782154,163.969772,0,65.028511,57.789875,56.127678,8.574169,16.323301,7.994961,14.220135,7.975438,13.560440,8.159644,12.839295,9.552070,13.979290,9.749732,12.391787,10.646008,13.170112,0,1.24020,0.00378,-0.02055,0.00565,0.00862,-0.01419,0.00641,0.00375,0.00015,0.11105,3.27699
0.018,,0,7.048590,0.333895,14.089198,4.608621,30.394892,0,15.648085,5.986864,-11.284014,13.667601,-10.506273,16.174179,5.431842,0,0,14.400906,3.672926,6.965452,21.817146,12.801038,164.150803,0,64.147491,57.654667,56.789814,8.577959,16.350176,7.994484,14.209284,7.974085,13.547402,8.156421,12.820376,9.536307,13.975666,9.747669,12.389875,10.644510,13.164090,0,-1.95657,0.01050,-0.02043,-0.00076,0.01013,-0.01132,0.00714,0.00232,0.00000,0.11018,3.27690
0.019,,0,7.048365,0.334160,14.084358,4.618177,30.585070,0,15.678485,5.985288,-11.271860,13.656163,-10.491259,17.608629,5.440542,0,0,14.390447,3.675292,6.971872,21.506294,12.819922,164.331848,0,63.266464,57.519455,57.451950,8.581749,16.377050,7.994007,14.198434,7.972732,13.534365,8.153196,12.801456,9.520546,13.972042,9.745605,12.387963,10.643014,13.158069,0,0.46756,0.01471,-0.02254,0.00504,0.01024,-0.01111,0.00684,0.00287,0.00000,0.11189,3.27683
0.020,,0,7.045489,0.331522,14.082670,4.632912,30.725153,0,15.709615,5.985018,-11.251950,13.645015,-10.477603,20.108511,5.448745,0,0,14.379998,3.677749,6.974635,21.355145,12.840139,164.211884,0,63.108727,57.172771,57.494987,8.575127,16.398825,7.994211,14.183826,7.973691,13.523171,8.156838,12.789219,9.517286,13.967733,9.742014,12.383596,10.642732,13.155025,0,-0.32526,0.01733,-0.02196,0.00183,0.00797,-0.01044,0.00713,0.00137,0.00008,0.11394,3.27690
0.021,,0,7.042456,0.328711,14.081169,4.647955,30.862263,0,15.740788,5.984826,-11.231580,13.633883,-10.464027,22.671595,5.456919,0,0,14.369551,3.680211,6.977181,21.213469,12.860436,164.074081,0,62.993896,56.813541,57.501301,8.567887,16.420298,7.994456,14.168996,7.974787,13.512088,8.160888,12.777378,9.514769,13.963385,9.738333,12.379083,10.642522,13.152157,0,-0.04771,0.01428,-0.01959,0.00427,0.00873,-0.01373,0.00610,0.00211,0.00015,0.11614,3.27697
0.022,,0,7.039422,0.325901,14.079668,4.662998,30.999372,0,15.771962,5.984634,-11.211210,13.622752,-10.450453,25.234678,5.465092,0,0,14.359103,3.682674,6.979727,21.071793,12.880733,163.936264,0,62.879066,56.454311,57.507614,8.560647,16.441769,7.994700,14.154166,7.975883,13.501004,8.164937,12.765537,9.512251,13.959036,9.734651,12.374570,10.642312,13.149290,0,-0.02553,0.00647,-0.02133,0.00412,0.00810,-0.01196,0.00595,0.00681,-0.00015,0.11317,3.27720
0.023,,0,7.036389,0.323091,14.078167,4.678041,31.136482,0,15.803136,5.984442,-11.190840,13.611622,-10.436877,27.797764,5.473265,0,0,14.348656,3.685136,6.982273,20.930119,12.901029,163.798462,0,62.764236,56.095085,57.513927,8.553407,16.463242,7.994945,14.139336,7.976980,13.489921,8.168986,12.753696,9.509733,13.954687,9.730968,12.370056,10.642102,13.146422,0,-0.01765,-0.00403,-0.02315,0.00656,0.00858,-0.01187,0.00381,0.00140,0.00000,0.10860,3.27743
0.024,,0,7.037302,0.326042,14.078490,4.690693,31.166302,0,15.834687,5.986593,-11.166321,13.600576,-10.420681,30.368668,5.481889,0,0,14.338198,3.686625,6.991431,20.880894,12.922091,163.973663,0,62.657768,55.901054,57.697453,8.556461,16.476219,7.990437,14.124011,7.976871,13.475947,8.170938,12.742836,9.504927,13.951219,9.729611,12.367085,10.641097,13.142144,0,-0.00616,-0.01489,-0.02019,0.00214,0.00943,-0.01321,0.00517,0.00259,0.00000,0.11106,3.27729
0.025,,0,7.038451,0.329336,14.078922,4.703203,31.189756,0,15.866261,5.988883,-11.141555,13.589537,-10.404330,32.940037,5.490540,0,0,14.327738,3.688057,7.000982,20.837154,12.943198,164.167435,0,62.551796,55.716824,57.891491,8.560126,16.488691,7.985647,14.108657,7.976689,13.461803,8.172767,12.732034,9.499985,13.947802,9.728392,12.364206,10.640044,13.137782,0,0.00337,-0.02454,-0.02026,0.00153,0.00954,-0.01151,0.00633,0.00482,0.00015,0.11365,3.27714
0.026,,0,7.039598,0.332629,14.079354,4.715714,31.213211,0,15.897833,5.991173,-11.116789,13.578497,-10.387979,35.511406,5.499191,0,0,14.317279,3.689489,7.010532,20.793413,12.964305,164.361221,0,62.445824,55.532593,58.085526,8.563792,16.501165,7.980858,14.093303,7.976508,13.447659,8.174594,12.721231,9.495043,13.944385,9.727172,12.361326,10.638992,13.133420,0,2.05501,-1.13763,-0.02890,0.00885,0.00774,-0.02011,0.01569,0.01428,0.00145,0.11469,3.27772
0.027,,0,7.040746,0.335922,14.079786,4.728224,31.236666,0,15.929406,5.993463,-11.092023,13.567456,-10.371627,38.082775,5.507842,0,0,14.306819,3.690920,7.020083,20.749674,12.985413,164.554993,0,62.339851,55.348362,58.279564,8.567457,16.513639,7.976068,14.077950,7.976327,13.433515,8.176422,12.710428,9.490101,13.940968,9.725953,12.358447,10.637939,13.129058,0,1.55962,-0.30719,-0.01872,0.00168,0.00864,-0.01102,0.00362,0.00595,0.00038,0.11389,3.27833
0.028,,0,7.042063,0.333615,14.079581,4.746579,31.096947,0,15.961208,5.991539,-11.062718,13.556170,-10.345208,40.662434,5.581193,0,0,14.296374,3.692341,7.020259,20.749903,13.006548,164.303787,0,62.292839,55.229301,58.427685,8.555688,16.533909,7.977763,14.063747,7.977340,13.421385,8.178581,12.703249,9.487145,13.939173,9.726236,12.357148,10.638648,13.127278,0,-0.31241,0.72623,-0.02126,0.00320,0.00896,-0.01178,0.00742,0.00381,0.00023,0.11243,3.27806
0.029,,0,7.043389,0.330975,14.079339,4.765280,30.947548,0,15.993023,5.989365,-11.033145,13.544869,-10.318192,43.242580,5.658382,0,0,14.285932,3.693761,7.019879,20.752739,13.027686,164.026199,0,62.249329,55.114105,58.573086,8.543003,16.554642,7.979843,14.049615,7.978424,13.409375,8.180760,12.696284,9.484307,13.937475,9.726610,12.355943,10.639462,13.125652,0,-0.00949,0.00250,-0.02090,0.00488,0.00893,-0.01373,0.00397,0.00204,0.00023,0.10872,3.27775
0.030,,0,7.044715,0.328335,14.079097,4.783981,30.798149,0,16.024839,5.987190,-11.003571,13.533568,-10.291177,45.822731,5.735571,0,0,14.275488,3.695181,7.019498,20.755575,13.048823,163.748596,0,62.205818,54.998913,58.718487,8.530319,16.575375,7.981923,14.035481,7.979508,13.397366,8.182939,12.689320,9.481469,13.935778,9.726983,12.354737,10.640274,13.124025,0,-0.85011,-0.04758,-0.02194,0.00534,0.00850,-0.01288,0.00476,0.00339,0.00008,0.11004,3.27759
0.031,,0,7.046042,0.325695,14.078855,4.802682,30.648748,0,16.056654,5.985016,-10.973997,13.522267,-10.264161,48.402878,5.812761,0,0,14.265044,3.696601,7.019118,20.758411,13.069962,163.471008,0,62.162308,54.883717,58.863888,8.517634,16.596107,7.984002,14.021349,7.980592,13.385356,8.185118,12.682355,9.478631,13.934080,9.727356,12.353532,10.641088,13.122399,0,-0.04329,-0.02527,-0.02019,0.00259,0.00851,-0.01282,0.00674,0.00287,0.00008,0.11581,3.27744
0.032,,0,7.045322,0.327439,14.078464,4.817551,30.305033,0,16.088167,5.982888,-10.942763,13.511373,-10.225058,49.653309,5.825745,0,0,14.254878,3.694369,6.777246,20.632275,13.091194,162.565567,0,62.611649,54.850983,58.965408,8.497220,16.626316,7.983942,14.008934,7.977043,13.367235,8.185610,12.676426,9.475696,13.931661,9.727823,12.351662,10.639539,13.119424,0,-5.00000,2.10101,-0.00719,0.02609,0.01302,-0.01428,0.03616,-0.02808,0.00084,0.11589,3.27780
0.033,,0,7.044480,0.329443,14.078064,4.832192,29.949789,0,16.119661,5.980763,-10.911431,13.500502,-10.185237,50.824856,5.834920,0,0,14.244728,3.691920,6.521048,20.498487,13.112432,161.622894,0,63.090229,54.823143,59.064331,8.476348,16.657085,7.983754,13.996621,7.973218,13.348751,8.186002,12.670558,9.472755,13.929199,9.728297,12.349753,10.637851,13.116369,0,2.65837,-4.45728,-0.02834,0.00229,0.00854,-0.01440,0.00204,0.00858,0.00008,0.11329,3.27818
0.034,,0,7.043638,0.331447,14.077664,4.846833,29.594545,0,16.151155,5.978638,-10.880099,13.489632,-10.145416,51.996403,5.844096,0,0,14.234578,3.689470,6.264850,20.364698,13.133671,160.680222,0,63.568810,54.795300,59.163250,8.455475,16.687855,7.983566,13.984307,7.969394,13.330267,8.186395,12.664690,9.469814,13.926737,9.728770,12.347844,10.636162,13.113315,0,0.38205,-2.24179,-0.02086,0.00275,0.00906,-0.01053,0.00552,0.00177,0.00008,0.11016,3.27783
0.035,,0,7.042797,0.333451,14.077265,4.861474,29.239302,0,16.182650,5.976513,-10.848767,13.478761,-10.105595,53.167950,5.853271,0,0,14.224428,3.687021,6.008652,20.230911,13.154909,159.737549,0,64.047386,54.767460,59.262173,8.434603,16.718626,7.983379,13.971994,7.965570,13.311783,8.186787,12.658823,9.466874,13.924275,9.729243,12.345935,10.634473,13.110260,0,1.90471,-0.35919,-0.01894,0.00320,0.00955,-0.01001,0.00722,0.00366,0.00008,0.11178,3.27745
0.036,,0,7.045984,0.336725,14.082717,4.867158,28.706705,0,16.211746,5.978824,-10.819948,13.468123,-10.048950,51.934025,5.926998,0,0,14.214338,3.689190,5.994702,19.950104,13.175241,159.205109,0,64.232697,54.625587,59.468300,8.432670,16.738108,7.983498,13.963516,7.964902,13.298722,8.189928,12.651995,9.463542,13.923863,9.729993,12.346222,10.635134,13.108913,0,-0.05740,0.48694,-0.01913,0.00275,0.00932,-0.01221,0.00618,0.00043,0.00000,0.11451,3.27795
0.037,,0,7.049411,0.340074,14.088515,4.872312,28.163588,0,16.240700,5.981398,-10.791279,13.457500,-9.991307,50.557404,6.004553,0,0,14.204252,3.691633,5.995122,19.660574,13.195519,158.697006,0,64.400612,54.476952,59.680790,8.431860,16.756920,7.983636,13.955265,7.964421,13.285982,8.193233,12.645109,9.460188,13.923574,9.730759,12.346640,10.635935,13.107667,0,-1.83231,0.05780,-0.02170,-0.00076,0.00919,-0.01230,0.00699,0.00485,0.00000,0.11548,3.27848
0.038,,0,7.052837,0.343424,14.094315,4.877465,27.620470,0,16.269655,5.983972,-10.762609,13.446877,-9.933665,49.180782,6.082109,0,0,14.194166,3.694075,5.995542,19.371044,13.215797,158.188904,0,64.568527,54.328316,59.893280,8.431050,16.775732,7.983773,13.947014,7.963941,13.273243,8.196537,12.638225,9.456833,13.923285,9.731524,12.347057,10.636735,13.106421,0,-0.96265,0.83624,-0.01935,-0.00107,0.00932,-0.01373,0.00409,0.00214,-0.00008,0.11573,3.27777
0.039,,0,7.056264,0.346773,14.100113,4.882619,27.077353,0,16.298609,5.986546,-10.733938,13.436253,-9.876022,47.804161,6.159665,0,0,14.184079,3.696518,5.995963,19.081514,13.236075,157.680817,0,64.736443,54.179680,60.105770,8.430242,16.794544,7.983911,13.938763,7.963460,13.260503,8.199841,12.631339,9.453479,13.922995,9.732289,12.347475,10.637535,13.105175,0,0.01906,0.43552,-0.02049,0.00412,0.00790,-0.01147,0.00641,0.00345,0.00015,0.11134,3.27701
0.040,,0,7.056471,0.343288,14.100616,4.886058,26.434761,0,16.324327,5.989080,-10.706999,13.425561,-9.803084,45.210903,6.236835,0,0,14.174232,3.696851,5.995734,18.649769,13.255060,157.405563,0,64.710693,53.997334,60.272461,8.428661,16.825783,7.983105,13.923942,7.963559,13.249441,8.203637,12.621922,9.448846,13.921559,9.732798,12.346983,10.636699,13.104104,0,0.06070,-0.07025,-0.02142,0.00397,0.00906,-0.01163,0.00650,0.00406,-0.00008,0.10861,3.27727
0.041,,0,7.056486,0.339397,14.100802,4.889396,25.786266,0,16.349855,5.991612,-10.680161,13.414866,-9.729239,42.545471,6.313984,0,0,14.164400,3.697059,5.995468,18.209589,13.273968,157.144135,0,64.673454,53.812988,60.436436,8.427036,16.857759,7.982243,13.908731,7.963693,13.238480,8.207462,12.612355,9.444138,13.920056,9.733291,12.346437,10.635764,13.103043,0,0.04413,-0.10834,-0.02217,0.00107,0.00911,-0.01251,0.00578,0.00168,-0.00008,0.11418,3.27758
0.042,,0,7.056502,0.335506,14.100990,4.892734,25.137774,0,16.375381,5.994144,-10.653325,13.404171,-9.655394,39.880039,6.391132,0,0,14.154568,3.697268,5.995201,17.769409,13.292875,156.882706,0,64.636215,53.628639,60.600410,8.425411,16.889736,7.981380,13.893520,7.963826,13.227518,8.211287,12.602789,9.439429,13.918553,9.733784,12.345891,10.634830,13.101982,0,2.87703,-3.27994,-0.02931,0.00793,0.00774,-0.02765,0.00203,0.01569,0.00130,0.11625,3.27781
0.043,,0,7.056517,0.331615,14.101178,4.896071,24.489281,0,16.400909,5.996676,-10.626488,13.393476,-9.581549,37.214611,6.468280,0,0,14.144734,3.697476,5.994935,17.329229,13.311783,156.621262,0,64.598976,53.444294,60.764385,8.423785,16.921713,7.980518,13.878309,7.963959,13.216557,8.215112,12.593222,9.434721,13.917050,9.734277,12.345345,10.633897,13.100921,0,2.17249,-2.33774,-0.01843,0.00229,0.01022,-0.00952,0.00591,0.00409,0.00053,0.11493,3.27804
0.044,,0,7.054407,0.333362,14.100006,4.898805,23.820938,0,16.424078,5.995396,-10.607354,13.382824,-9.504295,33.460693,6.545342,0,0,14.135198,3.698965,5.996750,16.767138,13.328827,156.449249,0,64.442108,53.354725,61.079906,8.427751,16.938887,7.979164,13.860432,7.963512,13.203237,8.216184,12.583611,9.426458,13.915818,9.734492,12.345821,10.633171,13.100453,0,3.20511,-2.96793,-0.02130,0.00259,0.01012,-0.01053,0.00543,0.00146,0.00023,0.11217,3.27812
0.045,,0,7.052171,0.335443,14.098754,4.901502,23.151419,0,16.447107,5.993889,-10.588678,13.372174,-9.426839,29.642208,6.622398,0,0,14.125677,3.700529,5.998688,16.197813,13.345760,156.282516,0,64.278145,53.270779,61.404423,8.432047,16.955181,7.977780,13.842397,7.963030,13.189776,8.217092,12.573997,9.417985,13.914601,9.734691,12.346359,10.632458,13.100020,0,-0.04166,0.29922,-0.01854,0.00473,0.00906,-0.01230,0.00687,0.00235,0.00038,0.10952,3.27820
0.046,,0,7.049934,0.337524,14.097502,4.904199,22.481899,0,16.470137,5.992383,-10.570003,13.361526,-9.349382,25.823721,6.699455,0,0,14.116158,3.702094,6.000627,15.628490,13.362694,156.115799,0,64.114174,53.186832,61.728935,8.436343,16.971476,7.976397,13.824361,7.962548,13.176317,8.217999,12.564383,9.409512,13.913385,9.734889,12.346897,10.631745,13.099587,0,-1.45053,0.60690,-0.02150,0.01556,0.00883,-0.01862,0.00742,0.00662,0.00137,0.11063,3.27820
0.047,,0,7.047698,0.339605,14.096250,4.906896,21.812380,0,16.493166,5.990876,-10.551327,13.350876,-9.271926,22.005234,6.776512,0,0,14.106637,3.703659,6.002565,15.059167,13.379628,155.949081,0,63.950211,53.102882,62.053448,8.440639,16.987772,7.975013,13.806325,7.962066,13.162857,8.218908,12.554770,9.401038,13.912169,9.735087,12.347434,10.631032,13.099154,0,2.45499,-2.71942,-0.02184,0.00168,0.00850,-0.01099,0.00424,0.00504,0.00069,0.11310,3.27820
0.048,,0,7.050005,0.339354,14.079249,4.907589,21.182575,0,16.513578,5.993391,-10.537011,13.340377,-9.194718,19.378862,6.782366,0,0,14.097671,3.704443,6.006929,14.423838,13.393551,155.420639,0,64.237228,52.971016,62.063545,8.451883,16.999397,7.976085,13.798914,7.962902,13.146037,8.221301,12.548898,9.397771,13.911164,9.734709,12.347051,10.629545,13.100392,0,-4.31523,1.89529,0.03404,-0.03464,0.01051,0.06241,-0.00890,-0.01736,0.00053,0.11695,3.27849
0.049,,0,7.052581,0.338965,14.061316,4.908164,20.555128,0,16.533834,5.996145,-10.522954,13.329885,-9.117525,16.823208,6.783996,0,0,14.088737,3.705180,6.011437,13.784593,13.407295,154.870758,0,64.551003,52.836304,62.054989,8.463539,17.010746,7.977302,13.792133,7.963816,13.129018,8.223783,12.543247,9.394813,13.910172,9.734295,12.346611,10.628013,13.101729,0,3.52631,-3.74710,-0.02414,0.00183,0.00890,-0.01801,0.00049,0.01050,0.00099,0.11466,3.27880
0.050,,0,7.055158,0.338576,14.043383,4.908739,19.927679,0,16.554092,5.998899,-10.508897,13.319395,-9.040333,14.267555,6.785626,0,0,14.079804,3.705918,6.015945,13.145348,13.421041,154.320862,0,64.864769,52.701591,62.046432,8.475195,17.022097,7.978519,13.785353,7.964731,13.111999,8.226264,12.537598,9.391854,13.909181,9.733881,12.346172,10.626479,13.103066,0,0.72879,-0.73199,-0.01717,0.00366,0.01001,-0.00800,0.00629,0.00043,0.00046,0.11031,3.27822
0.051,,0,7.057734,0.338187,14.025449,4.909314,19.300232,0,16.574348,6.001652,-10.494840,13.308904,-8.963140,11.711902,6.787257,0,0,14.070871,3.706655,6.020453,12.506103,13.434785,153.770966,0,65.178543,52.566879,62.037876,8.486851,17.033445,7.979736,13.778572,7.965645,13.094979,8.228745,12.531948,9.388896,13.908189,9.733467,12.345734,10.624947,13.104403,0,-0.12445,0.13437,-0.02011,0.00198,0.00890,-0.01175,0.00647,0.00369,0.00023,0.11052,3.27761
0.052,,0,7.056495,0.338594,14.015836,4.905771,18.733936,0,16.592333,5.999506,-10.482570,13.298530,-8.887592,10.241813,6.795651,0,0,14.062175,3.710837,6.022296,11.880722,13.445794,153.645981,0,65.038261,52.384144,62.214657,8.495896,17.044744,7.980590,13.767358,7.967714,13.082911,8.231692,12.523793,9.382902,13.907379,9.732527,12.346072,10.623585,13.104620,0,-0.07251,0.07684,-0.02126,0.01053,0.00841,-0.01074,0.00650,0.00165,0.00015,0.11291,3.27751
