"Time","54 lHL swoff","53 rHL swoff","52 LDS cle","51 RDS cle","50 L marks","49 R marks","48 lHL swon","47 lFL swoff","46 rHL swon","45 rFL swoff","44 miry (cm)","43 mirx (cm)","41 CoMx (cm)","40 FRy (cm)","36 HRy (cm)","39 FRx (cm)","38 FLy (cm)","35 HRx (cm)","35a HRx (cm)","37 FLx (cm)","34 HLy (cm)","33 HLx (cm)","42 CoMy (cm)","32 MTP ang","31 Keyboard","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","12 Sync","11 Gr","10 St","9 TA","8 Gs","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch","v3 xCoM","v2 L COP","v1 R COP","42a CoMy (cm)","33a HLx (cm)"
0.280,0,0,0,1,0,0,0,0,0,0,7.518523,0.888587,16.652575,3.814614,4.186149,17.714710,5.328152,15.008763,-9.518936,17.819283,6.457934,13.707939,5.019152,138.276382,0,75.911613,93.797333,66.008270,8.727582,18.321960,8.641195,15.734057,8.638357,15.194598,9.282984,14.463926,10.302245,15.947538,11.678119,15.130856,11.808453,16.240253,0,0.00099,0.00086,0.00067,0.00214,0.00069,0.00072,0.00066,0.00067,-1.48598,0.10249,3.21454,5.286765,0.000000,0.000000,5.019057,14.539858
0.281,0,0,0,1,0,0,0,0,0,0,7.518594,0.888587,16.652420,3.810524,4.187300,17.735762,5.328300,14.999282,-9.514519,17.809956,6.462311,13.722513,5.016589,137.929993,0,75.995705,93.688782,66.007080,8.741002,18.349129,8.643018,15.724566,8.638766,15.186699,9.284884,14.459380,10.301301,15.944923,11.677188,15.128263,11.807647,16.239071,0,0.00097,0.00086,0.00068,0.00210,0.00070,0.00072,0.00064,0.00065,-1.48598,0.10412,3.21440,5.284026,0.000000,0.000000,5.015522,14.861778
0.282,0,0,0,1,0,0,0,0,0,0,7.517558,0.891519,16.650669,3.807164,4.187042,17.757017,5.328437,14.990040,-9.517315,17.800596,6.470510,13.737621,5.014138,137.423828,0,75.980255,93.491516,66.003059,8.756168,18.383463,8.646642,15.716382,8.639404,15.180336,9.290066,14.452641,10.301311,15.941681,11.677218,15.125054,11.807864,16.238386,0,0.00095,0.00086,0.00067,0.00202,0.00070,0.00071,0.00065,0.00064,-1.48903,0.10548,3.21433,5.281410,0.000000,0.000000,5.013462,15.183991
0.283,0,0,0,1,0,0,0,0,0,0,7.516522,0.894450,16.648916,3.803804,4.186783,17.778273,5.328573,14.980798,-9.520112,17.791237,6.478710,13.752730,5.011688,136.917664,0,75.964806,93.294250,65.999031,8.771334,18.417795,8.650266,15.708198,8.640043,15.173974,9.295247,14.445901,10.301320,15.938438,11.677249,15.121847,11.808083,16.237703,0,0.00090,0.00087,0.00066,0.00190,0.00071,0.00072,0.00066,0.00065,-1.48743,0.10510,3.21437,5.278828,0.000000,0.000000,5.011401,15.506204
0.284,0,0,0,1,0,0,0,0,0,0,7.515486,0.897381,16.647165,3.800444,4.186524,17.799528,5.328710,14.971556,-9.522908,17.781876,6.486908,13.767838,5.009238,136.411499,0,75.949356,93.096992,65.995003,8.786500,18.452129,8.653890,15.700013,8.640682,15.167612,9.300428,14.439161,10.301330,15.935195,11.677279,15.118639,11.808301,16.237019,0,0.00092,0.00087,0.00066,0.00199,0.00070,0.00071,0.00067,0.00066,-1.48582,0.10405,3.21506,5.276348,0.000000,0.000000,5.009341,15.828417
0.285,0,0,0,1,0,0,0,0,0,0,7.514613,0.897496,16.644176,3.797253,4.186481,17.820932,5.328825,14.962212,-9.530352,17.772474,6.492080,13.783659,5.006895,136.100494,0,76.055840,92.971611,65.938576,8.792768,18.491442,8.655719,15.691528,8.641537,15.160215,9.302850,14.435165,10.301184,15.932940,11.676752,15.115745,11.807351,16.235550,0,0.00090,0.00086,0.00067,0.00204,0.00072,0.00071,0.00067,0.00066,-1.48438,0.10426,3.21564,5.273895,0.000000,0.000000,5.007215,16.153656
0.286,0,0,0,1,0,0,0,0,0,0,7.513965,0.893751,16.639492,3.794293,4.186731,17.842539,5.328912,14.952725,-9.544160,17.763012,6.493104,13.800455,5.004697,136.056793,0,76.329346,92.944687,65.810371,8.786848,18.537577,8.655092,15.682630,8.642689,15.151403,9.301492,14.434929,10.300825,15.932035,11.675461,15.113277,11.804803,16.233006,0,0.00091,0.00085,0.00069,0.00208,0.00070,0.00071,0.00067,0.00065,-1.48659,0.10389,3.21564,5.271528,0.000000,0.000000,5.005001,16.483042
0.287,0,0,0,1,0,0,0,0,0,0,7.513316,0.890007,16.634808,3.791333,4.186983,17.864147,5.328999,14.943240,-9.557968,17.753551,6.494129,13.817251,5.002499,136.013077,0,76.602844,92.917770,65.682167,8.780928,18.583712,8.654465,15.673732,8.643840,15.142591,9.300134,14.434692,10.300466,15.931132,11.674170,15.110811,11.802255,16.230459,0,0.00097,0.00087,0.00068,0.00220,0.00070,0.00071,0.00065,0.00065,-1.48552,0.10243,3.21561,5.269192,0.000000,0.000000,5.002787,16.812426
0.288,0,0,0,1,0,0,0,0,0,0,7.512668,0.886263,16.630123,3.788373,4.187233,17.885756,5.329086,14.933755,-9.571776,17.744089,6.495153,13.834047,5.000301,135.969376,0,76.876350,92.890846,65.553963,8.775007,18.629847,8.653837,15.664834,8.644991,15.133778,9.298776,14.434455,10.300107,15.930228,11.672878,15.108345,11.799706,16.227915,0,0.00104,0.00087,0.00068,0.00237,0.00070,0.00072,0.00064,0.00066,-1.48628,0.10075,3.21546,5.266948,0.000000,0.000000,5.000572,17.141811
0.289,0,0,0,1,0,0,0,0,0,0,7.512269,0.887649,16.627741,3.783600,4.186402,17.907387,5.329143,14.924241,-9.585775,17.734713,6.494319,13.851348,4.998202,136.102661,0,77.048157,92.979088,65.554504,8.762589,18.666510,8.652429,15.656005,8.645967,15.124294,9.295990,14.432084,10.298594,15.927003,11.671922,15.106071,11.797926,16.225174,0,0.00106,0.00083,0.00065,0.00239,0.00069,0.00072,0.00064,0.00065,-1.48880,0.10096,3.21520,5.264729,0.000000,0.000000,4.997713,17.470821
