"Time","48 L marks","47 R marks","46 sw offset","45 sw onset","44 miry (cm)","43 mirx (cm)","42 CoMy (cm)","41 CoMx (cm)","40 FRy (cm)","39a FRx (cm)","39 FRx (cm)","35a HRx (cm)","35 HRx (cm)","37a FLx (cm)","37 FLx (cm)","33a HLx (cm)","33 HLx (cm)","38 FLy (cm)","36 HRy (cm)","34 HLy (cm)","32 MTP ang","31 Keyboard","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","12 Sync","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0,0,7.046624,0.323701,5.646637,16.385368,4.871031,-10.069525,18.240559,-9.665000,13.763083,7.421574,18.699371,-8.938672,13.808978,6.565096,3.489800,6.845028,123.759323,0,86.053047,56.806366,88.257248,8.099958,18.856268,8.018674,14.192153,8.244618,13.935732,8.620332,13.985991,8.279306,15.651433,9.580799,15.135573,9.950212,16.157253,0,-0.01755,-0.01340,-0.02145,0.00348,0.00972,-0.01239,0.00464,0.00287,-1.49727,0.09456,3.27747
0.001,0,0,0,0,7.048812,0.328346,5.647812,16.378237,4.870682,-10.080015,18.230497,-9.687814,13.753334,6.942363,18.706509,-9.008320,13.799862,6.554096,3.486158,6.846572,123.024422,0,86.574013,56.785179,88.209831,8.097817,18.844954,8.019824,14.187289,8.244622,13.929996,8.618264,13.983245,8.278024,15.648848,9.579082,15.131895,9.948811,16.154411,0,-0.01643,-0.01376,-0.02170,0.00285,0.00876,-0.01161,0.00545,0.00160,-1.49860,0.09012,3.27815
0.002,0,0,0,0,7.051000,0.332992,5.648987,16.371107,4.870334,-10.090506,18.220434,-9.710628,13.743586,6.463151,18.713644,-9.077968,13.790746,6.543097,3.482515,6.848116,122.289528,0,87.094978,56.763992,88.162407,8.095676,18.833639,8.020974,14.182425,8.244625,13.924262,8.616197,13.980500,8.276740,15.646263,9.577363,15.128216,9.947411,16.151567,0,-0.01778,-0.01279,-0.02101,0.00301,0.00879,-0.01210,0.00660,0.00178,-1.49691,0.08642,3.27770
0.003,0,0,0,0,7.053188,0.337637,5.650162,16.363976,4.869985,-10.100996,18.210371,-9.733441,13.733837,5.983940,18.720781,-9.147615,13.781630,6.532097,3.478873,6.849660,121.554626,0,87.615936,56.742802,88.114990,8.093536,18.822325,8.022124,14.177561,8.244629,13.918527,8.614129,13.977755,8.275457,15.643678,9.575645,15.124537,9.946010,16.148726,0,-0.01745,-0.01414,-0.02080,0.00471,0.00826,-0.01170,0.00629,0.00179,-1.49691,0.08536,3.27716
0.004,0,0,0,0,7.052448,0.336566,5.652788,16.356695,4.871191,-10.103526,18.200191,-9.762649,13.724196,5.498285,18.725809,-9.207356,13.772356,6.623923,3.478865,6.851343,120.867020,0,88.030197,56.693951,88.125961,8.092863,18.810146,8.023159,14.173523,8.245271,13.913168,8.614562,13.975656,8.273549,15.641094,9.574024,15.122674,9.943579,16.145777,0,-0.01983,-0.01306,-0.01780,0.00355,0.00883,-0.01177,0.00627,0.00259,-1.49959,0.08305,3.27727
0.005,0,0,0,0,7.051452,0.334997,5.655540,16.349403,4.872531,-10.105364,18.190001,-9.792411,13.714565,5.012070,18.730652,-9.266235,13.763070,6.724690,3.479173,6.853039,120.183517,0,88.435173,56.642693,88.142014,8.092318,18.797894,8.024184,14.169557,8.245968,13.907841,8.615212,13.973612,8.271586,15.638512,9.572411,15.120970,9.941057,16.142817,0,-0.01956,-0.01340,-0.01761,0.00435,0.00822,-0.01286,0.00490,0.00140,-1.49848,0.07889,3.27743
0.006,0,0,0,0,7.050457,0.333428,5.658293,16.342110,4.873872,-10.107202,18.179811,-9.822173,13.704934,4.525856,18.735497,-9.325115,13.753783,6.825458,3.479481,6.854734,119.500023,0,88.840149,56.591438,88.158058,8.091772,18.785641,8.025210,14.165590,8.246665,13.902514,8.615863,13.971569,8.269624,15.635929,9.570798,15.119265,9.938536,16.139858,0,-0.01704,-0.01401,-0.02193,0.00386,0.00918,-0.01191,0.00557,0.00216,-1.49738,0.07586,3.27772
0.007,0,0,0,0,7.049462,0.331859,5.661045,16.334818,4.875213,-10.109039,18.169621,-9.851935,13.695303,4.039640,18.740341,-9.383995,13.744496,6.926225,3.479790,6.856430,118.816528,0,89.245132,56.540180,88.174110,8.091228,18.773388,8.026236,14.161624,8.247362,13.897188,8.616513,13.969525,8.267661,15.633347,9.569184,15.117559,9.936014,16.136898,0,-0.01813,-0.01334,-0.01927,0.00292,0.00750,-0.01144,0.00548,0.00328,-1.49929,0.07549,3.27803
0.008,0,0,0,0,7.050997,0.334374,5.661032,16.329067,4.873209,-10.105238,18.159470,-9.881525,13.685357,3.592551,18.743038,-9.419276,13.735037,6.930310,3.481210,6.857003,116.357643,0,90.812912,56.287804,88.058464,8.090227,18.761278,8.031645,14.154682,8.250466,13.885931,8.618851,13.969889,8.265531,15.632749,9.566160,15.114730,9.932584,16.133904,0,-0.01956,-0.01368,-0.01866,0.00185,0.00876,-0.01180,0.00462,0.00284,-1.49887,0.07422,3.27812
0.009,0,0,0,0,7.052753,0.337243,5.660778,16.323452,4.870914,-10.100946,18.149321,-9.911098,13.675385,3.148864,18.745550,-9.452506,13.725562,6.925987,3.482727,6.857479,113.744370,0,92.481804,56.017937,87.931366,8.089187,18.749182,8.037435,14.147482,8.253780,13.874159,8.621334,13.970462,8.263387,15.632323,9.563013,15.111803,9.929073,16.130903,0,-0.01819,-0.01353,-0.02018,0.00237,0.00885,-0.01143,0.00462,0.00165,-1.49851,0.07176,3.27819
0.010,0,0,0,0,7.054509,0.340113,5.660524,16.317837,4.868620,-10.096655,18.139172,-9.940673,13.665411,2.705177,18.748062,-9.485736,13.716087,6.921665,3.484244,6.857955,111.131104,0,94.150703,55.748070,87.804268,8.088146,18.737085,8.043224,14.140283,8.257093,13.862387,8.623817,13.971034,8.261242,15.631898,9.559867,15.108876,9.925564,16.127905,0,-0.01819,-0.01339,-0.02034,0.00328,0.00850,-0.01298,0.00532,0.00236,-1.49720,0.06910,3.27770
0.011,0,0,0,0,7.056264,0.342983,5.660271,16.312222,4.866326,-10.092363,18.129023,-9.970246,13.655438,2.261490,18.750574,-9.518965,13.706613,6.917343,3.485761,6.858430,108.517830,0,95.819595,55.478203,87.677177,8.087106,18.724987,8.049014,14.133082,8.260406,13.850615,8.626302,13.971607,8.259098,15.631474,9.556720,15.105949,9.922053,16.124907,0,-0.01765,-0.01280,-0.01999,0.00173,0.00909,-0.01196,0.00643,0.00190,-1.49780,0.07397,3.27716
0.012,0,0,0,0,7.054694,0.341938,5.661905,16.307724,4.866463,-10.090694,18.119007,-9.988931,13.645399,1.915960,18.752033,-9.518877,13.696769,6.915105,3.484755,6.856762,108.448059,0,96.666595,55.248672,87.550583,8.086303,18.714346,8.048330,14.120745,8.262617,13.843763,8.629138,13.972307,8.257192,15.631100,9.554210,15.104089,9.918196,16.122690,0,-0.01834,-0.01280,-0.02081,-0.00053,0.00830,-0.01213,0.00486,0.00256,-1.49890,0.08639,3.27713
0.013,0,0,0,0,7.052834,0.340553,5.663703,16.303326,4.866811,-10.089254,18.109005,-10.006668,13.635354,1.578965,18.753403,-9.515892,13.686893,6.913049,3.483529,6.854907,108.599464,0,97.442116,55.022644,87.424026,8.085520,18.703833,8.047083,14.107961,8.264731,13.837341,8.632005,13.973019,8.255307,15.630730,9.551754,15.102322,9.914308,16.120541,0,-0.01806,-0.01317,-0.01923,0.00713,0.00824,-0.01233,0.00653,0.00280,-1.49792,0.09128,3.27713
0.014,0,0,0,0,7.050975,0.339168,5.665501,16.298927,4.867159,-10.087813,18.099003,-10.024405,13.625309,1.241971,18.754772,-9.512907,13.677016,6.910992,3.482302,6.853053,108.750870,0,98.217644,54.796619,87.297478,8.084737,18.693317,8.045835,14.095177,8.266846,13.830919,8.634871,13.973730,8.253422,15.630360,9.549299,15.100554,9.910419,16.118393,0,-0.01755,-0.01350,-0.02111,0.00151,0.00802,-0.01309,0.00522,0.00224,-1.49717,0.08981,3.27720
0.015,0,0,0,0,7.049115,0.337783,5.667299,16.294529,4.867507,-10.086373,18.089001,-10.042143,13.615264,0.904976,18.756142,-9.509921,13.667140,6.908936,3.481076,6.851198,108.902275,0,98.993164,54.570591,87.170929,8.083954,18.682802,8.044589,14.082392,8.268960,13.824497,8.637738,13.974442,8.251536,15.629991,9.546844,15.098787,9.906531,16.116243,0,-0.01596,-0.01383,-0.02148,0.00458,0.00891,-0.01258,0.00594,0.00293,-1.49843,0.10028,3.27728
0.016,0,0,0,0,7.047059,0.339203,5.667553,16.290108,4.866453,-10.087720,18.078955,-10.032019,13.605024,0.670927,18.755953,-9.474748,13.657477,6.846781,3.473984,6.850751,109.240799,0,99.555153,54.445641,87.433846,8.083082,18.672512,8.044213,14.066647,8.270362,13.816777,8.639907,13.973443,8.245969,15.627112,9.542587,15.099158,9.904329,16.115677,0,-0.01848,-0.01333,-0.02142,0.00278,0.00785,-0.01118,0.00335,0.00280,-1.49845,0.11242,3.27678
0.017,0,0,0,0,7.044986,0.340867,5.667672,16.285685,4.865276,-10.089310,18.068907,-10.019472,13.594768,0.445830,18.755630,-9.436774,13.647832,6.779401,3.466382,6.850428,109.595589,0,100.098572,54.329479,87.730637,8.082202,18.662241,8.043914,14.050644,8.271703,13.808946,8.642016,13.972296,8.240081,15.624015,9.538175,15.099715,9.902274,16.115248,0,-0.01723,-0.01152,-0.02039,0.00065,0.00830,-0.01230,0.00687,0.00307,-1.49830,0.11537,3.27625
0.018,1,0,0,0,7.042913,0.342531,5.667792,16.281261,4.864100,-10.090899,18.058859,-10.006925,13.584512,0.220733,18.755306,-9.398801,13.638187,6.712020,3.458779,6.850104,109.950378,0,100.641991,54.213318,88.027420,8.081323,18.651972,8.043614,14.034641,8.273043,13.801113,8.644125,13.971148,8.234193,15.620918,9.533761,15.100272,9.900219,16.114819,0,-0.01758,-0.01328,-0.02036,0.00572,0.00852,-0.01266,0.00449,0.00198,-1.49743,0.11498,3.27679
0.019,0,0,0,0,7.040840,0.344194,5.667911,16.276838,4.862923,-10.092489,18.048811,-9.994378,13.574255,-0.004364,18.754984,-9.360827,13.628542,6.644640,3.451177,6.849780,110.305168,0,101.185410,54.097157,88.324211,8.080443,18.641701,8.043315,14.018638,8.274384,13.793281,8.646234,13.970000,8.228305,15.617822,9.529347,15.100829,9.898163,16.114389,0,-0.01717,-0.01385,-0.02008,0.00219,0.00885,-0.01105,0.00793,0.00217,-1.49707,0.11964,3.27740
0.020,0,0,0,0,7.042156,0.341760,5.668969,16.273876,4.864299,-10.085853,18.038706,-9.909351,13.564149,-0.273120,18.753939,-9.304014,13.619281,6.616213,3.439864,6.850410,112.060135,0,100.226082,54.505859,89.010818,8.078536,18.631180,8.041177,14.006162,8.272146,13.788264,8.642488,13.958465,8.218946,15.604832,9.525136,15.101673,9.895442,16.114788,0,-0.01680,-0.01318,-0.02050,0.00356,0.00940,-0.01265,0.00401,0.00154,-1.50124,0.12193,3.27751
0.021,0,0,0,0,7.043766,0.338969,5.670107,16.271040,4.865896,-10.078502,18.028595,-9.818022,13.554055,-0.545672,18.752831,-9.245562,13.610053,6.591172,3.428228,6.851125,113.936867,0,99.136078,54.960205,89.731323,8.076540,18.620638,8.038879,13.993991,8.269599,13.783492,8.638234,13.946025,8.209286,15.590981,9.520942,15.102543,9.892663,16.115257,0,-0.01699,-0.01205,-0.01984,0.00386,0.00811,-0.01129,0.00831,0.00222,-1.49713,0.11992,3.27758
0.022,0,0,0,0,7.045377,0.336178,5.671247,16.268206,4.867494,-10.071151,18.018484,-9.726693,13.543962,-0.818224,18.751722,-9.187110,13.600825,6.566132,3.416593,6.851839,115.813591,0,98.046074,55.414547,90.451828,8.074544,18.610096,8.036582,13.981821,8.267052,13.778721,8.633980,13.933586,8.199625,15.577130,9.516748,15.103412,9.889883,16.115728,0,-0.01691,-0.01326,-0.02090,0.00201,0.00883,-0.01179,0.00472,0.00270,-1.49844,0.11840,3.27730
0.023,0,0,0,0,7.046987,0.333387,5.672386,16.265371,4.869092,-10.063800,18.008373,-9.635364,13.533869,-1.090776,18.750614,-9.128657,13.591598,6.541091,3.404957,6.852552,117.690315,0,96.956070,55.868893,91.172333,8.072548,18.599554,8.034285,13.969651,8.264504,13.773949,8.629725,13.921146,8.189964,15.563280,9.512554,15.104280,9.887104,16.116198,0,-0.01745,-0.01205,-0.01978,0.00385,0.00752,-0.01235,0.00525,0.00134,-1.49652,0.11796,3.27700
0.024,0,0,0,0,7.047299,0.338222,5.675602,16.265402,4.870380,-10.039449,17.998205,-9.417239,13.523994,-1.469263,18.750294,-9.067806,13.582706,6.531612,3.393682,6.852486,117.496506,0,97.556198,55.890106,91.334167,8.070896,18.587528,8.035432,13.963776,8.265216,13.771881,8.627205,13.922874,8.184545,15.564224,9.508134,15.108044,9.882447,16.117205,0,-0.01798,-0.01331,-0.02035,0.00282,0.00896,-0.01297,0.00537,0.00286,-1.49964,0.11465,3.27669
0.025,0,0,0,0,7.047499,0.343719,5.679000,16.265680,4.871641,-10.013620,17.988031,-9.188089,13.514140,-1.856961,18.750042,-9.006746,13.573845,6.523486,3.382439,6.852352,117.122658,0,98.303299,55.873653,91.447418,8.069274,18.575371,8.036880,13.958447,8.266212,13.770049,8.624834,13.925834,8.179493,15.566456,9.503695,15.112060,9.877627,16.118259,0,-0.02032,-0.01322,-0.01774,0.00311,0.00905,-0.01165,0.00604,0.00195,-1.49651,0.11049,3.27639
0.026,0,0,0,0,7.047698,0.349217,5.682397,16.265959,4.872902,-9.987791,17.977858,-8.958940,13.504286,-2.244660,18.749788,-8.945685,13.564983,6.515360,3.371195,6.852217,116.748802,0,99.050392,55.857204,91.560669,8.067652,18.563215,8.038326,13.953117,8.267207,13.768216,8.622464,13.928793,8.174441,15.568686,9.499255,15.116075,9.872808,16.119312,0,-0.01749,-0.01257,-0.02060,0.00310,0.00889,-0.01384,0.00448,0.00216,-1.49547,0.10871,3.27665
0.027,0,0,0,0,7.047898,0.354714,5.685794,16.266237,4.874163,-9.961963,17.967684,-8.729790,13.494431,-2.632358,18.749537,-8.884625,13.556122,6.507234,3.359951,6.852083,116.374947,0,99.797485,55.840755,91.673920,8.066030,18.551060,8.039774,13.947789,8.268202,13.766384,8.620094,13.931753,8.169390,15.570918,9.494815,15.120090,9.867988,16.120367,0,-0.01849,-0.01411,-0.01993,0.00356,0.00940,-0.01172,0.00639,0.00238,-1.49885,0.10632,3.27696
0.028,0,0,0,0,7.049495,0.352217,5.686538,16.266146,4.874228,-9.911869,17.957546,-8.323948,13.485271,-3.163133,18.748854,-8.848059,13.547386,6.507019,3.351649,6.850366,113.341904,0,102.323036,55.853008,91.996964,8.067213,18.543135,8.040534,13.938480,8.273174,13.751155,8.616636,13.932755,8.161613,15.570708,9.488303,15.123668,9.863861,16.121857,0,-0.01873,-0.01407,-0.02034,0.00236,0.00961,-0.01308,0.00506,0.00323,-1.49658,0.10120,3.27698
0.029,0,0,0,0,7.051213,0.349025,5.687050,16.266024,4.874189,-9.859665,17.947414,-7.902741,13.476172,-3.706350,18.748135,-8.813622,13.538660,6.507492,3.343603,6.848511,110.077629,0,105.003227,55.867760,92.338249,8.068642,18.535576,8.041236,13.928825,8.278493,13.734761,8.613084,13.933586,8.153602,15.570286,9.481611,15.127208,9.859795,16.123384,0,-0.01772,-0.01385,-0.01948,0.00355,0.00798,-0.01418,0.00439,0.00341,-1.49669,0.09650,3.27698
0.030,0,0,0,0,7.052931,0.345833,5.687562,16.265900,4.874151,-9.807462,17.937281,-7.481535,13.467073,-4.249567,18.747414,-8.779186,13.529935,6.507964,3.335557,6.846656,106.813354,0,107.683426,55.882507,92.679535,8.070069,18.528019,8.041937,13.919171,8.283811,13.718368,8.609532,13.934418,8.145589,15.569864,9.474919,15.130747,9.855727,16.124912,0,-0.01823,-0.01284,-0.01994,0.00349,0.00928,-0.01334,0.00592,0.00037,-1.49707,0.09457,3.27719
0.031,0,0,0,0,7.054649,0.342640,5.688075,16.265776,4.874112,-9.755258,17.927147,-7.060329,13.457974,-4.792784,18.746695,-8.744750,13.521210,6.508437,3.327510,6.844801,103.549072,0,110.363617,55.897259,93.020821,8.071497,18.520462,8.042638,13.909516,8.289129,13.701974,8.605980,13.935248,8.137576,15.569442,9.468227,15.134287,9.851661,16.126440,0,-0.01621,-0.01375,-0.02191,0.00168,0.01110,-0.01227,0.00591,0.00178,-1.49800,0.09157,3.27742
0.032,0,0,0,0,7.053514,0.341934,5.689106,16.264761,4.875713,-9.688687,17.917561,-6.450231,13.450865,-5.349070,18.738768,-8.714696,13.512597,6.508253,3.323749,6.844353,102.678062,0,111.128128,55.902046,93.486588,8.071245,18.512877,8.042740,13.898369,8.287937,13.692688,8.605372,13.935135,8.130905,15.567544,9.463175,15.137459,9.850602,16.127213,0,-0.01815,-0.01319,-0.01937,0.00370,0.00697,-0.01111,0.00463,0.00313,-1.49709,0.08629,3.27744
0.033,0,0,0,0,7.052130,0.341444,5.690183,16.263668,4.877456,-9.620867,17.908020,-5.823706,13.443928,-5.906493,18.730215,-8.685022,13.503994,6.508011,3.320360,6.844027,102.015160,0,111.726051,55.905968,93.963173,8.070848,18.505289,8.042790,13.887091,8.286179,13.684019,8.605021,13.934938,8.124351,15.565517,9.458263,15.140598,9.849806,16.127918,0,-0.01724,-0.01409,-0.02096,0.00275,0.00880,-0.01150,0.00678,0.00272,-1.49471,0.08191,3.27744
0.034,0,0,0,0,7.050746,0.340954,5.691259,16.262575,4.879200,-9.553047,17.898481,-5.197182,13.436991,-6.463915,18.721663,-8.655350,13.495391,6.507769,3.316972,6.843700,101.352257,0,112.323982,55.909889,94.439758,8.070450,18.497702,8.042840,13.875813,8.284420,13.675351,8.604669,13.934742,8.117796,15.563492,9.453353,15.143738,9.849009,16.128626,0,-0.01799,-0.01248,-0.02044,0.00316,0.00834,-0.01272,0.00514,0.00228,-1.49654,0.08009,3.27736
0.035,0,0,0,0,7.049363,0.340465,5.692336,16.261482,4.880943,-9.485227,17.888941,-4.570657,13.430054,-7.021338,18.713110,-8.625676,13.486788,6.507527,3.313583,6.843374,100.689354,0,112.921906,55.913811,94.916344,8.070052,18.490112,8.042891,13.864535,8.282661,13.666682,8.604317,13.934546,8.111241,15.561465,9.448442,15.146878,9.848212,16.129332,0,-0.01682,-0.01371,-0.02069,0.00258,0.00942,-0.01372,0.00406,0.00267,-1.49623,0.07713,3.27729
0.036,0,0,0,0,7.050005,0.340911,5.694664,16.261564,4.884939,-9.411942,17.879669,-3.772418,13.426408,-7.327601,18.703777,-8.576427,13.478289,6.505117,3.309769,6.835783,97.581230,0,114.066933,55.922802,95.438278,8.068701,18.480227,8.042649,13.852244,8.279424,13.644705,8.606155,13.933260,8.103589,15.557185,9.443189,15.150664,9.846037,16.131960,0,-0.01722,-0.01377,-0.01938,0.00313,0.00826,-0.01382,0.00537,0.00280,-1.49619,0.07420,3.27728
0.037,0,0,0,0,7.050823,0.341439,5.697101,16.261749,4.889132,-9.338181,17.870420,-2.959247,13.423048,-7.612025,18.694380,-8.525475,13.469800,6.502518,3.305919,6.827560,94.260483,0,115.259537,55.932236,95.964165,8.067266,18.470140,8.042383,13.839866,8.276057,13.621570,8.608185,13.931880,8.095841,15.552709,9.437904,15.154508,9.843742,16.134756,0,-0.01670,-0.01275,-0.02035,0.00325,0.00885,-0.01155,0.00710,0.00184,-1.49735,0.07184,3.27728
0.038,0,0,0,0,7.051641,0.341967,5.699537,16.261934,4.893324,-9.264420,17.861172,-2.146075,13.419689,-7.896448,18.684980,-8.474522,13.461310,6.499920,3.302068,6.819337,90.939728,0,116.452133,55.941666,96.490051,8.065831,18.460052,8.042117,13.827487,8.272691,13.598434,8.610214,13.930499,8.088094,15.548232,9.432621,15.158351,9.841448,16.137550,0,-0.01704,-0.01335,-0.01999,0.00319,0.00760,-0.01108,0.00578,0.00406,-1.49620,0.08188,3.27714
0.039,0,0,0,0,7.052458,0.342495,5.701974,16.262119,4.897516,-9.190659,17.851923,-1.332904,13.416329,-8.180872,18.675581,-8.423570,13.452821,6.497321,3.298218,6.811114,87.618980,0,117.644737,55.951099,97.015938,8.064396,18.449966,8.041850,13.815108,8.269324,13.575299,8.612245,13.929119,8.080346,15.543756,9.427337,15.162194,9.839153,16.140347,0,-0.01787,-0.01287,-0.01953,0.00313,0.00850,-0.01103,0.00724,0.00185,-1.49915,0.09859,3.27699
0.040,0,1,0,0,7.051667,0.344924,5.704260,16.263653,4.899431,-9.118077,17.842867,-0.384680,13.416346,-8.178977,18.665808,-8.242784,13.443872,6.495714,3.292558,6.809161,107.847527,0,97.252647,62.520454,102.736702,8.065726,18.441761,8.039153,13.799781,8.265185,13.565996,8.576165,13.789726,8.069488,15.411708,9.425031,15.167686,9.837666,16.146017,0,-0.01792,-0.01387,-0.01953,0.00250,0.00783,-0.01257,0.00617,0.00224,-1.49541,0.10492,3.27769
0.041,0,0,0,0,7.050735,0.347517,5.706533,16.265305,4.901148,-9.045598,17.833830,0.575287,13.416656,-8.152184,18.656002,-8.050708,13.434883,6.494194,3.286741,6.807754,130.123840,0,74.983635,69.660233,108.909195,8.067297,18.433720,8.036244,13.784196,8.260979,13.557896,8.536772,13.638332,8.058359,15.268566,9.422984,15.173322,9.836248,16.151939,0,-0.01786,-0.01293,-0.02092,0.00204,0.00874,-0.01342,0.00444,0.00173,-1.49590,0.10490,3.27845
0.042,0,0,0,0,7.049804,0.350111,5.708807,16.266956,4.902866,-8.973119,17.824791,1.535255,13.416966,-8.125392,18.646196,-7.858632,13.425895,6.492673,3.280924,6.806345,152.400146,0,52.714615,76.800018,115.081688,8.068868,18.425678,8.033336,13.768612,8.256773,13.549795,8.497378,13.486939,8.047231,15.125424,9.420937,15.178958,9.834831,16.157860,0,-0.01766,-0.01263,-0.02141,0.00263,0.00979,-0.01328,0.00360,0.00214,-1.49626,0.11331,3.27800
0.043,0,0,0,0,7.048872,0.352704,5.711080,16.268608,4.904583,-8.900640,17.815752,2.495222,13.417276,-8.098600,18.636389,-7.666556,13.416905,6.491152,3.275107,6.804938,174.676468,0,30.445599,83.939796,121.254189,8.070437,18.417637,8.030427,13.753027,8.252566,13.541695,8.457985,13.335546,8.036102,14.982283,9.418890,15.184593,9.833414,16.163782,0,-0.01940,-0.01301,-0.02024,0.00363,0.00652,-0.01337,0.00496,0.00245,-1.50105,0.12055,3.27747
0.044,0,0,0,0,7.048561,0.351930,5.712450,16.269411,4.905624,-8.832501,17.806864,3.559041,13.421051,-7.793587,18.626743,-7.252325,13.408907,6.486772,3.269785,6.809318,176.774689,0,29.425879,84.821815,122.361237,8.069699,18.407272,8.027088,13.748521,8.247265,13.537073,8.460529,13.316456,8.034862,14.962262,9.416178,15.189028,9.833359,16.169985,0,-0.01838,-0.01245,-0.01943,0.00289,0.00778,-0.01208,0.00556,-0.00236,-1.49797,0.12065,3.27708
0.045,0,0,0,0,7.048302,0.350864,5.713741,16.270140,4.906606,-8.764741,17.797989,4.631889,13.425126,-7.464380,18.617113,-6.818775,13.400995,6.482143,3.264507,6.814201,177.118301,0,30.253922,85.159683,123.027809,8.068761,18.396708,8.023711,13.744978,8.241868,13.532755,8.466722,13.308872,8.034481,14.952948,9.413407,15.193357,9.833422,16.176212,0,-0.01746,-0.01323,-0.02029,0.00413,0.00815,-0.01306,0.00507,0.00142,-1.49767,0.11953,3.27670
0.046,0,0,0,0,7.048044,0.349797,5.715033,16.270870,4.907588,-8.696980,17.789114,5.704738,13.429202,-7.135174,18.607481,-6.385226,13.393083,6.477514,3.259229,6.819084,177.461914,0,31.081964,85.497543,123.694389,8.067822,18.386141,8.020334,13.741435,8.236471,13.528437,8.472913,13.301288,8.034101,14.943633,9.410637,15.197686,9.833485,16.182440,0,-0.01882,-0.01399,-0.01774,0.00327,0.00868,-0.01277,0.00349,0.00395,-1.49767,0.12068,3.27674
0.047,0,0,0,0,7.047785,0.348731,5.716324,16.271599,4.908569,-8.629219,17.780237,6.777587,13.433277,-6.805968,18.597851,-5.951676,13.385171,6.472885,3.253951,6.823967,177.805511,0,31.910007,85.835411,124.360962,8.066884,18.375574,8.016957,13.737892,8.231075,13.524117,8.479105,13.293703,8.033720,14.934319,9.407866,15.202016,9.833549,16.188667,0,-0.01730,-0.01332,-0.02021,0.00460,0.01044,-0.01272,0.00399,0.00198,-1.49780,0.11895,3.27682
0.048,0,0,0,0,7.049018,0.347379,5.717647,16.276400,4.910430,-8.569959,17.771807,7.895836,13.441659,-6.485380,18.593639,-5.241798,13.378242,6.472827,3.253093,6.821577,175.588318,0,33.381203,86.304703,125.046570,8.067225,18.365696,8.012424,13.732744,8.226807,13.514175,8.490255,13.285491,8.036009,14.923602,9.406031,15.209894,9.829894,16.196775,0,-0.01804,-0.01205,-0.02156,0.00206,0.00833,-0.01443,0.00318,0.00165,-1.49930,0.11558,3.27704
0.049,0,0,0,0,7.050380,0.346002,5.718973,16.281551,4.912367,-8.511436,17.763414,9.018033,13.450415,-6.165541,18.589899,-4.507891,13.371399,6.473168,3.252619,6.818554,173.148438,0,34.908325,86.785416,125.733833,8.067677,18.355879,8.007790,13.727457,8.222636,13.503745,8.501837,13.277224,8.038530,14.912765,9.404277,15.218081,9.825917,16.205046,0,-0.01781,-0.01318,-0.01994,0.00313,0.00898,-0.01180,0.00524,0.00392,-1.49651,0.11410,3.27727
0.050,0,0,0,0,7.051743,0.344625,5.720298,16.286705,4.914303,-8.452915,17.755022,10.140229,13.459170,-5.845703,18.586159,-3.773984,13.364555,6.473509,3.252146,6.815531,170.708542,0,36.435444,87.266136,126.421097,8.068130,18.346060,8.003156,13.722169,8.218466,13.493315,8.513418,13.268956,8.041052,14.901926,9.402522,15.226269,9.821940,16.213318,0,-0.01742,-0.01296,-0.01938,0.00299,0.00811,-0.01225,0.00548,0.00262,-1.49853,0.11270,3.27671
0.051,0,0,0,0,7.053105,0.343248,5.721624,16.291859,4.916240,-8.394393,17.746630,11.262425,13.467926,-5.525864,18.582418,-3.040077,13.357712,6.473849,3.251672,6.812508,168.268661,0,37.962566,87.746849,127.108360,8.068583,18.336243,7.998521,13.716882,8.214295,13.482883,8.525000,13.260689,8.043573,14.891088,9.400767,15.234456,9.817964,16.221588,0,-0.01786,-0.01419,-0.01953,0.00201,0.01182,-0.01135,0.00540,0.00242,-1.49868,0.10853,3.27610
0.052,0,0,0,0,7.053424,0.343258,5.723585,16.295263,4.914020,-8.352596,17.738438,12.360421,13.481370,-5.338199,18.578426,-2.072846,13.355469,6.472846,3.253983,6.808442,166.051712,0,39.359997,87.928581,127.434402,8.065907,18.327759,8.002384,13.711105,8.216866,13.473519,8.530193,13.261957,8.042508,14.890469,9.397223,15.243340,9.813601,16.232208,0,-0.01776,-0.01375,-0.01998,0.00344,0.00655,-0.01387,0.00548,0.00043,-1.49741,0.10449,3.27685
0.053,0,0,0,0,7.053651,0.343388,5.725602,16.298517,4.911438,-8.312254,17.730263,13.456312,13.495222,-5.162028,18.574411,-1.085327,13.353626,6.471725,3.256536,6.804284,163.854156,0,40.746151,88.084320,127.729042,8.062961,18.319393,8.006987,13.705287,8.220024,13.464248,8.534830,13.264054,8.041132,14.890738,9.393523,15.252285,9.809207,16.243032,0,-0.01764,-0.01326,-0.02034,0.00176,0.00791,-0.01243,0.00581,-0.00049,-1.49667,0.10298,3.27769
