"Time","v3 L COP","v1 xCoM","37a CoMy (cm)","v2 R COP","66 RDS cle","64 Rmark cle","34 FRx (cm)","29 HRx (cm)","67 LDS cle","33 FLy (cm)","65 Lmark cle","32 FLx (cm)","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","3 Platform","2 Trdml","1 Synch"
0.000,0.000000,6.466712,1.067531,0.000000,0,0,15.228203,9.716671,0,6.422423,0,16.175697,5.321399,7.645236,12.036930,-1.48026,0.08185,3.27675
0.001,0.000000,6.465328,1.001347,0.000000,0,0,15.217134,9.750041,0,6.416680,0,16.223541,5.314351,7.646213,12.024884,-1.48100,0.10416,3.27682
0.002,0.000000,6.463349,0.935164,0.000000,0,0,15.206066,9.783411,0,6.410937,0,16.271387,5.307302,7.647191,12.012838,-1.47690,0.11321,3.27675
0.003,0.000000,6.461260,0.868521,0.000000,0,0,15.194998,9.816767,0,6.405204,0,16.319130,5.300303,7.648168,12.000791,-1.48138,0.08814,3.27666
0.004,0.000000,6.458226,0.781446,0.000000,0,0,15.183951,9.849484,0,6.399896,0,16.362297,5.295461,7.649167,11.988669,-1.48049,0.09797,3.27613
0.005,0.000000,6.455111,0.694371,0.000000,0,0,15.172906,9.882203,0,6.394588,0,16.405464,5.290618,7.650165,11.976547,-1.47854,0.11162,3.27561
0.006,0.000000,6.451303,0.607296,0.000000,0,0,15.161860,9.914921,0,6.389279,0,16.448631,5.285776,7.651163,11.964426,-1.47962,0.09187,3.27622
0.007,0.000000,6.447456,0.520008,0.000000,0,0,15.150819,9.947575,0,6.383942,0,16.491678,5.280974,7.652165,11.952301,-1.48142,0.08996,3.27683
0.008,0.000000,6.443276,0.423250,0.000000,0,0,15.140040,9.977356,0,6.377302,0,16.529409,5.277945,7.653310,11.940049,-1.47979,0.11086,3.27690
0.009,0.000000,6.439068,0.326492,0.000000,0,0,15.129262,10.007136,0,6.370661,0,16.567141,5.274916,7.654455,11.927797,-1.48114,0.09916,3.27698
0.010,0.000000,6.434609,0.229733,0.000000,0,0,15.118484,10.036918,0,6.364021,0,16.604872,5.271887,7.655600,11.915545,-1.47777,0.07344,3.27698
0.011,0.000000,6.430120,0.132682,0.000000,0,0,15.107711,10.066662,0,6.357383,0,16.642506,5.268886,7.656745,11.903292,-1.47866,0.10751,3.27697
0.012,0.000000,6.425376,0.022587,0.000000,0,0,15.097226,10.094777,0,6.350870,0,16.675827,5.267146,7.657941,11.890936,-1.47910,0.10664,3.27675
0.013,0.000000,6.420595,-0.087508,0.000000,0,0,15.086740,10.122892,0,6.344356,0,16.709146,5.265406,7.659137,11.878580,-1.48002,0.08107,3.27653
0.014,0.000000,6.415504,-0.197602,0.000000,0,0,15.076256,10.151008,0,6.337843,0,16.742468,5.263666,7.660333,11.866224,-1.48011,0.10649,3.27698
0.015,0.000000,6.410367,-0.307795,0.000000,0,0,15.065758,10.179081,0,6.331298,0,16.775682,5.261963,7.661533,11.853865,-1.48225,0.10865,3.27744
