"Time","v3 L COP","67 LDS cle","66 RDS cle","v2 R COP","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","30 HRy (cm)","29 HRx (cm)","m4 LDS cle","32 FLx (cm)","28 HLy (cm)","27 HLx (cm)","3 Platform","2 Trdml","1 Synch"
0.000,0.000000,0,0,0.000000,5.502272,-3.025017,5.650616,4.887090,10.820934,6.823528,4.457961,6.694785,0,12.595322,6.974570,7.560669,-0.76435,0.12093,3.27673
0.001,0.000000,0,0,0.000000,5.508737,-2.826407,5.647487,4.886928,10.812017,6.825124,4.460625,6.685910,0,12.586596,6.974050,7.553964,-0.73817,0.09990,3.27675
0.002,0.000000,0,0,0.000000,5.515608,-2.627797,5.644358,4.886767,10.803101,6.826720,4.463289,6.677034,0,12.577870,6.973529,7.547259,-0.71022,0.07600,3.27706
0.003,0.000000,0,0,0.000000,5.522754,-2.427466,5.641490,4.886612,10.794190,6.828270,4.465983,6.668139,0,12.569285,6.972766,7.540783,-0.67040,0.10062,3.27720
0.004,0.000000,0,0,0.000000,5.530402,-2.222531,5.639318,4.886476,10.785299,6.829700,4.468756,6.659187,0,12.561079,6.971355,7.534917,-0.64975,0.10613,3.27690
0.005,0.000000,0,0,0.000000,5.538182,-2.017595,5.637147,4.886340,10.776408,6.831129,4.471529,6.650237,0,12.552872,6.969945,7.529051,-0.62227,0.08383,3.27663
0.006,0.000000,0,0,0.000000,5.546207,-1.812660,5.634976,4.886203,10.767516,6.832558,4.474302,6.641285,0,12.544665,6.968534,7.523185,-0.60385,0.07792,3.27648
0.007,0.000000,0,0,0.000000,5.554167,-1.617784,5.633182,4.886006,10.759034,6.833907,4.477316,6.632382,0,12.536482,6.967240,7.518051,-0.57668,0.10006,3.27641
0.008,0.000000,0,0,0.000000,5.562008,-1.449836,5.632393,4.885644,10.751647,6.835041,4.480978,6.623608,0,12.528363,6.966259,7.514876,-0.55463,0.11472,3.27656
0.009,0.000000,0,0,0.000000,5.569577,-1.281887,5.631604,4.885282,10.744260,6.836175,4.484639,6.614833,0,12.520244,6.965279,7.511702,-0.53017,0.10738,3.27665
0.010,0.000000,0,0,0.000000,5.576648,-1.113939,5.630815,4.884920,10.736872,6.837309,4.488300,6.606059,0,12.512125,6.964298,7.508527,-0.48261,0.08813,3.27658
0.011,0.000000,0,0,0.000000,5.583282,-0.959357,5.630082,4.884367,10.729823,6.838420,4.491930,6.597342,0,12.504079,6.963499,7.506071,-0.46021,0.10648,3.27654
0.012,0.000000,0,0,0.000000,5.589115,-0.840550,5.629497,4.883302,10.723679,6.839469,4.495475,6.588779,0,12.496227,6.963187,7.505538,-0.42939,0.11476,3.27662
0.013,0.000000,0,0,0.000000,5.594550,-0.721743,5.628912,4.882236,10.717534,6.840518,4.499020,6.580216,0,12.488377,6.962874,7.505006,-0.40766,0.10577,3.27669
0.014,0.000000,0,0,0.000000,5.599259,-0.602936,5.628328,4.881171,10.711390,6.841568,4.502565,6.571653,0,12.480525,6.962563,7.504474,-0.38163,0.09039,3.27677
0.015,0.000000,0,0,0.000000,5.603646,-0.497982,5.627890,4.879351,10.706659,6.842864,4.505917,6.563159,0,12.472643,6.962393,7.505317,-0.35707,0.08794,3.27676
0.016,0.000000,0,0,0.000000,5.607446,-0.430105,5.627843,4.875511,10.705714,6.844821,4.508751,6.554851,0,12.464678,6.962606,7.509841,-0.32618,0.10095,3.27654
0.017,0.000000,0,0,0.000000,5.610901,-0.362227,5.627798,4.871671,10.704769,6.846778,4.511586,6.546543,0,12.456713,6.962819,7.514365,-0.27906,0.09034,3.27651
0.018,0.000000,0,0,0.000000,5.613728,-0.294350,5.627751,4.867831,10.703824,6.848735,4.514421,6.538234,0,12.448748,6.963032,7.518888,-0.25626,0.07907,3.27704
