"Time","67 LDS cle","66 RDS cle","65 L marks","64 R marks","63 sinus 2","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","v2 R COP","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","v3 L COP","32 FLx (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.341400,38.205284,89.359467,62.693012,0.000000,4.718660,-4.127692,4.920683,10.321705,4.722760,12.580993,5.874047,0,4.541429,8.632593,0.000000,12.033171,5.288161,5.996682,8.159674,12.527102,8.190592,8.718890,8.304946,8.129236,8.577225,7.597219,8.903044,9.137958,10.255737,8.826813,10.046557,9.659168,0,-0.01760,0.00361,-0.02076,-0.01290,0.00933,-0.01237,0.00497,0.00402,-1.47993,0.11323,3.27752
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.821930,37.958271,89.357903,62.572483,0.000000,4.712837,-4.154316,4.916394,10.315145,4.722514,12.569605,5.876733,0,4.541266,8.621958,0.000000,12.028926,5.288587,5.985220,8.160039,12.516623,8.196528,8.695084,8.311852,8.116452,8.582119,7.585888,8.906194,9.126804,10.259871,8.819268,10.045453,9.656174,0,-0.01835,0.00275,-0.02137,-0.01304,0.00824,-0.01268,0.00421,0.00300,-1.47986,0.08819,3.27759
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.441940,37.598736,89.333580,62.439396,0.000000,4.707333,-4.165007,4.912115,10.308395,4.722250,12.558040,5.879852,0,4.541406,8.611478,0.000000,12.025271,5.288920,5.973589,8.160205,12.506289,8.200894,8.678984,8.318749,8.104674,8.584170,7.571750,8.909158,9.114830,10.264393,8.811964,10.043190,9.655120,0,-0.01905,0.00268,-0.02040,-0.01396,0.00962,-0.01394,0.01004,0.00280,-1.48116,0.09576,3.27737
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.061935,37.239204,89.309250,62.306309,0.000000,4.702771,-4.175699,4.907835,10.301644,4.721985,12.546475,5.882971,0,4.541544,8.600999,0.000000,12.021617,5.289253,5.961957,8.160370,12.495956,8.205261,8.662885,8.325646,8.092896,8.586223,7.557613,8.912122,9.102857,10.268915,8.804659,10.040927,9.654066,0,-0.00951,0.00413,-0.02151,-0.01448,0.00791,-0.01297,0.01078,0.00305,-1.47980,0.10879,3.27694
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.681946,36.879669,89.284927,62.173222,0.000000,4.698564,-4.186390,4.903556,10.294893,4.721720,12.534910,5.886090,0,4.541684,8.590519,0.000000,12.017962,5.289586,5.950326,8.160536,12.485623,8.209628,8.646785,8.332543,8.081119,8.588274,7.543475,8.915086,9.090882,10.273438,8.797355,10.038665,9.653011,0,-0.01380,0.00362,-0.01958,-0.01476,0.00881,-0.01371,0.00275,0.00222,-1.47974,0.09646,3.27641
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.165955,36.718121,89.154083,62.026600,0.000000,4.695357,-4.157422,4.899167,10.288266,4.721292,12.523653,5.890677,0,4.541882,8.580529,0.000000,12.016210,5.290055,5.938892,8.160630,12.476313,8.218371,8.623133,8.343836,8.066687,8.597525,7.530934,8.918899,9.082024,10.277671,8.791513,10.037457,9.651553,0,-0.01757,0.00309,-0.02080,-0.01284,0.00770,-0.01146,0.00382,0.00283,-1.47972,0.07619,3.27646
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.574814,36.666016,88.964355,61.872498,0.000000,4.692528,-4.106529,4.894718,10.281707,4.720775,12.512566,5.896077,0,4.542111,8.570809,0.000000,12.015507,5.290600,5.927568,8.160686,12.467567,8.229534,8.595306,8.357557,8.050788,8.610755,7.519276,8.923180,9.074888,10.281746,8.786482,10.036833,9.649871,0,-0.01656,0.00468,-0.02030,-0.01429,0.00977,-0.01209,-0.00170,0.00222,-1.47901,0.08746,3.27684
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.983658,36.613911,88.774635,61.718391,0.000000,4.690864,-4.055637,4.890268,10.275147,4.720257,12.501478,5.901476,0,4.542341,8.561090,0.000000,12.014805,5.291145,5.916244,8.160740,12.458821,8.240696,8.567480,8.371280,8.034889,8.623985,7.507617,8.927462,9.067752,10.285820,8.781450,10.036209,9.648188,0,-0.01898,0.00308,-0.02003,-0.01312,0.00922,-0.01032,0.00575,0.00231,-1.48053,0.11408,3.27693
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.392502,36.561810,88.584908,61.564289,0.000000,4.689639,-4.004745,4.885819,10.268588,4.719739,12.490391,5.906876,0,4.542571,8.551371,0.000000,12.014102,5.291690,5.904920,8.160795,12.450076,8.251859,8.539653,8.385001,8.018991,8.637215,7.495959,8.931743,9.060616,10.289895,8.776418,10.035585,9.646505,0,-0.01622,0.00386,-0.01988,-0.01384,0.00791,-0.01249,0.00392,0.00282,-1.48044,0.11117,3.27685
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.845566,36.724041,88.533371,61.464050,0.000000,4.689750,-3.911588,4.881629,10.263653,4.719263,12.479331,5.914489,0,4.542850,8.541769,0.000000,12.018724,5.292557,5.893922,8.161351,12.440598,8.256330,8.525240,8.394608,8.008525,8.647902,7.488490,8.936125,9.054386,10.294878,8.771632,10.036014,9.644805,0,-0.01371,0.00366,-0.02056,-0.01435,0.00822,-0.01518,0.00374,0.00217,-1.47978,0.09167,3.27673
