"Time","67 LDS cle","65 L mark","64 R mark","63 sinus","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37a CoMy (cm)","v3 L COP","v2 R COP","37 CoMy (cm)","v1 xCoM","36 CoMx (cm)","35 FRy (cm)","32 FLx (cm)","27 HLx (cm)","66 RDS cle","34 FRx (cm)","33 FLy (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","28 HLy (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.439148,34.121582,79.614532,64.136665,-2.600338,0.000000,0.000000,3.794508,3.683329,13.936244,2.963374,16.496151,11.292610,0,14.100195,4.242370,0,2.883893,12.874701,4.405823,6.176859,14.210357,6.855155,13.017732,6.837335,12.477121,7.001725,11.849246,7.440489,13.175146,8.460081,12.563235,8.558633,13.337962,0,-0.01886,0.00386,-0.02018,-0.01330,0.00872,-0.01196,0.01315,0.00182,0.00000,0.08299,3.27726
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.457001,34.729111,80.767609,63.027981,-2.550639,0.000000,0.000000,3.792160,3.683008,13.938947,2.963577,16.505392,11.283292,0,14.090541,4.240912,0,2.872458,12.889653,4.404988,6.175712,14.202711,6.847745,13.040893,6.833085,12.527445,6.950041,11.973831,7.469922,13.218232,8.463366,12.560683,8.565350,13.338420,0,-0.01900,0.00349,-0.02049,-0.01391,0.00824,-0.01224,-0.00704,0.00200,0.00028,0.12210,3.27688
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.350662,35.342373,81.863419,61.987221,-2.501725,0.000000,0.000000,3.789810,3.682649,13.941582,2.963802,16.514614,11.273941,0,14.080900,4.239442,0,2.861053,12.904526,4.404163,6.174506,14.195156,6.840768,13.064164,6.829055,12.575954,6.901275,12.091233,7.497817,13.258717,8.466558,12.558206,8.572017,13.338984,0,-0.01802,0.00327,-0.01993,-0.00936,0.01023,-0.01138,0.00687,0.03530,-0.00018,0.11415,3.27656
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.365280,36.042408,82.092842,61.974094,-2.464702,0.000000,0.000000,3.787429,3.682055,13.943178,2.964374,16.523577,11.264099,0,14.071458,4.237795,0,2.850105,12.918201,4.403467,6.172393,14.188958,6.840334,13.089092,6.828356,12.597034,6.896644,12.099951,7.502458,13.259825,8.468336,12.556856,8.577942,13.341130,0,-0.01435,0.00297,-0.02099,-0.01790,0.00793,-0.01233,0.00103,0.00737,-0.00002,0.08489,3.27724
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.379898,36.742447,82.322258,61.960972,-2.427679,0.000000,0.000000,3.785047,3.681408,13.944775,2.964947,16.532537,11.254257,0,14.062016,4.236147,0,2.839158,12.931878,4.402772,6.170280,14.182760,6.839900,13.114021,6.827658,12.618113,6.892012,12.108669,7.507098,13.260932,8.470115,12.555507,8.583867,13.343277,0,-0.02290,0.00362,-0.02033,-0.00744,0.01003,-0.01315,0.01455,-0.00103,0.00009,0.10023,3.27788
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.394516,37.442482,82.551682,61.947849,-2.390656,0.000000,0.000000,3.782665,3.680441,13.946371,2.965519,16.541498,11.244414,0,14.052572,4.234500,0,2.828210,12.945554,4.402077,6.168167,14.176561,6.839466,13.138949,6.826959,12.639192,6.887380,12.117387,7.511738,13.262040,8.471893,12.554157,8.589792,13.345424,0,-0.01549,0.00249,-0.01984,-0.01438,0.00871,-0.01282,-0.01583,0.00424,0.00009,0.12310,3.27757
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.324707,38.220409,82.774567,61.923172,-2.354901,0.000000,0.000000,3.780283,3.679407,13.947960,2.966113,16.550453,11.234564,0,14.043154,4.232859,0,2.817486,12.959111,4.401393,6.166055,14.170365,6.837846,13.163519,6.825473,12.659278,6.882962,12.125669,7.516400,13.263207,8.473845,12.552861,8.595658,13.347552,0,-0.01479,0.00268,-0.02020,-0.01126,0.00794,-0.01207,0.01545,0.00387,0.00009,0.10399,3.27726
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.977661,40.176735,82.898643,61.723717,-2.338335,0.000000,0.000000,3.777892,3.677974,13.949430,2.967031,16.559324,11.224586,0,14.034101,4.231303,0,2.810129,12.970884,4.400893,6.163955,14.164192,6.818275,13.182652,6.812070,12.664347,6.881780,12.127363,7.521383,13.265281,8.478404,12.552392,8.600623,13.349409,0,-0.02133,0.00256,-0.02076,-0.01672,0.00945,-0.01197,0.00266,0.00330,0.00010,0.08571,3.27688
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.630630,42.133060,83.022713,61.524261,-2.321768,0.000000,0.000000,3.775500,3.676476,13.950900,2.967948,16.568195,11.214609,0,14.025046,4.229747,0,2.802773,12.982657,4.400392,6.161854,14.158020,6.798704,13.201786,6.798666,12.669415,6.880598,12.129058,7.526366,13.267355,8.482964,12.551922,8.605587,13.351266,0,-0.01678,0.00334,-0.02124,-0.01223,0.00719,-0.01247,0.00590,0.00238,0.00011,0.12505,3.27654
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.283600,44.089382,83.146790,61.324806,-2.305202,0.000000,0.000000,3.773108,3.674582,13.952371,2.968866,16.577066,11.204632,0,14.015993,4.228191,0,2.795416,12.994431,4.399891,6.159754,14.151848,6.779133,13.220921,6.785263,12.674484,6.879416,12.130752,7.531349,13.269428,8.487523,12.551452,8.610552,13.353123,0,-0.01849,0.00321,-0.01906,-0.01558,0.00841,-0.01199,0.00725,0.00249,0.00009,0.11513,3.27700
