"Time","v3 L COP","67 LDS cle","65 L mark","64 R mark","37a CoMy (cm)","v2 R COP","37 CoMy (cm)","v1 xCoM","32 FLx (cm)","27 HLx (cm)","66 RDS cle","34 FRx (cm)","33 FLy (cm)","30 HRy (cm)","29 HRx (cm)","28 HLy (cm)","3 Platform","2 Trdml","1 Synch"
0.000,0.000000,0,0,0,-0.352955,0.000000,4.120274,4.105313,8.970323,4.128752,0,8.940274,4.423388,3.137089,6.594536,4.233216,-1.21541,0.12356,3.27697
0.001,0.000000,0,0,0,-0.278999,0.000000,4.119891,4.108028,8.958765,4.120084,0,9.000089,4.421730,3.133863,6.582581,4.233129,-1.22700,0.11656,3.27718
0.002,0.000000,0,0,0,-0.229358,0.000000,4.119714,4.110341,8.947107,4.113451,0,9.058856,4.420352,3.131774,6.570748,4.234265,-1.24037,0.10217,3.27733
0.003,0.000000,0,0,0,-0.179717,0.000000,4.119536,4.112387,8.935449,4.106818,0,9.117623,4.418973,3.129686,6.558915,4.235401,-1.25455,0.10588,3.27748
0.004,0.000000,0,0,0,-0.130077,0.000000,4.119359,4.114026,8.923791,4.100184,0,9.176391,4.417595,3.127598,6.547082,4.236537,-1.27924,0.11825,3.27763
0.005,0.000000,0,0,0,-0.095393,0.000000,4.119339,4.115393,8.912253,4.094764,0,9.234173,4.416302,3.125696,6.535539,4.238527,-1.29500,0.09477,3.27762
0.006,0.000000,0,0,0,-0.093083,0.000000,4.119664,4.116347,8.900977,4.091971,0,9.289824,4.415193,3.124200,6.524622,4.242365,-1.30793,0.07830,3.27724
0.007,0.000000,0,0,0,-0.090773,0.000000,4.119989,4.116913,8.889701,4.089178,0,9.345476,4.414084,3.122704,6.513705,4.246203,-1.31835,0.09930,3.27698
0.008,0.000000,0,0,0,-0.088464,0.000000,4.120314,4.116885,8.878425,4.086385,0,9.401128,4.412975,3.121208,6.502789,4.250042,-1.33075,0.09722,3.27698
0.009,0.000000,0,0,0,-0.105643,0.000000,4.120623,4.116323,8.867267,4.085460,0,9.455009,4.411992,3.119998,6.492047,4.255234,-1.34306,0.08971,3.27702
0.010,0.000000,0,0,0,-0.165010,0.000000,4.120898,4.114946,8.856365,4.088581,0,9.505055,4.411281,3.119406,6.481687,4.263358,-1.36338,0.09546,3.27718
0.011,0.000000,0,0,0,-0.224376,0.000000,4.121173,4.112916,8.845465,4.091701,0,9.555103,4.410570,3.118815,6.471325,4.271481,-1.37387,0.11526,3.27719
0.012,0.000000,0,0,0,-0.283742,0.000000,4.121449,4.109890,8.834563,4.094822,0,9.605150,4.409859,3.118224,6.460965,4.279604,-1.38380,0.10240,3.27688
0.013,0.000000,0,0,0,-0.361651,0.000000,4.121464,4.106147,8.823769,4.100145,0,9.652883,4.409182,3.117677,6.450647,4.289305,-1.39327,0.08696,3.27670
0.014,0.000000,0,0,0,-0.479698,0.000000,4.120918,4.101310,8.813202,4.110235,0,9.695605,4.408578,3.117228,6.440422,4.302420,-1.40215,0.12159,3.27677
0.015,0.000000,0,0,0,-0.597745,0.000000,4.120371,4.095911,8.802635,4.120325,0,9.738327,4.407975,3.116779,6.430197,4.315535,-1.40068,0.10063,3.27682
0.016,0.000000,0,0,0,-0.715792,0.000000,4.119825,4.089654,8.792069,4.130414,0,9.781050,4.407372,3.116330,6.419972,4.328650,-1.42346,0.07893,3.27682
0.017,0.000000,0,0,0,-0.847537,0.000000,4.119162,4.083006,8.781738,4.155465,0,9.821619,4.406784,3.115885,6.409646,4.328359,-1.43243,0.08521,3.27680
0.018,0.000000,0,0,0,-1.008932,0.000000,4.118244,4.075761,8.771919,4.212896,0,9.857531,4.406227,3.115449,6.399099,4.299050,-1.44016,0.11068,3.27673
0.019,0.000000,0,0,0,-1.170326,0.000000,4.117326,4.068087,8.762100,4.270327,0,9.893441,4.405670,3.115013,6.388552,4.269741,-1.43989,0.10316,3.27677
0.020,0.000000,0,0,0,-1.331721,0.000000,4.116409,4.059757,8.752281,4.327758,0,9.929353,4.405113,3.114577,6.378006,4.240432,-1.44912,0.09000,3.27707
0.021,0.000000,0,0,0,-1.505490,0.000000,4.115239,4.050920,8.742560,4.384958,0,9.963032,4.404619,3.114130,6.367390,4.211100,-1.45279,0.12476,3.27735
0.022,0.000000,0,0,0,-1.706045,0.000000,4.113523,4.041307,8.733052,4.441658,0,9.991879,4.404260,3.113658,6.356627,4.181717,-1.45874,0.11612,3.27758
0.023,0.000000,0,0,0,-1.906599,0.000000,4.111808,4.031185,8.723543,4.498359,0,10.020726,4.403901,3.113187,6.345864,4.152334,-1.46679,0.09980,3.27767
0.024,0.000000,0,0,0,-2.107154,0.000000,4.110092,4.020288,8.714035,4.555059,0,10.049574,4.403543,3.112715,6.335101,4.122951,-1.47009,0.09131,3.27744
0.025,0.000000,0,0,0,-2.318923,0.000000,4.108094,4.008907,8.704481,4.605615,0,10.076192,4.403303,3.112362,6.324560,4.109605,-1.47360,0.10581,3.27738
0.026,0.000000,0,0,0,-2.554968,0.000000,4.105483,3.996789,8.694828,4.642870,0,10.097983,4.403322,3.112267,6.314499,4.130973,-1.47620,0.09500,3.27768
0.027,0.000000,0,0,0,-2.791012,0.000000,4.102872,3.984228,8.685176,4.680125,0,10.119776,4.403341,3.112171,6.304439,4.152342,-1.47662,0.08396,3.27780
0.028,0.000000,0,0,0,-3.027056,0.000000,4.100262,3.970992,8.675523,4.717380,0,10.141567,4.403360,3.112076,6.294378,4.173710,-1.47976,0.11259,3.27749
0.029,0.000000,0,0,0,-3.273235,0.000000,4.097412,3.957347,8.666082,4.756643,0,10.161695,4.403604,3.112096,6.284540,4.193700,-1.47997,0.11915,3.27719
0.030,0.000000,0,0,0,-3.541349,0.000000,4.094045,3.943078,8.657100,4.800250,0,10.178219,4.404334,3.112368,6.275185,4.210707,-1.47291,0.09949,3.27688
0.031,0.000000,0,0,0,-3.809463,0.000000,4.090678,3.928382,8.648117,4.843858,0,10.194742,4.405064,3.112640,6.265831,4.227714,-1.48032,0.08870,3.27679
0.032,0.000000,0,0,0,-4.077577,0.000000,4.087311,3.913034,8.639134,4.887465,0,10.211267,4.405794,3.112911,6.256475,4.244720,-1.48151,0.11456,3.27717
0.033,0.000000,0,0,0,-4.350227,0.000000,4.083479,3.897247,8.630132,4.932473,0,10.225945,4.406533,3.113177,6.247240,4.260931,-1.47958,0.10646,3.27741
0.034,0.000000,0,0,0,-4.632695,0.000000,4.078642,3.880790,8.621082,4.980513,0,10.236632,4.407294,3.113428,6.238263,4.275418,-1.47449,0.07669,3.27734
0.035,0.000000,0,0,0,-4.915162,0.000000,4.073804,3.863981,8.612033,5.028552,0,10.247320,4.408055,3.113680,6.229285,4.289905,-1.47213,0.08459,3.27719
0.036,0.000000,0,0,0,-5.197630,0.000000,4.068966,3.846634,8.602983,5.076591,0,10.258007,4.408816,3.113931,6.220308,4.304392,-1.47265,0.10711,3.27688
0.037,0.000000,0,0,0,-5.478301,0.000000,4.063665,3.829045,8.594208,5.125856,0,10.267106,4.409660,3.114442,6.211289,4.318411,-1.46622,0.10282,3.27672
0.038,0.000000,0,0,0,-5.755084,0.000000,4.057360,3.811087,8.586022,5.177773,0,10.272767,4.410684,3.115513,6.202183,4.331416,-1.46450,0.09548,3.27687
0.039,0.000000,0,0,0,-6.031867,0.000000,4.051055,3.792979,8.577838,5.229689,0,10.278428,4.411707,3.116584,6.193077,4.344421,-1.45753,0.12198,3.27698
0.040,0.000000,0,0,1,-6.308650,0.000000,4.044750,3.774645,8.569653,5.281606,0,10.284089,4.412731,3.117656,6.183970,4.357426,-1.45224,0.11704,3.27698
0.041,0.000000,0,0,0,-6.582852,0.557118,4.038235,3.756247,8.561448,5.334218,1,10.287976,4.413900,3.118683,6.174664,4.369529,-1.44406,0.09084,3.27691
0.042,0.000000,0,0,0,-6.851469,1.963981,4.031264,3.737753,8.553200,5.388336,1,10.288025,4.415383,3.119617,6.164923,4.379681,-1.43854,0.09846,3.27668
0.043,0.000000,0,0,0,-7.120086,2.813007,4.024293,3.719271,8.544951,5.442453,1,10.288074,4.416867,3.120551,6.155182,4.389832,-1.43345,0.11022,3.27654
0.044,0.000000,0,0,0,-7.388703,2.811188,4.017323,3.700809,8.536704,5.496572,1,10.288121,4.418350,3.121485,6.145442,4.399983,-1.42184,0.09347,3.27662
0.045,0.000000,0,0,0,-7.648716,2.809691,4.010034,3.682407,8.528444,5.550729,1,10.286959,4.420032,3.122461,6.135438,4.408358,-1.41594,0.07946,3.27672
0.046,0.000000,0,0,0,-7.890105,2.808686,4.002058,3.664098,8.520160,5.604975,1,10.283175,4.422142,3.123532,6.124862,4.412886,-1.41011,0.09243,3.27687
0.047,0.000000,0,0,0,-8.131494,2.807883,3.994082,3.645783,8.511875,5.659220,1,10.279390,4.424253,3.124602,6.114287,4.417414,-1.39153,0.12282,3.27698
0.048,0.000000,0,0,0,-8.372883,2.807387,3.986106,3.627462,8.503591,5.713465,1,10.275606,4.426363,3.125672,6.103711,4.421942,-1.38140,0.10681,3.27698
0.049,0.000000,0,0,0,-8.608158,2.806966,3.977758,3.609056,8.495440,5.767328,1,10.270777,4.428407,3.126635,6.093308,4.424500,-1.37233,0.09358,3.27707
0.050,0.000000,0,0,0,-8.830200,2.806658,3.968604,3.590518,8.487579,5.820365,1,10.263684,4.430305,3.127367,6.083280,4.422791,-1.36059,0.09144,3.27738
0.051,0.000000,0,0,0,-9.052242,2.806535,3.959450,3.571887,8.479718,5.873402,1,10.256591,4.432204,3.128098,6.073251,4.421082,-1.35378,0.09834,3.27749
0.052,0.000000,0,0,0,-9.274284,2.806697,3.950295,3.553113,8.471858,5.926438,1,10.249498,4.434103,3.128830,6.063222,4.419373,-1.34295,0.09200,3.27719
0.053,0.000000,0,0,0,-9.487140,2.807162,3.940788,3.534303,8.464270,5.966292,1,10.241416,4.435945,3.130145,6.053515,4.430909,-1.32523,0.08743,3.27709
0.054,0.000000,0,0,0,-9.680109,2.808088,3.930515,3.515440,8.457271,5.977610,1,10.231193,4.437667,3.132724,6.044506,4.471115,-1.31091,0.09305,3.27748
0.055,0.000000,0,0,0,-9.873077,2.809152,3.920241,3.496814,8.450272,5.988928,1,10.220969,4.439388,3.135302,6.035496,4.511321,-1.29415,0.11940,3.27769
0.056,0.000000,0,0,0,-10.066047,2.810425,3.909968,3.478550,8.443274,6.000246,1,10.210746,4.441110,3.137880,6.026486,4.551527,-1.28337,0.10609,3.27754
0.057,0.000000,0,0,0,-10.245888,2.811645,3.899695,3.460752,8.436821,6.013877,1,10.200264,4.442904,3.140313,6.017783,4.591229,-1.26975,0.08636,3.27723
0.058,0.000000,0,0,0,-10.397313,2.812783,3.889423,3.443668,8.431550,6.032517,1,10.189219,4.444855,3.142435,6.009743,4.629842,-1.25435,0.11371,3.27654
0.059,0.000000,0,0,0,-10.548738,2.813921,3.879150,3.426822,8.426280,6.051157,1,10.178176,4.446805,3.144556,6.001703,4.668454,-1.24099,0.10563,3.27620
0.060,0.000000,0,0,0,-10.700165,2.815062,3.868877,3.410342,8.421009,6.069798,1,10.167131,4.448755,3.146677,5.993663,4.707066,-1.21017,0.08240,3.27666
0.061,0.000000,0,0,0,-10.840020,2.816296,3.858259,3.393844,8.416712,6.097173,1,10.156185,4.450737,3.148973,5.985721,4.729168,-1.19910,0.07858,3.27707
0.062,0.000000,0,0,0,-10.954832,2.817674,3.846896,3.377320,8.414520,6.143456,1,10.145452,4.452788,3.151647,5.977993,4.715535,-1.18422,0.11552,3.27738
0.063,0.000000,0,0,0,-11.069645,2.819102,3.835532,3.360973,8.412329,6.189738,1,10.134717,4.454839,3.154320,5.970264,4.701901,-1.16733,0.11631,3.27770
0.064,0.000000,0,0,0,-11.184457,2.820607,3.824168,3.344896,8.410137,6.236021,1,10.123983,4.456890,3.156994,5.962535,4.688267,-1.15281,0.10157,3.27809
0.065,0.000000,0,0,0,-11.281203,2.822111,3.812689,3.329275,8.408969,6.282575,1,10.113024,4.458197,3.159601,5.954818,4.675124,-1.13434,0.11547,3.27816
0.066,0.000000,0,0,0,-11.338846,2.823616,3.800962,3.314348,8.410014,6.329716,1,10.101575,4.457892,3.162063,5.947126,4.663041,-1.11973,0.11106,3.27755
0.067,0.000000,0,0,0,-11.396488,2.825212,3.789236,3.299957,8.411060,6.376857,1,10.090127,4.457588,3.164524,5.939435,4.650958,-1.08067,0.09405,3.27711
0.068,0.000000,0,0,0,-11.454131,2.826949,3.777509,3.286384,8.412107,6.423998,1,10.078679,4.457284,3.166986,5.931743,4.638875,-1.06505,0.08348,3.27703
0.069,0.000000,0,0,0,-11.492677,2.828859,3.765828,3.273363,8.415756,6.470843,1,10.067314,4.455875,3.169576,5.924178,4.626459,-1.04623,0.11239,3.27712
0.070,0.000000,0,0,0,-11.489883,2.831033,3.754247,3.261184,8.425044,6.517048,1,10.056129,4.452075,3.172446,5.916885,4.613323,-1.02930,0.09073,3.27758
0.071,0.000000,0,0,0,-11.487091,2.833225,3.742666,3.249531,8.434332,6.563252,1,10.044943,4.448277,3.175316,5.909593,4.600187,-1.00623,0.09152,3.27782
0.072,0.000000,0,0,0,-11.484298,2.835446,3.731085,3.238681,8.443620,6.609457,1,10.033757,4.444477,3.178185,5.902300,4.587051,-0.99065,0.12188,3.27759
0.073,0.000000,0,0,0,-11.458995,2.837523,3.719402,3.228344,8.456230,6.653143,1,10.022645,4.440080,3.180697,5.895001,4.573216,-0.97390,0.11651,3.27753
0.074,0.000000,0,0,0,-11.384969,2.839382,3.707499,3.218788,8.476035,6.691377,1,10.011693,4.434388,3.182436,5.887688,4.557866,-0.93181,0.09352,3.27783
0.075,0.000000,0,0,0,-11.310943,2.841205,3.695596,3.209836,8.495840,6.729610,1,10.000742,4.428696,3.184175,5.880375,4.542515,-0.91139,0.07554,3.27786
0.076,0.000000,0,0,0,-11.236917,2.842973,3.683692,3.201805,8.515645,6.767844,1,9.989790,4.423004,3.185913,5.873062,4.527164,-0.89024,0.10672,3.27725
0.077,0.000000,0,0,0,-11.142505,2.844848,3.672014,3.194479,8.538844,6.804448,1,9.978929,4.416315,3.187693,5.865898,4.512268,-0.87043,0.09431,3.27680
0.078,0.000000,0,0,0,-11.003967,2.846888,3.660822,3.188229,8.569390,6.837522,1,9.968263,4.407465,3.189562,5.859054,4.498352,-0.84988,0.09784,3.27673
0.079,0.000000,0,0,0,-10.865430,2.849002,3.649629,3.182706,8.599937,6.870597,1,9.957597,4.398616,3.191432,5.852210,4.484436,-0.82890,0.11490,3.27679
0.080,0.000000,0,0,0,-10.726892,2.851229,3.638437,3.178293,8.630485,6.903671,1,9.946932,4.389767,3.193301,5.845366,4.470520,-0.78317,0.11877,3.27717
0.081,0.000000,0,0,0,-10.569534,2.853454,3.627579,3.174601,8.664870,6.934988,1,9.936378,4.380054,3.195291,5.838867,4.457159,-0.76137,0.09390,3.27741
0.082,0.000000,0,0,0,-10.371440,2.855675,3.617445,3.172009,8.707565,6.962501,1,9.926067,4.368472,3.197541,5.833113,4.444998,-0.73933,0.07973,3.27734
0.083,0.000000,0,0,0,-10.173345,2.857849,3.607312,3.170110,8.750259,6.990013,1,9.915756,4.356889,3.199792,5.827360,4.432838,-0.71689,0.12047,3.27724
0.084,0.000000,0,0,0,-9.975250,2.859950,3.597178,3.169265,8.792954,7.017526,1,9.905445,4.345306,3.202043,5.821606,4.420678,-0.69540,0.09778,3.27708
0.085,0.000000,0,0,0,-9.754902,2.861985,3.587152,3.169081,8.838919,7.043558,1,9.895176,4.332672,3.204252,5.815986,4.409023,-0.67153,0.08160,3.27721
0.086,0.000000,0,0,0,-9.486385,2.863918,3.577360,3.169905,8.891959,7.066388,1,9.884996,4.317762,3.206370,5.810655,4.398461,-0.65207,0.07960,3.27797
0.087,0.000000,0,0,0,-9.217870,2.865854,3.567567,3.171379,8.945001,7.089218,1,9.874817,4.302853,3.208487,5.805325,4.387899,-0.60253,0.11444,3.27839
0.088,0.000000,0,0,0,-8.949353,2.867791,3.557775,3.173843,8.998041,7.112047,1,9.864637,4.287942,3.210605,5.799994,4.377337,-0.57680,0.10752,3.27801
0.089,0.000000,0,0,0,-8.664360,2.869786,3.548348,3.176963,9.053713,7.133218,1,9.854510,4.272061,3.212775,5.794694,4.366980,-0.55580,0.09549,3.27767
0.090,0.000000,0,0,0,-8.343701,2.871867,3.539713,3.181083,9.115080,7.150798,1,9.844498,4.254076,3.215059,5.789463,4.357066,-0.53122,0.11655,3.27744
0.091,0.000000,0,0,0,-8.023044,2.873892,3.531078,3.185922,9.176448,7.168378,1,9.834485,4.236091,3.217343,5.784232,4.347153,-0.50679,0.11314,3.27731
0.092,0.000000,0,0,0,-7.702385,2.875832,3.522443,3.191857,9.237815,7.185959,1,9.824471,4.218106,3.219628,5.779000,4.337239,-0.48022,0.09619,3.27738
0.093,0.000000,0,0,0,-7.367815,2.877614,3.514407,3.198566,9.301534,7.201545,1,9.814598,4.199547,3.221717,5.773890,4.327997,-0.45405,0.08145,3.27746
0.094,0.000000,0,0,0,-7.003131,2.879158,3.507666,3.206455,9.370342,7.212817,1,9.805024,4.179747,3.223384,5.769042,4.320208,-0.41031,0.10487,3.27753
0.095,0.000000,0,0,0,-6.638448,2.880708,3.500925,3.215072,9.439152,7.224088,1,9.795450,4.159947,3.225051,5.764194,4.312419,-0.38032,0.09062,3.27742
0.096,0.000000,0,0,0,-6.273765,2.882266,3.494185,3.224797,9.507960,7.235359,1,9.785877,4.140147,3.226718,5.759346,4.304629,-0.35636,0.07915,3.27689
0.097,0.000000,0,0,0,-5.901720,2.883999,3.488005,3.235131,9.578723,7.244277,1,9.776590,4.120060,3.228582,5.754545,4.297433,-0.33392,0.09966,3.27645
0.098,0.000000,0,0,0,-5.513742,2.885998,3.483041,3.246391,9.653714,7.248105,1,9.767927,4.099355,3.230872,5.749846,4.291521,-0.30662,0.11962,3.27622
0.099,0.000000,0,0,0,-5.125764,2.888025,3.478076,3.257940,9.728705,7.251932,1,9.759264,4.078649,3.233162,5.745147,4.285609,-0.27932,0.10373,3.27620
0.100,0.000000,0,0,0,-4.737787,2.890095,3.473111,3.269932,9.803697,7.255759,1,9.750601,4.057944,3.235451,5.740448,4.279696,-0.25223,0.09386,3.27666
0.101,0.000000,0,0,0,-4.351696,2.891999,3.468444,3.281944,9.879451,7.257181,1,9.742057,4.037471,3.237472,5.735596,4.274821,-0.23085,0.11808,3.27709
0.102,0.000000,0,0,0,-3.969691,2.893651,3.464423,3.293985,9.956857,7.253397,1,9.733772,4.017500,3.238908,5.730411,4.272190,-0.20433,0.11479,3.27748
0.103,0.000000,0,0,0,-3.587686,2.895126,3.460401,3.306247,10.034263,7.249612,1,9.725488,3.997530,3.240344,5.725227,4.269559,-0.17911,0.08041,3.27769
0.104,0.000000,0,0,0,-3.205681,2.896332,3.456380,3.318843,10.111669,7.245828,1,9.717204,3.977560,3.241780,5.720042,4.266928,-0.15200,0.08617,3.27754
0.105,0.000000,0,0,0,-2.824044,2.897392,3.452975,3.331907,10.188874,7.240677,1,9.709224,3.958329,3.242852,5.715050,4.265215,-0.12379,0.10882,3.27746
0.106,0.000000,0,0,0,-2.443201,2.898231,3.450905,3.345685,10.265643,7.232566,1,9.701901,3.940702,3.243136,5.710475,4.265490,-0.09854,0.09693,3.27753
0.107,0.000000,0,0,0,-2.062358,2.898912,3.448835,3.359805,10.342413,7.224455,1,9.694579,3.923074,3.243421,5.705900,4.265764,-0.07401,0.09458,3.27749
0.108,0.000000,0,0,0,-1.681516,2.899354,3.446764,3.374445,10.419182,7.216344,1,9.687258,3.905447,3.243705,5.701325,4.266038,-0.02689,0.10923,3.27719
0.109,0.000000,0,0,0,-1.307634,2.899612,3.445205,3.389210,10.494408,7.208622,1,9.679880,3.888088,3.243598,5.697685,4.267244,0.00474,0.11492,3.27709
0.110,0.000000,0,0,0,-0.948817,2.899591,3.444752,3.404163,10.566290,7.201737,1,9.672383,3.871311,3.242644,5.696066,4.270464,0.02830,0.09185,3.27748
0.111,0.000000,0,0,0,-0.590001,2.899348,3.444298,3.419090,10.638174,7.194853,1,9.664886,3.854535,3.241691,5.694448,4.273684,0.05454,0.08984,3.27774
0.112,0.000000,0,0,0,-0.231185,2.898768,3.443845,3.433975,10.710056,7.187969,1,9.657390,3.837758,3.240738,5.692831,4.276904,0.07900,0.11131,3.27774
0.113,0.000000,0,0,0,0.116957,2.897947,3.443698,3.448733,10.780317,7.181098,1,9.650008,3.821367,3.239110,5.691941,4.280100,0.10595,0.09489,3.27758
0.114,0.000000,0,0,0,0.441995,2.896759,3.444218,3.463296,10.847065,7.174258,1,9.642879,3.805809,3.236022,5.692629,4.283244,0.13098,0.08126,3.27704
0.115,0.000000,0,0,0,0.767033,2.895406,3.444737,3.477770,10.913813,7.167418,1,9.635748,3.790252,3.232934,5.693316,4.286388,0.18301,0.08396,3.27672
0.116,0.000000,0,0,0,1.092071,2.893801,3.445257,3.492110,10.980561,7.160578,1,9.628618,3.774695,3.229846,5.694004,4.289532,0.20804,0.11831,3.27687
0.117,0.000000,0,0,0,1.398033,2.320052,3.446398,3.506389,11.044930,7.153828,1,9.621422,3.759676,3.226497,5.696064,4.292664,0.23225,0.10450,3.27698
0.118,0.000000,0,0,1,1.662705,0.873635,3.448886,3.520575,11.104150,7.147272,1,9.614082,3.745822,3.222581,5.701094,4.295769,0.26106,0.09657,3.27698
0.119,0.000000,0,0,0,1.927377,0.000000,3.451374,3.534497,11.163369,7.140716,0,9.606744,3.731968,3.218665,5.706123,4.298875,0.28429,0.10964,3.27700
0.120,0.000000,0,0,0,2.192049,0.000000,3.453861,3.548015,11.222589,7.134161,0,9.599404,3.718114,3.214750,5.711154,4.301980,0.31064,0.11124,3.27708
0.121,0.000000,0,0,0,2.433936,0.000000,3.456561,3.561029,11.279814,7.127742,0,9.592101,3.705416,3.210849,5.718779,4.305197,0.33425,0.09397,3.27718
0.122,0.000000,0,0,0,2.626502,0.000000,3.459721,3.573274,11.332720,7.121622,0,9.584874,3.695223,3.206983,5.732024,4.308655,0.38392,0.07458,3.27733
0.123,0.000000,0,0,0,2.819068,0.000000,3.462881,3.584905,11.385626,7.115501,0,9.577648,3.685030,3.203116,5.745268,4.312112,0.41190,0.10120,3.27732
0.124,0.000000,0,0,0,3.011635,0.000000,3.466040,3.595601,11.438532,7.109381,0,9.570421,3.674836,3.199249,5.758512,4.315569,0.43472,0.10318,3.27694
0.125,0.000000,0,0,0,3.177928,0.000000,3.469279,3.605627,11.489614,7.103185,0,9.563358,3.665645,3.194770,5.775211,4.319078,0.45921,0.09994,3.27672
0.126,0.000000,0,0,0,3.287353,0.000000,3.472688,3.614629,11.536748,7.096826,0,9.556649,3.658622,3.188966,5.799385,4.322701,0.48654,0.08972,3.27687
0.127,0.000000,0,0,0,3.396777,0.000000,3.476098,3.622967,11.583881,7.090467,0,9.549939,3.651598,3.183161,5.823558,4.326323,0.50907,0.12208,3.27691
0.128,0.000000,0,0,0,3.506201,0.000000,3.479507,3.630292,11.631015,7.084109,0,9.543230,3.644575,3.177356,5.847732,4.329945,0.53340,0.10477,3.27668
0.129,0.000000,0,0,0,3.586731,0.000000,3.483144,3.636980,11.675838,7.077723,0,9.536472,3.638470,3.169002,5.875375,4.333419,0.55807,0.08117,3.27671
0.130,0.000000,0,0,0,3.604720,0.000000,3.487275,3.642698,11.715662,7.071277,0,9.529609,3.634353,3.155131,5.910529,4.336574,0.60493,0.09503,3.27732
0.131,0.000000,0,0,0,3.622708,0.000000,3.491406,3.647816,11.755486,7.064832,0,9.522745,3.630236,3.141259,5.945683,4.339727,0.62947,0.10567,3.27769
0.132,0.000000,0,0,0,3.640696,0.000000,3.495537,3.652023,11.795309,7.058386,0,9.515882,3.626119,3.127387,5.980837,4.342882,0.65360,0.10482,3.27754
0.133,0.000000,0,0,0,3.634647,0.000000,3.499708,3.655643,11.832942,7.051777,0,9.508523,3.622524,3.112172,6.018832,4.345956,0.67522,0.08682,3.27732
0.134,0.000000,0,0,0,3.576570,0.000000,3.503964,3.658370,11.865834,7.044815,0,9.500094,3.620061,3.094050,6.062976,4.348857,0.69631,0.11628,3.27694
0.135,0.000000,0,0,0,3.518493,0.000000,3.508221,3.660395,11.898726,7.037853,0,9.491666,3.617597,3.075927,6.107121,4.351758,0.72014,0.11764,3.27670
0.136,0.000000,0,0,0,3.460416,0.000000,3.512477,3.661348,11.931620,7.030890,0,9.483236,3.615134,3.057804,6.151265,4.354659,0.74412,0.09841,3.27677
0.137,0.000000,0,0,0,3.385065,0.000000,3.516346,3.661514,11.962627,7.023967,0,9.474578,3.613837,3.038702,6.198373,4.357481,0.78688,0.08242,3.27687
0.138,0.000000,0,0,0,3.272325,0.000000,3.519378,3.660480,11.989555,7.017128,0,9.465422,3.615065,3.017478,6.251899,4.360132,0.80897,0.10320,3.27702
0.139,0.000000,0,0,0,3.159585,0.000000,3.522410,3.658885,12.016483,7.010289,0,9.456265,3.616294,2.996253,6.305425,4.362783,0.83303,0.09227,3.27711
0.140,0.000000,0,0,0,3.046846,0.000000,3.525442,3.656436,12.043411,7.003449,0,9.447108,3.617522,2.975029,6.358951,4.365435,0.85077,0.08172,3.27703
0.141,0.000000,0,0,0,2.925534,0.000000,3.528347,3.653708,12.067982,6.996641,0,9.437894,3.619437,2.954107,6.414183,4.368005,0.87519,0.09619,3.27700
0.142,0.000000,0,0,0,2.785670,0.000000,3.530979,3.650553,12.087452,6.989899,0,9.428553,3.622838,2.933836,6.473109,4.370399,0.89446,0.12655,3.27708
0.143,0.000000,0,0,0,2.645805,0.000000,3.533611,3.647249,12.106922,6.983158,0,9.419211,3.626238,2.913565,6.532034,4.372794,0.91495,0.10920,3.27725
0.144,0.000000,0,0,0,2.505940,0.000000,3.536243,3.643715,12.126392,6.976416,0,9.409871,3.629639,2.893294,6.590960,4.375188,0.93748,0.08256,3.27763
0.145,0.000000,0,0,0,2.365347,0.000000,3.538754,3.640102,12.143966,6.969677,0,9.400657,3.633423,2.874119,6.650752,4.377396,0.97537,0.08728,3.27778
0.146,0.000000,0,0,0,2.223176,0.000000,3.541003,3.636367,12.157431,6.962944,0,9.391718,3.638036,2.857316,6.712420,4.379198,0.99293,0.11427,3.27739
0.147,0.000000,0,0,0,2.081005,0.000000,3.543251,3.632555,12.170896,6.956211,0,9.382780,3.642649,2.840513,6.774089,4.381000,1.01312,0.08742,3.27706
0.148,0.000000,0,0,0,1.938835,0.000000,3.545500,3.628622,12.184361,6.949478,0,9.373841,3.647262,2.823710,6.835757,4.382801,1.03184,0.08515,3.27683
0.149,0.000000,0,0,0,1.799546,0.000000,3.547513,3.624605,12.195946,6.942540,0,9.365091,3.652395,2.810032,6.898060,4.384443,1.04926,0.10369,3.27684
0.150,0.000000,0,0,0,1.666494,0.000000,3.549018,3.620457,12.203459,6.935162,0,9.356751,3.658654,2.803119,6.961737,4.385737,1.06998,0.11391,3.27737
0.151,0.000000,0,0,0,1.533443,0.000000,3.550523,3.616275,12.210972,6.927783,0,9.348411,3.664913,2.796206,7.025414,4.387031,1.08711,0.09723,3.27758
0.152,0.000000,0,0,0,1.400392,0.000000,3.552027,3.612040,12.218485,6.920405,0,9.340071,3.671171,2.789292,7.089090,4.388325,1.11970,0.09378,3.27704
0.153,0.799961,0,1,0,1.273944,0.000000,3.553357,3.607851,12.224461,6.912852,0,9.332052,3.677548,2.784748,7.152707,4.389635,1.13969,0.11966,3.27686
0.154,2.820065,1,0,0,1.161789,0.000000,3.554310,3.603733,12.227107,6.904921,0,9.324730,3.684180,2.785333,7.216192,4.390976,1.15563,0.09051,3.27747
0.155,4.041749,1,0,0,1.049634,0.000000,3.555262,3.599810,12.229753,6.896990,0,9.317408,3.690811,2.785919,7.279677,4.392317,1.17102,0.08790,3.27771
