"Time","2 Trdml","45 sw onset","46 sw offset"
2.44,0.40037,0,0
2.45,0.40197,0,0
2.46,0.40225,0,0
2.47,0.40251,0,0
2.48,0.40383,1,0
2.49,0.40082,0,0
2.50,0.39888,0,0
2.51,0.40096,0,0
2.52,0.39964,0,0
2.53,0.39935,0,0
2.54,0.39910,0,0
2.55,0.40058,0,1
2.56,0.40059,0,0
2.57,0.39556,0,0
2.58,0.39316,0,0
2.59,0.39385,0,0
2.60,0.39551,0,0
2.61,0.39815,0,0
2.62,0.39569,0,0
2.63,0.39593,1,0
2.64,0.39521,0,0
2.65,0.39377,0,0
2.66,0.39521,0,0
2.67,0.39510,0,0
2.68,0.39529,0,0
2.69,0.39741,0,0
2.70,0.39882,0,0
2.71,0.40056,0,1
2.72,0.40084,0,0
2.73,0.40019,0,0
2.74,0.39996,0,0
2.75,0.39890,0,0
2.76,0.39915,0,0
2.77,0.39897,0,0
2.78,0.39910,0,0
2.79,0.39921,0,0
2.80,0.39685,0,0
2.81,0.40178,0,0
2.82,0.40124,1,0
2.83,0.41024,0,0
2.84,0.40470,0,0
2.85,0.39733,0,0
2.86,0.39849,0,0
2.87,0.40105,0,0
2.88,0.40078,0,1
2.89,0.40163,0,0
2.90,0.40474,0,0
2.91,0.40322,0,0
2.92,0.39928,0,0
2.93,0.40028,0,0
2.94,0.40142,0,0
2.95,0.39909,0,0
2.96,0.39977,0,0
2.97,0.40065,1,0
2.98,0.39876,0,0
2.99,0.40160,0,0
3.00,0.40492,0,0
3.01,0.39995,0,0
3.02,0.39925,0,0
3.03,0.40217,0,0
3.04,0.40282,0,0
3.05,0.40363,0,1
3.06,0.40299,0,0
3.07,0.40118,0,0
3.08,0.39989,0,0
3.09,0.39703,0,0
3.10,0.39706,0,0
3.11,0.40038,0,0
3.12,0.40147,0,0
3.13,0.40246,0,0
3.14,0.40412,1,0
3.15,0.40065,0,0
3.16,0.39821,0,0
3.17,0.39463,0,0
3.18,0.39342,0,0
3.19,0.39825,0,0
3.20,0.39634,0,0
3.21,0.39504,0,1
3.22,0.39514,0,0
3.23,0.39610,0,0
3.24,0.39461,0,0
3.25,0.39505,0,0
3.26,0.39427,0,0
3.27,0.39404,0,0
3.28,0.39519,0,0
3.29,0.39572,0,0
3.30,0.39862,0,0
3.31,0.39982,0,0
3.32,0.40043,1,0
3.33,0.40388,0,0
3.34,0.40477,0,0
3.35,0.40317,0,0
3.36,0.40304,0,0
3.37,0.40336,0,0
3.38,0.40787,0,0
3.39,0.40698,0,1
3.40,0.40589,0,0
3.41,0.40676,0,0
3.42,0.40872,0,0
3.43,0.40664,0,0
3.44,0.40589,0,0
3.45,0.40322,0,0
3.46,0.40037,0,0
3.47,0.40299,1,0
3.48,0.40090,0,0
3.49,0.40041,0,0
3.50,0.39925,0,0
3.51,0.39702,0,0
3.52,0.39896,0,0
3.53,0.39901,0,1
3.54,0.40043,0,0
3.55,0.40346,0,0
3.56,0.40192,0,0
3.57,0.39650,0,0
3.58,0.39709,0,0
3.59,0.39972,0,0
3.60,0.40171,0,0
3.61,0.40216,0,0
3.62,0.40009,0,0
3.63,0.40120,0,0
3.64,0.39978,0,0
3.65,0.39831,0,0
3.66,0.39678,0,0
3.67,0.39834,1,0
3.68,0.39787,0,0
3.69,0.39769,0,0
3.70,0.39603,0,0
3.71,0.39808,0,0
3.72,0.39880,0,1
3.73,0.39868,0,0
3.74,0.39835,0,0
3.75,0.39869,0,0
3.76,0.39850,0,0
3.77,0.40083,0,0
3.78,0.39843,0,0
3.79,0.39823,0,0
3.80,0.40197,0,0
3.81,0.40146,0,0
3.82,0.40181,0,0
3.83,0.40246,0,0
3.84,0.39996,0,0
3.85,0.40126,0,0
3.86,0.40235,0,0
3.87,0.40481,1,0
3.88,0.40334,0,0
3.89,0.40150,0,0
3.90,0.40115,0,0
3.91,0.40184,0,0
3.92,0.40217,0,0
3.93,0.40210,0,1
3.94,0.40467,0,0
