"Time","60 right DS","59 left DS","v3 L COP","v2 R COP","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","35 FRy (cm)","33 FLy (cm)","30 HRy (cm)","28 HLy (cm)","3 Platform","2 Trdml","1 Synch"
0.000,0,1,0.000000,0.000000,4.527660,1.490339,4.454907,3.975540,5.342980,3.237114,5.119640,0.00031,0.10411,3.27738
0.001,0,1,0.000000,0.000000,4.532436,1.555353,4.456449,3.974422,5.334334,3.233788,5.121422,0.00015,0.09562,3.27754
0.002,0,1,0.000000,0.000000,4.537389,1.627984,4.458119,3.973225,5.325807,3.231076,5.123191,0.00031,0.10768,3.27739
0.003,0,1,0.000000,0.000000,4.542541,1.700615,4.459790,3.972029,5.317279,3.228363,5.124961,0.00015,0.11109,3.27726
0.004,0,1,0.000000,0.000000,4.547991,1.773245,4.461460,3.970832,5.308752,3.225650,5.126730,0.00015,0.10426,3.27718
0.005,0,1,0.000000,0.000000,4.553741,1.853662,4.463209,3.969725,5.300599,3.223494,5.128331,-0.00015,0.09259,3.27715
0.006,0,1,0.000000,0.000000,4.559939,1.950775,4.465127,3.968811,5.293252,3.222529,5.129568,0.00000,0.11721,3.27723
0.007,0,1,0.000000,0.000000,4.566483,2.047888,4.467044,3.967896,5.285905,3.221565,5.130805,0.00000,0.09730,3.27731
0.008,0,1,0.000000,0.000000,4.573547,2.145002,4.468961,3.966982,5.278559,3.220601,5.132042,0.00000,0.08140,3.27738
0.009,0,1,0.000000,0.000000,4.581006,2.255047,4.470916,3.966177,5.271517,3.220073,5.133262,0.00000,0.08353,3.27718
0.010,0,1,0.000000,0.000000,4.589059,2.392825,4.472952,3.965608,5.265130,3.220483,5.134443,0.00015,0.11842,3.27634
0.011,0,1,1.038598,0.000000,4.597644,2.530604,4.474988,3.965039,5.258742,3.220894,5.135624,0.00015,0.11330,3.27588
0.012,0,1,3.635092,0.000000,4.607028,2.668382,4.477024,3.964470,5.252355,3.221304,5.136805,0.00046,0.09480,3.27626
0.013,0,1,5.192164,0.000000,4.617042,2.818018,4.479361,3.963911,5.246221,3.221972,5.138173,0.00031,0.09132,3.27657
0.014,0,1,5.190102,0.000000,4.627999,2.993082,4.482344,3.963373,5.240633,3.223195,5.139942,0.00000,0.11664,3.27672
0.015,0,1,5.188152,0.000000,4.639391,3.168145,4.485327,3.962836,5.235044,3.224418,5.141711,-0.00015,0.11441,3.27682
0.016,0,1,5.186372,0.000000,4.651434,3.343209,4.488310,3.962298,5.229456,3.225641,5.143481,0.00000,0.08674,3.27682
0.017,0,1,5.184657,0.000000,4.663661,3.519103,4.491580,3.961983,5.224174,3.227424,5.145226,-0.00015,0.09199,3.27682
0.018,0,1,5.183036,0.000000,4.676163,3.696777,4.495468,3.962146,5.219550,3.230406,5.146918,-0.00015,0.10635,3.27682
0.019,0,1,5.181530,0.000000,4.688720,3.874451,4.499354,3.962309,5.214926,3.233387,5.148610,0.00000,0.11508,3.27671
0.020,0,1,5.180195,0.000000,4.701358,4.052125,4.503242,3.962472,5.210302,3.236369,5.150302,0.00015,0.08366,3.27633
0.021,0,1,5.179018,0.000000,4.713922,4.219857,4.507422,3.962603,5.205892,3.240587,5.152150,0.00031,0.07477,3.27623
0.022,0,1,5.178076,0.000000,4.726375,4.366266,4.512235,3.962662,5.201941,3.247454,5.154329,0.00015,0.10375,3.27676
0.023,0,1,5.177176,0.000000,4.738472,4.512674,4.517047,3.962722,5.197989,3.254321,5.156508,0.00000,0.11071,3.27711
