"Time","56 right DS","55 left DS","v3 L COP","v2 R COP","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","35 FRy (cm)","33 FLy (cm)","30 HRy (cm)","28 HLy (cm)","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0.000000,0.000000,5.785299,-7.684466,6.004609,5.350801,6.154155,5.239565,6.778572,0.02315,0.09340,3.27671
0.001,0,0,0.000000,0.000000,5.781505,-7.507239,5.996808,5.353084,6.152604,5.238002,6.777558,-0.02194,0.11146,3.27686
0.002,0,0,0.000000,0.000000,5.778270,-7.330012,5.989007,5.355367,6.151053,5.236438,6.776544,-0.04920,0.09560,3.27703
0.003,0,0,0.000000,0.000000,5.776214,-7.152785,5.981206,5.357650,6.149502,5.234875,6.775530,-0.07343,0.09603,3.27726
0.004,0,0,0.000000,0.000000,5.774693,-6.954667,5.973648,5.359681,6.147994,5.233224,6.774645,-0.10143,0.11752,3.27728
0.005,0,0,0.000000,0.000000,5.774297,-6.691113,5.966847,5.360919,6.146618,5.231304,6.774166,-0.13260,0.10790,3.27659
0.006,0,0,0.000000,0.000000,5.774393,-6.427558,5.960046,5.362158,6.145243,5.229383,6.773687,-0.15936,0.11390,3.27615
0.007,0,0,0.000000,0.000000,5.775522,-6.164004,5.953246,5.363398,6.143868,5.227462,6.773208,-0.20574,0.12339,3.27653
0.008,0,0,0.000000,0.000000,5.777103,-5.885700,5.946740,5.364087,6.142435,5.225463,6.772616,-0.22837,0.10562,3.27686
0.009,0,0,0.000000,0.000000,5.779636,-5.561197,5.941158,5.363057,6.140819,5.223224,6.771674,-0.25840,0.11209,3.27701
0.010,0,0,0.000000,0.851499,5.782590,-5.236695,5.935575,5.362026,6.139204,5.220984,6.770730,-0.28204,0.12297,3.27702
0.011,0,0,0.000000,3.495906,5.786430,-4.912192,5.929993,5.360996,6.137588,5.218744,6.769787,-0.30603,0.10647,3.27657
0.012,1,0,0.000000,5.287994,5.790652,-4.582246,5.924769,5.359442,6.136037,5.216486,6.768738,-0.33645,0.11841,3.27618
0.013,1,0,0.000000,5.285449,5.795680,-4.235250,5.920671,5.356247,6.134689,5.214167,6.767354,-0.38395,0.12114,3.27603
0.014,1,0,0.000000,5.282777,5.801037,-3.888254,5.916572,5.353053,6.133341,5.211848,6.765970,-0.40895,0.09886,3.27607
0.015,1,0,0.000000,5.279840,5.807087,-3.541259,5.912473,5.349858,6.131993,5.209529,6.764586,-0.43203,0.11482,3.27676
0.016,1,0,0.000000,5.276834,5.813410,-3.195786,5.908821,5.346473,6.130731,5.207135,6.763269,-0.45729,0.12453,3.27721
0.017,1,0,0.000000,5.273679,5.820308,-2.855083,5.906565,5.342492,6.129739,5.204504,6.762162,-0.48125,0.09401,3.27691
0.018,1,0,1.037344,5.270434,5.827416,-2.514380,5.904310,5.338511,6.128747,5.201872,6.761055,-0.50715,0.10378,3.27671
0.019,1,1,4.258909,5.266999,5.834969,-2.173678,5.902055,5.334531,6.127754,5.199241,6.759947,-0.55282,0.10893,3.27686
0.020,1,1,6.442830,5.263442,5.842656,-1.839203,5.900095,5.330256,6.126822,5.196572,6.758821,-0.57835,0.08878,3.27677
0.021,1,1,6.441895,5.259628,5.850627,-1.524238,5.899055,5.325057,6.126079,5.193789,6.757631,-0.60342,0.09697,3.27585
0.022,1,1,6.440941,5.255708,5.858656,-1.209272,5.898016,5.319859,6.125336,5.191006,6.756443,-0.62559,0.11001,3.27539
0.023,1,1,6.439949,5.251566,5.866808,-0.894306,5.896977,5.314660,6.124593,5.188222,6.755254,-0.64911,0.08577,3.27646
0.024,1,1,6.438919,5.247352,5.874946,-0.583997,5.896133,5.309181,6.123729,5.185511,6.754128,-0.67137,0.08373,3.27723
0.025,1,1,6.437810,5.242982,5.883055,-0.288276,5.895899,5.302824,6.122488,5.183026,6.753200,-0.70019,0.10774,3.27700
0.026,1,1,6.436716,5.238582,5.891074,0.007445,5.895666,5.296467,6.121246,5.180541,6.752271,-0.73976,0.09403,3.27677
0.027,1,1,6.435650,5.234116,5.898904,0.303166,5.895432,5.290110,6.120005,5.178056,6.751342,-0.76380,0.07843,3.27654
0.028,1,1,6.434659,5.229650,5.906563,0.589896,5.895531,5.283687,6.118772,5.175584,6.750595,-0.78427,0.10457,3.27649
0.029,1,1,6.433826,5.225183,5.913862,0.848463,5.896676,5.277054,6.117566,5.173155,6.750415,-0.80623,0.10607,3.27703
0.030,1,1,6.433076,5.220679,5.920920,1.107031,5.897821,5.270422,6.116361,5.170727,6.750236,-0.82831,0.07895,3.27731
0.031,1,1,6.432504,5.216094,5.927472,1.365598,5.898966,5.263789,6.115155,5.168298,6.750056,-0.85520,0.08926,3.27678
0.032,1,1,6.432012,5.211431,5.933731,1.613631,5.900383,5.256937,6.113944,5.165904,6.750125,-0.88912,0.11698,3.27640
0.033,1,1,6.431687,5.206602,5.939375,1.828670,5.902655,5.249397,6.112715,5.163618,6.750971,-0.91095,0.08628,3.27656
0.034,1,1,6.431442,5.201723,5.944686,2.043709,5.904926,5.241858,6.111486,5.161331,6.751817,-0.92953,0.07218,3.27669
0.035,1,1,6.431364,5.196737,5.949295,2.258747,5.907197,5.234318,6.110257,5.159044,6.752663,-0.95445,0.12491,3.27677
0.036,1,1,6.431371,5.191746,5.953537,2.450015,5.909738,5.226778,6.109066,5.156730,6.753754,-0.96938,0.09926,3.27672
0.037,1,1,6.431560,5.186742,5.957006,2.566825,5.913124,5.219240,6.107992,5.154332,6.755612,-0.99420,0.07923,3.27626
0.038,1,1,6.431870,5.181759,5.960090,2.683635,5.916509,5.211702,6.106917,5.151934,6.757471,-1.02977,0.12683,3.27602
0.039,1,1,6.432435,5.176822,5.962365,2.800445,5.919895,5.204164,6.105843,5.149536,6.759330,-1.04733,0.10922,3.27647
0.040,1,1,6.433167,5.171925,5.964259,2.886078,5.923242,5.196706,6.104908,5.147169,6.761561,-1.06496,0.08433,3.27688
