"Time","60 right DS","59 left DS","v3 L COP","v2 R COP","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","35 FRy (cm)","33 FLy (cm)","30 HRy (cm)","28 HLy (cm)","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0.000000,0.000000,5.075619,4.017985,4.879297,4.712521,6.536909,4.561674,5.307088,-1.47943,0.08897,3.27689
0.001,0,0,0.000000,0.000000,5.089043,4.210591,4.883210,4.712450,6.552652,4.561234,5.307289,-1.48174,0.11512,3.27663
0.002,0,0,0.000000,0.000000,5.102749,4.409169,4.887534,4.712367,6.565217,4.560762,5.307067,-1.47902,0.09063,3.27648
0.003,0,0,0.000000,0.000000,5.116676,4.607747,4.891858,4.712283,6.577783,4.560289,5.306844,-1.47985,0.08418,3.27647
0.004,0,0,0.000000,0.000000,5.130990,4.806325,4.896182,4.712200,6.590348,4.559816,5.306622,-1.47988,0.07425,3.27685
0.005,0,0,0.000000,0.000000,5.145567,5.005373,4.900826,4.711906,6.601188,4.559494,5.306241,-1.48002,0.11781,3.27703
0.006,0,0,0.000000,0.000000,5.160606,5.205620,4.906283,4.711078,6.607633,4.559552,5.305456,-1.48025,0.10641,3.27664
0.007,0,0,0.000000,0.000000,5.175787,5.405867,4.911741,4.710249,6.614079,4.559611,5.304671,-1.47900,0.09208,3.27649
0.008,0,0,0.000000,0.000000,5.191218,5.606114,4.917199,4.709421,6.620524,4.559670,5.303886,-1.48048,0.07922,3.27695
0.009,0,0,0.000000,0.000000,5.206653,5.802767,4.922887,4.708644,6.626245,4.559922,5.303187,-1.48046,0.10367,3.27705
0.010,0,0,0.000000,0.000000,5.222097,5.990271,4.929164,4.707996,6.630121,4.560666,5.302707,-1.48085,0.09277,3.27621
0.011,0,0,0.000000,0.000000,5.237543,6.177775,4.935440,4.707348,6.633996,4.561409,5.302227,-1.47936,0.08132,3.27573
0.012,0,0,0.000000,0.000000,5.252990,6.365279,4.941717,4.706700,6.637873,4.562153,5.301746,-1.48066,0.08941,3.27619
0.013,0,0,0.000000,0.000000,5.268442,6.547669,4.948195,4.706079,6.641302,4.562796,5.301435,-1.48006,0.11845,3.27650
0.014,0,0,0.000000,0.000000,5.283905,6.717041,4.955187,4.705522,6.643596,4.563180,5.301554,-1.47928,0.11572,3.27642
0.015,0,0,0.000000,0.000000,5.299241,6.886412,4.962179,4.704965,6.645889,4.563565,5.301673,-1.48061,0.08489,3.27651
0.016,0,0,0.000000,0.000000,5.314358,7.055784,4.969172,4.704408,6.648182,4.563950,5.301792,-1.47872,0.07922,3.27705
0.017,0,0,1.087910,0.000000,5.329221,7.216221,4.976282,4.704147,6.650090,4.564325,5.301968,-1.48043,0.10601,3.27739
0.018,0,1,4.076673,0.000000,5.343643,7.353910,4.983694,4.704642,6.651014,4.564678,5.302288,-1.48043,0.10371,3.27724
0.019,0,1,5.977674,0.000000,5.357879,7.491599,4.991107,4.705137,6.651938,4.565030,5.302608,-1.47551,0.10607,3.27707
0.020,0,1,5.978080,0.000000,5.371789,7.629289,4.998518,4.705633,6.652863,4.565382,5.302928,-1.47947,0.09217,3.27684
0.021,0,1,5.978235,0.000000,5.385607,7.758901,5.006133,4.706092,6.653114,4.565586,5.303262,-1.47907,0.10295,3.27667
0.022,0,1,5.977950,0.000000,5.399261,7.867947,5.014262,4.706464,6.651649,4.565407,5.303631,-1.48056,0.10604,3.27667
0.023,0,1,5.977488,0.000000,5.412786,7.976994,5.022392,4.706835,6.650185,4.565229,5.304000,-1.48301,0.09367,3.27667
0.024,0,1,5.976717,0.000000,5.426085,8.086040,5.030521,4.707206,6.648721,4.565052,5.304368,-1.47971,0.07794,3.27667
0.025,0,1,5.975883,0.000000,5.439184,8.185760,5.038796,4.707499,6.646909,4.564679,5.304901,-1.48042,0.08696,3.27678
0.026,0,1,5.974942,0.000000,5.451935,8.261731,5.047443,4.707592,6.644211,4.563812,5.305849,-1.47944,0.12145,3.27716
0.027,0,1,5.974045,0.000000,5.464424,8.337703,5.056089,4.707685,6.641513,4.562944,5.306797,-1.47980,0.10840,3.27746
0.028,0,1,5.973226,0.000000,5.476456,8.413673,5.064736,4.707778,6.638815,4.562077,5.307745,-1.48007,0.09078,3.27753
0.029,0,1,5.972545,0.000000,5.488191,8.481629,5.073358,4.707801,6.636227,4.561476,5.308981,-1.47972,0.07268,3.27750
0.030,0,1,5.972106,0.000000,5.499408,8.529176,5.081917,4.707644,6.633918,4.561553,5.310954,-1.48049,0.10497,3.27720
0.031,0,1,5.971848,0.000000,5.510401,8.576723,5.090477,4.707486,6.631609,4.561630,5.312926,-1.47684,0.10100,3.27706
0.032,0,1,5.971910,0.000000,5.521003,8.624270,5.099036,4.707328,6.629300,4.561707,5.314898,-1.47979,0.10447,3.27737
0.033,0,1,5.972178,0.000000,5.531464,8.665653,5.107638,4.707124,6.627325,4.562081,5.317154,-1.48037,0.08822,3.27744
0.034,0,1,5.972808,0.000000,5.541675,8.691340,5.116347,4.706803,6.626203,4.563208,5.320132,-1.47944,0.09274,3.27691
0.035,0,1,5.973639,0.000000,5.551721,8.717028,5.125056,4.706481,6.625081,4.564335,5.323111,-1.47891,0.11387,3.27654
0.036,0,1,5.974820,0.000000,5.561477,8.742715,5.133765,4.706161,6.623959,4.565463,5.326089,-1.48311,0.10496,3.27662
0.037,0,1,5.976190,0.000000,5.571013,8.760086,5.142531,4.705871,6.623035,4.566556,5.329457,-1.47925,0.08588,3.27665
0.038,0,1,5.977889,0.000000,5.580163,8.756287,5.151443,4.705664,6.622616,4.567565,5.333819,-1.47876,0.07683,3.27658
0.039,0,1,5.979770,0.000000,5.589028,8.752486,5.160355,4.705457,6.622196,4.568573,5.338181,-1.48071,0.10769,3.27652
0.040,0,1,5.981972,0.000000,5.597394,8.748687,5.169266,4.705250,6.621777,4.569582,5.342542,-1.47957,0.10329,3.27652
0.041,0,1,5.984359,0.000000,5.605407,8.733966,5.178161,4.705167,6.621343,4.570520,5.347506,-1.48005,0.09814,3.27658
0.042,0,1,5.987068,0.000000,5.612803,8.691438,5.187010,4.705399,6.620870,4.571280,5.354003,-1.48206,0.07887,3.27681
0.043,0,1,5.989981,0.000000,5.619778,8.648910,5.195859,4.705632,6.620398,4.572041,5.360500,-1.48023,0.11387,3.27691
0.044,0,1,5.993250,0.000000,5.626017,8.606381,5.204709,4.705864,6.619925,4.572801,5.366997,-1.47899,0.10780,3.27669
0.045,0,1,5.996707,0.000000,5.631772,8.548836,5.213546,4.706162,6.619646,4.573400,5.373724,-1.47979,0.09415,3.27658
0.046,0,1,6.000493,0.000000,5.636681,8.453051,5.222353,4.706625,6.619861,4.573594,5.381034,-1.47918,0.07819,3.27681
0.047,0,1,6.004264,0.000000,5.641061,8.357266,5.231161,4.707088,6.620075,4.573788,5.388345,-1.47966,0.09543,3.27704
0.048,0,1,6.008008,0.000000,5.644517,8.261481,5.239968,4.707551,6.620290,4.573981,5.395656,-1.47845,0.12350,3.27727
0.049,0,1,6.011588,0.000000,5.647426,8.153354,5.248569,4.707916,6.620206,4.574014,5.403139,-1.48061,0.11044,3.27737
0.050,0,1,6.014880,0.000000,5.649379,8.013800,5.256645,4.708030,6.619362,4.573638,5.411057,-1.47985,0.08964,3.27714
0.051,0,1,4.921885,0.000000,5.650860,7.874245,5.264721,4.708145,6.618518,4.573262,5.418975,-1.48061,0.06935,3.27696
0.052,0,0,1.913398,0.000000,5.651516,7.734691,5.272797,4.708259,6.617674,4.572886,5.426893,-1.47888,0.10134,3.27688
0.053,0,0,0.000000,0.000000,5.651790,7.587393,5.280642,4.708260,6.617024,4.572568,5.435877,-1.48348,0.10141,3.27676
0.054,0,0,0.000000,0.000000,5.651396,7.420378,5.287898,4.707972,6.616870,4.572398,5.447576,-1.47832,0.09820,3.27653
0.055,0,0,0.000000,0.000000,5.650654,7.253364,5.295153,4.707685,6.616715,4.572228,5.459275,-1.47896,0.08577,3.27647
0.056,0,0,0.000000,0.000000,5.649302,7.086349,5.302409,4.707397,6.616561,4.572058,5.470974,-1.48062,0.08826,3.27685
0.057,0,0,0.000000,0.000000,5.647637,6.914189,5.309463,4.707073,6.616379,4.572058,5.483538,-1.47974,0.11189,3.27707
0.058,0,0,0.000000,0.000000,5.645423,6.728930,5.316004,4.706656,6.616127,4.572493,5.498305,-1.48151,0.09422,3.27684
0.059,0,0,0.000000,0.000000,5.643004,6.543672,5.322545,4.706239,6.615874,4.572928,5.513072,-1.47989,0.07770,3.27661
0.060,0,0,0.000000,0.000000,5.640226,6.358413,5.329085,4.705822,6.615623,4.573364,5.527839,-1.47910,0.07563,3.27638
0.061,0,0,0.000000,0.000000,5.637337,6.170994,5.335495,4.705428,6.615402,4.573978,5.543674,-1.48026,0.09845,3.27644
0.062,0,0,0.000000,0.000000,5.634253,5.978073,5.341568,4.705091,6.615264,4.575048,5.562229,-1.47917,0.11873,3.27728
0.063,0,0,0.000000,0.000000,5.630982,5.785153,5.347641,4.704754,6.615126,4.576118,5.580783,-1.47910,0.11063,3.27773
0.064,0,0,0.000000,0.000000,5.627387,5.592233,5.353714,4.704417,6.614988,4.577189,5.599338,-1.48104,0.08187,3.27712
0.065,0,0,0.000000,0.000000,5.623512,5.397046,5.359513,4.704212,6.614819,4.578117,5.618781,-1.48045,0.08573,3.27674
0.066,0,0,0.000000,0.000000,5.619149,5.196089,5.364615,4.704340,6.614571,4.578684,5.640484,-1.48094,0.10038,3.27696
0.067,0,0,0.000000,0.000000,5.614542,4.995132,5.369717,4.704468,6.614322,4.579251,5.662188,-1.47952,0.11542,3.27707
0.068,0,0,0.000000,0.000000,5.609509,4.794175,5.374819,4.704597,6.614074,4.579817,5.683892,-1.48391,0.10114,3.27684
0.069,0,0,0.000000,0.000000,5.604310,4.594172,5.379631,4.704856,6.613927,4.580208,5.706547,-1.48090,0.09002,3.27682
0.070,0,0,0.000000,0.000000,5.598818,4.396597,5.383702,4.705451,6.614036,4.580150,5.731627,-1.47886,0.07820,3.27735
0.071,0,0,0.000000,0.000000,5.593260,4.199023,5.387773,4.706045,6.614145,4.580092,5.756707,-1.48129,0.10490,3.27764
0.072,0,0,0.000000,0.000000,5.587584,4.001448,5.391845,4.706639,6.614254,4.580034,5.781786,-1.48149,0.09629,3.27725
0.073,0,0,0.000000,0.000000,5.581937,3.808017,5.395738,4.707098,6.614219,4.579895,5.807391,-1.47945,0.08521,3.27704
0.074,0,0,0.000000,0.000000,5.576337,3.625135,5.399177,4.707213,6.613815,4.579551,5.834333,-1.48016,0.08864,3.27727
0.075,0,0,0.000000,0.000000,5.570801,3.442253,5.402616,4.707328,6.613410,4.579207,5.861275,-1.47906,0.09896,3.27729
0.076,0,0,0.000000,0.000000,5.565378,3.259371,5.406055,4.707443,6.613007,4.578863,5.888217,-1.47922,0.11780,3.27675
0.077,0,0,0.000000,0.000000,5.560046,3.083756,5.409289,4.707559,6.612836,4.578323,5.915050,-1.48040,0.09327,3.27649
0.078,0,0,0.000000,0.000000,5.554871,2.926643,5.412003,4.707677,6.613263,4.577285,5.941605,-1.47994,0.08566,3.27695
0.079,0,0,0.000000,0.000000,5.549834,2.769530,5.414716,4.707795,6.613690,4.576247,5.968159,-1.48074,0.07260,3.27722
0.080,0,0,0.000000,0.000000,5.545038,2.612417,5.417429,4.707913,6.614117,4.575208,5.994713,-1.48036,0.11419,3.27699
0.081,0,0,0.000000,0.000000,5.540432,2.465075,5.419964,4.707969,6.614369,4.574115,6.021008,-1.48169,0.11025,3.27691
0.082,0,0,0.000000,0.000000,5.536160,2.342610,5.422044,4.707867,6.614179,4.572881,6.046644,-1.47911,0.09816,3.27721
0.083,0,0,0.000000,0.000000,5.532133,2.220145,5.424124,4.707766,6.613989,4.571647,6.072279,-1.47987,0.08268,3.27731
0.084,0,0,0.000000,0.000000,5.528531,2.097679,5.426204,4.707664,6.613799,4.570414,6.097915,-1.48011,0.08622,3.27685
0.085,0,0,0.000000,0.000000,5.525225,1.986838,5.428170,4.707616,6.613732,4.569323,6.123445,-1.47968,0.10534,3.27662
0.086,0,0,0.000000,0.000000,5.522433,1.905592,5.429844,4.707707,6.613982,4.568597,6.148704,-1.47902,0.09447,3.27701
0.087,0,0,0.000000,0.000000,5.519973,1.824346,5.431520,4.707798,6.614231,4.567871,6.173963,-1.48060,0.09088,3.27705
0.088,0,0,0.000000,0.000000,5.518094,1.743100,5.433194,4.707889,6.614480,4.567144,6.199222,-1.47999,0.07690,3.27621
0.089,0,0,0.000000,0.000000,5.516575,1.675186,5.434768,4.707978,6.614541,4.566367,6.223139,-1.48185,0.11926,3.27583
0.090,0,0,0.000000,0.000000,5.515687,1.641219,5.436084,4.708062,6.614122,4.565459,6.243639,-1.48028,0.09896,3.27667
0.091,0,0,0.000000,0.000000,5.515164,1.607252,5.437400,4.708147,6.613703,4.564552,6.264141,-1.48253,0.08665,3.27703
0.092,0,0,0.000000,0.000000,5.515280,1.573285,5.438716,4.708231,6.613284,4.563644,6.284641,-1.48031,0.06854,3.27612
0.093,0,0,0.000000,0.000000,5.515750,1.549929,5.440043,4.708433,6.612881,4.562788,6.304401,-1.48148,0.10606,3.27564
0.094,0,0,0.000000,0.000000,5.516839,1.553592,5.441398,4.708934,6.612518,4.562063,6.322274,-1.47989,0.12004,3.27633
0.095,0,0,0.000000,0.000000,5.518228,1.557256,5.442752,4.709435,6.612155,4.561338,6.340147,-1.47998,0.10445,3.27685
0.096,0,0,0.000000,0.000000,5.520138,1.560919,5.444107,4.709935,6.611792,4.560613,6.358019,-1.48147,0.08692,3.27692
0.097,0,0,0.000000,0.000000,5.522277,1.569779,5.445548,4.710447,6.611187,4.560002,6.374358,-1.47902,0.08190,3.27687
0.098,0,0,0.000000,0.000000,5.524815,1.591870,5.447209,4.710988,6.609965,4.559682,6.386792,-1.48118,0.10706,3.27649
0.099,0,0,0.000000,0.000000,5.527490,1.613961,5.448872,4.711528,6.608742,4.559363,6.399226,-1.48634,0.09615,3.27619
0.100,0,0,0.000000,0.000000,5.530407,1.636052,5.450533,4.712069,6.607520,4.559043,6.411660,-1.47890,0.09484,3.27612
0.101,0,0,0.000000,0.000000,5.533369,1.658636,5.452240,4.712496,6.606277,4.558847,6.422663,-1.48058,0.07935,3.27617
0.102,0,0,0.000000,0.000000,5.536408,1.682478,5.454062,4.712634,6.604983,4.558968,6.430021,-1.48105,0.11717,3.27655
0.103,0,0,0.000000,0.000000,5.539413,1.706320,5.455884,4.712772,6.603689,4.559087,6.437379,-1.47993,0.10665,3.27680
0.104,0,0,0.000000,0.000000,5.542356,1.730162,5.457705,4.712910,6.602394,4.559207,6.444738,-1.47928,0.09232,3.27673
0.105,0,0,0.000000,0.000000,5.545201,1.751727,5.459510,4.713003,6.601093,4.559367,6.450782,-1.47917,0.07472,3.27665
0.106,0,0,0.000000,0.000000,5.547875,1.767495,5.461273,4.712980,6.599776,4.559625,6.453482,-1.47971,0.08459,3.27658
0.107,0,0,0.000000,0.000000,5.550456,1.783263,5.463037,4.712957,6.598459,4.559883,6.456181,-1.47982,0.11568,3.27652
0.108,0,0,0.000000,0.000000,5.552871,1.799031,5.464800,4.712934,6.597142,4.560141,6.458880,-1.48170,0.10472,3.27652
0.109,0,0,0.000000,0.000000,5.555218,1.812412,5.466580,4.713027,6.596101,4.560585,6.460358,-1.48137,0.08909,3.27671
0.110,0,0,0.000000,0.000000,5.557444,1.819719,5.468401,4.713414,6.595763,4.561505,6.458724,-1.47930,0.07681,3.27739
0.111,0,0,0.000000,0.000000,5.559638,1.827026,5.470222,4.713800,6.595425,4.562426,6.457091,-1.47992,0.10074,3.27770
0.112,0,0,0.000000,0.000000,5.561775,1.834332,5.472043,4.714187,6.595088,4.563345,6.455457,-1.48016,0.10164,3.27702
0.113,0,0,0.000000,0.000000,5.563914,1.840991,5.473884,4.714630,6.594624,4.564558,6.453485,-1.47935,0.10311,3.27646
0.114,0,0,0.000000,0.000000,5.566055,1.846003,5.475776,4.715217,6.593839,4.566514,6.450650,-1.47792,0.08376,3.27623
0.115,0,0,0.000000,0.000000,5.568193,1.851015,5.477669,4.715803,6.593054,4.568471,6.447815,-1.48171,0.10384,3.27623
