"Time","67 sinus","66 rm dwn st","65 rm dwn sw","64 rmp up st","63 rmp up sw","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 rFLswoff","57 rFLswon","56 lFLswoff","55 lFLswon","54 rHLswoff","53 rHLswon","52 lHLswoff","51 lHLswon","50 sinus rmp","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","32 FLx (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.415070,78.443520,93.722206,155.655121,6.241038,15.314073,5.711210,18.120605,6.882670,16.207621,0,5.211220,11.447075,7.538477,13.999137,8.276122,18.460579,8.196684,11.624644,8.574198,11.198298,9.354164,11.455549,8.636914,12.759429,9.825207,13.495357,10.660126,14.745878,0,-0.01814,0.00440,-0.02202,-0.01362,0.00978,-0.01207,0.00615,0.00029,0.28825,0.09778,3.27750
0.011,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.798271,78.016388,94.029938,155.736328,6.244839,15.316373,5.707942,18.118061,6.889570,16.288931,0,5.215513,11.449475,7.548798,13.942814,8.277555,18.459692,8.201498,11.627413,8.579208,11.200650,9.358294,11.452362,8.640049,12.755561,9.826138,13.498374,10.657036,14.753040,0,-0.01636,0.00252,-0.01793,-0.01342,0.00815,-0.01288,0.00540,0.00407,0.31178,0.09802,3.27735
0.012,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.068977,77.613342,94.365059,155.834045,6.248284,15.316936,5.704844,18.109976,6.910314,16.385553,0,5.214663,11.452619,7.505949,13.771533,8.278981,18.455685,8.203012,11.632293,8.581414,11.203957,9.355552,11.443670,8.640169,12.750944,9.825475,13.500752,10.653320,14.759355,0,-0.02109,0.00880,-0.01888,-0.01473,0.00903,-0.01309,0.00687,0.00210,0.33439,0.09778,3.27758
0.013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.339684,77.210289,94.700180,155.931763,6.251728,15.317497,5.701745,18.101891,6.931058,16.482176,0,5.213813,11.455763,7.463099,13.600252,8.280409,18.451677,8.204524,11.637172,8.583621,11.207263,9.352809,11.434978,8.640289,12.746327,9.824813,13.503131,10.649604,14.765668,0,-0.01019,-0.02362,-0.02122,-0.01456,0.00723,-0.01245,0.00507,0.00265,0.35980,0.09738,3.27759
0.014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.610397,76.807243,95.035301,156.029480,6.255173,15.318060,5.698647,18.093807,6.951802,16.578798,0,5.212963,11.458906,7.420249,13.428970,8.281836,18.447670,8.206038,11.642052,8.585827,11.210569,9.350066,11.426287,8.640409,12.741711,9.824150,13.505508,10.645887,14.771981,0,-0.03022,-0.03962,-0.01993,-0.01242,0.00891,-0.01407,0.00212,0.00564,0.40394,0.09743,3.27705
0.015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.689133,76.459236,95.364571,156.233505,6.258622,15.318272,5.696485,18.085571,6.972788,16.672174,0,5.210133,11.462186,7.386832,13.300275,8.282479,18.443069,8.207986,11.646053,8.586748,11.213154,9.347060,11.418950,8.640165,12.737077,9.822196,13.506511,10.642617,14.777796,0,-0.02329,-0.00012,-0.02274,-0.01601,0.00943,-0.00887,0.00648,0.00182,0.43581,0.09762,3.27680
0.016,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.306885,76.243408,95.679787,156.692856,6.262082,15.317640,5.696574,18.076971,6.994358,16.757755,0,5.202549,11.465795,7.376066,13.273842,8.281239,18.437038,8.210980,11.647947,8.584583,11.214003,9.343422,11.414870,8.639048,12.732403,9.817141,13.504206,10.640419,14.782413,0,-0.01619,0.01230,-0.02010,-0.01244,-0.00439,-0.01188,0.00576,0.00194,0.45868,0.09743,3.27726
0.017,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.924637,76.027573,95.995003,157.152191,6.265543,15.317010,5.696664,18.068373,7.015927,16.843336,0,5.194966,11.469403,7.365300,13.247408,8.279999,18.431009,8.213976,11.649841,8.582418,11.214851,9.339784,11.410790,8.637930,12.727729,9.812084,13.501902,10.638221,14.787029,0,-0.01580,0.00233,-0.02126,-0.01370,0.01717,-0.01156,0.00582,0.00078,0.48349,0.09718,3.27754
0.018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.542389,75.811745,96.310226,157.611542,6.269003,15.316380,5.696753,18.059774,7.037497,16.928917,0,5.187382,11.473012,7.354534,13.220975,8.278758,18.424980,8.216970,11.651735,8.580254,11.215700,9.336145,11.406711,8.636812,12.723054,9.807029,13.499597,10.636023,14.791645,0,-0.01836,0.00356,-0.01960,-0.01301,0.00753,-0.01296,0.00446,0.00371,0.50983,0.09697,3.27739
0.019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.151573,75.606033,96.605186,158.073639,6.273037,15.316226,5.697727,18.051767,7.059614,17.011433,0,5.180414,11.474941,7.189543,13.073770,8.278379,18.418402,8.220876,11.653370,8.578814,11.215251,9.334210,11.402398,8.636622,12.717464,9.802555,13.498516,10.635729,14.793612,0,-0.01360,0.00281,-0.01932,-0.01308,0.00699,-0.01093,0.00656,0.00239,0.53384,0.09708,3.27737
