"Time","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM"
3.18,0.00328,0.00250,0.00319,0.00199,0.00058,0.00072,0.00516,0.00148
3.19,0.00095,0.00063,0.00250,0.00079,0.00060,0.00066,0.02192,0.00662
3.20,0.00161,0.00110,0.00150,0.00062,0.00058,0.00086,0.01729,0.00688
3.21,0.00152,0.00062,0.00121,0.00047,0.00073,0.00082,0.01805,0.00618
3.22,0.00148,0.00073,0.00078,0.00053,0.00090,0.00105,0.00942,0.00184
3.23,0.00107,0.00072,0.00075,0.00050,0.00071,0.00081,0.00178,0.00060
3.24,0.00113,0.00062,0.00099,0.00076,0.00089,0.00072,0.00438,0.00043
3.25,0.00257,0.00075,0.00128,0.00082,0.00081,0.00076,0.00102,0.00064
3.26,0.00121,0.00063,0.00076,0.00099,0.00098,0.00078,0.00107,0.00055
3.27,0.00090,0.00069,0.00098,0.00131,0.00110,0.00121,0.00112,0.00056
3.28,0.00165,0.00127,0.00091,0.00191,0.00086,0.00096,0.00102,0.00072
3.29,0.00130,0.00114,0.00069,0.00163,0.00071,0.00084,0.00113,0.00062
3.30,0.00111,0.00077,0.00098,0.00072,0.00065,0.00088,0.00108,0.00075
3.31,0.00142,0.00104,0.00064,0.00087,0.00060,0.00074,0.00120,0.00051
3.32,0.00070,0.00059,0.00072,0.00087,0.00051,0.00088,0.00086,0.00063
3.33,0.00182,0.00066,0.00069,0.00099,0.00065,0.00075,0.00076,0.00055
3.34,0.00122,0.00073,0.00066,0.00079,0.00078,0.00086,0.00074,0.00049
3.35,0.00073,0.00087,0.00068,0.00108,0.00067,0.00072,0.00075,0.00049
3.36,0.00116,0.00074,0.00074,0.00076,0.00074,0.00098,0.00092,0.00054
3.37,0.00092,0.00085,0.00076,0.00085,0.00070,0.00074,0.00084,0.00094
3.38,0.00074,0.00075,0.00059,0.00078,0.00072,0.00089,0.00096,0.00051
3.39,0.00072,0.00074,0.00056,0.00074,0.00072,0.00069,0.00067,0.00058
3.40,0.00069,0.00426,0.00052,0.00069,0.00056,0.00079,0.00077,0.00062
3.41,0.00069,0.00214,0.00081,0.00065,0.00064,0.00074,0.01217,0.00326
3.42,0.00283,0.00535,0.00119,0.00205,0.00061,0.00072,0.01326,0.00962
3.43,0.00506,0.00525,0.00335,0.00103,0.00061,0.00070,0.01151,0.00542
3.44,0.00425,0.00329,0.00407,0.00093,0.00065,0.00068,0.01390,0.00672
3.45,0.00193,0.00176,0.00245,0.00064,0.00055,0.00057,0.02070,0.00385
3.46,0.00092,0.00264,0.00183,0.00060,0.00053,0.00073,0.01795,0.00627
3.47,0.00160,0.00267,0.00101,0.00064,0.00072,0.00073,0.01676,0.00441
3.48,0.00132,0.00155,0.00107,0.00059,0.00074,0.00083,0.00591,0.00088
3.49,0.00139,0.00077,0.00085,0.00067,0.00078,0.00084,0.00208,0.00056
3.50,0.00067,0.00073,0.00133,0.00072,0.00074,0.00064,0.00475,0.00060
3.51,0.00172,0.00192,0.00106,0.00124,0.00122,0.00095,0.00166,0.00063
3.52,0.00116,0.00066,0.00102,0.00157,0.00128,0.00161,0.00135,0.00067
3.53,0.00122,0.00069,0.00072,0.00192,0.00120,0.00128,0.00120,0.00072
3.54,0.00117,0.00080,0.00069,0.00103,0.00090,0.00108,0.00081,0.00050
3.55,0.00128,0.00116,0.00079,0.00178,0.00147,0.00181,0.00157,0.00054
3.56,0.00104,0.00075,0.00064,0.00105,0.00113,0.00601,0.00135,0.00048
3.57,0.00133,0.00182,0.00131,0.00093,0.00406,0.00641,0.00268,0.00096
3.58,0.00174,0.00101,0.00066,0.00123,0.00337,0.00469,0.00164,0.00057
3.59,0.00120,0.00064,0.00052,0.00075,0.00081,0.00223,0.00147,0.00068
3.60,0.00109,0.00174,0.00056,0.00160,0.00066,0.00066,0.00717,0.00188
3.61,0.00423,0.00419,0.00126,0.00269,0.00058,0.00061,0.01286,0.00235
3.62,0.00469,0.00260,0.00198,0.00182,0.00069,0.00065,0.00898,0.00232
3.63,0.00485,0.00212,0.00192,0.00081,0.00063,0.00072,0.01208,0.00249
