"Syn1"	"Syn2"
"IP"	0.328669330114482	0.59640724657212
"VL"	0.0221831954534131	0.580859192480232
"BF"	0.538216860319868	0.254971279227014
"ST"	0.519229635125947	0.00934722079608365
"GA"	0.0265597538897848	0.491698150005675
"TA"	0.575762237411666	0.00601666528910108
