"Time","v2 Right CoP","v1 xCoMy","v3 Left CoP","28a CoMy (cm)","28 CoMy (cm)","27 CoMx (cm)","26 HRy (cm)","25 HRx (cm)","24 HLy (cm)","23 HLx (cm)","22 FRy (cm)","21 FRx (cm)","20 FLy (cm)","19 FLx (cm)","18 MTP ang","17 ankle ang)","16 knee ang","15 hip ang","14 FLty (cm)","13 FLtx (cm)","12 toey (cm)","11 toex (cm)","10 MTPy (cm)","9 MTPx (cm)","8 anky (cm)","7 ankx (cm)","6 kny (cm)","5 knx (cm)","4 Hipy (cm)","3 Hipx (cm)","2 Cry (cm)","1 Crx (cm)"
0.000,5.177320,6.266481,6.600631,6.318470,-0.956209,9.576825,4.644604,10.500565,6.106952,10.729179,5.710037,8.267367,7.094311,5.541255,142.699783,91.869225,54.523216,41.530476,9.476418,10.532288,8.822835,8.369978,8.981775,7.937946,9.570531,7.563009,11.078055,9.767560,11.785704,7.839949,12.144009,8.755530
0.001,5.175320,6.264478,6.610099,6.316382,-0.954638,9.581252,4.640571,10.510710,6.105509,10.720734,5.710069,8.257249,7.114690,5.557106,142.773987,92.325653,54.444103,41.525063,9.465633,10.545313,8.817316,8.361545,8.979332,7.932593,9.573477,7.560361,11.084671,9.767355,11.787157,7.841953,12.147345,8.757208
0.002,5.173320,6.262475,6.619566,6.314294,-0.953068,9.585679,4.636539,10.520854,6.104065,10.712287,5.710101,8.247130,7.135068,5.572957,142.848175,92.782074,54.364990,41.519646,9.454847,10.558338,8.811798,8.353111,8.976888,7.927240,9.576422,7.557712,11.091286,9.767151,11.788610,7.843957,12.150681,8.758886
0.003,5.171319,6.260472,6.629034,6.312206,-0.951498,9.590106,4.632505,10.530998,6.102621,10.703840,5.710134,8.237012,7.155447,5.588808,142.922379,93.238495,54.285873,41.514233,9.444062,10.571362,8.806280,8.344678,8.974443,7.921887,9.579368,7.555064,11.097901,9.766946,11.790064,7.845962,12.154016,8.760564
0.004,5.172363,6.258232,6.638894,6.309869,-0.949727,9.591288,4.628559,10.543061,6.098924,10.693563,5.716167,8.227921,7.178864,5.627693,142.242645,93.702675,54.077446,41.307049,9.438074,10.614760,8.805407,8.339703,8.972304,7.915846,9.585306,7.551327,11.105202,9.766757,11.790192,7.845842,12.154286,8.761625
0.005,5.173407,6.255992,6.648754,6.307532,-0.947955,9.592469,4.624613,10.555124,6.095227,10.683286,5.722200,8.218828,7.202281,5.666578,141.562897,94.166855,53.869022,41.099861,9.432085,10.658157,8.804533,8.334726,8.970165,7.909805,9.591246,7.547590,11.112501,9.766567,11.790318,7.845722,12.154558,8.762688
0.006,5.174450,6.253751,6.658613,6.305196,-0.946183,9.593651,4.620667,10.567186,6.091530,10.673008,5.728234,8.209737,7.225697,5.705464,140.883148,94.631035,53.660599,40.892677,9.426097,10.701555,8.803659,8.329750,8.968025,7.903765,9.597185,7.543853,11.119802,9.766378,11.790445,7.845603,12.154829,8.763750
0.007,5.175494,6.251511,6.668473,6.302859,-0.944412,9.594832,4.616721,10.579249,6.087833,10.662731,5.734267,8.200645,7.249114,5.744349,140.203415,95.095215,53.452171,40.685493,9.420109,10.744953,8.802786,8.324775,8.965886,7.897724,9.603124,7.540116,11.127102,9.766190,11.790573,7.845483,12.155100,8.764812
0.008,5.172929,6.249180,6.676434,6.300364,-0.941389,9.594832,4.615335,10.598096,6.086786,10.650838,5.730523,8.193861,7.266081,5.770570,139.911346,95.429665,53.456741,40.711819,9.377096,10.778868,8.801700,8.316374,8.964539,7.890312,9.601892,7.537062,11.127893,9.763699,11.789962,7.844448,12.155758,8.764606
0.009,5.170364,6.246849,6.684394,6.297869,-0.938367,9.594832,4.613950,10.616941,6.085739,10.638945,5.726778,8.187077,7.283049,5.796792,139.619263,95.764114,53.461311,40.738144,9.334085,10.812783,8.800613,8.307972,8.963190,7.882900,9.600660,7.534008,11.128685,9.761208,11.789351,7.843413,12.156416,8.764400
0.010,5.167799,6.244518,6.692355,6.295373,-0.935345,9.594832,4.612564,10.635788,6.084692,10.627050,5.723033,8.180291,7.300017,5.823013,139.327194,96.098557,53.465885,40.764473,9.291073,10.846699,8.799526,8.299571,8.961842,7.875488,9.599429,7.530953,11.129478,9.758716,11.788740,7.842379,12.157073,8.764194
0.011,5.165234,6.242187,6.700315,6.292878,-0.932323,9.594832,4.611178,10.654634,6.083645,10.615157,5.719289,8.173507,7.316985,5.849235,139.035126,96.433006,53.470455,40.790798,9.248060,10.880613,8.798440,8.291170,8.960494,7.868076,9.598198,7.527899,11.130269,9.756225,11.788129,7.841344,12.157731,8.763988
0.012,5.162762,6.239757,6.714033,6.290211,-0.927952,9.592571,4.606502,10.670364,6.083160,10.603766,5.719021,8.164502,7.344906,5.889388,139.129868,96.823128,53.294605,40.609039,9.254968,10.888118,8.798440,8.281512,8.962789,7.859069,9.603079,7.522821,11.138692,9.754637,11.788633,7.841710,12.158804,8.765121
0.013,5.160290,6.237327,6.727751,6.287543,-0.923582,9.590311,4.601826,10.686095,6.082674,10.592376,5.718754,8.155499,7.372828,5.929541,139.224609,97.213242,53.118752,40.427284,9.261875,10.895622,8.798440,8.271854,8.965082,7.850062,9.607960,7.517743,11.147115,9.753050,11.789138,7.842075,12.159877,8.766254
0.014,5.157818,6.234897,6.741469,6.284875,-0.919212,9.588050,4.597150,10.701826,6.082189,10.580985,5.718486,8.146494,7.400749,5.969694,139.319366,97.603363,52.942902,40.245529,9.268782,10.903127,8.798440,8.262197,8.967377,7.841056,9.612840,7.512665,11.155538,9.751462,11.789642,7.842440,12.160950,8.767387
0.015,5.155346,6.232467,6.755187,6.282207,-0.914841,9.585789,4.592474,10.717556,6.081703,10.569594,5.718219,8.137489,7.428670,6.009848,139.414108,97.993484,52.767052,40.063770,9.275689,10.910631,8.798440,8.252540,8.969671,7.832049,9.617721,7.507587,11.163960,9.749874,11.790147,7.842805,12.162023,8.768521
0.016,5.154197,6.229901,6.763998,6.279333,-0.909169,9.584101,4.589177,10.745340,6.081076,10.559939,5.719218,8.131441,7.446919,6.050122,139.052963,98.311211,52.585472,39.800323,9.304001,10.943016,8.798407,8.246610,8.972017,7.823914,9.625072,7.501189,11.175029,9.746853,11.792974,7.842025,12.164466,8.769509
0.017,5.153049,6.227335,6.772809,6.276459,-0.903497,9.582414,4.585880,10.773125,6.080449,10.550283,5.720217,8.125393,7.465168,6.090396,138.691833,98.628937,52.403893,39.536873,9.332313,10.975401,8.798374,8.240681,8.974362,7.815779,9.632423,7.494790,11.186098,9.743832,11.795803,7.841245,12.166910,8.770497
0.018,5.151900,6.224769,6.781619,6.273584,-0.897825,9.580727,4.582584,10.800908,6.079822,10.540628,5.721216,8.119344,7.483416,6.130671,138.330688,98.946655,52.222313,39.273426,9.360624,11.007785,8.798341,8.234751,8.976707,7.807644,9.639774,7.488391,11.197166,9.740811,11.798632,7.840465,12.169353,8.771485
0.019,5.150751,6.222203,6.790430,6.270710,-0.892153,9.579039,4.579288,10.828692,6.079195,10.530973,5.722215,8.113296,7.501665,6.170945,137.969543,99.264381,52.040733,39.009979,9.388936,11.040170,8.798307,8.228821,8.979053,7.799510,9.647126,7.481992,11.208235,9.737790,11.801459,7.839684,12.171797,8.772473
0.020,5.151338,6.219632,6.794133,6.267752,-0.885039,9.576132,4.581091,10.849295,6.078849,10.517877,5.721584,8.102160,7.509418,6.222646,137.837555,99.447075,52.066399,38.943436,9.396215,11.047517,8.798307,8.219287,8.978603,7.788999,9.644479,7.474011,11.210936,9.731016,11.801064,7.836893,12.171532,8.770732
0.021,5.151924,6.217061,6.797837,6.264794,-0.877925,9.573225,4.582895,10.869897,6.078503,10.504780,5.720953,8.091024,7.517171,6.274347,137.705566,99.629761,52.092064,38.876892,9.403496,11.054863,8.798307,8.209753,8.978153,7.778488,9.641831,7.466030,11.213635,9.724242,11.800670,7.834102,12.171267,8.768991
0.022,5.152511,6.214489,6.801540,6.261836,-0.870811,9.570317,4.584699,10.890499,6.078157,10.491682,5.720322,8.079889,7.524924,6.326048,137.573578,99.812454,52.117733,38.810352,9.410776,11.062210,8.798307,8.200218,8.977703,7.767978,9.639184,7.458048,11.216335,9.717468,11.800275,7.831311,12.171001,8.767250
0.023,5.153097,6.211918,6.805243,6.258878,-0.863697,9.567410,4.586503,10.911101,6.077811,10.478585,5.719691,8.068754,7.532677,6.377748,137.441589,99.995148,52.143398,38.743809,9.418056,11.069557,8.798307,8.190684,8.977253,7.757467,9.636537,7.450067,11.219036,9.710694,11.799880,7.828520,12.170736,8.765509
0.024,5.152588,6.209326,6.809836,6.255828,-0.855279,9.566290,4.586685,10.932365,6.077113,10.471390,5.718490,8.063555,7.542561,6.430774,138.922058,99.309402,51.912334,38.233543,9.424928,11.089242,8.797166,8.181138,8.982265,7.744567,9.639065,7.424543,11.244317,9.693458,11.802188,7.828955,12.173006,8.765799
0.025,5.152078,6.206733,6.814430,6.252778,-0.846860,9.565170,4.586868,10.953630,6.076415,10.464195,5.717288,8.058354,7.552444,6.483800,140.402527,98.623657,51.681267,37.723274,9.431799,11.108927,8.796024,8.171593,8.987276,7.731667,9.641593,7.399018,11.269598,9.676222,11.804496,7.829391,12.175276,8.766088
0.026,5.151568,6.204141,6.819023,6.249727,-0.838442,9.564050,4.587050,10.974895,6.075717,10.457001,5.716087,8.053154,7.562329,6.536826,141.882996,97.937912,51.450203,37.213009,9.438671,11.128613,8.794882,8.162046,8.992287,7.718767,9.644121,7.373494,11.294879,9.658985,11.806804,7.829825,12.177546,8.766376
0.027,5.151059,6.201548,6.823616,6.246677,-0.830023,9.562929,4.587233,10.996160,6.075019,10.449805,5.714886,8.047955,7.572213,6.589852,143.363464,97.252167,51.219139,36.702744,9.445543,11.148297,8.793740,8.152500,8.997298,7.705867,9.646649,7.347970,11.320160,9.641748,11.809112,7.830261,12.179815,8.766666
0.028,5.150245,6.199013,6.823046,6.243627,-0.820541,9.560257,4.585124,11.027506,6.073122,10.436532,5.715367,8.038975,7.572970,6.643814,143.237701,97.802948,50.314987,35.643204,9.451298,11.163302,8.793740,8.132328,9.004021,7.675345,9.664436,7.317157,11.358033,9.623070,11.807940,7.827420,12.179306,8.764430
0.029,5.149431,6.196479,6.822476,6.240576,-0.811059,9.557585,4.583014,11.058853,6.071225,10.423258,5.715849,8.029994,7.573727,6.697776,143.111954,98.353722,49.410835,34.583664,9.457052,11.178308,8.793740,8.112156,9.010744,7.644824,9.682224,7.286344,11.395906,9.604391,11.806768,7.824580,12.178797,8.762194
0.030,5.148618,6.193944,6.821906,6.237526,-0.801576,9.554914,4.580904,11.090200,6.069327,10.409985,5.716331,8.021013,7.574484,6.751739,142.986206,98.904495,48.506680,33.524120,9.462806,11.193314,8.793740,8.091984,9.017467,7.614303,9.700012,7.255530,11.433781,9.585713,11.805597,7.821740,12.178288,8.759958
0.031,5.147804,6.191409,6.821336,6.234476,-0.792094,9.552241,4.578794,11.121547,6.067430,10.396711,5.716813,8.012033,7.575241,6.805701,142.860443,99.455276,47.602528,32.464581,9.468560,11.208319,8.793740,8.071812,9.024190,7.583781,9.717799,7.224717,11.471654,9.567035,11.804426,7.818899,12.177778,8.757722
0.032,5.147903,6.188990,6.825518,6.231483,-0.781546,9.547016,4.578242,11.143085,6.065910,10.390001,5.717565,8.006786,7.585125,6.877682,143.336670,98.611458,47.965736,32.805260,9.472452,11.229112,8.793181,8.071032,9.017881,7.591716,9.706286,7.220997,11.463910,9.561004,11.804547,7.817279,12.178620,8.754889
0.033,5.148004,6.186571,6.829700,6.228491,-0.770998,9.541790,4.577690,11.164621,6.064389,10.383291,5.718316,8.001539,7.595010,6.949664,143.812897,97.767639,48.328945,33.145935,9.476343,11.249905,8.792624,8.070251,9.011572,7.599651,9.694774,7.217277,11.456167,9.554974,11.804668,7.815660,12.179462,8.752057
0.034,5.148103,6.184152,6.833881,6.225498,-0.760450,9.536565,4.577138,11.186159,6.062869,10.376582,5.719068,7.996293,7.604894,7.021645,144.289108,96.923813,48.692154,33.486610,9.480234,11.270699,8.792065,8.069470,9.005262,7.607586,9.683261,7.213557,11.448423,9.548943,11.804790,7.814040,12.180305,8.749225
0.035,5.148203,6.181733,6.838063,6.222506,-0.749902,9.531340,4.576586,11.207697,6.061348,10.369872,5.719819,7.991045,7.614779,7.093626,144.765335,96.079994,49.055363,33.827290,9.484126,11.291492,8.791506,8.068690,8.998954,7.615521,9.671748,7.209837,11.440680,9.542912,11.804912,7.812420,12.181147,8.746392
0.036,5.150791,6.179504,6.840183,6.219660,-0.738565,9.531113,4.579716,11.221856,6.061348,10.360047,5.721865,7.984591,7.619019,7.152410,144.231735,98.123589,48.871948,34.056614,9.490594,11.308443,8.777842,8.053583,8.998477,7.605730,9.683886,7.230008,11.429209,9.559850,11.802958,7.808426,12.180785,8.742806
0.037,5.153378,6.177275,6.842304,6.216814,-0.727227,9.530887,4.582846,11.236015,6.061348,10.350224,5.723910,7.978136,7.623259,7.211193,143.698151,100.167191,48.688530,34.285934,9.497063,11.325396,8.764177,8.038476,8.998001,7.595939,9.696022,7.250179,11.417737,9.576788,11.801003,7.804432,12.180424,8.739221
0.038,5.155966,6.175045,6.844424,6.213968,-0.715889,9.530661,4.585976,11.250175,6.061348,10.340399,5.725955,7.971682,7.627500,7.269977,143.164551,102.210785,48.505112,34.515259,9.503531,11.342348,8.750514,8.023369,8.997524,7.586148,9.708159,7.270350,11.406265,9.593726,11.799047,7.800437,12.180063,8.735635
0.039,5.158554,6.172816,6.846544,6.211123,-0.704552,9.530434,4.589106,11.264335,6.061348,10.330574,5.728001,7.965227,7.631740,7.328760,142.630951,104.254379,48.321697,34.744583,9.509998,11.359300,8.736850,8.008262,8.997047,7.576357,9.720297,7.290522,11.394794,9.610664,11.797093,7.796443,12.179702,8.732049
0.040,5.161688,6.170642,6.847193,6.208292,-0.692465,9.529853,4.596272,11.282044,6.062647,10.321188,5.727104,7.961927,7.631740,7.385736,143.466904,104.563362,48.157619,34.815929,9.518367,11.377638,8.736850,8.003673,9.003811,7.580183,9.731321,7.299879,11.392958,9.617382,11.797688,7.794681,12.182557,8.733213
0.041,5.164823,6.168468,6.847842,6.205461,-0.680377,9.529272,4.603438,11.299754,6.063945,10.311802,5.726208,7.958629,7.631740,7.442712,144.302856,104.872345,47.993538,34.887276,9.526735,11.395977,8.736850,7.999083,9.010573,7.584009,9.742346,7.309236,11.391120,9.624100,11.798281,7.792918,12.185412,8.734377
0.042,5.167957,6.166295,6.848491,6.202630,-0.668290,9.528692,4.610604,11.317464,6.065243,10.302417,5.725311,7.955330,7.631740,7.499688,145.138824,105.181335,47.829460,34.958622,9.535103,11.414315,8.736850,7.994493,9.017336,7.587835,9.753371,7.318593,11.389282,9.630818,11.798875,7.791155,12.188268,8.735540
0.043,5.171092,6.164121,6.849140,6.199800,-0.656203,9.528111,4.617770,11.335174,6.066541,10.293031,5.724414,7.952031,7.631740,7.556664,145.974777,105.490318,47.665382,35.029968,9.543471,11.432653,8.736850,7.989904,9.024099,7.591661,9.764396,7.327950,11.387445,9.637536,11.799469,7.789393,12.191123,8.736705
0.044,5.172335,6.162004,6.844278,6.196969,-0.643078,9.525489,4.621558,11.346268,6.066813,10.282114,5.723112,7.942591,7.621743,7.617264,149.898300,102.561172,48.249569,35.484177,9.544812,11.442293,8.745676,7.996603,9.037565,7.604762,9.738234,7.315052,11.375803,9.624269,11.796997,7.786030,12.190431,8.732374
0.045,5.173578,6.159887,6.839417,6.194138,-0.629952,9.522866,4.625346,11.357361,6.067086,10.271198,5.721809,7.933151,7.611747,7.677864,153.821823,99.632019,48.833755,35.938389,9.546153,11.451933,8.754501,8.003302,9.051031,7.617863,9.712071,7.302154,11.364160,9.611001,11.794526,7.782667,12.189739,8.728044
0.046,5.174821,6.157770,6.834555,6.191307,-0.616827,9.520244,4.629134,11.368454,6.067359,10.260282,5.720507,7.923712,7.601751,7.738465,157.745346,96.702866,49.417946,36.392601,9.547494,11.461572,8.763328,8.009999,9.064497,7.630963,9.685909,7.289255,11.352516,9.597733,11.792055,7.779304,12.189047,8.723713
0.047,5.176064,6.155653,6.829693,6.188476,-0.603701,9.517621,4.632922,11.379548,6.067631,10.249365,5.719205,7.914272,7.591755,7.799065,161.668869,93.773720,50.002132,36.846809,9.548835,11.471211,8.772154,8.016698,9.077963,7.644064,9.659747,7.276357,11.340874,9.584466,11.789583,7.775940,12.188354,8.719382
0.048,5.176314,6.153509,6.825448,6.185571,-0.589680,9.514842,4.636417,11.387978,6.068069,10.240028,5.716211,7.909452,7.582828,7.852859,155.835480,95.489754,49.653305,36.402260,9.548830,11.479000,8.774759,8.004773,9.045749,7.624588,9.666325,7.259446,11.358259,9.572836,11.789791,7.773075,12.189446,8.717890
0.049,5.176565,6.151366,6.821203,6.182665,-0.575659,9.512064,4.639912,11.396406,6.068507,10.230692,5.713217,7.904632,7.573900,7.906653,150.002075,97.205788,49.304474,35.957714,9.548825,11.486788,8.777364,7.992848,9.013535,7.605113,9.672903,7.242535,11.375646,9.561205,11.789999,7.770209,12.190538,8.716396
0.050,5.176815,6.149223,6.816958,6.179760,-0.561638,9.509285,4.643407,11.404836,6.068945,10.221354,5.710223,7.899811,7.564972,7.960448,144.168686,98.921822,48.955643,35.513168,9.548820,11.494576,8.779968,7.980924,8.981320,7.585637,9.679481,7.225623,11.393032,9.549575,11.790208,7.767344,12.191629,8.714903
0.051,5.177066,6.147080,6.812714,6.176854,-0.547617,9.506506,4.646902,11.413265,6.069383,10.212018,5.707229,7.894990,7.556045,8.014242,138.335297,100.637856,48.606815,35.068619,9.548816,11.502364,8.782574,7.968999,8.949106,7.566162,9.686058,7.208712,11.410418,9.537945,11.790416,7.764478,12.192721,8.713410
0.052,5.181040,6.145153,6.808130,6.174109,-0.532585,9.506506,4.654378,11.418226,6.071949,10.202589,5.707702,7.886018,7.544311,8.067003,137.979111,101.044373,48.095871,34.593014,9.551695,11.506153,8.789528,7.948794,8.956717,7.550088,9.696929,7.196867,11.427394,9.530668,11.788670,7.762560,12.192170,8.710712
0.053,5.185015,6.143226,6.803546,6.171365,-0.517553,9.506506,4.661855,11.423186,6.074516,10.193159,5.708175,7.877045,7.532577,8.119764,137.622925,101.450882,47.584930,34.117409,9.554574,11.509941,8.796483,7.928589,8.964328,7.534015,9.707800,7.185023,11.444370,9.523392,11.786922,7.760642,12.191619,8.708015
0.054,5.188989,6.141298,6.798963,6.168621,-0.502521,9.506506,4.669331,11.428146,6.077083,10.183729,5.708648,7.868072,7.520844,8.172525,137.266754,101.857399,47.073986,33.641804,9.557453,11.513729,8.803438,7.908384,8.971939,7.517941,9.718671,7.173179,11.461346,9.516116,11.785175,7.758724,12.191068,8.705317
0.055,5.192964,6.139371,6.794379,6.165876,-0.487489,9.506506,4.676807,11.433107,6.079649,10.174300,5.709121,7.859099,7.509109,8.225286,136.910568,102.263916,46.563042,33.166199,9.560332,11.517518,8.810392,7.888180,8.979549,7.501868,9.729542,7.161334,11.478322,9.508840,11.783429,7.756805,12.190516,8.702620
0.056,5.193094,6.137669,6.787948,6.163301,-0.471426,9.507007,4.679505,11.440420,6.081888,10.165545,5.706685,7.852824,7.494009,8.271165,137.643036,102.482971,46.561104,33.232307,9.559654,11.521638,8.810392,7.874863,8.982729,7.492877,9.728960,7.157193,11.478858,9.504946,11.783279,7.753855,12.192829,8.701590
0.057,5.193225,6.135967,6.781517,6.160725,-0.455364,9.507507,4.682203,11.447733,6.084126,10.156789,5.704248,7.846550,7.478908,8.317043,138.375488,102.702019,46.559162,33.298420,9.558975,11.525759,8.810392,7.861545,8.985909,7.483885,9.728378,7.153051,11.479393,9.501051,11.783131,7.750905,12.195141,8.700561
0.058,5.193357,6.134264,6.775085,6.158150,-0.439301,9.508007,4.684901,11.455046,6.086365,10.148033,5.701812,7.840275,7.463806,8.362922,139.107941,102.921066,46.557220,33.364532,9.558296,11.529879,8.810392,7.848228,8.989089,7.474894,9.727798,7.148910,11.479929,9.497156,11.782981,7.747954,12.197453,8.699532
0.059,5.193487,6.132562,6.768654,6.155574,-0.423238,9.508508,4.687599,11.462358,6.088603,10.139277,5.699376,7.834001,7.448705,8.408800,139.840408,103.140121,46.555283,33.430641,9.557618,11.533998,8.810392,7.834910,8.992269,7.465902,9.727216,7.144769,11.480465,9.493262,11.782831,7.745004,12.199765,8.698502
0.060,5.196271,6.130569,6.763871,6.152672,-0.406538,9.508508,4.695786,11.469294,6.088603,10.129349,5.696757,7.826228,7.439138,8.455832,140.497971,103.374374,46.435249,33.337540,9.557323,11.538073,8.804198,7.830306,8.996730,7.455583,9.729212,7.139045,11.482907,9.488209,11.781436,7.740541,12.199123,8.694575
0.061,5.199056,6.128574,6.759087,6.149770,-0.389838,9.508508,4.703973,11.476229,6.088603,10.119419,5.694139,7.818455,7.429571,8.502863,141.155518,103.608635,46.315216,33.244442,9.557028,11.542147,8.798004,7.825701,9.001192,7.445263,9.731209,7.133322,11.485350,9.483156,11.780041,7.736078,12.198483,8.690649
0.062,5.201840,6.126580,6.754303,6.146868,-0.373138,9.508508,4.712160,11.483163,6.088603,10.109490,5.691520,7.810682,7.420003,8.549895,141.813080,103.842896,46.195187,33.151344,9.556733,11.546220,8.791809,7.821096,9.005653,7.434944,9.733205,7.127598,11.487791,9.478103,11.778646,7.731616,12.197841,8.686724
0.063,5.204624,6.124587,6.749520,6.143966,-0.356438,9.508508,4.720347,11.490098,6.088603,10.099562,5.688902,7.802909,7.410436,8.596927,142.470642,104.077148,46.075153,33.058243,9.556438,11.550294,8.785615,7.816492,9.010115,7.424625,9.735201,7.121875,11.490233,9.473049,11.777251,7.727153,12.197199,8.682797
0.064,5.206670,6.122852,6.745968,6.141304,-0.339369,9.510509,4.724133,11.493760,6.086520,10.096573,5.689208,7.792658,7.405417,8.641758,142.568024,104.292358,45.944565,32.970337,9.554849,11.556430,8.782817,7.817040,9.012941,7.417654,9.738327,7.118178,11.492692,9.469716,11.776114,7.723643,12.197162,8.680514
0.065,5.208715,6.121118,6.742417,6.138641,-0.322299,9.512511,4.727918,11.497423,6.084435,10.093584,5.689513,7.782408,7.400399,8.686590,142.665405,104.507568,45.813972,32.882431,9.553259,11.562567,8.780019,7.817588,9.015768,7.410682,9.741452,7.114482,11.495150,9.466383,11.774979,7.720133,12.197124,8.678231
0.066,5.210761,6.119383,6.738866,6.135978,-0.305230,9.514513,4.731703,11.501085,6.082352,10.090596,5.689819,7.772158,7.395380,8.731421,142.762772,104.722786,45.683380,32.794521,9.551669,11.568703,8.777221,7.818136,9.018596,7.403710,9.744577,7.110785,11.497608,9.463049,11.773842,7.716623,12.197088,8.675948
0.067,5.212807,6.117648,6.735314,6.133316,-0.288160,9.516515,4.735489,11.504747,6.080268,10.087607,5.690125,7.761907,7.390361,8.776253,142.860153,104.937996,45.552792,32.706615,9.550079,11.574839,8.774423,7.818685,9.021422,7.396739,9.747704,7.107089,11.500067,9.459716,11.772705,7.713114,12.197051,8.673665
0.068,5.216676,6.116138,6.734032,6.130867,-0.270901,9.518488,4.742622,11.510268,6.080268,10.078784,5.690731,7.754195,7.387796,8.808272,141.954010,105.505920,45.472076,32.748798,9.551163,11.582081,8.774423,7.813560,9.022362,7.387721,9.749342,7.106236,11.500884,9.458920,11.771477,7.711980,12.197697,8.671810
0.069,5.220545,6.114628,6.732749,6.128419,-0.253641,9.520460,4.749755,11.515789,6.080268,10.069962,5.691336,7.746482,7.385231,8.840292,141.047882,106.073837,45.391357,32.790977,9.552246,11.589324,8.774423,7.808434,9.023301,7.378703,9.750979,7.105383,11.501701,9.458122,11.770248,7.710847,12.198342,8.669956
0.070,5.224415,6.113118,6.731466,6.125970,-0.236381,9.522433,4.756887,11.521311,6.080268,10.061138,5.691942,7.738770,7.382665,8.872313,140.141739,106.641762,45.310638,32.833160,9.553329,11.596567,8.774423,7.803310,9.024240,7.369685,9.752617,7.104529,11.502520,9.457326,11.769020,7.709713,12.198988,8.668102
0.071,5.228284,6.111608,6.730184,6.123522,-0.219121,9.524406,4.764020,11.526832,6.080268,10.052315,5.692547,7.731057,7.380100,8.904332,139.235596,107.209686,45.229923,32.875343,9.554412,11.603809,8.774423,7.798185,9.025180,7.360667,9.754255,7.103676,11.503337,9.456530,11.767792,7.708580,12.199634,8.666247
0.072,5.231297,6.110382,6.729336,6.121366,-0.202010,9.526428,4.771811,11.537555,6.080586,10.041139,5.690782,7.723206,7.378086,8.930782,138.732727,107.494965,45.033012,32.769108,9.553319,11.607546,8.774423,7.788372,9.023643,7.348993,9.755151,7.094516,11.508708,9.448960,11.764857,7.705330,12.198849,8.661441
0.073,5.234309,6.109156,6.728488,6.119209,-0.184899,9.528450,4.779601,11.548277,6.080904,10.029963,5.689017,7.715354,7.376071,8.957232,138.229858,107.780251,44.836105,32.662872,9.552226,11.611281,8.774423,7.778559,9.022105,7.337318,9.756046,7.085356,11.514079,9.441391,11.761923,7.702080,12.198063,8.656634
0.074,5.237322,6.107930,6.727640,6.117053,-0.167788,9.530473,4.787392,11.559000,6.081223,10.018787,5.687252,7.707502,7.374057,8.983682,137.726990,108.065536,44.639194,32.556637,9.551133,11.615017,8.774423,7.768745,9.020568,7.325644,9.756942,7.076196,11.519450,9.433822,11.758988,7.698831,12.197278,8.651828
0.075,5.240335,6.106704,6.726792,6.114897,-0.150677,9.532495,4.795182,11.569723,6.081541,10.007611,5.685487,7.699651,7.372043,9.010132,137.224121,108.350815,44.442284,32.450401,9.550040,11.618753,8.774423,7.758932,9.019031,7.313970,9.757837,7.067036,11.524821,9.426252,11.756054,7.695580,12.196493,8.647021
0.076,5.242835,6.105658,6.724836,6.112945,-0.134035,9.532495,4.799367,11.575966,6.082737,9.993347,5.686302,7.690280,7.366935,9.047668,136.754700,108.650955,44.243649,32.420570,9.550210,11.623808,8.773755,7.752663,9.017359,7.305512,9.759979,7.061196,11.529837,9.421451,11.753601,7.693992,12.197431,8.643984
0.077,5.245335,6.104610,6.722880,6.110993,-0.117394,9.532495,4.803553,11.582209,6.083932,9.979082,5.687118,7.680909,7.361828,9.085203,136.285278,108.951096,44.045013,32.390743,9.550381,11.628863,8.773088,7.746394,9.015688,7.297056,9.762121,7.055357,11.534851,9.416649,11.751148,7.692404,12.198368,8.640947
0.078,5.247835,6.103564,6.720924,6.109042,-0.100753,9.532495,4.807738,11.588452,6.085128,9.964817,5.687933,7.671539,7.356720,9.122739,135.815857,109.251244,43.846382,32.360916,9.550550,11.633919,8.772420,7.740125,9.014016,7.288599,9.764262,7.049518,11.539866,9.411846,11.748694,7.690815,12.199306,8.637911
0.079,5.250336,6.102517,6.718968,6.107090,-0.084112,9.532495,4.811923,11.594695,6.086324,9.950553,5.688749,7.662168,7.351613,9.160275,135.346436,109.551384,43.647747,32.331085,9.550720,11.638973,8.771752,7.733856,9.012344,7.280142,9.766404,7.043678,11.544882,9.407044,11.746242,7.689227,12.200243,8.634873
0.080,5.251748,6.101410,6.720854,6.105097,-0.067803,9.531011,4.816016,11.596121,6.092380,9.943243,5.687480,7.653768,7.349329,9.189405,135.882660,109.582489,43.616932,32.294216,9.550330,11.640075,8.768719,7.722978,9.012286,7.273556,9.763065,7.037992,11.544799,9.402227,11.743705,7.687071,12.197058,8.629940
0.081,5.253160,6.100303,6.722740,6.103103,-0.051495,9.529527,4.820109,11.597548,6.098435,9.935934,5.686211,7.645368,7.347045,9.218536,136.418869,109.613602,43.586113,32.257347,9.549940,11.641176,8.765686,7.712100,9.012228,7.266970,9.759727,7.032307,11.544716,9.397409,11.741167,7.684915,12.193872,8.625007
