"Time","60 Right DS","59 Left DS","58 FLr Sw of","57 FLr Sw on","56 FLl Sw of","54 HLr Sw of","55 FLl Sw on","53 HLr Sw on","52 HLl Sw of","51 HLl Sw on","v6 L Mos","v4 R Mos","67 xCoM","37 CoMy (cm)","v5 L COP","v3 R COP","35 FRy (cm)","33 FLy (cm)","30 HRy (cm)","28 HLy (cm)"
0.055,1,1,0,0,0,0,0,0,0,0,-5.140484,-5.140484,5.141348,2.044780,0.000000,0.000000,4.429532,5.938005,3.855608,6.700174
0.056,1,1,0,0,0,0,0,0,0,0,-5.141255,-5.141255,5.142515,2.082819,0.000000,0.000000,4.432181,5.938133,3.854517,6.694013
0.057,1,1,0,0,0,0,0,0,0,0,-5.142615,-5.142615,5.147102,2.134646,0.000000,0.000000,4.435233,5.939979,3.855619,6.692649
0.058,1,1,0,0,0,0,0,0,0,0,-5.146905,-5.146905,5.151690,2.186474,0.000000,0.000000,4.438285,5.941825,3.856722,6.691286
0.059,1,1,0,0,0,0,0,0,0,0,-5.154219,-5.154219,5.156276,2.238302,0.000000,0.000000,4.441337,5.943671,3.857825,6.689923
0.060,1,1,0,0,0,0,0,0,0,0,-5.166518,-5.166518,5.166788,2.290008,0.000000,0.000000,4.446819,5.944219,3.860672,6.688215
0.061,1,1,0,0,0,0,0,0,0,0,-5.183964,-5.183964,5.185823,2.341537,0.000000,0.000000,4.455798,5.942898,3.866030,6.686011
0.062,1,1,0,0,0,0,0,0,0,0,-5.202864,-5.202864,5.204859,2.393066,0.000000,0.000000,4.464777,5.941577,3.871389,6.683807
0.063,1,1,0,0,0,0,0,0,0,0,-5.223265,-5.223265,5.223895,2.444596,0.000000,0.000000,4.473757,5.940257,3.876748,6.681603
0.064,1,1,0,0,0,0,0,0,0,0,-5.240913,-5.240913,5.239902,2.484377,0.000000,0.000000,4.481184,5.938616,3.880839,6.676446
0.065,1,1,0,0,0,0,0,0,0,0,-5.255720,-5.255720,5.251552,2.507252,0.000000,0.000000,4.486380,5.936514,3.883107,6.667039
0.066,1,1,0,0,0,0,0,0,0,0,-5.267654,-5.267654,5.263202,2.530128,0.000000,0.000000,4.491575,5.934413,3.885376,6.657632
0.067,1,1,0,0,0,0,0,0,0,0,-5.276622,-5.276622,5.274852,2.553003,0.000000,0.000000,4.496770,5.932312,3.887644,6.648225
0.068,1,1,0,0,0,0,0,0,0,0,-5.283616,-5.283616,5.282994,2.570560,0.000000,0.000000,4.500661,5.931426,3.887709,6.638848
0.069,1,1,0,0,0,0,0,0,0,0,-5.288571,-5.288571,5.286089,2.580464,0.000000,0.000000,4.502676,5.932288,3.884602,6.629516
0.070,1,1,0,0,0,0,0,0,0,0,-5.291834,-5.291834,5.289185,2.590368,0.000000,0.000000,4.504691,5.933151,3.881496,6.620183
0.071,1,1,0,0,0,0,0,0,0,0,-5.293352,-5.293352,5.292280,2.600272,0.000000,0.000000,4.506706,5.934013,3.878389,6.610851
0.072,1,1,0,0,0,0,0,0,0,0,-5.293608,-5.293608,5.293963,2.627780,0.000000,0.000000,4.510877,5.933618,3.879848,6.607248
0.073,1,1,0,0,0,0,0,0,0,0,-5.292562,-5.292562,5.293615,2.680621,0.000000,0.000000,4.518151,5.931412,3.887878,6.611892
0.074,1,1,0,0,0,0,0,0,0,0,-5.292147,-5.292147,5.293267,2.733462,0.000000,0.000000,4.525426,5.929206,3.895907,6.616535
0.075,1,1,0,0,0,0,0,0,0,0,-5.292383,-5.292383,5.292919,2.786303,0.000000,0.000000,4.532700,5.927000,3.903936,6.621178
0.076,1,1,0,0,0,0,0,0,0,0,-5.294854,-5.294854,5.294973,2.845600,0.000000,0.000000,4.540387,5.925338,3.909458,6.628542
0.077,1,1,0,0,0,0,0,0,0,0,-5.299631,-5.299631,5.300484,2.914186,0.000000,0.000000,4.548668,5.924459,3.911373,6.639823
0.078,1,1,0,0,0,0,0,0,0,0,-5.305080,-5.305080,5.305995,2.982773,0.000000,0.000000,4.556949,5.923579,3.913288,6.651105
0.079,1,1,0,0,0,0,0,0,0,0,-5.311222,-5.311222,5.311507,3.051359,0.000000,0.000000,4.565230,5.922700,3.915202,6.662386
0.080,1,1,0,0,0,0,0,0,0,0,-5.316019,-5.316019,5.315545,3.116758,0.000000,0.000000,4.573945,5.921017,3.913437,6.674203
0.081,1,1,0,0,0,0,0,0,0,0,-5.319428,-5.319428,5.317465,3.177570,0.000000,0.000000,4.583284,5.918178,3.906378,6.686790
0.082,1,1,0,0,0,0,0,0,0,0,-5.321482,-5.321482,5.319384,3.238382,0.000000,0.000000,4.592624,5.915339,3.899318,6.699378
0.083,1,1,0,0,0,0,0,0,0,0,-5.322136,-5.322136,5.321304,3.299194,0.000000,0.000000,4.601964,5.912500,3.892258,6.711966
0.084,1,1,0,0,0,0,0,0,0,0,-5.322117,-5.322117,5.322412,3.366708,0.000000,0.000000,4.613811,5.910406,3.886066,6.724456
0.085,1,1,0,0,0,0,0,0,0,0,-5.321404,-5.321404,5.322354,3.443866,0.000000,0.000000,4.629266,5.909384,3.881123,6.736805
0.086,1,1,0,0,0,0,0,0,0,0,-5.321284,-5.321284,5.322295,3.521025,0.000000,0.000000,4.644722,5.908363,3.876180,6.749155
0.087,1,1,0,0,0,0,0,0,0,0,-5.321776,-5.321776,5.322237,3.598183,0.000000,0.000000,4.660177,5.907341,3.871237,6.761505
0.088,1,1,0,0,0,0,0,0,0,0,-5.324010,-5.324010,5.324587,3.673220,0.000000,0.000000,4.669486,5.908422,3.869996,6.771704
0.089,1,1,0,0,0,0,0,0,0,0,-5.328043,-5.328043,5.330405,3.745204,0.000000,0.000000,4.669950,5.912529,3.874085,6.778808
0.090,1,1,0,0,0,0,0,0,0,0,-5.333699,-5.333699,5.336223,3.817189,0.000000,0.000000,4.670415,5.916636,3.878173,6.785913
0.091,1,1,0,0,0,0,0,0,0,0,-5.341033,-5.341033,5.342041,3.889173,0.000000,0.000000,4.670879,5.920743,3.882262,6.793017
0.092,1,1,0,0,0,0,0,0,0,0,-5.349519,-5.349519,5.349750,3.961314,0.000000,0.000000,4.671052,5.923250,3.884259,6.800232
0.093,1,1,0,0,0,0,0,0,0,0,-5.359193,-5.359193,5.360180,4.033679,0.000000,0.000000,4.670805,5.923454,3.883244,6.807606
0.094,1,1,0,0,0,0,0,0,0,0,-5.369555,-5.369555,5.370611,4.106046,0.000000,0.000000,4.670557,5.923658,3.882230,6.814979
0.095,1,1,0,0,0,0,0,0,0,0,-5.380629,-5.380629,5.381041,4.178411,0.000000,0.000000,4.670309,5.923862,3.881216,6.822353
0.096,1,1,0,0,0,0,0,0,0,0,-5.392187,-5.392187,5.392789,4.258233,0.000000,0.000000,4.666189,5.922996,3.880132,6.830506
0.097,1,1,0,0,0,0,0,0,0,0,-5.404247,-5.404247,5.406435,4.348782,0.000000,0.000000,4.656497,5.920587,3.878948,6.839781
0.098,1,1,1,0,0,0,0,0,0,0,-5.417747,-4.376611,5.420081,4.439332,0.000000,1.041137,4.646804,5.918178,3.877765,6.849055
0.099,1,1,0,0,0,0,0,0,0,0,-5.432735,-2.275467,5.433727,4.529881,0.000000,3.157268,4.637112,5.915769,3.876581,6.858330
0.100,1,1,0,0,0,0,0,0,0,0,-5.450023,-1.217760,5.450400,4.610301,0.000000,4.232263,4.630420,5.913108,3.873919,6.865765
0.101,1,1,0,0,0,0,0,0,0,0,-5.469686,-1.237423,5.471429,4.676146,0.000000,4.232263,4.628047,5.910083,3.869131,6.870551
0.102,1,1,0,0,0,0,0,0,0,0,-5.490594,-1.258331,5.492458,4.741990,0.000000,4.232263,4.625673,5.907059,3.864342,6.875337
0.103,1,1,0,0,0,0,0,0,0,0,-5.512787,-1.280524,5.513487,4.807834,0.000000,4.232263,4.623300,5.904034,3.859554,6.880122
0.104,1,1,0,0,0,0,0,0,0,0,-5.534631,-1.302368,5.533832,4.854571,0.000000,4.232263,4.618595,5.900848,3.857027,6.883383
0.105,1,1,0,0,0,0,0,0,0,0,-5.556114,-1.323851,5.553190,4.873815,0.000000,4.232263,4.610536,5.897429,3.857756,6.884449
0.106,1,1,0,0,0,0,0,0,0,0,-5.575667,-1.345209,5.572548,4.893058,0.000000,4.230457,4.602476,5.894010,3.858485,6.885515
0.107,1,1,0,0,0,0,0,0,0,0,-5.593227,-1.366439,5.591906,4.912301,0.000000,4.226788,4.594416,5.890591,3.859214,6.886581
0.108,1,1,0,0,0,0,0,0,0,0,-5.607575,-1.384037,5.606423,4.921158,0.000000,4.223537,4.588626,5.889544,3.858760,6.882247
0.109,1,1,0,0,0,0,0,0,0,0,-5.618606,-1.397886,5.613975,4.915070,0.000000,4.220720,4.586102,5.891910,3.856603,6.870142
0.110,1,1,0,0,0,0,0,0,0,0,-5.626472,-1.408136,5.621526,4.908981,0.000000,4.218336,4.583578,5.894277,3.854445,6.858037
0.111,1,1,0,0,0,0,0,0,0,0,-5.631070,-1.414669,5.629077,4.902892,0.000000,4.216400,4.581054,5.896643,3.852288,6.845932
0.112,1,1,0,0,0,0,0,0,0,0,-5.633053,-1.418253,5.632569,4.883386,0.000000,4.214799,4.579666,5.898521,3.850102,6.833808
0.113,1,1,0,0,0,0,0,0,0,0,-5.632337,-1.418792,5.630219,4.844571,0.000000,4.213545,4.579913,5.899698,3.847876,6.821657
0.114,1,1,0,0,0,0,0,0,0,0,-5.630133,-1.417225,5.627869,4.805756,0.000000,4.212907,4.580160,5.900874,3.845649,6.809506
0.115,1,1,0,0,0,0,0,0,0,0,-5.626392,-1.413485,5.625518,4.766941,0.000000,4.212907,4.580407,5.902050,3.843423,6.797355
0.116,1,1,0,0,0,0,0,0,0,0,-5.621973,-1.409065,5.621114,4.704775,0.000000,4.212907,4.580122,5.903353,3.842544,6.788633
0.117,1,1,0,0,0,0,0,0,0,0,-5.616853,-1.403946,5.613754,4.609008,0.000000,4.212907,4.579071,5.904840,3.843604,6.784847
0.118,1,1,0,0,0,0,0,0,0,0,-5.609699,-1.396792,5.606394,4.513240,0.000000,4.212907,4.578019,5.906327,3.844664,6.781061
0.119,1,1,0,0,0,0,0,0,0,0,-5.600444,-1.387537,5.599034,4.417472,0.000000,4.212907,4.576967,5.907814,3.845723,6.777275
0.120,1,1,0,0,0,0,0,0,1,0,-5.588009,-1.374841,5.587974,4.320467,0.000000,4.213168,4.578765,5.909857,3.845450,6.773245
0.121,1,1,0,0,0,0,0,0,0,0,-5.572290,-1.358591,5.571589,4.221680,0.000000,4.213698,4.584664,5.912699,3.843258,6.768865
0.122,1,1,0,0,0,0,0,0,0,0,-5.555959,-1.340867,5.555203,4.122892,0.000000,4.215092,4.590563,5.915541,3.841066,6.764484
0.123,1,1,0,0,0,0,0,0,0,0,-5.538997,-1.321619,5.538817,4.024105,0.000000,4.217378,4.596462,5.918383,3.838873,6.760103
0.124,1,1,0,0,0,0,0,0,0,0,-5.524377,-1.304298,5.525176,3.929222,0.000000,4.220079,4.600533,5.918551,3.840081,6.759759
0.125,1,1,0,0,0,0,0,0,0,0,-5.512176,-1.288968,5.515484,3.839959,0.000000,4.223208,4.601975,5.914871,3.846181,6.765223
0.126,1,1,0,0,0,0,0,0,0,0,-5.502258,-1.275337,5.505791,3.750695,0.000000,4.226921,4.603417,5.911191,3.852282,6.770687
0.127,1,1,0,0,0,0,0,0,0,0,-5.494697,-1.263462,5.496099,3.661431,0.000000,4.231236,4.604858,5.907511,3.858382,6.776150
0.128,1,1,0,0,0,0,0,0,0,0,-5.488696,-1.252651,5.489342,3.564266,0.000000,4.236045,4.610208,5.905766,3.860917,6.780930
0.129,1,1,0,0,0,0,0,0,0,0,-5.484305,-1.242940,5.486809,3.455733,0.000000,4.241365,4.621180,5.906804,3.858323,6.784723
0.130,1,1,0,0,0,0,0,0,0,0,-5.481604,-1.236880,5.484276,3.347199,0.000000,4.244724,4.632152,5.907841,3.855728,6.788516
0.131,1,1,0,0,0,0,0,0,0,0,-5.480646,-1.234590,5.481743,3.238666,0.000000,4.246056,4.643125,5.908879,3.853133,6.792309
0.132,1,1,0,0,0,0,0,0,0,0,-5.481534,-1.234444,5.481864,3.154854,0.000000,4.247089,4.648746,5.910587,3.851695,6.793413
