"Time","v1 xCoMy","v3 Left CoP","28a CoMy (cm)","v2 Right CoP","28 CoMy (cm)","27 CoMx (cm)","26 HRy (cm)","25 HRx (cm)","24 HLy (cm)","23 HLx (cm)","22 FRy (cm)","21 FRx (cm)","20 FLy (cm)","19 FLx (cm)","18 MTP ang","17 ankle ang)","16 knee ang","15 hip ang","14 FLty (cm)","13 FLtx (cm)","12 toey (cm)","11 toex (cm)","10 MTPy (cm)","9 MTPx (cm)","8 anky (cm)","7 ankx (cm)","6 kny (cm)","5 knx (cm)","4 Hipy (cm)","3 Hipx (cm)","2 Cry (cm)","1 Crx (cm)"
0.000,5.771978,4.545613,5.761282,6.498788,0.206962,14.104049,6.579040,11.593099,4.957346,13.265290,6.418536,16.051731,4.133881,16.420616,119.336563,12.724390,30.893566,143.310013,8.690750,13.320724,9.315002,15.686131,9.958370,17.027796,10.439530,17.059084,9.879742,17.147573,11.272077,15.983011,11.478731,15.115562
0.001,5.773174,4.550273,5.762723,6.490762,0.202222,14.101253,6.564874,11.569496,4.958238,13.271187,6.416650,16.056099,4.142309,16.393604,121.039017,15.377837,29.993015,143.193787,8.689732,13.328270,9.318114,15.690008,9.956830,17.012665,10.437868,17.057020,9.884995,17.155333,11.279320,15.980371,11.481735,15.108676
0.002,5.774370,4.554934,5.764165,6.482736,0.197481,14.098456,6.550708,11.545893,4.959129,13.277084,6.414763,16.060469,4.150738,16.366590,122.741478,18.031284,29.092464,143.077560,8.688713,13.335816,9.321226,15.693885,9.955290,16.997532,10.436207,17.054956,9.890249,17.163092,11.286562,15.977733,11.484740,15.101789
0.003,5.775567,4.559594,5.765606,6.474710,0.192741,14.095660,6.536542,11.522290,4.960021,13.282982,6.412877,16.064838,4.159167,16.339577,124.443939,20.684732,28.191912,142.961334,8.687695,13.343363,9.324339,15.697762,9.953751,16.982399,10.434546,17.052893,9.895503,17.170851,11.293805,15.975094,11.487745,15.094903
0.004,5.776710,4.565276,5.766987,6.470894,0.188130,14.091161,6.528532,11.497739,4.960021,13.293328,6.413257,16.081360,4.170530,16.310085,137.001068,25.365152,26.187651,143.418762,8.686211,13.352955,9.343123,15.941101,9.927085,16.951679,10.420504,17.046427,9.895388,17.183487,11.297682,15.967399,11.492697,15.087501
0.005,5.777852,4.570957,5.768368,6.467079,0.183519,14.086660,6.520522,11.473187,4.960021,13.303675,6.413636,16.097881,4.181894,16.280592,149.558212,30.045570,24.183388,143.876190,8.684727,13.362547,9.361908,16.184439,9.900419,16.920959,10.406462,17.039961,9.895271,17.196125,11.301558,15.959703,11.497648,15.080099
0.006,5.778995,4.576639,5.769749,6.463264,0.178908,14.082161,6.512512,11.448636,4.960021,13.314020,6.414015,16.114403,4.193258,16.251099,162.115356,34.725990,22.179127,144.333633,8.683243,13.372138,9.380692,16.427778,9.873753,16.890240,10.392420,17.033495,9.895156,17.208763,11.305434,15.952008,11.502601,15.072697
0.007,5.780138,4.582321,5.771130,6.459448,0.174297,14.077662,6.504501,11.424085,4.960021,13.324367,6.414394,16.130924,4.204621,16.221607,174.672485,39.406410,20.174866,144.791061,8.681759,13.381730,9.399477,16.671116,9.847087,16.859520,10.378378,17.027029,9.895041,17.221399,11.309311,15.944313,11.507552,15.065294
0.008,5.781215,4.584727,5.772444,6.453244,0.169706,14.076696,6.495146,11.406904,4.960021,13.334173,6.411343,16.138885,4.209434,16.187386,166.284851,49.684929,17.597870,146.157410,8.682407,13.393802,9.384430,16.461246,9.833838,16.827648,10.346349,17.004829,9.914520,17.254154,11.313052,15.942445,11.516143,15.063750
0.009,5.782291,4.587133,5.773758,6.447041,0.165115,14.075731,6.485790,11.389724,4.960021,13.343979,6.408292,16.146847,4.214246,16.153164,157.897202,59.963448,15.020874,147.523743,8.683056,13.405874,9.369383,16.251377,9.820587,16.795776,10.314320,16.982628,9.933999,17.286909,11.316793,15.940577,11.524733,15.062206
0.010,5.783368,4.589540,5.775073,6.440837,0.160524,14.074765,6.476434,11.372543,4.960021,13.353786,6.405240,16.154806,4.219059,16.118940,149.509552,70.241966,12.443877,148.890091,8.683703,13.417946,9.354335,16.041506,9.807337,16.763906,10.282291,16.960428,9.953478,17.319664,11.320536,15.938708,11.533323,15.060663
0.011,5.784445,4.591946,5.776387,6.434633,0.155933,14.073800,6.467078,11.355363,4.960021,13.363592,6.402189,16.162767,4.223871,16.084719,141.121918,80.520485,9.866881,150.256439,8.684352,13.430017,9.339288,15.831636,9.794087,16.732035,10.250262,16.938229,9.972958,17.352419,11.324277,15.936840,11.541914,15.059119
0.012,5.785662,4.593850,5.777842,6.427688,0.151310,14.067222,6.456862,11.338431,4.960021,13.372624,6.398513,16.181335,4.227679,16.050585,147.622864,90.134247,15.827188,151.508636,8.685070,13.439612,9.350682,15.915806,9.778594,16.687025,10.218872,16.910341,9.994338,17.378405,11.327525,15.931804,11.548842,15.056374
0.013,5.786878,4.595754,5.779297,6.420743,0.146687,14.060644,6.446647,11.321501,4.960021,13.381657,6.394838,16.199903,4.231486,16.016453,154.123810,99.748009,21.787495,152.760849,8.685788,13.449207,9.362076,15.999974,9.763101,16.642014,10.187483,16.882454,10.015718,17.404388,11.330774,15.926767,11.555771,15.053627
0.014,5.788095,4.597658,5.780753,6.413797,0.142063,14.054066,6.436432,11.304569,4.960021,13.390688,6.391162,16.218472,4.235294,15.982319,160.624771,109.361771,27.747803,154.013062,8.686506,13.458801,9.373470,16.084143,9.747607,16.597004,10.156094,16.854565,10.037099,17.430374,11.334023,15.921731,11.562699,15.050881
0.015,5.789311,4.599562,5.782208,6.406852,0.137440,14.047487,6.426216,11.287638,4.960021,13.399720,6.387487,16.237040,4.239102,15.948186,167.125717,118.975533,33.708111,155.265259,8.687224,13.468396,9.384865,16.168312,9.732114,16.551994,10.124703,16.826677,10.058479,17.456360,11.337271,15.916695,11.569628,15.048136
0.016,5.790668,4.597717,5.783824,6.396817,0.132441,14.044633,6.416940,11.278741,4.960021,13.405346,6.376695,16.256607,4.235413,15.905075,169.968719,123.484390,35.661049,155.888611,8.687202,13.477623,9.377187,16.152348,9.726839,16.519493,10.111310,16.809944,10.074142,17.468155,11.342003,15.913533,11.576331,15.044552
0.017,5.792027,4.595872,5.785440,6.386783,0.127441,14.041779,6.407664,11.269844,4.960021,13.410973,6.365902,16.276175,4.231723,15.861963,172.811707,127.993256,37.613983,156.511963,8.687181,13.486851,9.369509,16.136383,9.721563,16.486992,10.097916,16.793213,10.089804,17.479950,11.346735,15.910372,11.583035,15.040968
0.018,5.793384,4.594027,5.787056,6.376749,0.122442,14.038925,6.398388,11.260947,4.960021,13.416598,6.355110,16.295742,4.228034,15.818852,175.654709,132.502106,39.566917,157.135300,8.687160,13.496078,9.361832,16.120417,9.716288,16.454491,10.084522,16.776482,10.105465,17.491743,11.351467,15.907209,11.589737,15.037385
0.019,5.794742,4.592182,5.788672,6.366714,0.117442,14.036071,6.389112,11.252050,4.960021,13.422224,6.344317,16.315310,4.224344,15.775742,178.497711,137.010971,41.519855,157.758652,8.687138,13.505304,9.354154,16.104452,9.711013,16.421989,10.071129,16.759748,10.121127,17.503538,11.356199,15.904048,11.596440,15.033801
0.020,5.795939,4.593971,5.790148,6.364509,0.112060,14.029636,6.381622,11.245245,4.960021,13.429757,6.347397,16.325623,4.227921,15.737240,177.345322,141.201263,42.863087,158.122696,8.686928,13.513330,9.352150,16.054920,9.708261,16.386160,10.056164,16.741146,10.136178,17.513664,11.360289,15.899458,11.598483,15.028820
0.021,5.797136,4.595759,5.791623,6.362304,0.106678,14.023202,6.374132,11.238440,4.960021,13.437290,6.350476,16.335938,4.231498,15.698737,176.192932,145.391571,44.206322,158.486725,8.686718,13.521358,9.350145,16.005386,9.705508,16.350330,10.041198,16.722544,10.151229,17.523788,11.364378,15.894867,11.600527,15.023839
0.022,5.798333,4.597548,5.793098,6.360099,0.101296,14.016768,6.366642,11.231635,4.960021,13.444822,6.353556,16.346251,4.235075,15.660234,175.040527,149.581879,45.549553,158.850769,8.686508,13.529385,9.348141,15.955853,9.702756,16.314501,10.026232,16.703941,10.166280,17.533913,11.368467,15.890276,11.602570,15.018858
0.023,5.799531,4.599337,5.794574,6.357893,0.095913,14.010333,6.359151,11.224830,4.960021,13.452355,6.356636,16.356564,4.238652,15.621733,173.888138,153.772171,46.892784,159.214813,8.686298,13.537411,9.346137,15.906321,9.700004,16.278671,10.011267,16.685339,10.181331,17.544039,11.372557,15.885686,11.604612,15.013877
0.024,5.800753,4.600604,5.796092,6.355055,0.090185,14.005936,6.354201,11.226930,4.960021,13.458245,6.355909,16.367397,4.241186,15.582709,172.878082,156.347717,47.364231,159.185303,8.687325,13.546347,9.350006,15.882624,9.697532,16.262016,9.998682,16.688124,10.179282,17.556915,11.378727,15.884084,11.609685,15.011638
0.025,5.801974,4.601871,5.797610,6.352217,0.084456,14.001538,6.349250,11.229030,4.960021,13.464136,6.355184,16.378233,4.243720,15.543686,171.868042,158.923248,47.835678,159.155777,8.688353,13.555284,9.353875,15.858926,9.695060,16.245359,9.986097,16.690908,10.177235,17.569790,11.384897,15.882482,11.614758,15.009398
0.026,5.803196,4.603137,5.799128,6.349379,0.078727,13.997141,6.344299,11.231130,4.960021,13.470026,6.354457,16.389069,4.246254,15.504662,170.857986,161.498779,48.307121,159.126251,8.689379,13.564220,9.357744,15.835228,9.692588,16.228703,9.973512,16.693693,10.175186,17.582666,11.391068,15.880879,11.619829,15.007159
0.027,5.804419,4.604404,5.800646,6.346540,0.072998,13.992743,6.339349,11.233230,4.960021,13.475916,6.353731,16.399902,4.248788,15.465638,169.847931,164.074326,48.778568,159.096741,8.690406,13.573156,9.361613,15.811531,9.690116,16.212048,9.960927,16.696478,10.173138,17.595543,11.397238,15.879277,11.624902,15.004920
0.028,5.805573,4.607752,5.802100,6.343590,0.067194,13.988330,6.333428,11.232975,4.960021,13.483892,6.353752,16.406015,4.255484,15.437408,170.019272,165.530807,49.178886,159.196320,8.689883,13.584761,9.364367,15.783781,9.688206,16.195511,9.953910,16.690895,10.176824,17.598873,11.402464,15.874365,11.629864,15.001328
0.029,5.806727,4.611100,5.803555,6.340641,0.061390,13.983916,6.327508,11.232721,4.960021,13.491869,6.353773,16.412128,4.262179,15.409178,170.190613,166.987274,49.579205,159.295914,8.689361,13.596365,9.367119,15.756031,9.686296,16.178972,9.946894,16.685310,10.180510,17.602203,11.407690,15.869452,11.634826,14.997734
0.030,5.807881,4.614448,5.805009,6.337691,0.055586,13.979503,6.321589,11.232468,4.960021,13.499845,6.353795,16.418240,4.268874,15.380947,170.361954,168.443756,49.979523,159.395508,8.688838,13.607969,9.369871,15.728280,9.684386,16.162434,9.939877,16.679728,10.184196,17.605536,11.412915,15.864539,11.639788,14.994141
0.031,5.809035,4.617795,5.806463,6.334742,0.049782,13.975089,6.315668,11.232213,4.960021,13.507821,6.353816,16.424353,4.275570,15.352717,170.533295,169.900238,50.379841,159.495087,8.688315,13.619574,9.372624,15.700530,9.682476,16.145897,9.932859,16.674145,10.187881,17.608866,11.418141,15.859627,11.644750,14.990548
0.032,5.810092,4.621010,5.807824,6.332388,0.043899,13.969109,6.309609,11.235537,4.960021,13.516274,6.355167,16.426441,4.281999,15.316216,169.102707,171.339493,50.662918,159.558502,8.690071,13.625359,9.373723,15.677777,9.685564,16.119425,9.931622,16.665470,10.196441,17.608532,11.423727,15.855192,11.649948,14.983550
0.033,5.811149,4.624225,5.809185,6.330034,0.038016,13.963129,6.303551,11.238860,4.960021,13.524728,6.356518,16.428528,4.288428,15.279713,167.672119,172.778748,50.945992,159.621918,8.691826,13.631143,9.374822,15.655025,9.688652,16.092953,9.930384,16.656797,10.205000,17.608196,11.429314,15.850759,11.655147,14.976551
0.034,5.812206,4.627439,5.810545,6.327681,0.032133,13.957150,6.297493,11.242184,4.960021,13.533181,6.357869,16.430616,4.294858,15.243210,166.241547,174.217987,51.229069,159.685349,8.693582,13.636927,9.375920,15.632272,9.691739,16.066481,9.929145,16.648125,10.213560,17.607861,11.434900,15.846325,11.660345,14.969553
0.035,5.813263,4.630654,5.811906,6.325327,0.026250,13.951169,6.291434,11.245507,4.960021,13.541635,6.359221,16.432705,4.301287,15.206708,164.810959,175.657242,51.512146,159.748764,8.695337,13.642712,9.377019,15.609519,9.694827,16.040009,9.927907,16.639450,10.222119,17.607527,11.440486,15.841890,11.665544,14.962555
0.036,5.813961,4.633631,5.812906,6.324021,0.020407,13.950612,6.287969,11.258055,4.960021,13.548805,6.360075,16.436859,4.307241,15.170813,166.559814,176.472473,51.827366,160.035812,8.695713,13.652109,9.392704,15.559464,9.696898,16.016621,9.923298,16.625702,10.231513,17.605965,11.443041,15.836414,11.669707,14.955755
0.037,5.814659,4.636608,5.813907,6.322716,0.014565,13.950056,6.284504,11.270603,4.960021,13.555975,6.360929,16.441013,4.313195,15.134916,168.308685,177.287689,52.142586,160.322876,8.696089,13.661508,9.408389,15.509409,9.698968,15.993231,9.918688,16.611954,10.240907,17.604401,11.445595,15.830938,11.673870,14.948956
0.038,5.815357,4.639585,5.814907,6.321411,0.008722,13.949499,6.281039,11.283151,4.960021,13.563146,6.361783,16.445168,4.319149,15.099021,170.057541,178.102905,52.457806,160.609924,8.696465,13.670906,9.424074,15.459354,9.701038,15.969842,9.914078,16.598206,10.250300,17.602837,11.448150,15.825461,11.678034,14.942155
0.039,5.816055,4.642562,5.815907,6.320106,0.002880,13.948942,6.277575,11.295698,4.960021,13.570316,6.362637,16.449322,4.325103,15.063126,171.806396,178.918137,52.773026,160.896973,8.696840,13.680304,9.439759,15.409299,9.703109,15.946453,9.909469,16.584457,10.259694,17.601274,11.450705,15.819985,11.682198,14.935355
0.040,5.815753,4.639241,5.815907,6.317761,-0.002983,13.947439,6.273208,11.313127,4.958776,13.576376,6.362314,16.460651,4.319707,15.037659,172.030304,177.088867,53.264671,161.525223,8.697090,13.687933,9.448669,15.366955,9.698444,15.898937,9.900341,16.556587,10.284107,17.602594,11.455326,15.814845,11.688761,14.928329
0.041,5.815450,4.635921,5.815907,6.315416,-0.008846,13.945936,6.268842,11.330555,4.957530,13.582437,6.361991,16.471981,4.314311,15.012192,172.254196,175.259583,53.756317,162.153473,8.697340,13.695562,9.457581,15.324612,9.693780,15.851421,9.891212,16.528715,10.308521,17.603912,11.459948,15.809706,11.695324,14.921305
0.042,5.815146,4.632600,5.815907,6.313072,-0.014708,13.944433,6.264475,11.347982,4.956285,13.588497,6.361669,16.483311,4.308915,14.986726,172.478088,173.430298,54.247959,162.781738,8.697589,13.703192,9.466492,15.282269,9.689116,15.803906,9.882085,16.500843,10.332934,17.605232,11.464570,15.804565,11.701887,14.914280
0.043,5.814844,4.629279,5.815907,6.310727,-0.020571,13.942930,6.260108,11.365411,4.955040,13.594557,6.361346,16.494640,4.303519,14.961259,172.701996,171.601028,54.739605,163.409988,8.697839,13.710821,9.475402,15.239924,9.684451,15.756391,9.872957,16.472973,10.357347,17.606552,11.469192,15.799425,11.708450,14.907254
0.044,5.814548,4.626776,5.815907,6.309710,-0.026298,13.942060,6.257958,11.377393,4.953946,13.601228,6.361461,16.504139,4.299605,14.925818,173.175964,170.663559,54.932850,164.697113,8.699544,13.717480,9.472222,15.231805,9.677645,15.740230,9.860238,16.416954,10.407855,17.604765,11.472784,15.793620,11.713609,14.902246
0.045,5.814252,4.624272,5.815907,6.308692,-0.032024,13.941192,6.255807,11.389375,4.952853,13.607899,6.361576,16.513638,4.295692,14.890379,173.649933,169.726089,55.126095,165.984253,8.701249,13.724138,9.469042,15.223685,9.670837,15.724069,9.847519,16.360935,10.458363,17.602978,11.476377,15.787815,11.718767,14.897238
0.046,5.813956,4.621769,5.815907,6.307673,-0.037751,13.940323,6.253657,11.401357,4.951759,13.614570,6.361691,16.523136,4.291779,14.854939,174.123917,168.788620,55.319340,167.271378,8.702954,13.730796,9.465862,15.215566,9.664031,15.707908,9.834801,16.304914,10.508871,17.601189,11.479971,15.782011,11.723927,14.892229
0.047,5.813660,4.619266,5.815907,6.306656,-0.043478,13.939453,6.251506,11.413339,4.950665,13.621241,6.361805,16.532635,4.287866,14.819498,174.597885,167.851151,55.512585,168.558502,8.704659,13.737454,9.462683,15.207446,9.657225,15.691747,9.822082,16.248896,10.559379,17.599401,11.483563,15.776206,11.729085,14.887221
0.048,5.813373,4.615125,5.815907,6.306515,-0.049023,13.935996,6.250108,11.424031,4.950469,13.621241,6.362922,16.538830,4.279780,14.788834,175.401031,168.252350,55.420452,169.202484,8.704816,13.744034,9.452698,15.166147,9.641331,15.657158,9.816229,16.210823,10.593349,17.593496,11.489165,15.769214,11.733217,14.879768
0.049,5.813087,4.610985,5.815907,6.306374,-0.054568,13.932539,6.248709,11.434723,4.950274,13.621241,6.364039,16.545023,4.271695,14.758170,176.204163,168.653564,55.328323,169.846466,8.704973,13.750613,9.442713,15.124847,9.625437,15.622569,9.810377,16.172749,10.627319,17.587593,11.494767,15.762221,11.737349,14.872316
0.050,5.812800,4.606844,5.815907,6.306233,-0.060114,13.929081,6.247311,11.445415,4.950078,13.621241,6.365156,16.551216,4.263610,14.727507,177.007309,169.054779,55.236191,170.490433,8.705130,13.757193,9.432727,15.083549,9.609544,15.587980,9.804524,16.134676,10.661290,17.581688,11.500369,15.755229,11.741481,14.864864
0.051,5.812513,4.602704,5.815907,6.306092,-0.065659,13.925624,6.245912,11.456108,4.949882,13.621241,6.366272,16.557411,4.255525,14.696842,177.810455,169.455978,55.144058,171.134415,8.705286,13.763772,9.422742,15.042250,9.593650,15.553391,9.798672,16.096603,10.695261,17.575783,11.505971,15.748237,11.745613,14.857411
0.052,5.812223,4.603620,5.815907,6.309089,-0.071268,13.923050,6.246850,11.468077,4.949646,13.621241,6.371326,16.564968,4.257595,14.660742,176.642120,168.628372,55.159981,171.730240,8.705230,13.769296,9.420268,14.994526,9.580066,15.519242,9.781689,16.062021,10.714961,17.568111,11.507452,15.738212,11.748715,14.846717
0.053,5.811934,4.604537,5.815907,6.312085,-0.076877,13.920475,6.247788,11.480046,4.949409,13.621241,6.376380,16.572525,4.259665,14.624641,175.473785,167.800781,55.175903,172.326065,8.705173,13.774818,9.417794,14.946802,9.566481,15.485093,9.764706,16.027439,10.734661,17.560442,11.508932,15.728187,11.751818,14.836023
0.054,5.811644,4.605453,5.815907,6.315081,-0.082486,13.917901,6.248727,11.492016,4.949172,13.621241,6.381434,16.580082,4.261734,14.588540,174.305435,166.973175,55.191830,172.921890,8.705117,13.780342,9.415320,14.899078,9.552896,15.450944,9.747724,15.992855,10.754362,17.552773,11.510413,15.718162,11.754920,14.825329
0.055,5.811354,4.606370,5.815907,6.318077,-0.088095,13.915327,6.249665,11.503984,4.948936,13.621241,6.386488,16.587639,4.263804,14.552440,173.137100,166.145569,55.207752,173.517715,8.705061,13.785866,9.412847,14.851355,9.539312,15.416795,9.730741,15.958273,10.774062,17.545101,11.511894,15.708137,11.758022,14.814634
0.056,5.811059,4.608123,5.815907,6.320230,-0.093786,13.910789,6.250597,11.514214,4.948507,13.621241,6.389864,16.593853,4.267739,14.522844,171.392303,165.867783,54.858501,174.548050,8.705137,13.789901,9.418867,14.806723,9.531034,15.380434,9.720816,15.910508,10.808771,17.530308,11.513206,15.698507,11.761486,14.806877
0.057,5.810765,4.609876,5.815907,6.322384,-0.099477,13.906252,6.251528,11.524443,4.948078,13.621241,6.393241,16.600067,4.271673,14.493250,169.647507,165.589996,54.509254,175.578384,8.705214,13.793936,9.424888,14.762092,9.522757,15.344074,9.710892,15.862743,10.843479,17.515512,11.514519,15.688877,11.764950,14.799120
0.058,5.810472,4.611629,5.815907,6.324538,-0.105168,13.901713,6.252459,11.534673,4.947650,13.621241,6.396617,16.606283,4.275608,14.463655,167.902710,165.312225,54.160004,176.608719,8.705289,13.797970,9.430908,14.717461,9.514478,15.307714,9.700968,15.814979,10.878188,17.500717,11.515832,15.679248,11.768414,14.791363
0.059,5.810177,4.613382,5.815907,6.326692,-0.110859,13.897176,6.253390,11.544902,4.947221,13.621241,6.399993,16.612497,4.279542,14.434060,166.157913,165.034439,53.810753,177.639053,8.705365,13.802005,9.436929,14.672829,9.506200,15.271353,9.691043,15.767214,10.912897,17.485924,11.517144,15.669619,11.771878,14.783606
0.060,5.809908,4.612072,5.815907,6.327373,-0.116075,13.895590,6.251433,11.553294,4.947141,13.621241,6.403312,16.620523,4.277002,14.397749,165.402618,164.575134,53.889824,178.153198,8.702375,13.805098,9.425826,14.645728,9.486821,15.238901,9.670635,15.731968,10.930629,17.472824,11.520090,15.661346,11.776810,14.776140
0.061,5.809638,4.610762,5.815907,6.328053,-0.121292,13.894005,6.249475,11.561687,4.947062,13.621241,6.406631,16.628551,4.274461,14.361438,164.647308,164.115814,53.968895,178.667358,8.699385,13.808189,9.414722,14.618628,9.467443,15.206450,9.650229,15.696722,10.948360,17.459724,11.523037,15.653074,11.781741,14.768675
0.062,5.809369,4.609451,5.815907,6.328734,-0.126508,13.892420,6.247518,11.570079,4.946981,13.621241,6.409951,16.636578,4.271921,14.325127,163.891998,163.656494,54.047970,179.181503,8.696395,13.811282,9.403620,14.591527,9.448065,15.174000,9.629822,15.661477,10.966091,17.446625,11.525984,15.644801,11.786673,14.761209
0.063,5.809099,4.608141,5.815907,6.329415,-0.131724,13.890834,6.245561,11.578471,4.946901,13.621241,6.413270,16.644604,4.269380,14.288815,163.136703,163.197189,54.127041,179.695648,8.693405,13.814375,9.392517,14.564426,9.428686,15.141548,9.609414,15.626231,10.983823,17.433525,11.528930,15.636529,11.791604,14.753744
0.064,5.808833,4.610448,5.815907,6.330984,-0.136882,13.887028,6.246644,11.587915,4.946623,13.621241,6.415325,16.653217,4.274271,14.266636,164.502228,162.308426,54.476849,179.765198,8.691005,13.816428,9.366380,14.547780,9.409070,15.111841,9.587944,15.607408,10.983827,17.421459,11.528262,15.630255,11.793530,14.744571
0.065,5.808566,4.612754,5.815907,6.332553,-0.142040,13.883222,6.247726,11.597359,4.946345,13.621241,6.417380,16.661831,4.279163,14.244455,165.867737,161.419662,54.826660,179.834747,8.688604,13.818481,9.340242,14.531134,9.389454,15.082133,9.566475,15.588583,10.983830,17.409393,11.527594,15.623980,11.795454,14.735397
0.066,5.808300,4.615061,5.815907,6.334123,-0.147198,13.879416,6.248810,11.606803,4.946068,13.621241,6.419435,16.670444,4.284055,14.222275,167.233246,160.530899,55.176468,179.904312,8.686203,13.820536,9.314104,14.514487,9.369838,15.052425,9.545006,15.569759,10.983834,17.397329,11.526926,15.617705,11.797379,14.726223
0.067,5.808033,4.617368,5.815907,6.335691,-0.152356,13.875609,6.249893,11.616247,4.945790,13.621241,6.421490,16.679058,4.288946,14.200095,168.598770,159.642136,55.526276,179.973862,8.683803,13.822589,9.287967,14.497841,9.350222,15.022718,9.523536,15.550936,10.983838,17.385263,11.526258,15.611431,11.799305,14.717050
0.068,5.807774,4.619850,5.815907,6.337147,-0.157375,13.872646,6.248157,11.627977,4.944631,13.621241,6.426137,16.686913,4.295070,14.186129,167.710464,160.927734,55.873329,179.860046,8.690223,13.829851,9.242623,14.461024,9.311888,14.995230,9.507223,15.537628,10.977087,17.371183,11.523262,15.602030,11.800428,14.709811
0.069,5.807514,4.622333,5.815907,6.338603,-0.162394,13.869682,6.246421,11.639708,4.943471,13.621241,6.430785,16.694765,4.301194,14.172163,166.822159,162.213318,56.220383,179.746246,8.696644,13.837114,9.197280,14.424208,9.273554,14.967742,9.490910,15.524321,10.970337,17.357105,11.520266,15.592628,11.801552,14.702574
0.070,5.807255,4.624815,5.815907,6.340059,-0.167413,13.866719,6.244685,11.651438,4.942311,13.621241,6.435432,16.702618,4.307319,14.158197,165.933853,163.498901,56.567432,179.632446,8.703064,13.844378,9.151937,14.387392,9.235221,14.940254,9.474596,15.511012,10.963587,17.343025,11.517268,15.583225,11.802675,14.695335
0.071,5.806995,4.627297,5.815907,6.341515,-0.172432,13.863756,6.242949,11.663168,4.941152,13.621241,6.440080,16.710472,4.313443,14.144231,165.045547,164.784500,56.914486,179.518631,8.709484,13.851640,9.106593,14.350575,9.196887,14.912766,9.458283,15.497705,10.956836,17.328945,11.514272,15.573824,11.803799,14.688097
0.072,5.806743,4.632840,5.815907,6.340343,-0.177327,13.857830,6.240554,11.669759,4.939808,13.621241,6.440133,16.716373,4.325871,14.140789,165.000580,164.896667,57.211487,179.239807,8.724174,13.847632,9.067528,14.306320,9.162416,14.871876,9.436018,15.470831,10.955648,17.306087,11.508082,15.563903,11.801172,14.680387
0.073,5.806489,4.638383,5.815907,6.339173,-0.182223,13.851905,6.238160,11.676350,4.938465,13.621241,6.440186,16.722273,4.338301,14.137346,164.955627,165.008835,57.508484,178.960968,8.738863,13.843624,9.028463,14.262064,9.127946,14.830986,9.413752,15.443958,10.954462,17.283230,11.501894,15.553982,11.798546,14.672676
0.074,5.806236,4.643925,5.815907,6.338002,-0.187118,13.845980,6.235765,11.682940,4.937121,13.621241,6.440239,16.728172,4.350729,14.133904,164.910660,165.121002,57.805481,178.682144,8.753553,13.839617,8.989398,14.217809,9.093475,14.790096,9.391486,15.417085,10.953276,17.260374,11.495705,15.544060,11.795918,14.664965
0.075,5.805984,4.649468,5.815907,6.336831,-0.192014,13.840054,6.233370,11.689531,4.935778,13.621241,6.440292,16.734074,4.363158,14.130463,164.865692,165.233170,58.102482,178.403320,8.768243,13.835609,8.950333,14.173553,9.059005,14.749207,9.369221,15.390211,10.952088,17.237516,11.489515,15.534139,11.793292,14.657254
0.076,5.805737,4.657313,5.815907,6.339238,-0.196789,13.833799,6.235116,11.701712,4.927553,13.621241,6.443359,16.739685,4.387074,14.132459,164.513550,166.155991,58.197525,178.069382,8.770047,13.831161,8.922953,14.172677,9.038220,14.744799,9.355984,15.372559,10.948368,17.221880,11.482225,15.525487,11.790481,14.650100
0.077,5.805490,4.665159,5.815907,6.341644,-0.201564,13.827544,6.236862,11.713893,4.919328,13.621241,6.446426,16.745295,4.410991,14.134455,164.161407,167.078812,58.292564,177.735443,8.771851,13.826712,8.895573,14.171801,9.017435,14.740390,9.342747,15.354905,10.944647,17.206245,11.474936,15.516834,11.787670,14.642946
0.078,5.805243,4.673005,5.815907,6.344051,-0.206339,13.821289,6.238608,11.726074,4.911102,13.621241,6.449493,16.750904,4.434906,14.136451,163.809265,168.001633,58.387608,177.401520,8.773655,13.822264,8.868193,14.170923,8.996651,14.735981,9.329509,15.337252,10.940927,17.190609,11.467648,15.508183,11.784859,14.635792
0.079,5.804996,4.680850,5.815907,6.346457,-0.211114,13.815035,6.240354,11.738255,4.902877,13.621241,6.452561,16.756516,4.458823,14.138447,163.457123,168.924454,58.482651,177.067581,8.775459,13.817815,8.840813,14.170047,8.975866,14.731573,9.316272,15.319599,10.937206,17.174973,11.460358,15.499531,11.782047,14.628637
0.080,5.803081,4.686166,5.814231,6.347419,-0.215768,13.806986,6.239391,11.746892,4.900364,13.621241,6.455447,16.763647,4.471967,14.157764,164.739883,168.930542,58.587418,177.105194,8.770144,13.805243,8.833538,14.205027,8.973929,14.743242,9.307662,15.320758,10.921616,17.171522,11.451105,15.492144,11.775045,14.620779
0.081,5.801165,4.691481,5.812556,6.348381,-0.220422,13.798938,6.238429,11.755529,4.897850,13.621241,6.458334,16.770779,4.485112,14.177081,166.022644,168.936615,58.692181,177.142822,8.764828,13.792670,8.826262,14.240007,8.971992,14.754911,9.299051,15.321917,10.906025,17.168072,11.441854,15.484756,11.768044,14.612921
0.082,5.799250,4.696796,5.810881,6.349343,-0.225076,13.790890,6.237466,11.764166,4.895337,13.621241,6.461220,16.777908,4.498257,14.196398,167.305420,168.942703,58.796944,177.180450,8.759513,13.780098,8.818987,14.274987,8.970055,14.766582,9.290442,15.323076,10.890433,17.164621,11.432602,15.477369,11.761044,14.605062
