"Time","28a CoMy (cm)","v1 xCoMy","v3 Left CoP","v2 Right CoP","28 CoMy (cm)","27 CoMx (cm)","26 HRy (cm)","25 HRx (cm)","24 HLy (cm)","23 HLx (cm)","22 FRy (cm)","21 FRx (cm)","20 FLy (cm)","19 FLx (cm)","18 MTP ang","17 ankle ang)","16 knee ang","15 hip ang","14 FLty (cm)","13 FLtx (cm)","12 toey (cm)","11 toex (cm)","10 MTPy (cm)","9 MTPx (cm)","8 anky (cm)","7 ankx (cm)","6 kny (cm)","5 knx (cm)","4 Hipy (cm)","3 Hipx (cm)","2 Cry (cm)","1 Crx (cm)"
1.670,5.852702,5.882052,4.578668,6.351553,0.540744,5.615627,6.138591,3.733237,4.510896,5.212810,6.564515,7.952457,4.646440,6.621475,158.001602,177.045914,57.311520,177.758148,8.531135,4.810873,8.233372,6.214012,8.397648,6.694370,8.825478,7.188810,10.398306,9.207379,11.110601,7.183625,11.388168,6.284061
1.671,5.852791,5.881462,4.590108,6.350720,0.528235,5.609685,6.136569,3.741565,4.534381,5.188488,6.564871,7.959007,4.645836,6.631427,157.688339,176.484619,57.273399,177.468231,8.545601,4.796398,8.229503,6.223573,8.395595,6.706991,8.824136,7.195248,10.383827,9.209039,11.103541,7.178367,11.377972,6.279830
1.672,5.852756,5.880767,4.601217,6.351377,0.516093,5.607202,6.137731,3.749108,4.554380,5.162087,6.565022,7.968562,4.648055,6.642213,157.567749,176.474030,57.321396,177.269653,8.570152,4.765697,8.229764,6.229548,8.395060,6.716354,8.820767,7.202773,10.371200,9.211266,11.097937,7.176839,11.372293,6.275280
1.673,5.852719,5.880073,4.612327,6.352033,0.503951,5.604719,6.138893,3.756650,4.574379,5.135686,6.565173,7.978117,4.650273,6.652999,157.447144,176.463455,57.369396,177.071075,8.594704,4.734996,8.230024,6.235524,8.394524,6.725717,8.817399,7.210299,10.358572,9.213493,11.092332,7.175311,11.366613,6.270731
1.674,5.852684,5.879377,4.623435,6.352689,0.491809,5.602236,6.140056,3.764193,4.594378,5.109286,6.565324,7.987671,4.652492,6.663785,157.326553,176.452881,57.417397,176.872498,8.619254,4.704295,8.230286,6.241499,8.393989,6.735080,8.814031,7.217824,10.345945,9.215720,11.086727,7.173783,11.360935,6.266181
1.675,5.852648,5.878683,4.634544,6.353346,0.479667,5.599752,6.141218,3.771735,4.614378,5.082885,6.565475,7.997226,4.654710,6.674571,157.205963,176.442291,57.465393,176.673920,8.643806,4.673594,8.230547,6.247475,8.393454,6.744442,8.810662,7.225350,10.333318,9.217947,11.081122,7.172255,11.355256,6.261631
1.676,5.852386,5.877823,4.639985,6.352228,0.468673,5.596172,6.140061,3.779717,4.626556,5.045540,6.564394,8.004808,4.653413,6.682637,156.352737,175.788849,57.387447,176.406403,8.654127,4.636718,8.231060,6.256546,8.391793,6.757826,8.812048,7.234025,10.322859,9.222754,11.076168,7.171660,11.347777,6.258918
1.677,5.852123,5.876965,4.645425,6.351110,0.457680,5.592591,6.138906,3.787699,4.638734,5.008195,6.563314,8.012391,4.652115,6.690704,155.499512,175.135406,57.309502,176.138901,8.664449,4.599841,8.231573,6.265616,8.390133,6.771211,8.813435,7.242701,10.312399,9.227562,11.071213,7.171066,11.340298,6.256205
1.678,5.851860,5.876105,4.650865,6.349992,0.446687,5.589010,6.137749,3.795681,4.650912,4.970850,6.562234,8.019974,4.650818,6.698771,154.646286,174.481979,57.231560,175.871399,8.674770,4.562963,8.232085,6.274688,8.388472,6.784595,8.814820,7.251376,10.301940,9.232368,11.066257,7.170472,11.332819,6.253491
1.679,5.851598,5.875246,4.656305,6.348874,0.435694,5.585430,6.136593,3.803664,4.663090,4.933505,6.561154,8.027556,4.649520,6.706837,153.793060,173.828537,57.153614,175.603882,8.685092,4.526087,8.232598,6.283759,8.386811,6.797978,8.816206,7.260051,10.291481,9.237176,11.061303,7.169878,11.325340,6.250778
1.680,5.851133,5.874218,4.664304,6.348810,0.425313,5.580903,6.136425,3.810781,4.679155,4.884918,6.561195,8.033384,4.649453,6.718563,153.548309,173.266571,57.062965,175.605301,8.700939,4.451089,8.231877,6.292436,8.387975,6.807196,8.820153,7.265514,10.285807,9.239869,11.059278,7.168539,11.325478,6.245198
1.681,5.850669,5.873190,4.672302,6.348746,0.414932,5.576376,6.136257,3.817899,4.695220,4.836331,6.561235,8.039212,4.649384,6.730289,153.303543,172.704620,56.972321,175.606720,8.716785,4.376091,8.231155,6.301113,8.389138,6.816413,8.824100,7.270977,10.280132,9.242563,11.057255,7.167201,11.325614,6.239619
1.682,5.850204,5.872162,4.680301,6.348682,0.404550,5.571849,6.136089,3.825016,4.711285,4.787745,6.561276,8.045040,4.649317,6.742014,153.058777,172.142670,56.881676,175.608154,8.732633,4.301094,8.230434,6.309790,8.390302,6.825630,8.828047,7.276440,10.274459,9.245256,11.055231,7.165862,11.325750,6.234040
1.683,5.849740,5.871134,4.688299,6.348619,0.394169,5.567322,6.135921,3.832134,4.727350,4.739158,6.561316,8.050868,4.649249,6.753739,152.814026,171.580704,56.791027,175.609573,8.748480,4.226096,8.229713,6.318467,8.391465,6.834847,8.831994,7.281903,10.268785,9.247950,11.053206,7.164524,11.325888,6.228460
1.684,5.849116,5.869978,4.694068,6.347263,0.384371,5.565342,6.134008,3.840127,4.738763,4.690824,6.560519,8.056840,4.649374,6.765003,152.682068,171.035172,56.708336,175.494186,8.749278,4.167897,8.229614,6.328602,8.393384,6.844573,8.836804,7.289116,10.259305,9.249501,11.050358,7.161232,11.322870,6.225686
1.685,5.848492,5.868822,4.699838,6.345908,0.374573,5.563362,6.132095,3.848121,4.750176,4.642488,6.559721,8.062811,4.649500,6.776266,152.550110,170.489639,56.625648,175.378815,8.750076,4.109698,8.229515,6.338737,8.395304,6.854300,8.841616,7.296329,10.249825,9.251053,11.047508,7.157939,11.319853,6.222911
1.686,5.847867,5.867666,4.705607,6.344553,0.364775,5.561383,6.130182,3.856115,4.761590,4.594154,6.558923,8.068783,4.649625,6.787530,152.418137,169.944107,56.542957,175.263428,8.750875,4.051498,8.229415,6.348871,8.397223,6.864026,8.846426,7.303542,10.240346,9.252604,11.044660,7.154647,11.316836,6.220136
1.687,5.847243,5.866510,4.711377,6.343197,0.354978,5.559403,6.128270,3.864109,4.773003,4.545819,6.558125,8.074755,4.649750,6.798793,152.286179,169.398575,56.460266,175.148041,8.751673,3.993299,8.229316,6.359006,8.399141,6.873753,8.851236,7.310755,10.230866,9.254156,11.041811,7.151355,11.313819,6.217361
1.688,5.846451,5.865238,4.715220,6.343222,0.346126,5.557702,6.128480,3.871510,4.782806,4.499739,6.557963,8.080779,4.647635,6.807008,152.575119,169.353149,56.524200,174.888336,8.767857,3.929080,8.229545,6.367674,8.400835,6.880356,8.853137,7.318649,10.221624,9.254547,11.041302,7.149023,11.312386,6.213361
1.689,5.845660,5.863966,4.719065,6.343246,0.337274,5.556001,6.128690,3.878912,4.792609,4.453659,6.557802,8.086803,4.645519,6.815223,152.864044,169.307739,56.588135,174.628632,8.784040,3.864860,8.229774,6.376342,8.402530,6.886959,8.855038,7.326543,10.212383,9.254938,11.040792,7.146691,11.310951,6.209360
1.690,5.844869,5.862694,4.722908,6.343270,0.328422,5.554300,6.128900,3.886313,4.802413,4.407579,6.557640,8.092828,4.643404,6.823438,153.152985,169.262314,56.652069,174.368912,8.800225,3.800641,8.230002,6.385010,8.404224,6.893562,8.856938,7.334437,10.203141,9.255328,11.040284,7.144359,11.309518,6.205360
1.691,5.844077,5.861423,4.726752,6.343294,0.319570,5.552599,6.129110,3.893715,4.812216,4.361499,6.557478,8.098852,4.641288,6.831652,153.441925,169.216888,56.716003,174.109207,8.816409,3.736421,8.230231,6.393678,8.405918,6.900165,8.858839,7.342331,10.193899,9.255719,11.039775,7.142027,11.308084,6.201359
1.692,5.843168,5.860080,4.734838,6.342545,0.311595,5.551083,6.128572,3.902400,4.827634,4.324795,6.556518,8.105046,4.642041,6.840659,153.626694,168.766998,56.677849,173.986526,8.818799,3.682368,8.227968,6.403837,8.408020,6.908724,8.861696,7.346877,10.186570,9.255300,11.037754,7.139070,11.305613,6.198548
1.693,5.842258,5.858738,4.742924,6.341795,0.303619,5.549566,6.128034,3.911084,4.843053,4.288091,6.555557,8.111240,4.642794,6.849667,153.811462,168.317108,56.639690,173.863861,8.821189,3.628314,8.225704,6.413997,8.410122,6.917284,8.864553,7.351422,10.179241,9.254880,11.035734,7.136113,11.303141,6.195736
1.694,5.841350,5.857396,4.751009,6.341046,0.295644,5.548050,6.127496,3.919769,4.858471,4.251387,6.554596,8.117435,4.643547,6.858674,153.996246,167.867233,56.601532,173.741180,8.823579,3.574261,8.223440,6.424157,8.412224,6.925843,8.867412,7.355968,10.171912,9.254460,11.033714,7.133157,11.300670,6.192924
1.695,5.840440,5.856054,4.759095,6.340297,0.287669,5.546534,6.126958,3.928453,4.873889,4.214683,6.553635,8.123630,4.644300,6.867681,154.181015,167.417343,56.563377,173.618500,8.825969,3.520208,8.221177,6.434316,8.414326,6.934402,8.870269,7.360513,10.164583,9.254041,11.031693,7.130200,11.298198,6.190113
1.696,5.839320,5.854521,4.766641,6.340124,0.280081,5.543653,6.127001,3.937276,4.886769,4.183610,6.553246,8.129683,4.646512,6.878847,154.088257,167.137222,56.629513,173.342392,8.818553,3.497349,8.221792,6.441541,8.415583,6.940754,8.873059,7.365449,10.158599,9.252361,11.033161,7.126860,11.297729,6.186050
1.697,5.838199,5.852989,4.774186,6.339951,0.272493,5.540771,6.127045,3.946100,4.899650,4.152537,6.552858,8.135736,4.648723,6.890013,153.995514,166.857117,56.695648,173.066284,8.811138,3.474489,8.222406,6.448765,8.416840,6.947105,8.875849,7.370386,10.152615,9.250681,11.034628,7.123520,11.297261,6.181987
1.698,5.837078,5.851457,4.781732,6.339778,0.264906,5.537890,6.127088,3.954923,4.912530,4.121465,6.552469,8.141789,4.650935,6.901179,153.902771,166.576996,56.761787,172.790176,8.803722,3.451630,8.223021,6.455989,8.418097,6.953456,8.878639,7.375323,10.146630,9.249002,11.036095,7.120180,11.296793,6.177924
1.699,5.835958,5.849924,4.789278,6.339605,0.257318,5.535009,6.127131,3.963746,4.925410,4.090392,6.552081,8.147842,4.653146,6.912345,153.810013,166.296875,56.827923,172.514069,8.796307,3.428771,8.223636,6.463213,8.419353,6.959807,8.881430,7.380260,10.140646,9.247322,11.037562,7.116840,11.296325,6.173861
1.700,5.834786,5.848347,4.793654,6.339855,0.249849,5.533304,6.125820,3.973345,4.932690,4.060302,6.553889,8.152930,4.654619,6.920867,153.443375,165.641663,56.740650,172.404114,8.797771,3.413529,8.223549,6.469584,8.421015,6.967776,8.887405,7.385079,10.134723,9.246815,11.036660,7.113981,11.295233,6.170499
1.701,5.833615,5.846770,4.798030,6.340104,0.242379,5.531599,6.124510,3.982944,4.939969,4.030211,6.555697,8.158018,4.656091,6.929389,153.076736,164.986465,56.653374,172.294159,8.799236,3.398287,8.223463,6.475955,8.422676,6.975746,8.893380,7.389898,10.128799,9.246307,11.035758,7.111122,11.294140,6.167137
1.702,5.832443,5.845194,4.802406,6.340353,0.234910,5.529893,6.123200,3.992543,4.947248,4.000121,6.557506,8.163107,4.657564,6.937911,152.710098,164.331268,56.566101,172.184189,8.800702,3.383045,8.223377,6.482326,8.424337,6.983715,8.899355,7.394718,10.122876,9.245801,11.034856,7.108263,11.293047,6.163775
1.703,5.831272,5.843617,4.806782,6.340602,0.227441,5.528188,6.121890,4.002142,4.954528,3.970030,6.559315,8.168195,4.659036,6.946433,152.343460,163.676056,56.478828,172.074234,8.802167,3.367803,8.223290,6.488697,8.425999,6.991684,8.905331,7.399537,10.116953,9.245294,11.033954,7.105405,11.291955,6.160413
1.704,5.830094,5.842073,4.812711,6.340397,0.220693,5.525682,6.120828,4.009514,4.966308,3.939028,6.559967,8.175499,4.659113,6.954627,151.787155,163.032837,56.437202,171.922501,8.809304,3.357643,8.224709,6.495725,8.427219,6.999687,8.910994,7.404071,10.112474,9.244333,11.034718,7.102877,11.291878,6.157793
1.705,5.828917,5.840529,4.818639,6.340193,0.213945,5.523177,6.119765,4.016885,4.978088,3.908027,6.560619,8.182802,4.659190,6.962822,151.230865,162.389603,56.395573,171.770767,8.816442,3.347482,8.226127,6.502753,8.428440,7.007690,8.916657,7.408606,10.107996,9.243372,11.035482,7.100349,11.291800,6.155172
1.706,5.827739,5.838985,4.824567,6.339988,0.207197,5.520671,6.118703,4.024256,4.989868,3.877025,6.561272,8.190105,4.659266,6.971017,150.674561,161.746368,56.353943,171.619034,8.823580,3.337322,8.227545,6.509781,8.429660,7.015694,8.922321,7.413140,10.103518,9.242411,11.036247,7.097822,11.291722,6.152552
1.707,5.826561,5.837441,4.830496,6.339783,0.200450,5.518166,6.117641,4.031628,5.001648,3.846023,6.561924,8.197410,4.659343,6.979211,150.118256,161.103149,56.312317,171.467300,8.830717,3.327161,8.228963,6.516809,8.430881,7.023697,8.927984,7.417674,10.099039,9.241450,11.037011,7.095294,11.291645,6.149931
1.708,5.825319,5.835860,4.832713,6.342608,0.194195,5.517217,6.120316,4.045082,5.006006,3.820330,6.564899,8.203715,4.659420,6.987647,149.425232,160.466339,56.362431,171.301727,8.836373,3.319736,8.229220,6.526102,8.430382,7.034291,8.930565,7.422711,10.095326,9.241328,11.038920,7.094350,11.292745,6.148827
1.709,5.824078,5.834278,4.834931,6.345433,0.187939,5.516267,6.122991,4.058537,5.010365,3.794636,6.567875,8.210022,4.659497,6.996082,148.732208,159.829529,56.412544,171.136139,8.842030,3.312311,8.229477,6.535395,8.429884,7.044885,8.933146,7.427749,10.091614,9.241206,11.040831,7.093406,11.293844,6.147723
1.710,5.822835,5.832697,4.837149,6.348258,0.181684,5.515318,6.125666,4.071992,5.014723,3.768943,6.570850,8.216328,4.659575,7.004518,148.039169,159.192703,56.462662,170.970551,8.847685,3.304886,8.229734,6.544688,8.429385,7.055479,8.935725,7.432786,10.087901,9.241084,11.042740,7.092462,11.294945,6.146619
1.711,5.821594,5.831116,4.839366,6.351083,0.175429,5.514369,6.128341,4.085446,5.019081,3.743250,6.573826,8.222633,4.659651,7.012954,147.346146,158.555893,56.512775,170.804977,8.853341,3.297462,8.229992,6.553981,8.428886,7.066073,8.938306,7.437824,10.084188,9.240962,11.044649,7.091517,11.296044,6.145515
1.712,5.820427,5.829670,4.842463,6.348307,0.170289,5.513551,6.125090,4.092167,5.025893,3.717845,6.571524,8.228290,4.659032,7.021445,147.377121,158.188187,56.520973,170.713135,8.859861,3.263965,8.230369,6.562785,8.431014,7.072233,8.942177,7.441945,10.078497,9.238556,11.045494,7.087986,11.297654,6.141861
1.713,5.819261,5.828224,4.845559,6.345531,0.165148,5.512733,6.121839,4.098887,5.032705,3.692441,6.569222,8.233946,4.658413,7.029937,147.408096,157.820465,56.529171,170.621292,8.866381,3.230469,8.230745,6.571589,8.433142,7.078393,8.946047,7.446065,10.072805,9.236149,11.046339,7.084455,11.299264,6.138206
1.714,5.818094,5.826778,4.848656,6.342754,0.160008,5.511916,6.118587,4.105608,5.039518,3.667036,6.566920,8.239601,4.657794,7.038429,147.439072,157.452759,56.537369,170.529449,8.872900,3.196973,8.231122,6.580393,8.435268,7.084554,8.949917,7.450186,10.067113,9.233742,11.047183,7.080925,11.300874,6.134552
1.715,5.816927,5.825333,4.851752,6.339977,0.154867,5.511098,6.115336,4.112328,5.046330,3.641632,6.564619,8.245257,4.657174,7.046920,147.470047,157.085052,56.545567,170.437607,8.879420,3.163476,8.231499,6.589197,8.437396,7.090714,8.953788,7.454307,10.061421,9.231336,11.048028,7.077394,11.302484,6.130898
1.716,5.815779,5.823929,4.852671,6.340188,0.150168,5.508864,6.116208,4.122725,5.047353,3.620226,6.564169,8.251342,4.657988,7.054909,147.393127,156.680969,56.543167,170.327698,8.872574,3.095768,8.232788,6.598380,8.440560,7.098429,8.957326,7.458021,10.058831,9.230934,11.049439,7.076369,11.303948,6.127783
1.717,5.814630,5.822526,4.853589,6.340399,0.145468,5.506630,6.117079,4.133122,5.048377,3.598820,6.563719,8.257425,4.658801,7.062897,147.316223,156.276901,56.540764,170.217773,8.865728,3.028059,8.234077,6.607562,8.443724,7.106143,8.960863,7.461736,10.056241,9.230533,11.050852,7.075344,11.305412,6.124668
1.718,5.813481,5.821122,4.854507,6.340610,0.140769,5.504395,6.117950,4.143520,5.049400,3.577415,6.563269,8.263510,4.659615,7.070885,147.239304,155.872833,56.538364,170.107864,8.858883,2.960350,8.235366,6.616745,8.446888,7.113858,8.964401,7.465450,10.053651,9.230131,11.052263,7.074319,11.306877,6.121553
1.719,5.812333,5.819718,4.855426,6.340821,0.136069,5.502162,6.118822,4.153917,5.050423,3.556009,6.562819,8.269594,4.660429,7.078874,147.162384,155.468750,56.535965,169.997955,8.852036,2.892641,8.236655,6.625927,8.450052,7.121573,8.967939,7.469165,10.051061,9.229730,11.053675,7.073294,11.308342,6.118439
1.720,5.811342,5.818547,4.858692,6.340642,0.132754,5.501316,6.119562,4.161967,5.057092,3.536515,6.561722,8.275804,4.660291,7.087739,147.001404,154.825974,56.473282,169.985428,8.861040,2.859596,8.236874,6.633402,8.453112,7.127868,8.975603,7.472075,10.048919,9.227190,11.056145,7.069990,11.311975,6.116118
1.721,5.810350,5.817376,4.861958,6.340463,0.129440,5.500469,6.120301,4.170017,5.063761,3.517021,6.560625,8.282013,4.660154,7.096604,146.840424,154.183197,56.410599,169.972900,8.870044,2.826550,8.237091,6.640877,8.456171,7.134162,8.983266,7.474986,10.046777,9.224650,11.058615,7.066686,11.315607,6.113798
1.722,5.809359,5.816205,4.865223,6.340284,0.126125,5.499623,6.121041,4.178067,5.070429,3.497527,6.559528,8.288223,4.660017,7.105469,146.679459,153.540405,56.347916,169.960373,8.879047,2.793504,8.237309,6.648353,8.459231,7.140456,8.990929,7.477896,10.044635,9.222111,11.061084,7.063381,11.319240,6.111477
1.723,5.808368,5.815033,4.868489,6.340106,0.122810,5.498777,6.121780,4.186117,5.077098,3.478033,6.558431,8.294433,4.659880,7.114334,146.518478,152.897629,56.285233,169.947845,8.888051,2.760459,8.237528,6.655828,8.462291,7.146750,8.998592,7.480806,10.042493,9.219571,11.063554,7.060077,11.322872,6.109157
1.724,5.807475,5.814028,4.871403,6.340127,0.120731,5.498609,6.122889,4.197100,5.080902,3.461502,6.557365,8.302711,4.661905,7.124558,146.546570,152.390015,56.308708,169.812149,8.892600,2.750429,8.236439,6.664524,8.466597,7.156693,9.002646,7.485169,10.040184,9.218870,11.066347,7.058892,11.324922,6.108712
1.725,5.806582,5.813023,4.874317,6.340149,0.118652,5.498440,6.123998,4.208083,5.084705,3.444971,6.556301,8.310990,4.663930,7.134783,146.574677,151.882416,56.332184,169.676453,8.897148,2.740399,8.235350,6.673221,8.470903,7.166636,9.006701,7.489532,10.037876,9.218170,11.069139,7.057708,11.326971,6.108266
1.726,5.805690,5.812017,4.877232,6.340171,0.116573,5.498271,6.125106,4.219066,5.088509,3.428440,6.555236,8.319269,4.665955,7.145008,146.602768,151.374817,56.355656,169.540771,8.901697,2.730369,8.234261,6.681918,8.475210,7.176579,9.010756,7.493894,10.035567,9.217469,11.071933,7.056523,11.329021,6.107821
1.727,5.804797,5.811011,4.880146,6.340193,0.114494,5.498102,6.126215,4.230049,5.092313,3.411908,6.554171,8.327548,4.667980,7.155232,146.630859,150.867203,56.379131,169.405075,8.906246,2.720339,8.233171,6.690615,8.479516,7.186522,9.014810,7.498256,10.033258,9.216768,11.074726,7.055338,11.331070,6.107376
1.728,5.804080,5.810231,4.881644,6.340412,0.113343,5.498847,6.126157,4.238090,5.095906,3.397523,6.554668,8.333185,4.667384,7.161447,146.265198,150.414276,56.378174,169.268616,8.902853,2.724288,8.233955,6.696970,8.480662,7.194804,9.018802,7.504266,10.027355,9.215545,11.075668,7.053553,11.331942,6.106122
1.729,5.803362,5.809452,4.883143,6.340632,0.112193,5.499592,6.126099,4.246130,5.099499,3.383138,6.555165,8.338821,4.666787,7.167662,145.899521,149.961365,56.377220,169.132156,8.899460,2.728238,8.234739,6.703326,8.481808,7.203086,9.022795,7.510277,10.021452,9.214321,11.076611,7.051768,11.332814,6.104870
1.730,5.802645,5.808672,4.884642,6.340852,0.111043,5.500337,6.126041,4.254170,5.103092,3.368752,6.555662,8.344459,4.666191,7.173876,145.533844,149.508438,56.376263,168.995697,8.896067,2.732188,8.235522,6.709682,8.482954,7.211368,9.026787,7.516287,10.015550,9.213099,11.077552,7.049983,11.333687,6.103617
1.731,5.801927,5.807892,4.886140,6.341071,0.109893,5.501082,6.125983,4.262210,5.106685,3.354367,6.556159,8.350096,4.665595,7.180091,145.168182,149.055511,56.375305,168.859238,8.892673,2.736138,8.236306,6.716037,8.484100,7.219649,9.030779,7.522297,10.009646,9.211875,11.078494,7.048198,11.334558,6.102364
1.732,5.801263,5.807219,4.892824,6.339648,0.109726,5.500716,6.124416,4.271691,5.116688,3.341782,6.554881,8.358505,4.668961,7.190894,144.829865,148.631653,56.338737,168.863190,8.891716,2.736666,8.238901,6.724308,8.485099,7.226073,9.035240,7.527167,10.004702,9.210464,11.079027,7.046489,11.336563,6.102817
1.733,5.800599,5.806545,4.899509,6.338226,0.109558,5.500350,6.122849,4.281172,5.126691,3.329197,6.553602,8.366915,4.672327,7.201697,144.491547,148.207794,56.302170,168.867157,8.890759,2.737195,8.241495,6.732579,8.486097,7.232496,9.039702,7.532038,9.999757,9.209052,11.079559,7.044779,11.338567,6.103271
1.734,5.799934,5.805872,4.906194,6.336803,0.109391,5.499984,6.121283,4.290653,5.136694,3.316612,6.552324,8.375324,4.675693,7.212500,144.153214,147.783951,56.265598,168.871109,8.889801,2.737724,8.244090,6.740851,8.487097,7.238920,9.044165,7.536909,9.994812,9.207641,11.080092,7.043070,11.340570,6.103724
1.735,5.799270,5.805199,4.912878,6.335381,0.109224,5.499619,6.119716,4.300134,5.146698,3.304027,6.551045,8.383734,4.679059,7.223303,143.814896,147.360092,56.229031,168.875061,8.888844,2.738253,8.246685,6.749122,8.488095,7.245344,9.048626,7.541780,9.989867,9.206229,11.080626,7.041360,11.342575,6.104177
1.736,5.798653,5.804652,4.913827,6.336253,0.110528,5.501049,6.121760,4.312327,5.149590,3.293183,6.550746,8.391918,4.678064,7.230373,143.719482,147.058594,56.226692,168.759537,8.885322,2.731139,8.249254,6.758596,8.490280,7.252892,9.052710,7.548470,9.983717,9.204992,11.081834,7.039850,11.344333,6.102972
1.737,5.798035,5.804105,4.914776,6.337125,0.111833,5.502480,6.123804,4.324520,5.152482,3.282339,6.550447,8.400103,4.677070,7.237443,143.624054,146.757111,56.224350,168.644012,8.881800,2.724025,8.251824,6.768071,8.492464,7.260440,9.056794,7.555160,9.977568,9.203756,11.083042,7.038340,11.346090,6.101766
1.738,5.797417,5.803558,4.915725,6.337997,0.113138,5.503911,6.125848,4.336713,5.155375,3.271494,6.550148,8.408287,4.676075,7.244513,143.528625,146.455627,56.222012,168.528488,8.878279,2.716912,8.254395,6.777546,8.494648,7.267989,9.060879,7.561849,9.971417,9.202519,11.084250,7.036829,11.347848,6.100560
1.739,5.796799,5.803011,4.916674,6.338870,0.114442,5.505342,6.127892,4.348906,5.158267,3.260650,6.549849,8.416471,4.675081,7.251583,143.433212,146.154129,56.219673,168.412964,8.874757,2.709798,8.256964,6.787020,8.496833,7.275537,9.064962,7.568539,9.965267,9.201283,11.085459,7.035319,11.349606,6.099355
1.740,5.796245,5.802579,4.917079,6.340110,0.116694,5.508536,6.127150,4.360360,5.159596,3.256094,6.553070,8.429491,4.674563,7.262285,143.026520,145.915466,56.272495,168.248398,8.867066,2.709383,8.259579,6.795382,8.496764,7.283704,9.068730,7.576638,9.962636,9.203001,11.089315,7.036771,11.352804,6.101096
1.741,5.795691,5.802147,4.917485,6.341349,0.118945,5.511731,6.126409,4.371814,5.160925,3.251538,6.556290,8.442511,4.674045,7.272986,142.619843,145.676788,56.325317,168.083832,8.859377,2.708968,8.262194,6.803742,8.496695,7.291871,9.072498,7.584736,9.960005,9.204720,11.093172,7.038223,11.356003,6.102838
1.742,5.795136,5.801715,4.917891,6.342588,0.121197,5.514926,6.125667,4.383267,5.162254,3.246982,6.559510,8.455530,4.673526,7.283688,142.213150,145.438110,56.378143,167.919281,8.851686,2.708553,8.264809,6.812104,8.496626,7.300037,9.076265,7.592834,9.957373,9.206440,11.097029,7.039676,11.359201,6.104578
1.743,5.794582,5.801283,4.918296,6.343828,0.123449,5.518121,6.124926,4.394721,5.163584,3.242425,6.562731,8.468550,4.673008,7.294389,141.806458,145.199448,56.430965,167.754715,8.843996,2.708138,8.267424,6.820465,8.496557,7.308204,9.080033,7.600933,9.954741,9.208158,11.100885,7.041128,11.362400,6.106320
1.744,5.793966,5.800839,4.918369,6.342886,0.126626,5.520270,6.124515,4.405039,5.163537,3.232032,6.561257,8.476584,4.673202,7.302533,141.627197,144.761475,56.421505,167.673279,8.836798,2.705106,8.266949,6.831068,8.496865,7.317259,9.081589,7.606473,9.949255,9.208121,11.100413,7.041052,11.362236,6.106483
1.745,5.793350,5.800395,4.918442,6.341944,0.129803,5.522419,6.124104,4.415358,5.163489,3.221638,6.559783,8.484619,4.673395,7.310677,141.447952,144.323517,56.412041,167.591858,8.829599,2.702074,8.266474,6.841670,8.497173,7.326313,9.083145,7.612013,9.943769,9.208084,11.099941,7.040977,11.362072,6.106646
1.746,5.792734,5.799952,4.918515,6.341002,0.132980,5.524568,6.123694,4.425675,5.163442,3.211245,6.558310,8.492653,4.673588,7.318820,141.268707,143.885559,56.402580,167.510422,8.822400,2.699041,8.265998,6.852273,8.497480,7.335368,9.084702,7.617552,9.938282,9.208047,11.099468,7.040900,11.361909,6.106809
1.747,5.792118,5.799508,4.918588,6.340060,0.136157,5.526717,6.123284,4.435994,5.163395,3.200851,6.556836,8.500688,4.673781,7.326963,141.089447,143.447586,56.393120,167.428986,8.815202,2.696009,8.265523,6.862875,8.497788,7.344423,9.086257,7.623092,9.932796,9.208010,11.098996,7.040824,11.361745,6.106971
1.748,5.791531,5.799132,4.920752,6.340551,0.140052,5.529164,6.125436,4.444754,5.167115,3.195708,6.555666,8.509191,4.674388,7.338203,140.719925,143.026337,56.357983,167.372086,8.815653,2.690491,8.266863,6.872035,8.498118,7.352006,9.091049,7.628368,9.933542,9.210736,11.101695,7.043649,11.364401,6.108957
1.749,5.790944,5.798757,4.922915,6.341043,0.143947,5.531610,6.127588,4.453515,5.170835,3.190565,6.554496,8.517694,4.674994,7.349443,140.350403,142.605087,56.322845,167.315186,8.816105,2.684972,8.268204,6.881195,8.498448,7.359590,9.095840,7.633644,9.934289,9.213463,11.104395,7.046474,11.367056,6.110943
1.750,5.790358,5.798382,4.925078,6.341534,0.147842,5.534058,6.129741,4.462275,5.174556,3.185422,6.553326,8.526197,4.675600,7.360684,139.980865,142.183838,56.287708,167.258270,8.816557,2.679454,8.269544,6.890355,8.498778,7.367173,9.100633,7.638920,9.935036,9.216189,11.107094,7.049298,11.369711,6.112928
1.751,5.789771,5.798007,4.927241,6.342025,0.151737,5.536504,6.131893,4.471035,5.178277,3.180279,6.552156,8.534700,4.676207,7.371924,139.611343,141.762589,56.252571,167.201370,8.817008,2.673936,8.270884,6.899515,8.499108,7.374757,9.105425,7.644196,9.935782,9.218916,11.109793,7.052123,11.372367,6.114914
1.752,5.789037,5.797523,4.928847,6.341132,0.156346,5.539108,6.132620,4.481029,5.180665,3.177545,6.549643,8.542398,4.677031,7.383283,139.114731,141.449783,56.237476,167.126419,8.820509,2.673231,8.272310,6.906217,8.497677,7.380852,9.108692,7.649242,9.934923,9.220816,11.111641,7.054083,11.373768,6.117270
