"Time","28a CoMy (cm)","v1 xCoMy","v3 Left CoP","v2 Right CoP","28 CoMy (cm)","27 CoMx (cm)","26 HRy (cm)","25 HRx (cm)","24 HLy (cm)","23 HLx (cm)","22 FRy (cm)","21 FRx (cm)","20 FLy (cm)","19 FLx (cm)","18 MTP ang","17 ankle ang)","16 knee ang","15 hip ang","14 FLty (cm)","13 FLtx (cm)","12 toey (cm)","11 toex (cm)","10 MTPy (cm)","9 MTPx (cm)","8 anky (cm)","7 ankx (cm)","6 kny (cm)","5 knx (cm)","4 Hipy (cm)","3 Hipx (cm)","2 Cry (cm)","1 Crx (cm)"
0.015,6.807567,6.819143,5.465434,7.372182,0.213276,4.450240,7.317361,1.586230,5.956699,3.410550,7.427004,6.576375,4.974168,7.597677,162.408737,22.169209,13.509504,141.983475,8.294407,2.984071,8.900701,7.246075,9.399132,7.339391,9.930319,7.274290,9.326464,7.611169,10.994100,6.074160,11.142909,5.167181
0.016,6.808393,6.819831,5.466881,7.368477,0.210721,4.448922,7.309079,1.571378,5.956800,3.420162,7.427875,6.585353,4.976961,7.576338,159.110733,21.006012,14.931284,141.473175,8.294201,2.991701,8.953180,7.214615,9.418883,7.329400,9.953489,7.269159,9.336387,7.589190,11.002444,6.068932,11.147621,5.162417
0.017,6.809220,6.820518,5.468328,7.364772,0.208167,4.447605,7.300797,1.556527,5.956903,3.429774,7.428746,6.594332,4.979753,7.554999,155.812744,19.842815,16.353064,140.962891,8.293995,2.999331,9.005659,7.183155,9.438635,7.319410,9.976661,7.264028,9.346310,7.567211,11.010788,6.063704,11.152333,5.157654
0.018,6.810047,6.821206,5.469775,7.361066,0.205612,4.446287,7.292515,1.541676,5.957005,3.439387,7.429618,6.603310,4.982545,7.533660,152.514740,18.679619,17.774843,140.452591,8.293788,3.006961,9.058139,7.151696,9.458387,7.309420,9.999832,7.258896,9.356234,7.545231,11.019133,6.058476,11.157045,5.152891
0.019,6.810873,6.821894,5.471222,7.357361,0.203058,4.444969,7.284233,1.526824,5.957106,3.448999,7.430489,6.612288,4.985337,7.512321,149.216736,17.516422,19.196623,139.942291,8.293582,3.014591,9.110619,7.120236,9.478139,7.299429,10.023003,7.253765,9.366157,7.523252,11.027477,6.053249,11.161757,5.148127
0.020,6.811765,6.822642,5.471456,7.358038,0.200405,4.444726,7.284933,1.528799,5.956318,3.457528,7.431144,6.620264,4.986594,7.496622,147.383850,17.096046,19.859482,139.598877,8.294498,3.026064,9.135809,7.096755,9.496081,7.290190,10.039476,7.248374,9.376385,7.509347,11.036271,6.048344,11.167253,5.144749
0.021,6.812657,6.823391,5.471690,7.358716,0.197752,4.444484,7.285632,1.530774,5.955529,3.466057,7.431800,6.628240,4.987850,7.480923,145.550964,16.675669,20.522339,139.255447,8.295416,3.037538,9.160998,7.073274,9.514023,7.280951,10.055949,7.242982,9.386613,7.495442,11.045065,6.043439,11.172747,5.141371
0.022,6.813550,6.824140,5.471924,7.359393,0.195100,4.444241,7.286332,1.532750,5.954741,3.474586,7.432455,6.636215,4.989106,7.465224,143.718079,16.255291,21.185196,138.912018,8.296332,3.049011,9.186188,7.049793,9.531965,7.271712,10.072422,7.237590,9.396841,7.481538,11.053859,6.038534,11.178242,5.137992
0.023,6.814442,6.824888,5.472157,7.360071,0.192447,4.443998,7.287031,1.534725,5.953952,3.483116,7.433110,6.644191,4.990363,7.449525,141.885193,15.834915,21.848055,138.568604,8.297249,3.060483,9.211378,7.026312,9.549908,7.262473,10.088896,7.232198,9.407069,7.467633,11.062653,6.033629,11.183737,5.134614
0.024,6.815361,6.825665,5.472580,7.356514,0.189856,4.443572,7.283017,1.529236,5.953538,3.492383,7.430011,6.649186,4.991623,7.433569,144.346756,17.115294,21.794315,138.335907,8.296283,3.068322,9.212135,7.011932,9.564161,7.245581,10.099096,7.226699,9.419063,7.462276,11.070522,6.031649,11.187928,5.131844
0.025,6.816279,6.826443,5.473003,7.352958,0.187265,4.443145,7.279003,1.523748,5.953124,3.501650,7.426912,6.654180,4.992883,7.417613,146.808319,18.395672,21.740574,138.103210,8.295317,3.076160,9.212893,6.997552,9.578415,7.228689,10.109297,7.221201,9.431056,7.456919,11.078392,6.029669,11.192120,5.129073
0.026,6.817197,6.827221,5.473426,7.349401,0.184674,4.442718,7.274990,1.518260,5.952710,3.510917,7.423814,6.659174,4.994143,7.401656,149.269882,19.676052,21.686832,137.870514,8.294352,3.083999,9.213651,6.983172,9.592668,7.211798,10.119496,7.215702,9.443049,7.451561,11.086263,6.027689,11.196312,5.126302
0.027,6.818116,6.827999,5.473849,7.345845,0.182084,4.442291,7.270976,1.512771,5.952296,3.520184,7.420715,6.664168,4.995403,7.385700,151.731445,20.956430,21.633093,137.637817,8.293386,3.091837,9.214408,6.968793,9.606921,7.194906,10.129697,7.210203,9.455043,7.446204,11.094132,6.025708,11.200503,5.123531
0.028,6.819116,6.828847,5.477103,7.343961,0.179292,4.442751,7.266868,1.511572,5.954098,3.527651,7.421053,6.667931,5.000108,7.371449,152.847672,22.047087,21.187132,137.384109,8.294496,3.103149,9.192076,6.952434,9.607769,7.185624,10.135952,7.206294,9.466323,7.447600,11.103342,6.024020,11.204323,5.119705
0.029,6.820115,6.829695,5.480357,7.342076,0.176500,4.443210,7.262761,1.510372,5.955901,3.535118,7.421391,6.671692,5.004813,7.357198,153.963898,23.137743,20.741171,137.130402,8.295605,3.114461,9.169744,6.936075,9.608618,7.176343,10.142208,7.202385,9.477602,7.448996,11.112551,6.022332,11.208141,5.115879
0.030,6.821115,6.830543,5.483610,7.340191,0.173708,4.443669,7.258653,1.509173,5.957704,3.542585,7.421730,6.675454,5.009518,7.342947,155.080109,24.228399,20.295210,136.876678,8.296715,3.125773,9.147411,6.919717,9.609466,7.167062,10.148463,7.198475,9.488882,7.450392,11.121759,6.020643,11.211961,5.112053
0.031,6.822114,6.831391,5.486864,7.338306,0.170917,4.444129,7.254546,1.507973,5.959506,3.550052,7.422068,6.679216,5.014223,7.328696,156.196335,25.319056,19.849249,136.622971,8.297825,3.137085,9.125079,6.903358,9.610313,7.157780,10.154718,7.194566,9.500162,7.451788,11.130969,6.018955,11.215780,5.108227
0.032,6.823116,6.832238,5.491395,7.336857,0.168064,4.444883,7.251633,1.516077,5.961132,3.562024,7.422081,6.684655,5.021659,7.311680,158.368530,27.543516,19.059753,136.528381,8.298195,3.148084,9.109557,6.892282,9.606961,7.142628,10.153753,7.191957,9.506295,7.458855,11.138520,6.016026,11.219240,5.103124
0.033,6.824119,6.833086,5.495926,7.335407,0.165212,4.445637,7.248721,1.524181,5.962757,3.573996,7.422094,6.690094,5.029095,7.294664,160.540726,29.767979,18.270256,136.433777,8.298565,3.159082,9.094035,6.881206,9.603609,7.127476,10.152788,7.189347,9.512428,7.465922,11.146070,6.013097,11.222700,5.098020
0.034,6.825120,6.833933,5.500457,7.333958,0.162360,4.446391,7.245809,1.532284,5.964383,3.585968,7.422107,6.695532,5.036530,7.277648,162.712921,31.992439,17.480761,136.339172,8.298936,3.170081,9.078513,6.870130,9.600258,7.112324,10.151824,7.186738,9.518562,7.472990,11.153622,6.010168,11.226160,5.092916
0.035,6.826122,6.834780,5.504988,7.332508,0.159508,4.447145,7.242896,1.540388,5.966009,3.597940,7.422121,6.700971,5.043967,7.260633,164.885117,34.216900,16.691265,136.244583,8.299306,3.181079,9.062991,6.859054,9.596906,7.097171,10.150859,7.184128,9.524695,7.480057,11.161173,6.007239,11.229620,5.087812
0.036,6.827151,6.835639,5.510909,7.331278,0.156398,4.449360,7.239562,1.550817,5.966022,3.608256,7.422994,6.708542,5.055795,7.237883,163.848755,36.942787,14.982018,136.475723,8.299522,3.188937,9.083700,6.839612,9.598601,7.086789,10.142479,7.178531,9.531981,7.493544,11.167979,6.003791,11.234867,5.084022
0.037,6.828179,6.836499,5.516830,7.330047,0.153288,4.451575,7.236227,1.561246,5.966036,3.618572,7.423867,6.716112,5.067623,7.215134,162.812408,39.668678,13.272772,136.706848,8.299740,3.196794,9.104410,6.820169,9.600297,7.076407,10.134099,7.172934,9.539265,7.507031,11.174786,6.000343,11.240113,5.080231
0.038,6.829208,6.837359,5.522751,7.328816,0.150179,4.453790,7.232892,1.571675,5.966050,3.628888,7.424741,6.723683,5.079452,7.192384,161.776062,42.394566,11.563526,136.937988,8.299957,3.204652,9.125120,6.800727,9.601993,7.066025,10.125719,7.167336,9.546550,7.520519,11.181592,5.996895,11.245359,5.076439
0.039,6.830236,6.838219,5.528672,7.327586,0.147069,4.456006,7.229558,1.582105,5.966064,3.639204,7.425614,6.731254,5.091280,7.169635,160.739700,45.120453,9.854280,137.169128,8.300174,3.212510,9.145829,6.781285,9.603688,7.055643,10.117339,7.161739,9.553835,7.534006,11.188398,5.993447,11.250607,5.072649
0.040,6.831243,6.839046,5.536870,7.327554,0.143775,4.457068,7.230103,1.594100,5.965499,3.646661,7.425004,6.742897,5.108242,7.141069,161.405670,49.401417,7.757095,137.609680,8.300551,3.220701,9.144989,6.742223,9.598491,7.026691,10.111318,7.150094,9.568329,7.542658,11.192078,5.992856,11.255705,5.070065
0.041,6.832249,6.839874,5.545068,7.327521,0.140480,4.458130,7.230650,1.606095,5.964933,3.654118,7.424393,6.754540,5.125203,7.112504,162.071655,53.682381,5.659910,138.050217,8.300930,3.228893,9.144148,6.703162,9.593293,6.997740,10.105295,7.138448,9.582823,7.551311,11.195757,5.992264,11.260803,5.067481
0.042,6.833256,6.840701,5.553267,7.327489,0.137185,4.459193,7.231196,1.618090,5.964368,3.661576,7.423782,6.766184,5.142164,7.083939,162.737640,57.963345,3.562726,138.490753,8.301308,3.237085,9.143307,6.664101,9.588096,6.968789,10.099274,7.126802,9.597316,7.559962,11.199437,5.991673,11.265903,5.064897
