"Time","2 Trdml","3 Platform","4 GM","5 Ip","6 BF","7 VL","8 St","9 TA","10 Gs","11 Gr","12 Synch","42 Ramp up","43 Ramp down","44 sw onset","45 sw offset"
0.47,0.19429,-1.48003,0.00056,0.00117,0.00110,0.00095,0.00067,0.00064,0.00259,0.00107,0,0,0,0,0
0.48,0.19539,-1.48207,0.00134,0.00437,0.00098,0.00069,0.00066,0.00059,-0.00167,0.00104,0,0,0,0,0
0.49,0.19581,-1.47979,0.00478,0.01087,0.00079,0.00058,0.00270,0.00095,0.00294,0.00220,0,0,0,1,0
0.50,0.19522,-1.47923,0.00467,0.01119,0.00075,0.00061,0.00340,0.00127,0.01865,0.00576,0,0,0,0,0
0.51,0.19510,-1.48224,0.00147,0.00804,0.00071,0.00061,0.00211,0.00188,0.00239,0.00630,0,0,0,0,0
0.52,0.19491,-1.48015,0.00448,0.01038,0.00068,0.00058,0.00164,0.00281,-0.00338,0.00455,0,0,0,0,0
0.53,0.19372,-1.48083,0.00470,0.01159,0.00072,0.00057,0.00137,0.00340,-0.00754,0.00392,0,0,0,0,0
0.54,0.19288,-1.48111,0.00232,0.01264,0.00076,0.00055,0.00126,0.00373,0.00441,0.00235,0,0,0,0,0
0.55,0.19342,-1.48093,0.00547,0.01269,0.00077,0.00054,0.00074,0.00382,0.00436,0.00115,0,0,0,0,0
0.56,0.19400,-1.47773,0.00871,0.01771,0.00088,0.00063,0.00062,0.00272,0.00285,0.00086,0,0,0,0,0
0.57,0.19305,-1.48063,0.00889,0.01837,0.00090,0.00075,0.00061,0.00144,0.00385,0.00094,0,0,0,0,0
0.58,0.19315,-1.47882,0.00684,0.01252,0.00080,0.00082,0.00051,0.00109,0.00186,0.00139,0,0,0,0,0
0.59,0.19310,-1.47946,0.00336,0.00708,0.00080,0.00081,0.00058,0.00075,0.00338,0.00116,0,0,0,0,0
0.60,0.19365,-1.48139,0.00072,0.00169,0.00074,0.00066,0.00078,0.00080,0.00239,0.00074,0,0,0,0,0
0.61,0.19312,-1.48093,0.00059,0.00159,0.00071,0.00059,0.00112,0.00092,0.00288,0.00145,0,0,0,0,1
0.62,0.19227,-1.48190,0.00066,0.00146,0.00073,0.00064,0.00127,0.00085,0.00270,0.00164,0,0,0,0,0
0.63,0.19327,-1.47938,0.00066,0.00105,0.00084,0.00064,0.00125,0.00091,0.00391,0.00109,0,0,0,0,0
0.64,0.19454,-1.47867,0.00059,0.00136,0.00090,0.00066,0.00162,0.00079,0.00361,0.00097,0,0,0,0,0
0.65,0.19546,-1.48117,0.00060,0.00111,0.00083,0.00105,0.00194,0.00060,0.00386,0.00087,0,0,0,0,0
0.66,0.19533,-1.47992,0.00061,0.00091,0.00084,0.00102,0.00179,0.00065,0.00477,0.00101,0,0,0,0,0
0.67,0.19498,-1.48072,0.00055,0.00115,0.00088,0.00065,0.00175,0.00064,0.00388,0.00130,0,0,0,0,0
0.68,0.19452,-1.48185,0.00057,0.00125,0.00097,0.00097,0.00143,0.00065,0.00067,0.00133,0,0,0,0,0
