"Time","2 Trdml","3 Platform","4 GM","5 Ip","6 BF","7 VL","8 St","9 TA","10 Gs","11 Gr","12 Synch","42 Ramp up","43 Ramp down","44 sw onset","45 sw offset"
0.00,0.10143,-1.47990,0.00151,0.00332,0.00069,0.00063,0.00065,0.00058,0.00566,0.00102,0,0,0,0,0
0.01,0.10154,-1.47916,0.00486,0.00932,0.00073,0.00062,0.00185,0.00118,0.00359,0.00114,0,0,0,0,0
0.02,0.10173,-1.47816,0.00453,0.01173,0.00073,0.00063,0.00234,0.00286,-0.00180,0.00249,0,0,0,1,0
0.03,0.10071,-1.47898,0.00375,0.00788,0.00069,0.00064,0.00217,0.00336,0.00494,0.00359,0,0,0,0,0
0.04,0.10030,-1.47874,0.00767,0.01067,0.00069,0.00066,0.00278,0.00301,0.00722,0.00312,0,0,0,0,0
0.05,0.10084,-1.47690,0.00714,0.01162,0.00067,0.00061,0.00298,0.00378,0.00350,0.00177,0,0,0,0,0
0.06,0.10188,-1.47997,0.00367,0.01005,0.00067,0.00050,0.00247,0.00447,0.00466,0.00177,0,0,0,0,0
0.07,0.10185,-1.47895,0.00346,0.01213,0.00067,0.00057,0.00219,0.00376,0.00396,0.00188,0,0,0,0,0
0.08,0.10135,-1.48091,0.00398,0.01299,0.00067,0.00059,0.00185,0.00292,0.00408,0.00116,0,0,0,0,0
0.09,0.10056,-1.48093,0.00257,0.01065,0.00067,0.00052,0.00116,0.00223,0.00267,0.00115,0,0,0,0,0
0.10,0.10022,-1.47768,0.00251,0.00980,0.00069,0.00054,0.00089,0.00211,0.00402,0.00090,0,0,0,0,0
0.11,0.10093,-1.47838,0.00252,0.01294,0.00070,0.00054,0.00094,0.00213,0.00293,0.00070,0,0,0,0,0
0.12,0.10198,-1.47802,0.00295,0.01367,0.00066,0.00054,0.00097,0.00140,0.00384,0.00091,0,0,0,0,0
0.13,0.10181,-1.47875,0.00345,0.01361,0.00060,0.00057,0.00063,0.00113,0.00331,0.00108,0,0,0,0,0
0.14,0.10116,-1.47872,0.00758,0.01356,0.00068,0.00063,0.00058,0.00092,0.00412,0.00088,0,0,0,0,0
0.15,0.10047,-1.47919,0.00717,0.01124,0.00079,0.00077,0.00052,0.00087,0.00372,0.00094,0,0,0,0,0
0.16,0.09978,-1.47789,0.00148,0.00922,0.00079,0.00085,0.00056,0.00089,0.00320,0.00111,0,0,0,0,0
0.17,0.09992,-1.47854,0.00056,0.00494,0.00078,0.00074,0.00089,0.00082,0.00309,0.00114,0,0,0,0,0
0.18,0.10021,-1.47838,0.00052,0.00113,0.00072,0.00063,0.00101,0.00084,0.00384,0.00148,0,0,0,0,1
0.19,0.09953,-1.47922,0.00054,0.00120,0.00070,0.00062,0.00090,0.00079,0.00323,0.00188,0,0,0,0,0
0.20,0.09941,-1.47882,0.00064,0.00099,0.00078,0.00063,0.00128,0.00078,0.00389,0.00232,0,0,0,0,0
0.21,0.09988,-1.48011,0.00065,0.00085,0.00079,0.00065,0.00157,0.00078,0.00483,0.00388,0,0,0,0,0
0.22,0.10007,-1.48058,0.00058,0.00080,0.00075,0.00057,0.00160,0.00073,0.00007,0.00452,0,0,0,0,0
0.23,0.09957,-1.47881,0.00053,0.00076,0.00073,0.00054,0.00172,0.00084,0.00425,0.00373,0,0,0,0,0
0.24,0.09959,-1.47965,0.00052,0.00081,0.00230,0.00061,0.00146,0.00074,0.00430,0.00305,0,0,0,0,0
0.25,0.09927,-1.47957,0.00057,0.00077,0.00228,0.00059,0.00124,0.00057,0.00410,0.00319,0,0,0,0,0
0.26,0.09944,-1.47804,0.00058,0.00069,0.00069,0.00055,0.00113,0.00059,0.00223,0.00401,0,0,0,0,0
0.27,0.09975,-1.48145,0.00054,0.00068,0.00074,0.00058,0.00106,0.00057,0.00415,0.00398,0,0,0,0,0
0.28,0.09954,-1.47934,0.00052,0.00063,0.00074,0.00055,0.00137,0.00058,0.00427,0.00337,0,0,0,0,0
0.29,0.09921,-1.47898,0.00055,0.00070,0.00067,0.00052,0.00129,0.00057,0.00401,0.00267,0,0,0,0,0
0.30,0.09951,-1.48180,0.00068,0.00071,0.00064,0.00050,0.00139,0.00064,0.00619,0.00347,0,0,0,0,0
0.31,0.09958,-1.47729,0.00066,0.00064,0.00064,0.00049,0.00166,0.00069,0.00378,0.00388,0,0,0,0,0
0.32,0.09969,-1.47819,0.00056,0.00061,0.00066,0.00050,0.00158,0.00055,0.00255,0.00338,0,0,0,0,0
0.33,0.10022,-1.47980,0.00060,0.00068,0.00066,0.00053,0.00155,0.00055,0.00505,0.00376,0,0,0,0,0
0.34,0.10081,-1.47971,0.00060,0.00070,0.00067,0.00059,0.00128,0.00059,0.00303,0.00221,0,0,0,0,0
0.35,0.10097,-1.47888,0.00048,0.00063,0.00070,0.00060,0.00112,0.00060,0.00444,0.00092,0,0,0,0,0
0.36,0.10075,-1.47930,0.00050,0.00081,0.00072,0.00060,0.00113,0.00058,0.00348,0.00104,0,0,0,0,0
0.37,0.09987,-1.47793,0.00057,0.00094,0.00073,0.00057,0.00126,0.00060,0.00401,0.00087,0,0,0,0,0
0.38,0.09989,-1.47904,0.00052,0.00080,0.00073,0.00058,0.00119,0.00065,0.00562,0.00089,0,0,0,0,0
0.39,0.10019,-1.48134,0.00057,0.00088,0.00070,0.00060,0.00080,0.00058,0.00541,0.00082,0,0,0,0,0
0.40,0.10012,-1.47930,0.00321,0.00871,0.00069,0.00058,0.00072,0.00058,0.00285,0.00091,0,0,0,0,0
0.41,0.09963,-1.47848,0.00568,0.01166,0.00069,0.00056,0.00156,0.00186,0.00031,0.00330,0,0,0,1,0
0.42,0.09969,-1.48006,0.00522,0.01161,0.00069,0.00058,0.00188,0.00314,0.00418,0.00420,0,0,0,0,0
0.43,0.09914,-1.48032,0.00546,0.01394,0.00069,0.00061,0.00148,0.00373,-0.00223,0.00269,0,0,0,0,0
0.44,0.09905,-1.47735,0.00637,0.01573,0.00069,0.00057,0.00152,0.00349,-0.00461,0.00231,0,0,0,0,0
0.45,0.09922,-1.48081,0.00693,0.02162,0.00068,0.00056,0.00135,0.00322,0.00543,0.00149,0,0,0,0,0
0.46,0.09964,-1.47943,0.00701,0.02014,0.00069,0.00052,0.00142,0.00329,0.00372,0.00092,0,0,0,0,0
0.47,0.09996,-1.47846,0.00728,0.01998,0.00067,0.00051,0.00160,0.00209,0.00361,0.00087,0,0,0,0,0
0.48,0.10049,-1.48001,0.00679,0.02084,0.00067,0.00058,0.00107,0.00110,0.00412,0.00096,0,0,0,0,0
0.49,0.10091,-1.48083,0.00439,0.01457,0.00071,0.00062,0.00061,0.00079,0.00407,0.00093,0,0,0,0,0
0.50,0.10094,-1.47935,0.00280,0.01195,0.00069,0.00063,0.00086,0.00083,0.00341,0.00060,0,0,0,0,0
0.51,0.10051,-1.47793,0.00242,0.01033,0.00058,0.00060,0.00112,0.00080,0.00203,0.00069,0,0,0,0,1
0.52,0.10015,-1.47858,0.00165,0.00486,0.00055,0.00053,0.00123,0.00080,0.00423,0.00070,0,0,0,0,0
0.53,0.10058,-1.47791,0.00097,0.00159,0.00061,0.00051,0.00134,0.00077,0.00267,0.00067,0,0,0,0,0
0.54,0.10122,-1.47865,0.00077,0.00091,0.00066,0.00057,0.00164,0.00060,0.00612,0.00315,0,0,0,0,0
0.55,0.10107,-1.47985,0.00063,0.00080,0.00071,0.00059,0.00158,0.00062,0.00435,0.00439,0,0,0,0,0
