"Time","2 Trdml","3 Platform","4 GM","5 Ip","6 BF","7 VL","8 St","9 TA","10 Gs","11 Gr","12 Synch","42 Ramp up","43 Ramp down","44 sw onset","45 sw offset"
0.47,0.19702,-1.48032,0.00057,0.00180,0.00193,0.00123,0.00083,0.00075,0.00324,0.00137,0,0,0,0,0
0.48,0.19687,-1.47916,0.00054,0.00192,0.00206,0.00122,0.00060,0.00068,0.00357,0.00099,0,0,0,0,0
0.49,0.19704,-1.47997,0.00067,0.00174,0.00118,0.00095,0.00062,0.00065,0.00494,0.00076,0,0,0,0,0
0.50,0.19698,-1.47915,0.00187,0.00764,0.00083,0.00074,0.00146,0.00197,0.00298,0.00123,0,0,0,0,0
0.51,0.19720,-1.48073,0.00514,0.01430,0.00071,0.00062,0.00200,0.00296,0.03978,0.00332,0,0,0,1,0
0.52,0.19637,-1.47128,0.00650,0.01146,0.00071,0.00056,0.00192,0.00277,0.00931,0.00469,0,0,0,0,0
0.53,0.19569,-1.48030,0.00618,0.01101,0.00070,0.00058,0.00177,0.00342,0.00550,0.00429,0,0,0,0,0
0.54,0.19571,-1.48087,0.00614,0.01601,0.00067,0.00058,0.00131,0.00340,0.00370,0.00296,0,0,0,0,0
0.55,0.19565,-1.47903,0.00496,0.01535,0.00068,0.00054,0.00094,0.00220,0.00237,0.00162,0,0,0,0,0
0.56,0.19604,-1.47902,0.00507,0.01134,0.00066,0.00054,0.00075,0.00194,0.00272,0.00103,0,0,0,0,0
0.57,0.19640,-1.48037,0.00461,0.01098,0.00067,0.00057,0.00075,0.00200,0.00450,0.00098,0,0,0,0,0
0.58,0.19638,-1.47974,0.00521,0.01218,0.00069,0.00056,0.00063,0.00179,0.00308,0.00128,0,0,0,0,0
0.59,0.19638,-1.48212,0.00758,0.01327,0.00067,0.00057,0.00055,0.00147,0.00487,0.00116,0,0,0,0,0
0.60,0.19602,-1.47813,0.00697,0.01274,0.00068,0.00068,0.00056,0.00090,0.00229,0.00102,0,0,0,0,0
0.61,0.19655,-1.48212,0.00346,0.00839,0.00080,0.00087,0.00056,0.00083,0.00445,0.00110,0,0,0,0,0
0.62,0.19708,-1.47800,0.00072,0.00342,0.00082,0.00087,0.00073,0.00079,0.00332,0.00095,0,0,0,0,0
0.63,0.19707,-1.47922,0.00073,0.00321,0.00088,0.00108,0.00131,0.00088,0.00410,0.00089,0,0,0,0,1
0.64,0.14742,-1.47966,0.00077,0.00313,0.00090,0.00117,0.00141,0.00092,0.01475,0.00114,0,0,0,0,0
0.65,0.18661,-1.48262,0.00066,0.00155,0.00107,0.00111,0.00145,0.00087,0.00238,0.00125,0,0,0,0,0
0.66,0.20314,-1.47896,0.00070,0.00144,0.00148,0.00116,0.00178,0.00095,0.00089,0.00118,0,0,0,0,0
0.67,0.20343,-1.48020,0.00064,0.00109,0.00120,0.00090,0.00230,0.00084,0.00685,0.00152,0,0,0,0,0
0.68,0.19870,-1.47784,0.00054,0.00105,0.00102,0.00103,0.00307,0.00075,0.01023,0.00145,0,0,0,0,0
0.69,0.19604,-1.47917,0.00056,0.00126,0.00114,0.00129,0.00299,0.00074,0.00407,0.00126,0,0,0,0,0
0.70,0.19595,-1.47812,0.00061,0.00150,0.00347,0.00132,0.00172,0.00078,0.00338,0.00136,0,0,0,0,0
0.71,0.19615,-1.47974,0.00067,0.00190,0.00509,0.00269,0.00089,0.00079,0.00218,0.00119,0,0,0,0,0
0.72,0.19586,-1.47702,0.00065,0.00209,0.00414,0.00432,0.00080,0.00076,0.00472,0.00100,0,0,0,0,0
0.73,0.19505,-1.48012,0.00147,0.00171,0.00247,0.00264,0.00063,0.00065,0.00299,0.00096,0,0,0,0,0
0.74,0.19479,-1.47945,0.00293,0.00888,0.00077,0.00065,0.00160,0.00136,0.00529,0.00187,0,0,0,1,0
0.75,0.19450,-1.48210,0.00553,0.01323,0.00071,0.00062,0.00246,0.00278,0.00295,0.00375,0,0,0,0,0
