"Time","2 Trdml","3 Platform","4 GM","5 Ip","6 BF","7 VL","8 St","9 TA","10 Gs","11 Gr","12 Synch","42 Ramp up","43 Ramp down","44 sw onset","45 sw offset"
0.48,0.09902,1.48166,0.00054,0.00139,0.00087,0.00079,0.00074,0.00104,0.00320,0.00145,0,0,0,0,0
0.49,0.09896,1.48279,0.00057,0.00114,0.00096,0.00114,0.00075,0.00115,0.00549,0.00093,0,0,0,0,0
0.50,0.09781,1.48279,0.00059,0.00117,0.00089,0.00111,0.00089,0.00122,0.00443,0.00095,0,0,0,0,0
0.51,0.09671,1.48338,0.00056,0.00116,0.00072,0.00067,0.00084,0.00096,0.00320,0.00098,0,0,0,0,0
0.52,0.09645,1.48285,0.00058,0.00110,0.00072,0.00054,0.00093,0.00089,0.00427,0.00133,0,0,0,0,0
0.53,0.09683,1.48302,0.00066,0.00081,0.00071,0.00054,0.00103,0.00111,0.00427,0.00203,0,0,0,0,0
0.54,0.09732,1.48404,0.00065,0.00069,0.00072,0.00056,0.00104,0.00106,0.00381,0.00197,0,0,0,0,0
0.55,0.09827,1.48289,0.00063,0.00069,0.00079,0.00062,0.00130,0.00092,0.00412,0.00207,0,0,0,0,0
0.56,0.09931,1.48325,0.00061,0.00080,0.00079,0.00062,0.00119,0.00079,0.00427,0.00302,0,0,0,0,0
0.57,0.10019,1.48199,0.00058,0.00129,0.00075,0.00060,0.00137,0.00067,0.00275,0.00338,0,0,0,0,0
0.58,0.10047,1.48322,0.00057,0.00126,0.00070,0.00060,0.00145,0.00064,0.00427,0.00354,0,0,0,0,0
0.59,0.10002,1.48326,0.00061,0.00123,0.00070,0.00053,0.00121,0.00063,0.00305,0.00346,0,0,0,0,0
0.60,0.09907,1.48163,0.00059,0.00116,0.00073,0.00054,0.00137,0.00060,0.00336,0.00285,0,0,0,0,0
0.61,0.09844,1.48393,0.00055,0.00063,0.00069,0.00053,0.00138,0.00067,0.00626,0.00263,0,0,0,0,0
0.62,0.09798,1.48221,0.00053,0.00060,0.00073,0.00051,0.00136,0.00071,0.00534,0.00267,0,0,0,0,0
0.63,0.09862,1.48311,0.00061,0.00061,0.00071,0.00056,0.00164,0.00071,0.00473,0.00303,0,0,0,0,0
0.64,0.09868,1.48468,0.00062,0.00062,0.00062,0.00060,0.00179,0.00078,0.00412,0.00270,0,0,0,0,0
0.65,0.09841,1.48146,0.00055,0.00069,0.00064,0.00057,0.00181,0.00077,0.00595,0.00217,0,0,0,0,0
0.66,0.09807,1.48169,0.00059,0.00076,0.00072,0.00053,0.00188,0.00070,0.00259,0.00180,0,0,0,0,0
0.67,0.09728,1.48135,0.00057,0.00078,0.00075,0.00058,0.00166,0.00066,0.00366,0.00128,0,0,0,0,0
0.68,0.09686,1.48253,0.00057,0.00088,0.00078,0.00102,0.00141,0.00069,0.00443,0.00142,0,0,0,0,0
0.69,0.09621,1.48230,0.00059,0.00089,0.00082,0.00126,0.00148,0.00075,0.00916,0.00143,0,0,0,0,0
0.70,0.09619,1.48222,0.00059,0.00090,0.00085,0.00120,0.00122,0.00071,0.00565,0.00110,0,0,0,0,0
0.71,0.09645,1.48125,0.00060,0.00101,0.00088,0.00093,0.00104,0.00069,0.00183,0.00095,0,0,0,0,0
0.72,0.09621,1.48375,0.00063,0.00086,0.00078,0.00060,0.00104,0.00067,0.00244,0.00089,0,0,0,0,0
0.73,0.09563,1.48213,0.00111,0.00188,0.00079,0.00059,0.00083,0.00064,0.00336,0.00081,0,0,0,0,0
0.74,0.09622,1.48239,0.00299,0.00797,0.00080,0.00059,0.00080,0.00060,0.00381,0.00092,0,0,0,0,0
0.75,0.09726,1.48152,0.00503,0.01058,0.00069,0.00061,0.00153,0.00068,0.00381,0.00175,0,0,0,0,0
0.76,0.09719,1.47897,0.00644,0.00852,0.00067,0.00061,0.00257,0.00090,0.00214,0.00345,0,0,0,1,0
0.77,0.09659,1.48323,0.00401,0.00824,0.00070,0.00060,0.00235,0.00108,0.00320,0.00397,0,0,0,0,0
0.78,0.09637,1.48322,0.00165,0.00804,0.00070,0.00060,0.00181,0.00120,0.00687,0.00352,0,0,0,0,0
0.79,0.09661,1.48325,0.00272,0.00908,0.00067,0.00060,0.00135,0.00203,0.00946,0.00281,0,0,0,0,0
0.80,0.09703,1.48323,0.00280,0.00954,0.00069,0.00059,0.00100,0.00255,0.00183,0.00152,0,0,0,0,0
0.81,0.09727,1.48267,0.00295,0.00958,0.00095,0.00100,0.00156,0.00203,0.00122,0.00132,0,0,0,0,0
0.82,0.06885,1.48080,0.00314,0.01130,0.00089,0.00101,0.00135,0.00229,0.00351,0.00126,0,0,0,0,0
0.83,0.09826,1.48267,0.00307,0.01290,0.00062,0.00055,0.00057,0.00215,0.00427,0.00102,0,0,0,0,0
0.84,0.10579,1.48206,0.00322,0.01262,0.00067,0.00056,0.00055,0.00139,0.00473,0.00165,0,0,0,0,0
0.85,0.10292,1.48360,0.00525,0.01166,0.00082,0.00060,0.00056,0.00128,0.00504,0.00179,0,0,0,0,0
