"Time","25 toey (cm)","17 Hipy (cm)"
0.198,8.766067,10.254519
0.199,8.768816,10.253387
0.200,8.771642,10.252507
0.201,8.774467,10.251627
0.202,8.777292,10.250747
0.203,8.780293,10.250339
0.204,8.783403,10.250228
0.205,8.786514,10.250116
0.206,8.789624,10.250006
0.207,8.793322,10.250586
0.208,8.797388,10.251600
0.209,8.801455,10.252615
0.210,8.805522,10.253630
0.211,8.809437,10.255214
0.212,8.813255,10.257154
0.213,8.817074,10.259095
0.214,8.820892,10.261036
0.215,8.824402,10.263313
0.216,8.827717,10.265801
0.217,8.831032,10.268290
0.218,8.834346,10.270778
0.219,8.837522,10.273726
0.220,8.840610,10.276961
0.221,8.843697,10.280198
0.222,8.846785,10.283434
0.223,8.849882,10.286945
0.224,8.852984,10.290628
0.225,8.856088,10.294312
0.226,8.859190,10.297996
0.227,8.862375,10.301989
0.228,8.865612,10.306176
0.229,8.868848,10.310363
0.230,8.872085,10.314550
0.231,8.874926,10.318837
0.232,8.877518,10.323187
0.233,8.880111,10.327537
0.234,8.882703,10.331886
0.235,8.884894,10.336417
0.236,8.886835,10.341063
0.237,8.888775,10.345708
0.238,8.890716,10.350353
0.239,8.892324,10.354992
0.240,8.893724,10.359627
0.241,8.895125,10.364262
0.242,8.896525,10.368896
0.243,8.897902,10.373640
0.244,8.899261,10.378451
0.245,8.900621,10.383264
0.246,8.901981,10.388075
0.247,8.903234,10.393054
0.248,8.904419,10.398139
0.249,8.905604,10.403223
0.250,8.906790,10.408307
0.251,8.907843,10.413482
0.252,8.908811,10.418714
0.253,8.909780,10.423944
0.254,8.910748,10.429176
0.255,8.911784,10.434461
0.256,8.912861,10.439778
0.257,8.913939,10.445096
0.258,8.915015,10.450415
0.259,8.916070,10.455984
0.260,8.917111,10.461712
0.261,8.918152,10.467440
0.262,8.919193,10.473167
0.263,8.919983,10.478977
0.264,8.920615,10.484838
0.265,8.921247,10.490700
0.266,8.921880,10.496561
0.267,8.921950,10.502420
0.268,8.921668,10.508280
0.269,8.921386,10.514139
0.270,8.921103,10.519999
0.271,8.921185,10.526068
0.272,8.921494,10.532268
0.273,8.921804,10.538467
0.274,8.922114,10.544667
0.275,8.922683,10.551055
0.276,8.923413,10.557561
0.277,8.924145,10.564067
0.278,8.924875,10.570574
0.279,8.925758,10.577168
0.280,8.926736,10.583816
0.281,8.927713,10.590465
0.282,8.928691,10.597113
0.283,8.929559,10.603850
0.284,8.930357,10.610644
0.285,8.931154,10.617438
0.286,8.931952,10.624232
0.287,8.932903,10.631121
0.288,8.933949,10.638068
0.289,8.934996,10.645017
0.290,8.936042,10.651964
0.291,8.937659,10.659027
0.292,8.939635,10.666163
0.293,8.941611,10.673299
0.294,8.943587,10.680435
0.295,8.945773,10.687606
0.296,8.948090,10.694799
0.297,8.950406,10.701992
0.298,8.952723,10.709186
0.299,8.956808,10.716440
0.300,8.962004,10.723735
0.301,8.967200,10.731030
0.302,8.972397,10.738324
0.303,8.977639,10.745680
0.304,8.982911,10.753075
0.305,8.988183,10.760469
0.306,8.993455,10.767864
0.307,8.998776,10.775120
0.308,9.004129,10.782289
0.309,9.009482,10.789456
0.310,9.014834,10.796625
0.311,9.020588,10.803620
0.312,9.026593,10.810506
0.313,9.032598,10.817392
0.314,9.038603,10.824279
0.315,9.044846,10.830994
0.316,9.051240,10.837601
0.317,9.057633,10.844208
0.318,9.064027,10.850816
0.319,9.070410,10.857105
0.320,9.076787,10.863196
0.321,9.083163,10.869287
0.322,9.089540,10.875379
