"Time"	"44 miry (cm)"	"43 mirx (cm)"	"42 CoMy (cm)"	"41 CoMx (cm)"	"40 FRy (cm)"	"39 FRx (cm)"	"38 FLy (cm)"	"37 FLx (cm)"	"36 HRy (cm)"	"35 HRx (cm)"	"34 HLy (cm)"	"33 HLx (cm)"	"32 MTP ang"	"31 Keyboard"	"30 ankle ang"	"29 knee ang"	"28 hip ang"	"27 FLty (cm)"	"26 FLtx (cm)"	"25 toey (cm)"	"801 toex (cm)"	"24 toex (cm)"	"23 MTPy (cm)"	"22 MTPx (cm)"	"21 anky (cm)"	"20 ankx (cm)"	"19 kny (cm)"	"18 knx (cm)"	"17 Hipy (cm)"	"16 Hipx (cm)"	"15 Cry (cm)"	"14 Crx (cm)"	"12 Sync"	"11 Gr"	"10 St"	"9 TA"	"8 Gs"	"7 VL"	"6 BF"	"5 Ip"	"4 GM"	"46 sw offset"	"45 sw onset"	"3 Platform"	"2 Trdml"	"1 Synch"
0.00	7.304363	1.093847	4.969913	14.761905	4.135141	16.847771	5.971373	15.394988	4.595071	10.844009	6.329168	13.340173	114.744377	0	69.627419	89.490982	101.823792	8.022021	17.454264	8.136521	-4.526443	11.122893	8.347525	10.568397	9.527195	10.487878	9.016948	12.214015	10.458409	12.626221	10.384934	13.642336	0	-0.01766	0.00427	-0.02949	-0.01271	0.00864	-0.01642	-0.00232	0.01403	0	0	-1.48541	0.36923	3.27744
0.01	7.327665	1.143723	4.964550	15.042087	4.155748	16.750496	5.971473	16.273624	4.606197	10.827679	6.289441	13.212690	112.370277	0	83.146278	98.156517	109.531792	8.035781	17.381933	8.182358	-2.735417	11.073076	8.499885	10.538311	9.635800	10.704313	9.164689	12.441561	10.541978	13.035548	10.474617	14.050424	0	-0.01879	-0.01247	-0.01957	-0.03715	0.00723	-0.00973	0.00434	0.00083	0	1	-1.48602	0.35815	3.27804
0.02	7.339991	1.173126	5.060399	15.341353	4.173997	16.688854	6.040916	17.095873	4.535817	11.050356	6.311975	13.168093	149.885193	0	88.865929	91.945480	106.373833	8.049756	17.301601	8.284494	25.940571	11.071402	8.814880	10.854627	9.822135	11.189248	9.226624	12.887199	10.624206	13.431320	10.539011	14.425356	0	-0.02592	0.00246	-0.01844	-0.01194	0.00796	-0.01073	0.00645	0.00134	0	0	-1.48523	0.35572	3.27743
0.03	7.363549	1.185975	5.211277	15.659590	4.215188	16.643692	6.126700	17.887039	4.212924	11.926608	6.361468	13.134409	141.336288	0	64.779785	83.901604	96.362068	8.063030	17.233589	8.452496	123.842407	11.648868	8.890497	11.918029	9.788958	11.806389	9.230335	13.517294	10.697357	13.828682	10.601310	14.804419	0	-0.02309	-0.00843	-0.01059	-0.01552	0.00161	-0.01384	0.02007	-0.02525	0	0	-1.48729	0.35122	3.27865
0.04	7.364011	1.217165	5.338861	15.967330	4.249804	16.581322	6.314248	18.443403	4.165151	13.120823	6.384887	13.088490	167.046127	0	36.065636	79.979881	83.054695	8.079939	17.176891	8.271796	129.749268	13.470416	8.978941	13.053191	9.648219	12.433562	9.300597	14.197884	10.799302	14.227339	10.666720	15.162565	0	-0.01824	0.00168	-0.02438	-0.01275	0.01097	0.00705	0.00018	-0.05292	0	0	-1.48411	0.34865	3.27683
0.05	7.367903	1.222893	5.470225	16.260002	4.277188	16.530787	6.516872	19.049322	4.190421	14.133911	6.372349	12.929805	162.333099	0	29.417437	85.990509	72.638229	8.083674	17.098909	8.405384	122.757248	14.504903	8.777026	14.091917	9.263961	13.029474	9.412294	14.822538	10.894870	14.594675	10.755933	15.510706	0	-0.01467	-0.00834	-0.02114	-0.01883	0.00797	-0.01486	0.00856	0.00256	0	0	-1.48495	0.33993	3.27759
0.06	7.369621	1.234553	5.596127	16.559921	4.260656	16.491924	6.773976	19.493256	4.140564	15.151064	6.402305	12.858327	174.432861	0	41.155548	91.346611	58.771599	8.076139	17.009794	8.414172	75.093735	15.694432	8.527540	15.089836	8.834591	13.944976	9.628739	15.559201	10.989553	14.928999	10.887827	15.839066	0	0.00537	0.00250	-0.02592	-0.01433	0.00121	-0.01548	0.00247	0.00943	0	0	-1.48501	0.33232	3.27713
0.07	7.367612	1.242674	5.751064	16.857180	4.272257	16.585857	6.844537	19.366865	4.178088	15.513551	6.477183	12.857219	154.877975	0	57.041912	93.359154	60.004059	8.106333	16.926575	8.193056	8.926888	15.928334	8.230832	15.383417	8.792348	14.337344	9.659535	15.914601	11.013990	15.270207	10.940206	16.196922	0	-0.01841	-0.00655	-0.02860	-0.01815	0.01359	0.01301	0.01154	0.02094	1	0	-1.48602	0.32690	3.27758
0.08	7.369095	1.244104	5.920829	17.107662	4.834959	17.326721	6.855518	19.274935	4.193346	15.359174	6.523251	12.985823	146.659256	0	57.512600	95.203590	68.881943	8.296114	17.526714	8.167734	-6.739402	15.905790	8.210907	15.219785	8.874590	14.336422	9.506831	16.021132	10.952926	15.623717	10.859799	16.547447	0	-0.01683	-0.00440	-0.02887	-0.01449	0.00569	0.00439	0.02166	-0.00770	0	0	-1.48400	0.32473	3.27713
0.09	7.373876	1.219256	6.114826	17.321226	5.324145	18.528189	6.868821	19.194441	4.194301	15.246172	6.599568	13.309198	139.936783	0	58.937382	94.692253	70.918747	8.372047	18.663507	8.166200	-11.572827	15.801049	8.219730	15.170712	8.956501	14.431853	9.392472	16.178095	10.872587	15.935031	10.715961	16.845993	0	-0.01838	0.00434	-0.01355	0.03117	-0.00054	-0.00110	0.00436	0.02015	0	0	-1.48649	0.32551	3.27668
0.10	7.356380	1.187795	6.238072	17.515121	5.522081	19.423943	6.860304	19.067978	4.216495	15.126868	7.007491	14.304769	131.115341	0	60.495728	90.343452	77.921028	8.296659	19.754225	8.157774	-13.374030	15.671309	8.231173	15.044991	9.066217	14.468518	9.222636	16.261501	10.717690	16.140099	10.599876	17.042261	0	-0.03870	0.00493	-0.02197	-0.00564	0.01321	-0.00006	0.00659	0.02199	0	0	-1.47291	0.32719	3.27683
0.11	7.343867	1.158140	6.296578	17.655523	5.582029	19.829792	6.832641	18.960476	4.253755	15.041213	7.126415	15.458579	132.417419	0	62.981960	86.537079	85.072891	8.450193	20.508341	8.124913	-16.000164	15.548138	8.263712	15.004165	9.059266	14.579674	9.092876	16.379181	10.588181	16.260632	10.581946	17.165001	0	-0.02383	-0.00187	-0.01726	-0.00961	0.00691	-0.01360	0.00275	0.00865	0	0	-1.40814	0.33132	3.27790
0.12	7.334538	1.121090	6.301126	17.768795	5.505734	20.085457	6.802883	18.812559	4.349137	14.908200	5.938049	15.711163	128.691437	0	69.528526	85.956955	93.539375	8.611695	20.781158	8.125676	-17.185879	15.347247	8.308174	14.822455	9.102874	14.540820	9.072862	16.340563	10.570666	16.259768	10.671298	17.126080	0	-0.01555	-0.00625	-0.01913	-0.00976	0.00852	-0.02027	0.00099	0.01286	0	0	-1.28875	0.32974	3.27728
0.13	7.311288	1.121708	6.241992	17.831768	5.432888	20.210178	6.790023	18.663918	4.409081	14.760900	4.377522	14.831157	130.228485	0	75.152802	84.511917	96.201210	8.600436	20.980822	8.081655	-13.800938	15.190236	8.326573	14.667991	9.050364	14.472606	9.058368	16.272585	10.550819	16.122492	10.730441	16.971674	0	-0.02042	-0.02140	-0.01827	-0.01628	0.00791	-0.00101	0.00430	-0.00920	0	0	-1.10487	0.33442	3.27728
0.14	7.271327	1.084262	6.218555	17.775892	5.376553	20.147839	6.777436	18.507019	4.369036	14.647829	4.347012	14.715559	128.254700	0	77.634995	84.322334	92.684410	8.225454	20.871635	8.073960	-8.751544	15.071434	8.305195	14.551090	9.004478	14.382104	9.042978	16.181664	10.532097	16.001373	10.674154	16.842205	0	-0.01756	0.00005	-0.02185	-0.01519	0.00753	-0.03434	0.00511	-0.00689	0	1	-0.89620	0.32492	3.27623
0.15	7.230428	1.053263	6.211105	17.725256	5.328299	20.007675	6.758723	18.379032	4.382901	14.575719	4.372310	14.631805	142.202621	0	71.744339	86.390099	89.916649	8.122910	20.751656	8.063877	0.769034	15.022177	8.333507	14.557119	8.986732	14.312637	9.057890	16.111221	10.550010	15.957669	10.635259	16.798023	0	-0.02377	0.00383	-0.02562	-0.01380	0.01046	-0.00968	0.00377	0.00120	0	0	-0.64734	0.32725	3.27789
0.16	7.220138	1.010831	6.224002	17.560024	5.286247	19.843939	6.749748	18.233294	4.355187	14.796573	4.331846	14.846375	178.033371	0	56.931515	78.437584	82.101646	8.077043	20.557146	8.091699	43.279179	15.091284	8.530184	14.707988	9.119799	14.344911	9.065485	16.144075	10.542713	15.888033	10.571277	16.735052	0	-0.01450	0.00609	-0.00970	-0.01288	0.00867	-0.05773	-0.00441	0.01545	0	0	-0.36263	0.33048	3.27759
0.17	7.193625	0.975372	6.206336	17.454453	5.262055	19.735996	6.760340	18.126966	4.523711	15.539463	7.070856	15.574989	177.229156	0	33.416565	76.237968	70.827293	8.039320	20.419254	8.168687	73.461487	16.026871	8.513461	15.249060	8.881132	14.516828	9.092115	16.304012	10.497086	15.778869	10.516911	16.637777	0	-0.01927	0.00276	-0.01898	-0.00995	0.00788	-0.01403	0.00688	-0.00372	0	0	-0.06100	0.33198	3.27652
0.18	7.176660	0.960426	6.146973	17.390362	5.226617	19.575636	6.756292	18.077967	4.415045	15.992188	7.035430	15.476310	164.546875	0	54.306091	83.295876	53.029655	7.982601	20.285488	7.894183	24.793650	16.477013	7.948171	15.938273	8.228979	15.171852	9.239923	16.660593	10.373992	15.678823	10.432013	16.526468	0	-0.01741	0.00306	-0.02132	-0.00752	0.01008	-0.00927	0.00889	0.00224	1	0	0.23040	0.33670	3.27759
0.19	7.154175	0.949572	6.090053	17.305294	5.234147	19.413519	6.763370	18.141607	4.392616	15.864779	5.206241	19.362848	162.682388	0	50.640430	75.703720	50.886955	7.961289	20.185345	7.854969	-5.894571	16.477013	7.894926	15.846053	8.198226	15.052510	9.090668	16.615694	10.169301	15.573383	10.244238	16.446533	0	-0.01910	0.00399	-0.02136	-0.01801	0.00626	-0.01019	0.00615	0.00338	0	0	0.52917	0.33983	3.27774
0.20	7.143218	0.940316	5.982836	17.269453	5.246139	19.305780	6.545475	18.665995	4.368217	15.741094	5.552946	18.365301	166.248154	0	42.467258	72.902847	52.204700	7.962133	20.080395	7.851754	-11.341589	16.350557	7.905897	15.733687	8.203355	14.858247	8.926764	16.506247	10.062220	15.526261	10.108335	16.406378	0	-0.01915	0.00396	-0.02293	-0.01278	0.00508	-0.00920	0.00828	0.00284	0	0	0.78375	0.34147	3.27698
0.21	7.138236	0.930661	5.880537	17.263538	5.238122	19.241531	6.653764	19.462936	4.351825	15.631603	5.238311	19.211355	168.157242	0	38.167824	73.637276	53.528465	7.996144	19.896830	7.859993	-10.780929	16.249546	7.897045	15.633534	8.130053	14.781228	8.829981	16.439562	9.991635	15.490593	10.035225	16.390135	0	-0.01696	0.00363	-0.01963	-0.01349	0.01078	-0.01235	0.00529	0.00201	0	0	1.02842	0.33534	3.27698
0.22	7.143417	0.921741	5.782816	17.265694	5.187379	19.147324	6.710867	19.645041	4.370542	15.535400	5.186073	19.100241	169.345688	0	35.785595	74.206848	56.081711	7.942169	19.868692	7.849401	-13.111023	16.134302	7.904527	15.529014	8.154037	14.651850	8.767433	16.343557	9.984752	15.468076	10.013581	16.384325	0	-0.01695	0.00302	-0.01982	-0.00390	0.00763	-0.01266	0.00577	0.00274	0	0	1.22518	0.32911	3.27758
0.23	7.137704	0.921725	5.705965	17.285267	5.176088	19.071842	6.597412	19.694841	4.358547	15.446589	5.190425	19.041943	165.426605	0	35.208698	75.158783	59.574459	7.930832	20.344400	7.882369	-9.292071	15.978334	7.925440	15.418018	8.234879	14.517669	8.738269	16.245831	10.022906	15.471458	10.033754	16.419352	0	-0.01905	0.00408	-0.01816	-0.01576	0.01085	-0.01129	0.00263	0.00259	0	0	1.36346	0.32489	3.27744
0.24	7.133957	0.924394	5.670679	17.312428	5.177241	18.975416	6.603265	19.643841	4.367575	15.346776	6.878736	14.545685	160.471756	0	37.687431	77.086426	59.714806	7.903306	20.322428	7.927246	-7.335656	15.944260	7.955671	15.351586	8.285519	14.544681	8.764732	16.279718	10.084725	15.567380	10.053175	16.504036	0	-0.01636	0.00424	-0.01874	-0.01454	0.00895	-0.01291	0.00447	0.00238	0	0	1.45394	0.32143	3.27743
0.25	7.132425	0.949372	5.622982	17.312855	5.176545	18.846905	6.586912	19.547575	4.376344	15.248775	6.855228	14.800336	156.207611	0	40.373070	77.288841	63.461498	7.889194	20.230047	7.918848	-9.956891	15.836199	7.965159	15.258490	8.373455	14.502610	8.747565	16.263285	10.110244	15.636320	10.080635	16.562269	0	-0.01738	0.00286	-0.01695	-0.01534	0.01186	-0.01273	0.00538	0.00193	0	0	1.48231	0.31890	3.27698
0.26	7.150832	0.963203	5.595072	17.305378	5.179298	18.773773	6.585384	19.473234	4.389811	15.177562	6.860306	15.202582	147.528412	0	41.443943	74.960777	68.572960	7.874386	19.308201	7.949755	-8.114708	15.749026	7.984912	15.159561	8.519701	14.420445	8.694089	16.211775	10.098080	15.684063	10.084540	16.621679	0	-0.01928	0.00210	-0.02224	-0.01580	0.00996	-0.00876	0.00636	0.00421	0	0	-1.45737	0.31786	3.27790
0.27	7.190124	0.999578	5.643294	17.339453	5.218290	18.685932	6.590492	19.460199	4.421609	15.116543	6.759897	15.488672	141.202057	0	43.036705	73.829803	72.788727	7.915103	19.298138	7.959536	-7.907303	15.662314	7.999742	15.073442	8.658070	14.360198	8.668498	16.160107	10.106676	15.734039	10.095094	16.669838	0	-0.01833	0.00217	-0.01821	-0.01300	0.00737	-0.01077	0.00859	0.00388	0	0	-1.36824	0.31693	3.27790
0.28	7.194885	1.063286	5.738076	17.378489	6.470621	18.811892	6.585757	19.395876	4.454247	15.046356	6.732578	15.631194	138.585922	0	40.460247	71.649887	77.921318	7.957932	19.249311	8.007737	-6.988471	15.592982	8.053845	15.035327	8.819904	14.299103	8.641709	16.090160	10.105114	15.761217	10.115029	16.723240	0	-0.01492	-0.01558	-0.04827	-0.01229	0.00953	-0.01287	0.00739	0.00303	0	0	-1.24608	0.31906	3.27713
0.29	7.247023	1.066312	5.803864	17.395117	5.271261	18.585135	6.599572	19.350492	4.479549	15.003449	6.731063	15.655541	137.375839	0	40.335278	70.159142	81.486961	8.006089	19.209597	8.049887	-6.193552	15.533710	8.120687	14.966342	8.917830	14.291080	8.623930	16.066847	10.099071	15.794956	10.132259	16.779642	0	-0.01824	0.00390	-0.02052	-0.01355	0.00880	-0.01397	0.00618	-0.00036	0	0	-1.05184	0.31601	3.27744
0.30	7.279658	1.105635	5.836532	17.437088	5.249814	18.622877	6.607711	19.300037	4.466788	14.939087	6.721427	15.804816	138.785095	0	38.570587	71.622223	85.904121	8.083813	19.208437	8.071338	-7.089474	15.463803	8.166753	14.903933	8.988827	14.235546	8.604887	15.994065	10.096356	15.835683	10.129378	16.797718	0	-0.01801	0.00317	-0.02062	-0.01203	0.00499	0.00177	0.00830	0.00417	0	0	-0.83427	0.31275	3.27728
0.31	7.297470	1.160236	5.816730	17.472677	5.050110	19.016361	6.622204	19.238916	4.460554	14.865038	6.719283	15.839178	142.316681	0	37.105717	74.239555	87.923782	9.822262	16.077242	8.094882	-8.623948	15.392982	8.217246	14.834206	9.042436	14.142647	8.639692	15.897012	10.137842	15.822921	10.150433	16.777767	0	-0.00823	0.00617	-0.02033	-0.07626	0.00834	-0.00890	0.00410	0.00042	0	0	-0.55991	0.30792	3.27577
0.32	7.325426	1.187120	5.788717	17.527533	4.853254	19.851738	6.670967	19.132992	4.456439	14.782068	6.735426	17.733343	142.625137	0	38.620953	75.628151	86.153519	8.499767	20.534922	8.123120	-8.671181	15.292875	8.253783	14.756543	9.067591	14.099188	8.679544	15.856862	10.178698	15.806548	10.146382	16.767555	0	-0.01799	0.00500	-0.01747	-0.01579	0.04445	0.01063	0.00418	-0.00791	0	0	-0.28937	0.31402	3.27728
0.33	7.333931	1.180925	5.803600	17.529358	4.791471	20.154619	6.706434	19.007750	4.470973	14.684140	6.751704	16.012661	136.185532	0	40.112217	75.664505	86.712799	8.442986	21.005007	8.160361	-8.786023	15.224837	8.266382	14.677393	9.157785	14.048065	8.702104	15.789399	10.202051	15.798017	10.140752	16.767956	0	-0.01600	0.00656	-0.02215	-0.00202	0.02915	-0.01865	0.00528	-0.01207	0	0	0.01547	0.32054	3.27758
0.34	7.360976	1.179478	5.886257	17.509459	4.815918	20.021841	6.761036	18.906338	4.497740	14.641827	6.778087	16.317972	132.585693	0	43.327217	75.801865	87.776649	8.147293	20.762308	8.176505	-8.130372	15.118787	8.296031	14.591135	9.235250	14.052537	8.713725	15.775244	10.212051	15.844457	10.130381	16.803606	0	-0.01507	0.00366	-0.02135	0.00557	0.00338	-0.01684	0.00377	0.00160	0	0	0.30540	0.32757	3.27804
0.35	7.370810	1.202569	5.979152	17.533054	4.826740	19.950165	6.792124	18.829596	4.523113	14.579548	6.859059	16.576786	129.229431	0	44.584621	76.947868	89.997925	8.134356	20.737507	8.183908	-8.307862	15.051161	8.302094	14.535515	9.297482	14.043134	8.708674	15.744099	10.200306	15.901975	10.101278	16.837303	0	-0.02040	0.00409	-0.01974	-0.01256	0.00610	-0.01185	0.00715	0.00090	0	0	0.57684	0.33644	3.27728
0.36	7.375908	1.216356	6.026308	17.577324	4.838302	19.880100	6.820557	18.753527	4.556599	14.496032	6.897441	16.496447	124.245392	0	48.666019	78.446793	93.160866	8.118994	20.643789	8.210829	-9.391716	14.954454	8.326967	14.437855	9.324074	14.043539	8.715567	15.737557	10.200189	15.951642	10.117785	16.885143	0	-0.01539	0.00302	-0.01999	-0.01382	0.02483	-0.01483	0.00383	0.00541	0	0	0.84839	0.34177	3.27653
0.37	7.372209	1.221712	6.037590	17.641827	4.849176	19.814104	6.850289	18.705397	4.610729	14.395873	7.036615	16.391714	122.194809	0	53.853127	78.582748	96.858757	8.109838	20.533974	8.200212	-8.065525	14.868157	8.350799	14.354931	9.350559	14.071136	8.726001	15.759308	10.208000	15.990992	10.175147	16.919170	0	-0.01763	0.00305	-0.02076	-0.01216	0.00723	-0.00980	0.00616	0.00243	0	0	1.06345	0.34416	3.27698
0.38	7.374079	1.231929	6.087507	17.658953	4.869558	19.735918	6.868752	18.620445	4.665997	14.324342	7.056971	16.359386	116.032814	0	62.160309	77.648102	97.576340	8.134527	20.461697	8.245795	-6.642582	14.792104	8.407671	14.280795	9.358408	14.138961	8.761275	15.836997	10.249987	16.020391	10.259104	16.957314	0	-0.01869	-0.01656	-0.02748	-0.01335	0.00893	-0.01294	0.00606	0.00440	0	0	1.24420	0.34749	3.27789
0.39	7.374771	1.224886	6.135552	17.656958	4.900336	19.664009	6.891184	18.529675	4.692204	14.266392	7.067754	16.275974	110.113441	0	73.249031	78.690735	96.399666	8.141436	20.355434	8.256292	-5.123989	14.728889	8.444816	14.213406	9.347058	14.212933	8.829036	15.936748	10.322327	16.078346	10.338072	16.996086	0	-0.01661	0.01024	-0.04224	-0.01516	0.00867	-0.01101	0.00550	-0.00109	0	0	1.37927	0.35072	3.27623
0.40	7.370335	1.213798	6.201266	17.642389	4.917954	19.551935	6.899596	18.451454	4.676547	14.235883	7.086707	16.175716	111.775223	0	76.811569	78.721115	95.127907	8.129094	20.242146	8.279387	-2.491188	14.696103	8.487845	14.212620	9.393497	14.252467	8.906397	15.985277	10.401931	16.100929	10.412969	16.998037	0	-0.01775	0.00486	-0.02381	-0.01432	0.00813	-0.01101	0.00694	-0.00712	0	1	1.45768	0.35282	3.27745
0.41	7.358288	1.202528	6.266873	17.628534	4.941264	19.388569	6.922830	18.355989	4.659428	14.330142	7.069747	16.041033	131.916458	0	71.683640	77.939667	92.468086	8.129265	20.111147	8.256992	3.060787	14.682303	8.569568	14.340148	9.462869	14.294848	8.984519	16.030123	10.481945	16.117807	10.468442	16.993946	0	-0.01646	0.00531	-0.02020	-0.01279	0.00819	-0.01381	0.00484	0.00058	0	0	1.47975	0.35522	3.27668
0.42	7.350615	1.170631	6.333669	17.557261	4.925859	19.195532	7.084160	18.415010	4.814122	14.583245	7.059876	15.887012	162.196365	0	53.288452	73.683914	86.109543	8.126564	19.964899	8.289870	19.095945	14.766997	8.803410	14.673966	9.509068	14.392522	9.041791	16.130466	10.541402	16.097300	10.501342	16.971581	0	-0.02115	0.00802	-0.02180	-0.01910	0.00967	-0.00459	0.00130	-0.01357	0	0	1.45093	0.36365	3.27699
0.43	7.337661	1.157753	6.370505	17.519249	4.959493	19.086403	6.394798	17.570122	4.938426	14.925371	7.048180	15.761823	146.559265	0	43.442120	71.256088	77.129372	8.079969	19.829256	8.313352	29.132240	15.021914	8.823077	14.961619	9.492889	14.496449	9.125514	16.258459	10.614341	16.076536	10.525482	16.935844	0	-0.01653	0.00326	-0.01870	-0.01234	0.00825	-0.00820	0.00989	0.00217	0	0	1.35328	0.36982	3.27623
0.44	7.317320	1.145807	6.317305	17.485899	4.933399	18.944885	6.349097	17.549995	4.914081	15.280392	7.040442	15.653953	162.157288	0	42.738777	74.079468	71.666031	8.170066	20.034937	8.224687	52.355644	15.340322	8.714788	15.112371	9.331947	14.536769	9.191336	16.330606	10.661432	16.033154	10.558304	16.885878	0	-0.01911	0.00287	-0.01810	-0.01393	0.00923	-0.01184	0.00759	0.00222	0	0	1.21115	0.37323	3.27713
0.45	7.281368	1.118239	6.241166	17.472239	4.892944	18.806429	7.009742	19.773933	4.808361	15.691278	7.030100	15.545488	173.497391	0	37.545212	77.322327	67.141388	8.838200	20.459415	8.207380	56.113453	16.119518	8.486997	15.589569	9.123307	14.638132	9.241520	16.434122	10.680012	16.009565	10.584857	16.855852	0	-0.01739	0.00107	-0.02053	-0.01224	0.01254	-0.01401	0.00378	0.00379	0	0	1.01422	0.37257	3.27728
0.46	7.255179	1.085519	6.199544	17.409081	4.877995	18.667843	6.994674	19.621744	4.697615	16.084743	7.006265	15.374734	178.963852	0	40.436909	79.470253	53.758987	8.697837	20.608702	8.218672	35.837482	16.497520	8.456962	15.873512	8.755407	15.054709	9.386512	16.737795	10.669325	15.964434	10.593565	16.803715	0	-0.01310	0.01805	-0.01940	-0.01320	0.00682	-0.00945	-0.00986	0.00444	0	0	0.78160	0.36530	3.27774
0.47	7.227996	1.060584	6.186144	17.360306	4.847554	18.529743	6.978398	19.451859	4.638304	16.363081	6.969420	15.257417	175.740982	0	51.885494	81.457184	44.352562	7.973121	19.020866	8.117677	10.883604	16.778276	8.282722	16.164255	8.501426	15.460690	9.524785	16.940727	10.618044	15.913945	10.583014	16.734339	0	-0.01827	0.00170	-0.01700	-0.01429	0.00835	-0.01425	0.00807	0.01964	1	0	0.52825	0.37304	3.27789
0.48	7.218130	1.000210	6.175703	17.304462	4.809396	18.403992	6.956596	19.309601	4.584227	16.339821	6.931849	15.128152	162.890503	0	63.465176	84.656784	47.079868	7.945299	18.943317	7.898539	-5.350397	16.753033	7.977345	16.193876	8.302485	15.501655	9.418638	16.913818	10.503704	15.878153	10.514030	16.671173	0	-0.01722	0.00088	-0.01913	-0.01469	0.00789	-0.01065	0.00366	0.00639	0	0	0.22809	0.37264	3.27683
0.49	7.191824	0.969797	6.182414	17.230206	4.788780	18.260136	6.919269	19.144600	4.575656	16.192345	6.916765	15.012837	165.346634	0	56.958187	82.550026	47.651787	7.919089	18.824198	7.881550	-7.284569	16.690456	7.938534	16.126472	8.207051	15.400989	9.281347	16.845226	10.358652	15.801477	10.382669	16.589630	0	-0.01812	0.00369	-0.01810	-0.01142	0.00800	-0.01328	0.00487	-0.00049	0	0	-0.07482	0.36964	3.27743
0.50	7.165248	0.955642	6.150727	17.163649	4.757911	18.130775	6.896224	19.033657	4.545951	16.045683	6.905056	14.903592	167.194611	0	51.708672	79.213249	49.125557	7.894600	18.756098	7.854300	-6.963389	16.605478	7.907331	16.029123	8.157775	15.261128	9.154955	16.759611	10.226124	15.709583	10.275670	16.506884	0	-0.01554	0.00591	-0.01940	-0.01237	0.00848	-0.01373	0.00535	-0.00083	0	0	-0.36168	0.37221	3.27774
0.51	7.146558	0.945677	6.089679	17.126507	4.731727	18.001945	6.893984	18.935707	4.519490	15.941710	6.883833	14.793726	166.270340	0	48.216473	78.006409	50.846432	7.880522	18.678261	7.858502	-8.968140	16.535460	7.894173	15.921361	8.135441	15.134921	9.066876	16.675179	10.161110	15.649200	10.216315	16.438246	0	-0.01804	0.00114	-0.02073	-0.01316	0.00941	-0.01320	0.00723	0.00027	0	0	-0.65385	0.37714	3.27804
0.52	7.145719	0.928500	6.013419	17.070801	4.733140	17.913473	6.886839	18.813635	4.513018	15.856353	6.879807	14.700695	166.274811	0	46.481071	77.392906	51.653019	7.868616	18.476885	7.859716	-9.415268	16.441116	7.891351	15.814174	8.122924	15.038064	9.019297	16.598967	10.125665	15.586076	10.184021	16.394516	0	-0.01556	0.00319	-0.01913	-0.01322	0.00754	-0.01270	0.00421	-0.00695	0	0	-0.89707	0.38157	3.27729
0.53	7.149313	0.910781	5.946159	16.993921	4.714242	17.814882	6.883869	18.744545	4.494181	15.734095	6.862361	14.546322	167.779495	0	44.216370	76.955383	52.873905	7.864592	18.405035	7.856441	-11.133856	16.333069	7.888273	15.730994	8.109681	14.918679	8.981487	16.493465	10.095964	15.489506	10.167926	16.331007	0	-0.01668	0.00396	-0.02164	-0.01580	0.00635	-0.00865	0.00930	0.00164	0	0	-1.12351	0.38388	3.27624
0.54	7.155808	0.917408	5.897248	16.921459	4.717158	17.710430	5.245561	17.379780	4.500036	15.636902	6.861285	14.414121	167.704071	0	43.487999	77.245636	54.131115	7.847019	18.301405	7.864919	-10.415089	16.219473	7.891699	15.613573	8.102618	14.816736	8.965925	16.396175	10.090772	15.403966	10.175460	16.276112	0	-0.01696	0.00295	-0.01836	-0.01046	0.00809	-0.01285	0.00572	0.00223	0	0	-1.29728	0.38132	3.27820
0.55	7.156303	0.920960	5.886450	16.868740	4.725832	17.646675	5.949905	16.987474	4.517874	15.526905	6.853959	14.302647	167.270294	0	43.068542	77.495773	55.360371	7.861711	18.140053	7.860425	-11.740364	16.138205	7.886535	15.509707	8.102762	14.708814	8.946698	16.298712	10.087916	15.325253	10.177271	16.201191	0	-0.01818	0.00364	-0.02128	-0.01094	0.00808	-0.01246	0.00612	0.00486	0	0	-1.41463	0.37790	3.27788
0.56	7.163537	0.922968	5.867198	16.826403	4.733741	17.562855	5.374043	17.157276	4.515687	15.420177	6.837045	14.192712	168.128815	0	41.023235	77.412529	57.997196	7.861781	18.037970	7.862720	-14.332009	15.970490	7.892569	15.381455	8.106234	14.570958	8.902322	16.185322	10.070605	15.244765	10.176108	16.125137	0	-0.01899	0.00200	-0.01941	-0.01682	0.01215	-0.01339	0.00540	0.00118	0	0	-1.47844	0.37948	3.27714
0.57	7.168485	0.935011	5.836725	16.806322	4.755990	17.547213	4.835104	17.517418	4.524662	15.352545	6.828800	14.170432	169.237488	0	38.930969	77.538086	60.268318	7.886274	17.918213	7.876238	-8.843148	15.855622	7.911646	15.263521	8.112904	14.467258	8.866383	16.101959	10.061046	15.194891	10.177594	16.082975	0	-0.01310	0.00107	-0.02030	-0.00523	0.01171	-0.01237	0.00356	0.00236	0	0	-1.47316	0.38111	3.27759
0.58	7.209048	0.972390	5.831586	16.824316	4.743833	17.637526	6.530884	17.584068	4.548980	15.279206	6.860571	14.339821	168.939789	0	37.169762	75.755455	61.069630	8.013156	17.853710	7.920959	-7.226618	15.791049	7.959429	15.219976	8.180158	14.391091	8.861859	16.056955	10.067624	15.164742	10.188098	16.071241	0	-0.01826	0.00365	-0.01854	-0.01550	0.01064	-0.01170	0.00383	0.00284	0	0	-1.41234	0.38020	3.27728
