"Time","v2 R COP","49 RDS cle","47 R marks","46 HLr swoff","45 FLr swoff","44 miry (cm)","43 mirx (cm)","41 CoMx (cm)","40 FRy (cm)","39a FRx (cm)","39 FRx (cm)","38 FLy (cm)","35a HRx (cm)","35 HRx (cm)","v3 L COP","37a FLx (cm)","42a CoMy (cm)","v1 xCoM","42 CoMy (cm)","52 HLl swoff","51 HLr swoff","50 LDS cle","48 L marks","37 FLx (cm)","36 HRy (cm)","34 HLy (cm)","33a HLx (cm)","33 HLx (cm)","32 MTP ang","31 Keyboard","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","12 Sync","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.010,0.000000,0,0,0,0,7.266612,0.555353,12.350695,3.732290,36.297844,13.603084,7.043932,-10.683928,10.423361,0.000000,-12.400943,3.631071,6.460396,6.296647,0,0,0,0,13.502489,2.977815,7.086770,-53.550617,11.895302,160.973007,0,40.353920,54.226978,49.881187,8.685133,13.942811,8.067112,10.764266,8.095872,10.287606,8.301470,9.790443,8.853919,11.503500,9.802230,10.215024,10.027600,11.151667,0,0.19489,0.07855,-0.01462,0.00246,0.00809,-0.01285,0.00525,0.00145,1.47629,0.11782,3.27727
0.011,0.000000,0,0,0,0,7.267359,0.555375,12.340706,3.737428,36.308899,13.639252,7.044700,-10.732557,10.412824,0.000000,-12.394555,3.248064,6.446603,6.300319,0,0,0,0,13.489826,2.980280,7.087689,-54.037743,11.861201,161.411331,0,39.490299,54.446560,50.328537,8.714579,14.083256,8.070179,10.755274,8.098186,10.277525,8.300278,9.775855,8.842999,11.492051,9.803572,10.212584,10.026605,11.146551,0,0.08069,-0.06978,-0.05923,0.00148,0.00931,-0.01291,0.00562,0.00214,1.47272,0.11552,3.27701
0.012,0.000000,0,0,0,0,7.266910,0.555189,12.330768,3.748581,36.324345,13.675413,7.045971,-10.798187,10.402014,0.000000,-12.371737,2.855871,6.432257,6.303055,0,0,0,0,13.477303,2.984269,7.089904,-55.154686,11.794885,161.172745,0,39.083824,54.649952,50.847557,8.790992,14.223256,8.074541,10.741489,8.099748,10.266281,8.301218,9.764017,8.834264,11.483172,9.806435,10.212693,10.028019,11.141049,0,-0.32318,0.10835,0.01062,0.00368,0.00839,-0.01118,0.00555,0.00359,1.47455,0.11314,3.27755
0.013,0.000000,0,0,0,0,7.266460,0.555002,12.320830,3.759733,36.339794,13.711574,7.047244,-10.863817,10.391204,0.000000,-12.348918,2.463677,6.417462,6.305791,0,0,0,0,13.464779,2.988259,7.092120,-56.271626,11.728568,160.934143,0,38.677353,54.853344,51.366581,8.867404,14.363256,8.078903,10.727705,8.101309,10.255038,8.302158,9.752178,8.825529,11.474295,9.809298,10.212803,10.029433,11.135548,0,-0.19388,0.14093,0.03061,0.00360,0.00839,-0.01180,0.00580,0.00130,1.47604,0.11474,3.27771
0.014,0.000000,0,0,0,0,7.266011,0.554815,12.310893,3.770885,36.355240,13.747734,7.048515,-10.929446,10.380393,0.000000,-12.326099,2.071483,6.402096,6.308527,0,0,0,0,13.452256,2.992248,7.094335,-57.388569,11.662251,160.695541,0,38.270878,55.056736,51.885605,8.943816,14.503257,8.083265,10.713921,8.102870,10.243794,8.303098,9.740340,8.816793,11.465417,9.812161,10.212913,10.030847,11.130045,0,0.13821,0.04926,-0.12057,0.00340,0.00809,-0.01332,0.00616,0.00349,1.47247,0.11681,3.27717
0.015,0.000000,0,0,0,0,7.265877,0.555146,12.300669,3.786536,36.372971,13.783957,7.049199,-10.990136,10.369454,0.000000,-12.295699,1.674428,6.386243,6.310728,0,0,0,0,13.439890,2.995148,7.095142,-58.483570,11.595993,160.567291,0,37.796162,55.232796,52.469952,9.016620,14.620900,8.085476,10.700518,8.103703,10.230663,8.304561,9.724734,8.805002,11.453610,9.813729,10.211890,10.030941,11.125005,0,-0.06293,-0.13898,-0.05399,0.00398,0.00702,-0.01134,0.00479,0.00111,1.47281,0.11723,3.27712
0.016,0.000000,0,0,0,0,7.266374,0.556511,12.289871,3.811156,36.395260,13.820301,7.048708,-11.040974,10.358257,0.000000,-12.250181,1.267679,6.369771,6.311861,0,0,0,0,13.427839,2.995877,7.093143,-59.534832,11.529852,160.659058,0,37.185371,55.354359,53.184555,9.082226,14.693964,8.083396,10.687874,8.103083,10.213767,8.307063,9.701615,8.787116,11.435964,9.812715,10.208608,10.028403,11.120883,0,-0.04099,-0.16995,-0.04581,0.00288,0.00916,-0.01265,0.00864,0.00214,1.47568,0.11560,3.27796
0.017,0.000000,0,0,0,0,7.266870,0.557875,12.279075,3.835775,36.417545,13.856646,7.048218,-11.091811,10.347060,0.000000,-12.204663,0.860929,6.352745,6.312993,0,0,0,0,13.415788,2.996606,7.091143,-60.586094,11.463712,160.750824,0,36.574577,55.475918,53.899158,9.147831,14.767028,8.081316,10.675230,8.102463,10.196871,8.309566,9.678496,8.769231,11.418317,9.811701,10.205326,10.025865,11.116762,0,-0.02356,-0.19565,0.02359,0.00299,0.00931,-0.01309,0.00571,0.00243,1.47360,0.11157,3.27821
0.018,0.000000,0,0,0,0,7.267365,0.559239,12.268277,3.860395,36.439835,13.892991,7.047727,-11.142649,10.335863,0.000000,-12.159145,0.454179,6.335012,6.314125,0,0,0,0,13.403736,2.997334,7.089143,-61.637356,11.397571,160.842590,0,35.963783,55.597481,54.613762,9.213437,14.840092,8.079236,10.662587,8.101843,10.179975,8.312070,9.655377,8.751345,11.400670,9.810686,10.202044,10.023327,11.112641,0,-0.01984,-0.23122,-0.07336,0.00357,0.00900,-0.01190,0.00571,0.00311,1.47305,0.11356,3.27737
0.019,0.000000,0,0,0,0,7.267448,0.559895,12.257518,3.883154,36.458973,13.929413,7.047439,-11.175323,10.324549,0.000000,-12.100201,0.043404,6.316681,6.314592,0,0,0,0,13.391666,2.998710,7.086094,-62.683002,11.331299,161.044144,0,35.340225,55.732281,55.270176,9.270480,14.910396,8.077675,10.650575,8.101913,10.164432,8.313928,9.634568,8.735066,11.384541,9.809768,10.199354,10.020797,11.108400,0,-0.00662,-0.03844,0.01199,0.00241,0.00793,-0.01317,0.00473,0.00211,1.47391,0.11852,3.27699
