"Time","57 lHL swoff","64 sinus3","63 Ramp down","62 Ramp up","61 right DS","60 left DS","59 rHL swoff","58 rHL swon","55 rFL swoff","56 lHL swon","54 rFL swon","53 lFL swoff","52 lFL swon","51 sinus2","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37a CoMy (cm)","37 CoMy (cm)","v3 xCoM","v4 R COP","36 CoMx (cm)","35 FRy (cm)","67 RDS cle","65 R mark","34 FRx (cm)","33 FLy (cm)","29 HRx (cm)","v5 L COP","68 LDS cle","66 L mark","32 FLx (cm)","31 Keyboard","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch","v2 Virtual","v1 Virtual"
0.010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,150.789978,70.777710,90.953674,64.983383,-5.963443,4.522240,4.239442,0.000000,8.605143,4.064783,0,0,11.336105,5.562978,7.572767,0.000000,0,0,8.907593,0,3.355345,5.597628,7.991187,8.293141,11.138740,7.922287,7.588178,8.109869,6.971019,8.599101,6.407033,9.251015,7.640276,10.519714,6.988595,10.524723,7.993997,0,0.00229,0.00133,0.00096,0.00130,0.00072,0.00082,0.00170,0.00057,-1.40182,0.10080,3.27797,,
0.011,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.942474,71.827858,91.154190,65.891808,-6.074114,4.515532,4.227412,0.000000,8.618757,4.059570,0,0,11.376231,5.562222,7.572767,0.000000,0,0,8.897545,0,3.353009,5.599293,8.029425,8.280919,11.168950,7.919039,7.598350,8.081741,6.972239,8.589990,6.412755,9.238883,7.644833,10.513911,7.003440,10.524416,8.010403,0,0.00239,0.00126,0.00096,0.00130,0.00070,0.00082,0.00172,0.00059,-1.41083,0.10117,3.27758,,
0.012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.289993,72.110168,91.094139,66.707748,-6.184693,4.508698,4.215326,0.000000,8.633838,4.053969,0,0,11.413938,5.561784,7.572767,0.000000,0,0,8.887701,0,3.350775,5.599611,8.070831,8.273602,11.225282,7.914697,7.588492,8.063673,6.960283,8.587423,6.411527,9.224751,7.643088,10.505028,7.014907,10.521963,8.022918,0,0.00245,0.00110,0.00096,0.00138,0.00069,0.00083,0.00174,0.00060,-1.41510,0.10133,3.27748,,
0.013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.376160,71.917862,90.873024,67.466507,-6.295215,4.501785,4.203217,0.000000,8.649824,4.048129,0,0,11.450149,5.561544,7.572767,0.000000,0,0,8.877983,0,3.348605,5.599096,8.114197,8.269317,11.297759,7.909677,7.566256,8.051823,6.940181,8.588903,6.406002,9.209384,7.637447,10.494239,7.024287,10.518184,8.033030,0,0.00277,0.00110,0.00092,0.00153,0.00067,0.00082,0.00183,0.00062,-1.42456,0.10124,3.27756,,
0.014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.462341,71.725555,90.651901,68.225273,-6.405736,4.494873,4.191135,0.000000,8.665811,4.042288,0,0,11.486360,5.561305,7.572767,0.000000,0,0,8.868265,0,3.346435,5.598581,8.157562,8.265031,11.370236,7.904658,7.544019,8.039972,6.920079,8.590383,6.400477,9.194016,7.631807,10.483450,7.033667,10.514405,8.043140,0,0.00290,0.00111,0.00091,0.00163,0.00067,0.00083,0.00181,0.00066,-1.43066,0.10154,3.27768,,
0.015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.548508,71.533257,90.430786,68.984032,-6.516259,4.487960,4.179065,0.000000,8.681797,4.036448,0,0,11.522571,5.561065,7.572767,0.000000,0,0,8.858547,0,3.344265,5.598066,8.200928,8.260746,11.442715,7.899638,7.521781,8.028123,6.899977,8.591863,6.394952,9.178649,7.626167,10.472661,7.043046,10.510626,8.053252,0,0.00319,0.00110,0.00093,0.00175,0.00070,0.00083,0.00169,0.00075,-1.43768,0.10179,3.27783,,
0.016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.044250,71.088463,90.056053,69.490685,-6.628088,4.481140,4.166974,0.000000,8.694461,4.030457,0,0,11.556575,5.560403,7.565144,0.000000,0,0,8.848966,0,3.342213,5.595850,8.245961,8.251389,11.499736,7.899829,7.504953,8.024984,6.882979,8.595168,6.378357,9.165961,7.620232,10.463558,7.049557,10.504910,8.065597,0,0.00355,0.00111,0.00093,0.00173,0.00070,0.00082,0.00163,0.00080,-1.44882,0.10168,3.27766,,
0.017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.793137,70.487602,89.586357,69.841507,-6.740726,4.474376,4.154874,0.000000,8.705072,4.024374,0,0,11.589215,5.559482,7.552809,0.000000,0,0,8.839467,0,3.340235,5.592584,8.292026,8.238896,11.547203,7.903242,7.491468,8.027232,6.867900,8.599602,6.354918,9.154931,7.614113,10.455498,7.054293,10.497997,8.079322,0,0.00356,0.00119,0.00093,0.00185,0.00068,0.00080,0.00165,0.00080,-1.45172,0.10192,3.27728,,
0.018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.542023,69.886742,89.116661,70.192329,-6.853364,4.467612,4.142518,0.000000,8.715683,4.018291,0,0,11.621856,5.558560,7.540474,0.000000,0,0,8.829968,0,3.338256,5.589318,8.338090,8.226404,11.594670,7.906654,7.477983,8.029480,6.852821,8.604034,6.331480,9.143901,7.607995,10.447437,7.059030,10.491084,8.093047,0,0.00352,0.00122,0.00093,0.00199,0.00068,0.00080,0.00167,0.00080,-1.45798,0.10219,3.27732,,
0.019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.290909,69.285881,88.646965,70.543152,-6.966002,4.460848,4.130052,0.000000,8.726295,4.012208,0,1,11.654497,5.557638,7.528139,0.000000,0,0,8.820471,0,3.336277,5.586052,8.384155,8.213913,11.642138,7.910066,7.464499,8.031728,6.837742,8.608468,6.308041,9.132870,7.601877,10.439377,7.063766,10.484171,8.106772,0,0.00343,0.00118,0.00094,0.00213,0.00066,0.00079,0.00174,0.00080,-1.46545,0.10203,3.27762,,
0.020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.801697,69.023712,88.145683,71.129341,-7.085961,4.453646,4.117209,1.282840,8.735098,4.006195,1,0,11.672355,5.556082,7.515763,0.000000,0,0,8.811294,0,3.334401,5.583264,8.410617,8.201081,11.680110,7.911157,7.449239,8.030987,6.827250,8.613031,6.297956,9.122274,7.602115,10.433477,7.068867,10.479691,8.117908,0,0.00333,0.00114,0.00097,0.00216,0.00065,0.00077,0.00181,0.00087,-1.46881,0.10216,3.27751,,
0.021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.165283,68.970901,87.624863,71.861023,-7.210445,4.446173,4.104206,3.115469,8.742784,4.000226,1,0,11.681074,5.554135,7.503361,0.000000,0,0,8.802315,0,3.332589,5.580773,8.424962,8.188041,11.712213,7.910814,7.432882,8.028399,6.819593,8.617675,6.296127,9.111947,7.606281,10.428915,7.074193,10.476713,8.127440,0,0.00337,0.00118,0.00097,0.00217,0.00069,0.00077,0.00188,0.00097,-1.47263,0.10237,3.27713,,
0.022,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.528870,68.918091,87.104050,72.592705,-7.334929,4.438700,4.091002,3.662530,8.750470,3.994257,1,0,11.689795,5.552187,7.490960,0.000000,0,0,8.793337,0,3.330776,5.578281,8.439307,8.175000,11.744316,7.910470,7.416525,8.025812,6.811936,8.622317,6.294297,9.101620,7.610447,10.424353,7.079519,10.473736,8.136973,0,0.00340,0.00119,0.00099,0.00231,0.00068,0.00080,0.00188,0.00110,-1.47415,0.10217,3.27684,,
