"Time","v3 L COP","37a CoMy (cm)","37 CoMy (cm)","v1 xCoM","v2 R COP","66 RDS cle","64 R mark","34 FRx (cm)","29 HRx (cm)","67 LDS cle","65 L mark","32 FLx (cm)","27 HLx (cm)","3 Platform","2 Trdml"
0.000,0.000000,0.878794,4.948761,4.988197,0.000000,0,0,14.425383,10.901370,0,0,13.390136,9.197931,-0.45803,0.09968
0.001,0.000000,0.968578,4.950407,4.995174,0.000000,0,0,14.418285,10.894679,0,0,13.416933,9.189430,-0.43090,0.09956
0.002,0.000000,1.058363,4.952052,5.002150,0.000000,0,0,14.411188,10.887989,0,0,13.443729,9.180928,-0.40690,0.09970
0.003,0.000000,1.148147,4.953697,5.009127,0.000000,0,0,14.404091,10.881298,0,0,13.470526,9.172427,-0.38008,0.09978
0.004,0.000000,1.223529,4.955080,5.016490,0.000000,0,0,14.396873,10.874268,0,0,13.497532,9.163404,-0.35770,0.09960
0.005,0.000000,1.286343,4.956234,5.024192,0.000000,0,0,14.389551,10.866940,0,0,13.524719,9.153928,-0.32925,0.09954
0.006,0.000000,1.349156,4.957388,5.031894,0.000000,0,0,14.382230,10.859612,0,0,13.551908,9.144450,-0.30142,0.09979
0.007,0.000000,1.411969,4.958542,5.039595,0.000000,0,0,14.374907,10.852283,0,0,13.579095,9.134974,-0.25561,0.09981
0.008,0.000000,1.496753,4.959669,5.047752,0.000000,0,0,14.367517,10.844525,0,0,13.606609,9.125804,-0.22933,0.09975
0.009,0.000000,1.600708,4.960773,5.056307,0.000000,0,0,14.360067,10.836391,0,0,13.634410,9.116903,-0.20437,0.10004
0.010,0.000000,1.704664,4.961875,5.064862,0.000000,0,0,14.352617,10.828258,0,0,13.662210,9.108003,-0.17802,0.10025
0.011,0.000000,1.808619,4.962978,5.073417,0.000000,0,0,14.345167,10.820124,0,0,13.690010,9.099101,-0.15215,0.10012
0.012,0.000000,1.925470,4.964593,5.082310,0.000000,0,0,14.337143,10.811707,0,0,13.717373,9.090233,-0.12568,0.10017
0.013,0.000000,2.053576,4.966654,5.091498,0.000000,0,0,14.328617,10.803041,0,0,13.744353,9.081392,-0.09684,0.10046
0.014,0.000000,2.181681,4.968716,5.100687,0.000000,0,0,14.320090,10.794376,0,0,13.771335,9.072552,-0.04943,0.10029
0.015,0.000000,2.309786,4.970777,5.109875,0.000000,0,0,14.311564,10.785711,0,0,13.798315,9.063711,-0.02209,0.10016
0.016,0.000000,2.460357,4.973028,5.119279,0.000000,0,0,14.303074,10.777124,0,0,13.824360,9.054840,0.00441,0.10045
0.017,0.000000,2.630534,4.975444,5.128872,0.000000,0,0,14.294613,10.768604,0,0,13.849588,9.045941,0.02682,0.10043
0.018,0.000000,2.800710,4.977860,5.138464,0.000000,0,0,14.286153,10.760085,0,0,13.874817,9.037044,0.05214,0.10020
0.019,0.000000,2.970886,4.980277,5.148057,0.000000,0,0,14.277692,10.751565,0,0,13.900045,9.028145,0.08024,0.10030
0.020,0.000000,3.151644,4.983542,5.157750,0.000000,0,0,14.269478,10.743189,0,0,13.923563,9.019984,0.10786,0.10049
0.021,0.000000,3.341636,4.987547,5.167531,0.000000,0,0,14.261480,10.734937,0,0,13.945587,9.012467,0.15637,0.10029
0.022,0.000000,3.531629,4.991553,5.177311,0.000000,0,0,14.253482,10.726686,0,0,13.967612,9.004950,0.18229,0.10024
0.023,0.000000,3.721621,4.995558,5.187092,0.000000,0,0,14.245483,10.718434,0,0,13.989637,8.997433,0.21099,0.10043
0.024,0.000000,3.912130,4.999363,5.197096,0.000000,0,0,14.237534,10.709702,0,0,14.009486,8.989235,0.23499,0.10037
0.025,0.000000,4.103091,5.002993,5.207296,0.000000,0,0,14.229627,10.700548,0,0,14.027436,8.980443,0.25784,0.10020
0.026,0.000000,4.294052,5.006622,5.217496,0.000000,0,0,14.221719,10.691396,0,0,14.045387,8.971650,0.28474,0.10019
0.027,0.000000,4.485013,5.010252,5.227697,0.000000,0,0,14.213812,10.682242,0,0,14.063337,8.962858,0.31099,0.10030
0.028,1.883430,4.677899,5.014534,5.238371,0.000000,0,0,14.206021,10.673053,0,0,14.077554,8.953607,0.36041,0.10020
0.029,4.940948,4.872467,5.019386,5.249461,0.000000,0,0,14.198332,10.663831,0,1,14.088511,8.943953,0.38807,0.10015
