"Time","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","v3 R COP","60 RDS cle","58 R mark","34 FRx (cm)","29 HRx (cm)","v2 L COP","61 LDS cle","59 L mark","32 FLx (cm)","27 HLx (cm)","3 Platform","2 Trdml"
0.039,6.472752,1.360302,6.424677,0.000000,0,0,12.387493,9.679576,0.000000,0,0,15.310057,8.036045,-1.48090,0.09724
0.040,6.470023,1.237753,6.426250,0.000000,0,0,12.377926,9.743796,0.000000,0,0,15.309887,8.031207,-1.48015,0.09733
0.041,6.467266,1.115203,6.427824,0.000000,0,0,12.368358,9.808018,0.000000,0,0,15.309717,8.026369,-1.48322,0.09726
0.042,6.464579,0.988311,6.428690,0.000000,0,0,12.358858,9.856017,1.787723,0,1,15.308934,8.021393,-1.47925,0.09712
0.043,6.461960,0.855569,6.428604,0.000000,0,0,12.349451,9.882161,5.306862,1,0,15.307324,8.016232,-1.47919,0.09729
0.044,6.459504,0.722827,6.428518,0.000000,0,0,12.340045,9.908305,7.038538,1,0,15.305714,8.011070,-1.47989,0.09746
0.045,6.457204,0.590085,6.428432,0.000000,0,0,12.330638,9.934449,7.039049,1,0,15.304104,8.005909,-1.47994,0.09735
0.046,6.455100,0.461748,6.428493,0.000000,0,0,12.321540,9.959073,7.039683,1,0,15.301794,8.000867,-1.48120,0.09710
0.047,6.453183,0.339345,6.428753,0.000000,0,0,12.312858,9.981648,7.040440,1,0,15.298541,7.995983,-1.48036,0.09711
0.048,6.451430,0.216941,6.429013,0.000000,0,0,12.304175,10.004224,7.041220,1,0,15.295287,7.991099,-1.47983,0.09731
0.049,6.449835,0.094538,6.429273,0.000000,0,0,12.295494,10.026799,7.042025,1,0,15.292034,7.986216,-1.47747,0.09715
0.050,6.448357,-0.027822,6.429765,0.000000,0,0,12.287183,10.049367,7.042754,1,0,15.288009,7.981229,-1.47925,0.09682
0.051,6.446992,-0.150126,6.430569,0.000000,0,0,12.279372,10.071922,7.043410,1,0,15.282943,7.976105,-1.48148,0.09685
0.052,6.445666,-0.272430,6.431373,0.000000,0,0,12.271561,10.094479,7.044090,1,0,15.277878,7.970980,-1.48053,0.09710
0.053,6.444378,-0.394734,6.432176,0.000000,0,0,12.263750,10.117034,7.044794,1,0,15.272812,7.965856,-1.47888,0.09707
0.054,6.443005,-0.499564,6.432115,0.000000,0,0,12.256880,10.141639,7.045619,1,0,15.267239,7.960668,-1.47947,0.09688
0.055,6.441552,-0.580850,6.430889,0.000000,0,0,12.251278,10.169003,7.046560,1,0,15.260983,7.955395,-1.48092,0.09682
0.056,6.439927,-0.662136,6.429662,0.000000,0,0,12.245675,10.196368,7.047453,1,0,15.254725,7.950122,-1.47919,0.09697
0.057,6.438136,-0.743421,6.428435,0.000000,0,0,12.240072,10.223734,7.048299,1,0,15.248469,7.944849,-1.48210,0.09710
0.058,6.436129,-0.773592,6.426944,0.000000,0,0,12.235063,10.264129,7.048909,1,0,15.241599,7.939337,-1.47867,0.09701
0.059,6.433914,-0.734889,6.425096,0.000000,0,0,12.230851,10.322080,7.049290,1,0,15.233901,7.933501,-1.47897,0.09680
0.060,6.431470,-0.696185,6.423248,0.000000,0,0,12.226641,10.380032,7.049511,1,0,15.226204,7.927665,-1.47843,0.09704
0.061,6.428803,-0.657482,6.421400,0.000000,0,0,12.222429,10.437984,7.049578,1,0,15.218506,7.921828,-1.47971,0.09727
0.062,6.425949,-0.570833,6.419892,0.000000,0,0,12.219674,10.487741,7.049613,1,0,15.210280,7.915875,-1.48124,0.09706
0.063,6.422913,-0.419581,6.418844,0.000000,0,0,12.218880,10.526461,7.049618,1,0,15.201344,7.909764,-1.48094,0.09683
0.064,6.419795,-0.268330,6.417795,0.000000,0,0,12.218085,10.565179,7.049628,1,0,15.192409,7.903653,-1.47957,0.09718
0.065,6.416598,-0.117078,6.416747,0.000000,0,0,12.217290,10.603898,7.049641,1,0,15.183473,7.897542,-1.48343,0.09736
0.066,6.413448,0.041885,6.416133,0.000000,0,0,12.217622,10.643486,7.049671,1,0,15.173954,7.891227,-1.48005,0.09716
0.067,6.410345,0.211236,6.416106,0.000000,0,0,12.219470,10.684244,7.049716,1,0,15.163652,7.884638,-1.48124,0.09708
0.068,6.407409,0.380588,6.416079,0.000000,0,0,12.221318,10.725003,7.049816,1,0,15.153350,7.878049,-1.47867,0.09743
0.069,6.404635,0.549940,6.416051,0.000000,0,0,12.223166,10.765761,7.049966,1,0,15.143048,7.871460,-1.47861,0.09760
0.070,6.402145,0.658049,6.417215,0.000000,0,0,12.226376,10.800136,7.050197,1,0,15.132482,7.865037,-1.48083,0.09753
0.071,6.399930,0.683639,6.419986,0.000000,0,0,12.231419,10.825906,7.050504,1,0,15.121558,7.858839,-1.47958,0.09740
0.072,6.398049,0.709229,6.422757,0.000000,0,0,12.236462,10.851677,7.050840,1,0,15.110635,7.852641,-1.47793,0.09753
0.073,6.396490,0.734820,6.425528,0.000000,0,0,12.241505,10.877447,7.051204,1,0,15.099711,7.846443,-1.47950,0.09772
0.074,6.395250,0.669428,6.428075,0.000000,0,0,12.247471,10.909403,7.051547,1,0,15.088538,7.840172,-1.47793,0.09756
0.075,6.394320,0.481445,6.430321,0.000000,0,0,12.254683,10.949693,7.051869,1,0,15.077028,7.833803,-1.48026,0.09722
0.076,6.393703,0.293462,6.432567,0.000000,0,0,12.261894,10.989982,7.052229,1,0,15.065518,7.827434,-1.47908,0.09514
0.077,6.393392,0.105478,6.434813,0.000000,0,0,12.269106,11.030272,7.052625,1,0,15.054008,7.821065,-0.61110,0.08833
0.078,6.393359,-0.102318,6.435671,0.000000,0,0,12.277464,11.061419,7.053110,1,0,15.042163,7.814585,-0.22951,0.07830
0.079,6.393595,-0.336810,6.434660,0.000000,0,0,12.287364,11.080253,7.053682,1,0,15.029865,7.807957,-2.16655,0.06364
0.080,6.393937,-0.571302,6.433649,0.000000,0,0,12.297265,11.099085,7.054236,1,0,15.017568,7.801328,-2.45250,0.05434
0.081,6.394381,-0.805794,6.432638,0.000000,0,0,12.307165,11.117918,7.054772,1,0,15.005271,7.794700,-2.36989,0.05477
0.082,6.394676,-1.009776,6.430809,0.000000,0,0,12.318269,11.132232,7.055178,1,0,14.993048,7.788018,-1.91752,0.05885
0.083,6.394829,-1.172648,6.427879,0.000000,0,0,12.330992,11.140456,7.055458,1,0,14.980927,7.781265,-1.98779,0.06396
0.084,6.394744,-1.335520,6.424948,0.000000,0,0,12.343716,11.148681,7.055683,1,0,14.968805,7.774511,-1.84089,0.06943
0.085,6.394431,-1.498393,6.422018,0.000000,0,0,12.356440,11.156905,7.055855,1,0,14.956684,7.767758,-1.81974,0.07428
0.086,6.393978,-1.583178,6.418893,0.000000,0,0,12.369760,11.157604,7.056066,1,0,14.944467,7.761016,-1.87863,0.07877
0.087,6.393392,-1.562749,6.415506,0.000000,0,0,12.383884,11.148165,7.056315,1,0,14.932121,7.754288,-2.33591,0.08265
0.088,6.392634,-1.542319,6.412119,0.000000,0,0,12.398009,11.138724,7.056544,1,0,14.919776,7.747561,-2.42967,0.08600
0.089,6.391712,-1.521890,6.408733,0.000000,0,0,12.412134,11.129285,7.056753,1,0,14.907431,7.740833,-2.43251,0.08875
0.090,6.390435,-1.453265,6.406810,0.000000,0,0,12.427197,11.120021,7.056876,1,0,14.895150,7.734319,-2.38022,0.09122
0.091,6.388815,-1.319701,6.406861,0.000000,0,0,12.443524,11.110995,7.056915,1,0,14.882956,7.728094,-1.96384,0.09350
0.092,6.386826,-1.186137,6.406912,0.000000,0,0,12.459851,11.101970,7.056971,1,0,14.870762,7.721868,-1.41749,0.09538
0.093,6.384480,-1.052573,6.406963,0.000000,0,0,12.476177,11.092944,7.057042,1,0,14.858567,7.715642,-1.02433,0.09715
0.094,6.382024,-0.915225,6.406789,0.000000,0,0,12.493351,11.081955,7.057240,1,0,14.846460,7.709261,-0.58467,0.09881
0.095,6.379464,-0.772780,6.406313,0.000000,0,0,12.511667,11.068319,7.057562,1,0,14.834471,7.702672,-0.24547,0.10007
0.096,6.377278,-0.630335,6.405837,0.000000,0,0,12.529983,11.054685,7.057940,1,0,14.822481,7.696081,-0.80880,0.10147
0.097,6.375456,-0.487890,6.405360,0.000000,0,0,12.548298,11.041049,7.058374,1,0,14.810491,7.689491,-1.59602,0.10223
0.098,6.374516,-0.368637,6.404963,0.000000,0,0,12.567322,11.025746,7.058735,1,0,14.798423,7.682970,-2.41503,0.10307
0.099,6.374433,-0.280633,6.404674,0.000000,0,0,12.587299,11.008199,7.059026,1,0,14.786248,7.676541,-2.25147,0.10354
0.100,6.375299,-0.192629,6.404384,0.000000,0,0,12.607277,10.990651,7.059079,1,0,14.774074,7.670112,-1.31050,0.10391
0.101,6.377083,-0.104625,6.404095,0.000000,0,0,12.627255,10.973104,7.058902,1,0,14.761899,7.663683,-0.65267,0.10449
0.102,6.379469,-0.086539,6.403864,0.000000,0,0,12.647869,10.959117,7.058414,1,0,14.749400,7.657312,-0.54445,0.10471
0.103,6.382440,-0.162662,6.403713,0.000000,0,0,12.669340,10.949929,7.057624,1,0,14.736465,7.651018,-2.19335,0.10494
0.104,6.385898,-0.238784,6.403562,0.000000,0,0,12.690812,10.940742,7.056905,1,0,14.723529,7.644723,-2.30826,0.10487
0.105,6.389830,-0.314907,6.403410,0.000000,0,0,12.712283,10.931555,7.056254,1,0,14.710593,7.638430,-0.91165,0.10475
0.106,6.394395,-0.348758,6.403755,0.000000,0,0,12.734446,10.917372,7.056057,1,0,14.697586,7.632264,-0.37707,0.10511
0.107,6.399576,-0.325651,6.404767,0.000000,0,0,12.757541,10.896460,7.056301,1,0,14.684483,7.626271,-1.60985,0.10515
0.108,6.405152,-0.302544,6.405778,0.000000,0,0,12.780636,10.875546,7.056802,1,0,14.671379,7.620277,-2.39451,0.10466
0.109,6.411111,-0.279438,6.406790,0.000000,0,0,12.803731,10.854633,7.057554,1,0,14.658276,7.614285,-1.14199,0.10463
0.110,6.416794,-0.321453,6.407179,0.000000,0,0,12.827541,10.836894,7.058283,1,0,14.645214,7.625356,-0.25420,0.10462
0.111,6.422208,-0.451215,6.406731,0.000000,0,0,12.852317,10.823431,7.058992,1,0,14.632210,7.659421,-2.10233,0.10424
0.112,6.426750,-0.580977,6.406282,0.000000,0,0,12.877091,10.809968,7.059764,1,0,14.619206,7.693485,-1.96694,0.10368
0.113,6.430448,-0.710738,6.405834,0.000000,0,0,12.901867,10.796505,7.060597,1,0,14.606202,7.727550,-0.48952,0.10360
0.114,6.432953,-0.708731,6.403475,0.000000,0,0,12.927378,10.780241,7.061629,1,0,14.593321,7.743441,-0.88616,0.10321
0.115,6.434304,-0.529174,6.398543,0.000000,0,0,12.953880,10.760202,7.062855,1,0,14.580606,7.734842,-2.42803,0.10226
0.116,6.434359,-0.349618,6.393611,0.000000,0,0,12.980382,10.740164,7.064190,1,0,14.567890,7.726244,-1.03714,0.10165
0.117,6.433159,-0.170061,6.388679,0.000000,0,0,13.006885,10.720125,7.065631,1,0,14.555175,7.717647,-0.35000,0.10157
0.118,6.430673,0.099801,6.388222,0.000000,0,0,13.034083,10.704433,7.067049,1,0,14.542443,7.708822,-2.21294,0.10109
0.119,6.426940,0.491341,6.393795,0.000000,0,0,13.062222,10.694598,7.068445,1,0,14.529690,7.699691,-1.83372,0.10026
0.120,6.422036,0.882881,6.399367,0.000000,0,0,13.090361,10.684763,7.069789,1,0,14.516935,7.690560,-0.26494,0.09992
0.121,6.415998,1.274422,6.404940,0.000000,0,0,13.118499,10.674929,7.071084,1,0,14.504182,7.681429,-2.00002,0.09996
0.122,6.409102,1.621252,6.405456,0.000000,0,0,13.147355,10.665157,7.072322,1,0,14.491554,7.672575,-1.96080,0.09953
0.123,6.401376,1.907839,6.399158,0.000000,0,0,13.177178,10.655473,7.073508,1,0,14.479095,7.664095,-0.25049,0.09930
0.124,6.393279,2.194425,6.392859,0.000000,0,0,13.207002,10.645788,7.074620,1,0,14.466637,7.655614,-2.38867,0.09906
0.125,6.384821,2.481012,6.386561,0.000000,0,0,13.236826,10.636104,7.075662,1,0,14.454178,7.647133,-1.44731,0.09896
0.126,6.376339,2.673657,6.387102,0.000000,0,0,13.267304,10.629370,7.076624,1,0,14.441889,7.638858,-0.28181,0.09916
0.127,6.367831,2.739724,6.396858,0.000000,0,0,13.298665,10.626613,7.077508,1,0,14.429830,7.630860,-2.42365,0.09900
0.128,6.359170,2.805790,6.406614,0.000000,0,0,13.330027,10.623855,7.078378,1,0,14.417770,7.622862,-0.72992,0.09881
0.129,6.350361,2.871857,6.416370,0.000000,0,0,13.361387,10.621098,7.079232,1,0,14.405711,7.614864,-1.59614,0.09922
0.130,6.341133,2.649268,6.426642,0.000000,0,0,13.393171,10.617276,7.080139,1,0,14.393700,7.607053,-1.95143,0.09910
0.131,6.331501,2.037740,6.437609,0.000000,0,0,13.425526,10.612022,7.081096,1,0,14.381752,7.599494,-0.29518,0.09896
0.132,6.321572,1.426211,6.448576,0.000000,0,0,13.457880,10.606769,7.082099,1,0,14.369805,7.591935,-2.41882,0.09905
0.133,6.311357,0.814682,6.459543,0.000000,0,0,13.490234,10.601515,7.083149,1,0,14.357858,7.584376,-0.63412,0.09928
0.134,6.301097,0.165888,6.462952,0.000000,0,0,13.522886,10.592099,7.084218,1,0,14.345881,7.576931,-1.97797,0.09933
0.135,6.290794,-0.533118,6.456177,0.000000,0,0,13.555937,10.577074,7.085303,1,0,14.333867,7.569640,-1.61187,0.09898
0.136,6.280368,-1.232124,6.449402,0.000000,0,0,13.588988,10.562050,7.086368,1,0,14.321852,7.562348,-0.25320,0.09932
0.137,6.269823,-1.931130,6.442627,0.000000,0,0,13.622039,10.547025,7.087410,1,0,14.309837,7.555056,-2.31525,0.09943
0.138,6.258705,-2.631876,6.435894,0.000000,0,0,13.654744,10.532624,7.088418,1,0,14.297762,7.547595,-0.24709,0.09919
0.139,6.247032,-3.334964,6.429215,0.000000,0,0,13.686982,10.519066,7.089394,1,0,14.285605,7.539906,-2.39011,0.09923
0.140,6.234186,-4.038054,6.422536,0.000000,0,0,13.719220,10.505507,7.090469,1,0,14.273450,7.532216,-0.86569,0.09943
0.141,6.220206,-4.741142,6.415858,0.000000,0,0,13.751458,10.491949,7.091641,1,0,14.261293,7.524526,-1.73964,0.09958
0.142,6.204860,-5.295923,6.409098,0.000000,0,0,13.783431,10.476409,7.092993,1,0,14.249152,7.517028,-1.67632,0.09917
0.143,6.188191,-5.650871,6.402229,0.000000,0,0,13.815049,10.458201,7.094520,1,0,14.237031,7.509786,-0.36000,0.09926
0.144,6.170679,-6.005819,6.395360,0.000000,0,0,13.846666,10.439993,7.095879,1,0,14.224910,7.502545,-2.38934,0.09944
0.145,6.152349,-6.360768,6.388491,0.000000,0,0,13.878284,10.421784,7.097075,1,0,14.212789,7.495304,-0.30588,0.09932
0.146,6.133728,-6.556232,6.382171,0.000000,0,0,13.908651,10.406304,7.097766,1,0,14.200728,7.488413,-2.33912,0.09926
0.147,6.114827,-6.536806,6.376591,0.000000,0,0,13.937336,10.394499,7.097968,1,0,14.188753,7.481997,-0.42247,0.09940
0.148,6.095568,-6.517380,6.371011,0.000000,0,0,13.966020,10.382694,7.097926,1,0,14.176777,7.475580,-2.36924,0.09968
0.149,6.075963,-6.497954,6.365432,0.000000,0,0,13.994704,10.370889,7.097646,1,0,14.164801,7.469162,-0.25009,0.09957
0.150,6.055927,-6.562361,6.359097,0.000000,0,0,14.022484,10.360644,7.097467,1,0,14.152886,7.463005,-2.41514,0.09960
0.151,6.035474,-6.739727,6.351746,0.000000,0,0,14.049046,10.352502,7.097385,1,0,14.141054,7.457197,-0.49061,0.09984
0.152,6.015206,-6.917093,6.344395,0.000000,0,0,14.075608,10.344359,7.097363,1,0,14.129222,7.451389,-2.42355,0.09992
0.153,5.995118,-7.094460,6.337044,0.000000,0,0,14.102170,10.336217,7.097398,1,0,14.117390,7.445580,-0.42238,0.09956
0.154,5.976111,-7.214860,6.330016,0.000000,0,0,14.127598,10.329120,7.097372,1,0,14.105620,7.440776,-2.29921,0.09973
0.155,5.958152,-7.258506,6.323422,0.000000,0,0,14.151497,10.323433,7.097287,1,0,14.093936,7.437325,-0.45675,0.09987
0.156,5.941876,-7.302152,6.316829,0.000000,0,0,14.175396,10.317745,7.097153,1,0,14.082253,7.433875,-2.38659,0.09979
0.157,5.927233,-7.345797,6.310236,0.000000,0,0,14.199295,10.312057,7.096972,1,0,14.070568,7.430424,-0.25870,0.09941
0.158,5.914543,-7.471223,6.304132,0.000000,0,0,14.222193,10.303731,7.096778,1,0,14.058765,7.427828,-2.25670,0.09978
0.159,5.903745,-7.706843,6.298686,0.000000,0,0,14.243742,10.291848,7.096573,1,0,14.046801,7.426383,-0.70406,0.09983
0.160,5.894969,-7.942462,6.293240,0.000000,0,0,14.265292,10.279966,7.096330,1,0,14.034837,7.424940,-1.61046,0.09956
0.161,5.888149,-8.178082,6.287794,0.000000,0,0,14.286841,10.268084,7.096049,1,0,14.022873,7.423495,-1.25927,0.09953
0.162,5.883243,-8.402845,6.278021,0.000000,0,0,14.307469,10.255113,7.095700,1,0,14.010891,7.424118,-1.10845,0.09963
0.163,5.880191,-8.612982,6.262420,0.000000,0,0,14.326857,10.240675,7.095284,1,0,13.998883,7.427525,-1.87274,0.09962
