"Time","v3 Left CoP","v1 xCoMy","v2 Right CoP","28a CoMy (cm)","28 CoMy (cm)","27 CoMx (cm)","26 HRy (cm)","25 HRx (cm)","24 HLy (cm)","23 HLx (cm)","22 FRy (cm)","21 FRx (cm)","20 FLy (cm)","19 FLx (cm)","18 MTP ang","17 ankle ang)","16 knee ang","15 hip ang","14 FLty (cm)","13 FLtx (cm)","12 toey (cm)","11 toex (cm)","10 MTPy (cm)","9 MTPx (cm)","8 anky (cm)","7 ankx (cm)","6 kny (cm)","5 knx (cm)","4 Hipy (cm)","3 Hipx (cm)","2 Cry (cm)","1 Crx (cm)"
0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.005,6.156560,5.467416,4.252791,5.499421,-0.573980,15.945400,4.321654,15.980786,5.970664,17.860939,4.183928,15.089877,6.342457,13.534115,171.726562,67.506660,62.361851,30.213636,8.282285,16.461975,8.887985,15.659923,9.043432,15.084032,9.295440,14.501638,11.073322,16.334740,11.563923,14.846912,11.768824,15.813175
0.006,6.156672,5.467233,4.256849,5.499486,-0.578447,15.946396,4.325806,15.978020,5.970886,17.852543,4.187893,15.108622,6.342457,13.525904,171.422699,68.080254,62.600616,30.714535,8.282563,16.459122,8.876186,15.684263,9.034380,15.112255,9.294989,14.528643,11.059091,16.352962,11.563342,14.852655,11.770590,15.815421
0.007,6.156783,5.467050,4.260907,5.499552,-0.582914,15.947392,4.329957,15.975253,5.971108,17.844147,4.191858,15.127366,6.342457,13.517693,171.118851,68.653847,62.839382,31.215431,8.282842,16.456270,8.864387,15.708604,9.025328,15.140479,9.294538,14.555646,11.044859,16.371183,11.562761,14.858397,11.772356,15.817667
0.008,6.156894,5.466866,4.264966,5.499618,-0.587381,15.948388,4.334107,15.972486,5.971331,17.835749,4.195824,15.146111,6.342457,13.509482,170.814987,69.227440,63.078148,31.716328,8.283120,16.453417,8.852588,15.732944,9.016276,15.168703,9.294087,14.582650,11.030627,16.389406,11.562181,14.864141,11.774122,15.819914
0.009,6.157937,5.466438,4.266193,5.499441,-0.591876,15.947552,4.335234,15.967864,5.971626,17.822662,4.197154,15.157557,6.344249,13.505663,169.996521,70.117378,63.906158,32.519268,8.283285,16.449156,8.836498,15.736472,8.996655,15.178871,9.279995,14.598330,11.012472,16.386723,11.559359,14.868526,11.773981,15.820442
0.010,6.158980,5.466011,4.267422,5.499264,-0.596371,15.946716,4.336360,15.963242,5.971920,17.809574,4.198484,15.169004,6.346040,13.501843,169.178070,71.007309,64.734177,33.322208,8.283451,16.444893,8.820409,15.740000,8.977034,15.189039,9.265902,14.614010,10.994316,16.384041,11.556537,14.872911,11.773841,15.820970
0.011,6.160023,5.465583,4.268650,5.499086,-0.600865,15.945880,4.337485,15.958619,5.972215,17.796486,4.199814,15.180450,6.347832,13.498024,168.359619,71.897247,65.562187,34.125149,8.283616,16.440632,8.804319,15.743527,8.957412,15.199206,9.251808,14.629690,10.976160,16.381359,11.553715,14.877296,11.773701,15.821497
0.012,6.161067,5.465155,4.269878,5.498909,-0.605360,15.945044,4.338612,15.953997,5.972509,17.783400,4.201144,15.191897,6.349624,13.494205,167.541153,72.787186,66.390198,34.928089,8.283781,16.436371,8.788230,15.747055,8.937790,15.209374,9.237716,14.645370,10.958005,16.378675,11.550892,14.881682,11.773560,15.822025
0.013,6.161435,5.464440,4.270340,5.498458,-0.610090,15.945703,4.339224,15.954052,5.973247,17.777611,4.201457,15.197695,6.349624,13.489397,166.313599,73.810555,67.323898,35.701931,8.291336,16.436506,8.774199,15.745887,8.914495,15.225236,9.224703,14.659451,10.942684,16.371983,11.549648,14.886210,11.774298,15.823800
0.014,6.161804,5.463726,4.270802,5.498008,-0.614821,15.946362,4.339837,15.954106,5.973985,17.771824,4.201769,15.203492,6.349624,13.484591,165.086029,74.833923,68.257599,36.475773,8.298891,16.436642,8.760166,15.744719,8.891201,15.241098,9.211691,14.673530,10.927364,16.365288,11.548404,14.890738,11.775036,15.825575
0.015,6.162173,5.463011,4.271265,5.497557,-0.619551,15.947020,4.340449,15.954161,5.974722,17.766035,4.202081,15.209290,6.349624,13.479783,163.858475,75.857292,69.191307,37.249615,8.306445,16.436775,8.746134,15.743550,8.867908,15.256960,9.198679,14.687609,10.912045,16.358595,11.547159,14.895267,11.775775,15.827350
0.016,6.162541,5.462296,4.271728,5.497106,-0.624282,15.947679,4.341062,15.954216,5.975460,17.760246,4.202394,15.215087,6.349624,13.474976,162.630920,76.880661,70.125008,38.023457,8.314000,16.436911,8.732102,15.742382,8.844613,15.272821,9.185666,14.701689,10.896724,16.351902,11.545916,14.899795,11.776513,15.829124
