"Time","v1 xCoMy","v2 Right CoP","v3 Left CoP","28a CoMy","28 CoMy","27 CoMx (cm)","26 HRy (cm)","25 HRx (cm)","24 HLy (cm)","23 HLx (cm)","22 FRy (cm)","21 FRx (cm)","20 FLy (cm)","19 FLx (cm)","18 MTP ang","17 ankle ang)","16 knee ang","15 hip ang","14 FLty (cm)","13 FLtx (cm)","12 toey (cm)","11 toex (cm)","10 MTPy (cm)","9 MTPx (cm)","8 anky (cm)","7 ankx (cm)","6 kny (cm)","5 knx (cm)","4 Hipy (cm)","3 Hipx (cm)","2 Cry (cm)","1 Crx (cm)"
0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.004,6.050800,6.703140,4.944102,5.961369,1.580730,,6.383887,,5.008256,,7.022392,,4.879948,,,,,,,,,,,,9.777985,,,,12.048279,,,6.795414
0.005,6.052807,6.703765,4.944303,5.962700,1.592668,,6.380978,,5.009562,,7.026552,,4.879043,,,,,,,,,,,,9.789182,,,,12.050156,,,6.794801
0.006,6.054813,6.704390,4.944503,5.964032,1.604606,,6.378068,,5.010867,,7.030712,,4.878139,,,,,,,,,,,,9.800379,,,,12.052033,,,6.794188
0.007,6.056820,6.705015,4.944703,5.965363,1.616544,,6.375158,,5.012173,,7.034872,,4.877234,,,,,,,,,,,,9.811577,,,,12.053911,,,6.793575
0.008,6.058987,6.706491,4.949180,5.966910,1.627491,,6.375555,,5.020053,,7.037426,,4.878307,,,,,,,,,,,,9.809774,,,,12.055370,,,6.792282
0.009,6.061153,6.707966,4.953657,5.968457,1.638437,,6.375951,,5.027934,,7.039981,,4.879380,,,,,,,,,,,,9.807972,,,,12.056829,,,6.790989
0.010,6.063320,6.709442,4.958134,5.970005,1.649384,,6.376348,,5.035814,,7.042536,,4.880454,,,,,,,,,,,,9.806170,,,,12.058289,,,6.789697
0.011,6.065486,6.710917,4.962611,5.971552,1.660330,,6.376744,,5.043694,,7.045091,,4.881527,,,,,,,,,,,,9.804368,,,,12.059748,,,6.788404
0.012,6.067799,6.712686,4.968025,5.973277,1.670716,,6.377139,,5.055142,,7.048233,,4.880908,,,,,,,,,,,,9.809938,,,,12.059667,,,6.789286
0.013,6.070111,6.714455,4.973440,5.975002,1.681101,,6.377534,,5.066590,,7.051375,,4.880290,,,,,,,,,,,,9.815509,,,,12.059586,,,6.790167
0.014,6.072424,6.716223,4.978855,5.976727,1.691487,,6.377929,,5.078038,,7.054517,,4.879672,,,,,,,,,,,,9.821079,,,,12.059504,,,6.791049
0.015,6.074737,6.717991,4.984270,5.978452,1.701872,,6.378324,,5.089486,,7.057659,,4.879054,,,,,,,,,,,,9.826650,,,,12.059422,,,6.791930
0.016,6.077250,6.717704,4.988568,5.980379,1.712247,,6.376066,,5.096405,,7.059342,,4.880731,,,,,,,,,,,,9.831875,,,,12.057834,,,6.791046
0.017,6.079764,6.717417,4.992867,5.982306,1.722621,,6.373808,,5.103325,,7.061026,,4.882409,,,,,,,,,,,,9.837099,,,,12.056246,,,6.790161
0.018,6.082278,6.717130,4.997165,5.984232,1.732995,,6.371551,,5.110244,,7.062708,,4.884087,,,,,,,,,,,,9.842323,,,,12.054657,,,6.789277
0.019,6.084792,6.716842,5.001464,5.986159,1.743369,,6.369293,,5.117164,,7.064392,,4.885764,,,,,,,,,,,,9.847548,,,,12.053068,,,6.788393
0.020,6.087350,6.719522,5.004529,5.988148,1.753443,,6.370199,,5.122948,,7.068845,,4.886110,,,,,,,,,,,,9.857447,,,,12.052649,,,6.790761
0.021,6.089909,6.722201,5.007594,5.990137,1.763517,,6.371105,,5.128733,,7.073298,,4.886456,,,,,,,,,,,,9.867344,,,,12.052229,,,6.793130
0.022,6.092468,6.724881,5.010659,5.992126,1.773591,,6.372011,,5.134517,,7.077752,,4.886802,,,,,,,,,,,,9.877242,,,,12.051809,,,6.795499
0.023,6.095026,6.727561,5.013724,5.994114,1.783665,,6.372917,,5.140301,,7.082206,,4.887148,,,,,,,,,,,,9.887140,,,,12.051390,,,6.797868
0.024,6.097655,6.729126,5.014136,5.996194,1.793363,,6.374578,,5.141428,,7.083676,,4.886844,,,,,,,,,,,,9.892108,,,,12.048635,,,6.797413
0.025,6.100283,6.730692,5.014547,5.998273,1.803061,,6.376238,,5.142554,,7.085147,,4.886540,,,,,,,,,,,,9.897076,,,,12.045881,,,6.796958
0.026,6.102911,6.732258,5.014959,6.000353,1.812758,,6.377898,,5.143681,,7.086617,,4.886237,,,,,,,,,,,,9.902043,,,,12.043128,,,6.796504
0.027,6.105539,6.733823,5.015370,6.002432,1.822456,,6.379559,,5.144808,,7.088088,,4.885933,,,,,,,,,,,,9.907011,,,,12.040374,,,6.796049
0.028,6.108269,6.733303,5.018629,6.004662,1.831296,,6.378254,,5.150416,,7.088351,,4.886842,,,,,,,,,,,,9.908869,,,,12.038616,,,6.796407
0.029,6.110998,6.732781,5.021887,6.006891,1.840137,,6.376949,,5.156024,,7.088614,,4.887750,,,,,,,,,,,,9.910727,,,,12.036858,,,6.796766
0.030,6.113727,6.732261,5.025146,6.009120,1.848977,,6.375644,,5.161633,,7.088878,,4.888659,,,,,,,,,,,,9.912584,,,,12.035100,,,6.797125
0.031,6.116457,6.731740,5.028404,6.011349,1.857818,,6.374339,,5.167241,,7.089141,,4.889567,,,,,,,,,,,,9.914442,,,,12.033342,,,6.797483
0.032,6.119215,6.730881,5.029325,6.013675,1.865461,,6.373348,,5.173324,,7.088413,,4.885324,,,,,,,,,,,,9.917664,,,,12.031399,,,6.797941
0.033,6.121974,6.730022,5.030244,6.016001,1.873104,,6.372357,,5.179407,,7.087686,,4.881082,,,,,,,,,,,,9.920885,,,,12.029455,,,6.798399
0.034,6.124732,6.729163,5.031164,6.018327,1.880747,,6.371367,,5.185490,,7.086959,,4.876839,,,,,,,,,,,,9.924107,,,,12.027511,,,6.798856
0.035,6.127491,6.728304,5.032084,6.020653,1.888391,,6.370377,,5.191573,,7.086231,,4.872596,,,,,,,,,,,,9.927328,,,,12.025567,,,6.799314
0.036,6.130103,6.730703,5.032561,6.022891,1.895004,,6.371125,,5.193577,,7.090282,,4.871545,,,,,,,,,,,,9.927366,,,,12.023494,,,6.801105
0.037,6.132714,6.733103,5.033038,6.025129,1.901618,,6.371873,,5.195581,,7.094333,,4.870495,,,,,,,,,,,,9.927404,,,,12.021421,,,6.802896
0.038,6.135326,6.735502,5.033514,6.027367,1.908231,,6.372622,,5.197585,,7.098383,,4.869444,,,,,,,,,,,,9.927442,,,,12.019348,,,6.804687
0.039,6.137938,6.737902,5.033991,6.029605,1.914845,,6.373370,,5.199589,,7.102434,,4.868393,,,,,,,,,,,,9.927480,,,,12.017275,,,6.806478
0.040,6.140673,6.738978,5.033545,6.032036,1.920211,,6.371246,,5.198612,,7.106711,,4.868477,,,,,,,,,,,,9.930558,,,,12.016683,,,6.806132
0.041,6.143407,6.740055,5.033099,6.034467,1.925577,,6.369122,,5.197636,,7.110988,,4.868562,,,,,,,,,,,,9.933636,,,,12.016090,,,6.805787
0.042,6.146142,6.741131,5.032653,6.036897,1.930943,,6.366997,,5.196660,,7.115265,,4.868647,,,,,,,,,,,,9.936714,,,,12.015499,,,6.805442
0.043,6.148876,6.742208,5.032207,6.039328,1.936309,,6.364872,,5.195683,,7.119543,,4.868731,,,,,,,,,,,,9.939793,,,,12.014907,,,6.805097
0.044,6.152074,6.747761,5.033265,6.042295,1.940387,,6.363764,,5.198246,,7.131757,,4.868283,,,,,,,,,,,,9.940115,,,,12.014881,,,6.804457
0.045,6.155272,6.753314,5.034322,6.045263,1.944465,,6.362655,,5.200809,,7.143972,,4.867836,,,,,,,,,,,,9.940436,,,,12.014854,,,6.803817
0.046,6.158471,6.758866,5.035379,6.048231,1.948543,,6.361547,,5.203371,,7.156187,,4.867389,,,,,,,,,,,,9.940758,,,,12.014829,,,6.803177
0.047,6.161669,6.764420,5.036437,6.051198,1.952621,,6.360438,,5.205933,,7.168402,,4.866941,,,,,,,,,,,,9.941080,,,,12.014803,,,6.802537
0.048,6.164780,6.766693,5.038508,6.054138,1.955639,,6.361360,,5.211075,,7.172027,,4.865941,,,,,,,,,,,,9.945053,,,,12.013690,,,6.801213
0.049,6.167891,6.768967,5.040579,6.057078,1.958658,,6.362282,,5.216217,,7.175652,,4.864940,,,,,,,,,,,,9.949026,,,,12.012577,,,6.799889
0.050,6.171002,6.771240,5.042649,6.060019,1.961676,,6.363204,,5.221359,,7.179276,,4.863940,,,,,,,,,,,,9.953000,,,,12.011465,,,6.798564
0.051,6.174113,6.773514,5.044720,6.062959,1.964694,,6.364126,,5.226501,,7.182901,,4.862939,,,,,,,,,,,,9.956973,,,,12.010352,,,6.797240
0.052,6.177204,6.775913,5.050077,6.065963,1.966231,,6.364886,,5.238106,,7.186939,,4.862048,,,,,,,,,,,,9.960518,,,,12.010599,,,6.797789
0.053,6.180294,6.778312,5.055434,6.068966,1.967768,,6.365646,,5.249710,,7.190977,,4.861157,,,,,,,,,,,,9.964064,,,,12.010847,,,6.798337
0.054,6.183385,6.780711,5.060791,6.071970,1.969304,,6.366406,,5.261315,,7.195015,,4.860267,,,,,,,,,,,,9.967609,,,,12.011094,,,6.798885
0.055,6.186475,6.783110,5.066148,6.074974,1.970841,,6.367167,,5.272920,,7.199053,,4.859375,,,,,,,,,,,,9.971154,,,,12.011341,,,6.799434
0.056,6.189661,6.783282,5.067862,6.078152,1.970977,,6.367173,,5.278562,,7.199392,,4.857162,,,,,,,,,,,,9.973308,,,,12.010654,,,6.797677
0.057,6.192847,6.783455,5.069576,6.081330,1.971112,,6.367180,,5.284204,,7.199731,,4.854948,,,,,,,,,,,,9.975462,,,,12.009968,,,6.795919
0.058,6.196033,6.783628,5.071290,6.084508,1.971248,,6.367186,,5.289845,,7.200069,,4.852735,,,,,,,,,,,,9.977615,,,,12.009280,,,6.794162
0.059,6.199219,6.783800,5.073004,6.087686,1.971384,,6.367193,,5.295487,,7.200408,,4.850521,,,,,,,,,,,,9.979769,,,,12.008594,,,6.792405
0.060,6.202715,6.779691,5.074464,6.091241,1.970351,,6.367068,,5.299511,,7.192313,,4.849417,,,,,,,,,,,,9.985981,,,,12.009170,,,6.791358
0.061,6.206212,6.775581,5.075924,6.094797,1.969317,,6.366944,,5.303535,,7.184218,,4.848313,,,,,,,,,,,,9.992193,,,,12.009747,,,6.790310
0.062,6.209709,6.771471,5.077384,6.098352,1.968284,,6.366819,,5.307559,,7.176123,,4.847209,,,,,,,,,,,,9.998405,,,,12.010323,,,6.789263
0.063,6.213206,6.767362,5.078844,6.101907,1.967250,,6.366695,,5.311583,,7.168028,,4.846106,,,,,,,,,,,,10.004618,,,,12.010899,,,6.788216
0.064,6.216824,6.765910,5.080094,6.105620,1.965572,,6.368295,,5.313113,,7.163526,,4.847075,,,,,,,,,,,,10.008358,,,,12.010481,,,6.785348
0.065,6.220442,6.764459,5.081345,6.109334,1.963895,,6.369894,,5.314644,,7.159024,,4.848045,,,,,,,,,,,,10.012098,,,,12.010063,,,6.782480
0.066,6.224061,6.763008,5.082595,6.113047,1.962217,,6.371494,,5.316175,,7.154521,,4.849014,,,,,,,,,,,,10.015838,,,,12.009645,,,6.779613
0.067,6.227679,6.761557,5.083845,6.116760,1.960539,,6.373094,,5.317706,,7.150019,,4.849984,,,,,,,,,,,,10.019578,,,,12.009228,,,6.776745
0.068,6.231195,6.758679,5.081813,6.120396,1.958415,,6.370909,,5.319114,,7.146450,,4.844512,,,,,,,,,,,,10.021120,,,,12.008327,,,6.775639
0.069,6.234712,6.755803,5.079782,6.124033,1.956291,,6.368724,,5.320522,,7.142880,,4.839041,,,,,,,,,,,,10.022661,,,,12.007428,,,6.774533
0.070,6.238228,6.752926,5.077750,6.127669,1.954168,,6.366539,,5.321931,,7.139311,,4.833569,,,,,,,,,,,,10.024203,,,,12.006529,,,6.773427
0.071,6.241744,6.750049,5.075718,6.131306,1.952044,,6.364355,,5.323339,,7.135742,,4.828097,,,,,,,,,,,,10.025745,,,,12.005629,,,6.772320
0.072,6.244924,6.747677,5.079762,6.134635,1.949402,,6.362000,,5.331343,,7.133354,,4.828183,,,,,,,,,,,,10.026124,,,,12.004459,,,6.769762
0.073,6.248104,6.745306,5.083807,6.137964,1.946760,,6.359645,,5.339346,,7.130966,,4.828269,,,,,,,,,,,,10.026503,,,,12.003289,,,6.767203
0.074,6.251284,6.742934,5.087852,6.141294,1.944118,,6.357290,,5.347350,,7.128578,,4.828354,,,,,,,,,,,,10.026880,,,,12.002119,,,6.764645
0.075,6.254463,6.740562,5.091897,6.144623,1.941476,,6.354935,,5.355353,,7.126190,,4.828440,,,,,,,,,,,,10.027259,,,,12.000950,,,6.762087
0.076,6.257441,6.740596,5.094723,6.147761,1.938627,,6.354083,,5.361192,,7.127109,,4.828253,,,,,,,,,,,,10.025882,,,,11.998789,,,6.759381
0.077,6.260418,6.740630,5.097548,6.150900,1.935777,,6.353231,,5.367030,,7.128028,,4.828067,,,,,,,,,,,,10.024504,,,,11.996628,,,6.756676
0.078,6.263395,6.740664,5.100374,6.154038,1.932927,,6.352380,,5.372868,,7.128947,,4.827880,,,,,,,,,,,,10.023127,,,,11.994468,,,6.753971
0.079,6.266373,6.740697,5.103199,6.157177,1.930077,,6.351528,,5.378706,,7.129867,,4.827693,,,,,,,,,,,,10.021749,,,,11.992307,,,6.751265
0.080,6.270154,6.741054,5.106997,6.161148,1.926722,,6.350493,,5.385479,,7.131614,,4.828514,,,,,,,,,,,,10.019498,,,,11.989524,,,6.749272
0.081,6.273935,6.741410,5.110794,6.165120,1.923367,,6.349459,,5.392252,,7.133361,,4.829336,,,,,,,,,,,,10.017246,,,,11.986742,,,6.747279
0.082,6.277717,6.741766,5.114591,6.169091,1.920011,,6.348424,,5.399025,,7.135108,,4.830157,,,,,,,,,,,,10.014996,,,,11.983959,,,6.745286
0.083,6.281498,6.742123,5.118388,6.173062,1.916656,,6.347390,,5.405798,,7.136855,,4.830978,,,,,,,,,,,,10.012744,,,,11.981176,,,6.743292
0.084,6.285392,6.740843,5.122065,6.177245,1.911539,,6.345862,,5.411023,,7.135824,,4.833108,,,,,,,,,,,,10.009760,,,,11.978499,,,6.740538
0.085,6.289285,6.739563,5.125742,6.181427,1.906422,,6.344334,,5.416247,,7.134792,,4.835238,,,,,,,,,,,,10.006776,,,,11.975822,,,6.737782
0.086,6.293178,6.738283,5.129419,6.185610,1.901305,,6.342805,,5.421472,,7.133761,,4.837367,,,,,,,,,,,,10.003792,,,,11.973145,,,6.735028
0.087,6.297071,6.737003,5.133096,6.189793,1.896188,,6.341277,,5.426696,,7.132730,,4.839496,,,,,,,,,,,,10.000808,,,,11.970469,,,6.732273
0.088,6.300793,6.736308,5.138309,6.193891,1.889541,,6.339921,,5.435235,,7.132694,,4.841382,,,,,,,,,,,,9.996841,,,,11.965384,,,6.728145
0.089,6.304516,6.735612,5.143521,6.197989,1.882894,,6.338566,,5.443774,,7.132659,,4.843267,,,,,,,,,,,,9.992876,,,,11.960299,,,6.724017
0.090,6.308238,6.734917,5.148733,6.202088,1.876247,,6.337211,,5.452314,,7.132624,,4.845153,,,,,,,,,,,,9.988910,,,,11.955215,,,6.719889
0.091,6.311960,6.734221,5.153946,6.206186,1.869600,,6.335855,,5.460853,,7.132588,,4.847039,,,,,,,,,,,,9.984943,,,,11.950130,,,6.715761
0.092,6.315527,6.732326,5.159589,6.210175,1.862149,,6.335996,,5.470648,,7.128654,,4.848531,,,,,,,,,,,,9.981966,,,,11.947676,,,6.712102
0.093,6.319094,6.730429,5.165232,6.214163,1.854698,,6.336137,,5.480442,,7.124722,,4.850022,,,,,,,,,,,,9.978990,,,,11.945221,,,6.708443
0.094,6.322660,6.728533,5.170876,6.218151,1.847247,,6.336278,,5.490236,,7.120789,,4.851514,,,,,,,,,,,,9.976013,,,,11.942766,,,6.704783
0.095,6.326227,6.726637,5.176518,6.222139,1.839796,,6.336419,,5.500031,,7.116855,,4.853006,,,,,,,,,,,,9.973036,,,,11.940312,,,6.701124
0.096,6.330007,6.723744,5.179554,6.226390,1.831464,,6.333175,,5.506896,,7.114314,,4.852214,,,,,,,,,,,,9.971724,,,,11.934963,,,6.695501
0.097,6.333786,6.720852,5.182590,6.230641,1.823132,,6.329930,,5.513760,,7.111773,,4.851421,,,,,,,,,,,,9.970412,,,,11.929613,,,6.689878
0.098,6.337565,6.717959,5.185627,6.234892,1.814800,,6.326686,,5.520625,,7.109232,,4.850629,,,,,,,,,,,,9.969101,,,,11.924264,,,6.684255
0.099,6.341345,6.715066,5.188663,6.239142,1.806468,,6.323442,,5.527489,,7.106691,,4.849837,,,,,,,,,,,,9.967789,,,,11.918915,,,6.678632
0.100,6.345109,6.715119,5.190885,6.243439,1.797063,,6.322483,,5.532383,,7.107756,,4.849386,,,,,,,,,,,,9.962135,,,,11.918777,,,6.672797
0.101,6.348873,6.715173,5.193107,6.247735,1.787658,,6.321525,,5.537277,,7.108820,,4.848936,,,,,,,,,,,,9.956483,,,,11.918641,,,6.666963
0.102,6.352636,6.715226,5.195328,6.252030,1.778252,,6.320566,,5.542171,,7.109885,,4.848485,,,,,,,,,,,,9.950830,,,,11.918505,,,6.661128
0.103,6.356400,6.715279,5.197550,6.256327,1.768847,,6.319607,,5.547065,,7.110950,,4.848035,,,,,,,,,,,,9.945177,,,,11.918367,,,6.655293
0.104,6.360347,6.716312,5.202633,6.260868,1.758339,,6.318903,,5.557043,,7.113721,,4.848222,,,,,,,,,,,,9.942249,,,,11.916391,,,6.650860
0.105,6.364294,6.717347,5.207716,6.265409,1.747831,,6.318200,,5.567021,,7.116493,,4.848410,,,,,,,,,,,,9.939322,,,,11.914415,,,6.646427
0.106,6.368241,6.718381,5.212798,6.269950,1.737323,,6.317497,,5.576999,,7.119265,,4.848598,,,,,,,,,,,,9.936395,,,,11.912439,,,6.641994
0.107,6.372188,6.719415,5.217881,6.274492,1.726815,,6.316794,,5.586977,,7.122036,,4.848785,,,,,,,,,,,,9.933467,,,,11.910463,,,6.637560
0.108,6.376263,6.720222,5.222018,6.279169,1.716180,,6.317453,,5.593967,,7.122992,,4.850070,,,,,,,,,,,,9.930622,,,,11.909639,,,6.629919
0.109,6.380339,6.721030,5.226155,6.283846,1.705544,,6.318113,,5.600957,,7.123947,,4.851354,,,,,,,,,,,,9.927778,,,,11.908815,,,6.622277
0.110,6.384414,6.721837,5.230293,6.288523,1.694908,,6.318772,,5.607947,,7.124902,,4.852638,,,,,,,,,,,,9.924933,,,,11.907992,,,6.614635
0.111,6.388489,6.722645,5.234430,6.293200,1.684273,,6.319432,,5.614937,,7.125858,,4.853923,,,,,,,,,,,,9.922089,,,,11.907168,,,6.606993
0.112,6.392493,6.724321,5.235307,6.297863,1.672636,,6.320406,,5.622252,,7.128236,,4.848363,,,,,,,,,,,,9.923199,,,,11.907438,,,6.604904
0.113,6.396497,6.725997,5.236184,6.302525,1.660999,,6.321380,,5.629566,,7.130614,,4.842803,,,,,,,,,,,,9.924309,,,,11.907709,,,6.602816
0.114,6.400501,6.727673,5.237062,6.307187,1.649362,,6.322353,,5.636880,,7.132993,,4.837243,,,,,,,,,,,,9.925418,,,,11.907979,,,6.600727
0.115,6.404505,6.729349,5.237939,6.311850,1.637725,,6.323328,,5.644195,,7.135371,,4.831683,,,,,,,,,,,,9.926528,,,,11.908249,,,6.598638
0.116,6.408334,6.730541,5.240033,6.316306,1.626637,,6.324290,,5.650290,,7.136793,,4.829774,,,,,,,,,,,,9.929136,,,,11.907749,,,6.592749
0.117,6.412163,6.731734,5.242126,6.320762,1.615550,,6.325253,,5.656387,,7.138214,,4.827866,,,,,,,,,,,,9.931745,,,,11.907249,,,6.586860
0.118,6.415992,6.732926,5.244220,6.325218,1.604462,,6.326216,,5.662483,,7.139636,,4.825957,,,,,,,,,,,,9.934353,,,,11.906749,,,6.580970
0.119,6.419821,6.734118,5.246314,6.329675,1.593374,,6.327179,,5.668579,,7.141057,,4.824048,,,,,,,,,,,,9.936961,,,,11.906249,,,6.575081
0.120,6.423729,6.737577,5.251617,6.334359,1.579657,,6.333815,,5.674096,,7.141340,,4.829140,,,,,,,,,,,,9.936916,,,,11.907640,,,6.568646
0.121,6.427637,6.741036,5.256922,6.339043,1.565939,,6.340451,,5.679612,,7.141622,,4.834231,,,,,,,,,,,,9.936871,,,,11.909032,,,6.562212
0.122,6.431545,6.744495,5.262226,6.343727,1.552222,,6.347087,,5.685128,,7.141904,,4.839323,,,,,,,,,,,,9.936825,,,,11.910423,,,6.555777
0.123,6.435453,6.747954,5.267529,6.348412,1.538504,,6.353723,,5.690645,,7.142186,,4.844415,,,,,,,,,,,,9.936780,,,,11.911815,,,6.549342
0.124,6.438687,6.755991,5.272978,6.352663,1.520523,,6.370695,,5.695088,,7.141286,,4.850869,,,,,,,,,,,,9.944355,,,,11.911959,,,6.541061
0.125,6.441921,6.764027,5.278427,6.356914,1.502542,,6.387667,,5.699532,,7.140386,,4.857323,,,,,,,,,,,,9.951930,,,,11.912103,,,6.532781
0.126,6.445155,6.772062,5.283876,6.361165,1.484560,,6.404639,,5.703976,,7.139485,,4.863776,,,,,,,,,,,,9.959505,,,,11.912247,,,6.524500
0.127,6.448389,6.780098,5.289325,6.365416,1.466579,,6.421612,,5.708419,,7.138585,,4.870230,,,,,,,,,,,,9.967080,,,,11.912391,,,6.516219
0.128,6.450971,6.791784,5.297548,6.369099,1.447123,,6.442228,,5.710351,,7.141340,,4.884745,,,,,,,,,,,,9.973421,,,,11.911123,,,6.507802
0.129,6.453553,6.803470,5.305771,6.372782,1.427667,,6.462844,,5.712282,,7.144096,,4.899260,,,,,,,,,,,,9.979763,,,,11.909855,,,6.499384
0.130,6.456135,6.815156,5.313994,6.376465,1.408211,,6.483460,,5.714213,,7.146852,,4.913774,,,,,,,,,,,,9.986104,,,,11.908587,,,6.490966
0.131,6.458717,6.826842,5.322217,6.380147,1.388755,,6.504077,,5.716145,,7.149607,,4.928289,,,,,,,,,,,,9.992445,,,,11.907319,,,6.482548
0.132,6.461013,6.847167,5.329167,6.383557,1.369064,,6.544006,,5.716616,,7.150328,,4.941720,,,,,,,,,,,,10.005553,,,,11.908373,,,6.470157
0.133,6.463308,6.867493,5.336118,6.386967,1.349374,,6.583936,,5.717086,,7.151050,,4.955150,,,,,,,,,,,,10.018661,,,,11.909427,,,6.457767
0.134,6.465604,6.887818,5.343069,6.390376,1.329683,,6.623865,,5.717557,,7.151771,,4.968580,,,,,,,,,,,,10.031769,,,,11.910480,,,6.445375
0.135,6.467899,6.908143,5.350019,6.393785,1.309992,,6.663795,,5.718028,,7.152492,,4.982011,,,,,,,,,,,,10.044877,,,,11.911534,,,6.432984
0.136,6.469936,6.941302,5.351937,6.397022,1.288780,,6.728845,,5.721181,,7.153760,,4.982695,,,,,,,,,,,,10.057544,,,,11.912145,,,6.421878
0.137,6.471972,6.974461,5.353856,6.400259,1.267567,,6.793894,,5.724334,,7.155027,,4.983378,,,,,,,,,,,,10.070211,,,,11.912754,,,6.410771
0.138,6.474009,7.007619,5.355774,6.403495,1.246355,,6.858944,,5.727486,,7.156295,,4.984061,,,,,,,,,,,,10.082878,,,,11.913364,,,6.399665
0.139,6.476045,7.040778,5.357692,6.406732,1.225142,,6.923994,,5.730639,,7.157563,,4.984745,,,,,,,,,,,,10.095545,,,,11.913975,,,6.388559
0.140,6.477615,7.064693,5.354115,6.409601,1.202180,,6.974018,,5.726896,,7.155370,,4.981334,,,,,,,,,,,,10.099705,,,,11.916603,,,6.376735
0.141,6.479186,7.088609,5.350538,6.412471,1.179218,,7.024041,,5.723154,,7.153176,,4.977923,,,,,,,,,,,,10.103866,,,,11.919231,,,6.364911
0.142,6.480756,7.112524,5.346962,6.415340,1.156256,,7.074065,,5.719411,,7.150983,,4.974513,,,,,,,,,,,,10.108027,,,,11.921861,,,6.353087
0.143,6.482327,7.136439,5.343385,6.418210,1.133294,,7.124089,,5.715669,,7.148790,,4.971102,,,,,,,,,,,,10.112186,,,,11.924489,,,6.341264
0.144,6.483621,7.152524,5.339073,6.420891,1.108788,,7.155499,,5.716482,,7.149549,,4.961665,,,,,,,,,,,,10.111778,,,,11.926286,,,6.332829
0.145,6.484916,7.168609,5.334762,6.423572,1.084282,,7.186910,,5.717295,,7.150309,,4.952229,,,,,,,,,,,,10.111370,,,,11.928083,,,6.324395
0.146,6.486210,7.184694,5.330450,6.426252,1.059775,,7.218320,,5.718107,,7.151068,,4.942792,,,,,,,,,,,,10.110961,,,,11.929880,,,6.315960
0.147,6.487505,7.200779,5.326138,6.428934,1.035269,,7.249731,,5.718920,,7.151827,,4.933355,,,,,,,,,,,,10.110553,,,,11.931677,,,6.307526
0.148,6.488441,7.211469,5.324014,6.431353,1.009057,,7.272173,,5.717647,,7.150766,,4.930382,,,,,,,,,,,,10.123543,,,,11.932858,,,6.296401
0.149,6.489377,7.222159,5.321891,6.433772,0.982844,,7.294615,,5.716373,,7.149704,,4.927409,,,,,,,,,,,,10.136532,,,,11.934038,,,6.285275
0.150,6.490314,7.232850,5.319767,6.436192,0.956632,,7.317057,,5.715099,,7.148643,,4.924436,,,,,,,,,,,,10.149521,,,,11.935218,,,6.274149
0.151,6.491250,7.243540,5.317644,6.438611,0.930420,,7.339499,,5.713826,,7.147581,,4.921462,,,,,,,,,,,,10.162511,,,,11.936399,,,6.263023
0.152,6.492239,7.244052,5.313216,6.441125,0.903455,,7.341789,,5.716691,,7.146315,,4.909741,,,,,,,,,,,,10.166944,,,,11.936388,,,6.253733
0.153,6.493228,7.244564,5.308788,6.443641,0.876490,,7.344078,,5.719557,,7.145049,,4.898020,,,,,,,,,,,,10.171377,,,,11.936377,,,6.244442
0.154,6.494218,7.245075,5.304360,6.446156,0.849525,,7.346368,,5.722423,,7.143783,,4.886299,,,,,,,,,,,,10.175810,,,,11.936365,,,6.235150
0.155,6.495207,7.245587,5.299932,6.448670,0.822560,,7.348657,,5.725288,,7.142517,,4.874578,,,,,,,,,,,,10.180243,,,,11.936355,,,6.225860
0.156,6.495953,7.242508,5.299561,6.450945,0.795521,,7.344528,,5.724083,,7.140487,,4.875038,,,,,,,,,,,,10.181518,,,,11.938135,,,6.214437
0.157,6.496697,7.239429,5.299189,6.453220,0.768483,,7.340400,,5.722879,,7.138457,,4.875499,,,,,,,,,,,,10.182793,,,,11.939917,,,6.203014
0.158,6.497443,7.236349,5.298818,6.455495,0.741444,,7.336271,,5.721675,,7.136428,,4.875960,,,,,,,,,,,,10.184067,,,,11.941698,,,6.191592
0.159,6.498188,7.233270,5.298446,6.457770,0.714405,,7.332142,,5.720470,,7.134398,,4.876420,,,,,,,,,,,,10.185342,,,,11.943479,,,6.180169
0.160,6.498902,7.233121,5.301531,6.460004,0.687543,,7.330969,,5.722420,,7.135273,,4.880641,,,,,,,,,,,,10.182118,,,,11.943827,,,6.171691
0.161,6.499617,7.232972,5.304616,6.462238,0.660680,,7.329796,,5.724370,,7.136147,,4.884862,,,,,,,,,,,,10.178894,,,,11.944174,,,6.163213
0.162,6.500331,7.232823,5.307702,6.464473,0.633818,,7.328623,,5.726320,,7.137022,,4.889083,,,,,,,,,,,,10.175671,,,,11.944522,,,6.154734
0.163,6.501046,7.232674,5.310787,6.466707,0.606956,,7.327449,,5.728270,,7.137897,,4.893304,,,,,,,,,,,,10.172447,,,,11.944870,,,6.146256
0.164,6.500531,7.232559,5.316499,6.467716,0.580023,,7.330397,,5.727273,,7.134722,,4.905725,,,,,,,,,,,,10.184401,,,,11.944973,,,6.135605
