"Time"	"45 sw offset"	"44 sw onset"	"11 Gr"	"10 Gs"	"9 TA"	"8 St"	"7 VL"	"6 BF"	"5 Ip"	"4 GM"
0.64	0	0	0.00255	0.00355	0.00058	0.00661	0.00303	0.00153	0.00263	0.00073
0.65	0	0	0.00113	0.00060	0.00086	0.00057	0.00343	0.00963	0.00245	0.00059
0.66	0	0	0.00068	0.00065	0.00079	0.00054	0.00139	0.00115	0.00110	0.00072
0.67	0	0	0.00073	0.00078	0.00064	0.00060	0.00242	0.00182	0.00282	0.00049
0.68	0	1	0.00108	0.00078	0.00062	0.00059	0.00059	0.00090	0.00105	0.00489
0.69	0	0	0.00250	0.00272	0.00218	0.00199	0.00068	0.00061	0.01847	0.00170
0.70	0	0	0.00707	0.00194	0.00295	0.00216	0.00067	0.00066	0.00443	0.00092
0.71	0	0	0.00123	0.00235	0.00375	0.00094	0.00054	0.00063	0.01042	0.00179
0.72	0	0	0.00299	0.00288	0.00268	0.00083	0.00050	0.00063	0.01850	0.00298
0.73	0	0	0.00220	0.00063	0.00198	0.00070	0.00054	0.00070	0.01630	0.02332
0.74	0	0	0.00129	0.00076	0.00327	0.00049	0.00046	0.00050	0.02346	0.00885
0.75	0	0	0.00106	0.00053	0.00149	0.00062	0.00052	0.00065	0.00814	0.00161
0.76	0	0	0.00248	0.00047	0.00053	0.00062	0.00053	0.00057	0.00494	0.00886
0.77	0	0	0.00076	0.00061	0.00192	0.00069	0.00101	0.00090	0.00384	0.00088
0.78	0	0	0.00135	0.00402	0.00105	0.00073	0.00094	0.00096	0.00323	0.00418
0.79	1	0	0.00072	0.00103	0.00072	0.00089	0.00068	0.00087	0.00094	0.00082
0.80	0	0	0.00088	0.00069	0.00080	0.00081	0.00058	0.00052	0.00286	0.00051
0.81	0	0	0.00113	0.00084	0.00085	0.00102	0.00140	0.00100	0.00114	0.00052
0.82	0	0	0.00073	0.00087	0.00110	0.00072	0.00072	0.00094	0.00081	0.00049
0.83	0	0	0.00175	0.00329	0.00105	0.00177	0.00074	0.00058	0.00084	0.00057
0.84	0	0	0.00254	0.00067	0.00065	0.00059	0.00030	0.00075	0.00073	0.00033
0.85	0	0	0.00135	0.00161	0.00084	0.00133	0.00044	0.00065	0.00055	0.00055
0.86	0	0	0.00130	0.00148	0.00072	0.00179	0.00079	0.00078	0.00110	0.00056
0.87	0	0	0.00150	0.00119	0.00079	0.00106	0.00047	0.00078	0.00099	0.00050
0.88	0	0	0.00087	0.00104	0.00097	0.00233	0.00348	0.00157	0.00163	0.00055
0.89	0	0	0.00087	0.00074	0.00098	0.00126	0.00085	0.00051	0.00081	0.00067
0.90	0	0	0.00108	0.00133	0.00048	0.00103	0.00127	0.00105	0.00181	0.00057
0.91	0	0	0.00159	0.00057	0.00058	0.00168	0.00132	0.00092	0.00078	0.00086
0.92	0	0	0.00094	0.00084	0.00069	0.00081	0.00063	0.00104	0.00084	0.00080
0.93	0	0	0.00091	0.00088	0.00060	0.00078	0.00061	0.00074	0.03758	0.00413
0.94	0	1	0.00317	0.00668	0.00102	0.00160	0.00082	0.00068	0.00882	0.02238
0.95	0	0	0.00748	0.00376	0.00314	0.00059	0.00056	0.00067	0.01502	0.00124
0.96	0	0	0.00228	0.00167	0.00208	0.00077	0.00055	0.00065	0.00572	0.00149
0.97	0	0	0.00137	0.00094	0.00450	0.00048	0.00061	0.00073	0.02319	0.00098
0.98	0	0	0.00045	0.00066	0.00064	0.00049	0.00046	0.00069	0.00057	0.00109
0.99	0	0	0.00070	0.00167	0.00076	0.00047	0.00049	0.00073	0.01845	0.00301
1.00	0	0	0.00179	0.00292	0.00092	0.00068	0.00093	0.00098	0.02028	0.00568
1.01	0	0	0.00183	0.00109	0.00094	0.00049	0.00091	0.00107	0.00332	0.00097
1.02	0	0	0.00075	0.00090	0.00107	0.00076	0.00093	0.00078	0.00093	0.00041
1.03	1	0	0.00096	0.00061	0.00097	0.00065	0.00117	0.00056	0.00087	0.00047
1.04	0	0	0.00127	0.00173	0.00128	0.00050	0.00115	0.00132	0.00116	0.00046
1.05	0	0	0.00161	0.00111	0.00108	0.00095	0.00173	0.00097	0.00167	0.00064
1.06	0	0	0.00080	0.00062	0.00063	0.00134	0.00112	0.00075	0.00133	0.00059
1.07	0	0	0.00167	0.00058	0.00060	0.00087	0.00079	0.00069	0.00086	0.00046
1.08	0	0	0.00070	0.00128	0.00080	0.00376	0.00090	0.00088	0.00129	0.00068
1.09	0	0	0.00242	0.00203	0.00106	0.00254	0.00055	0.00044	0.00058	0.00062
1.10	0	0	0.00154	0.00168	0.00054	0.00187	0.00058	0.00072	0.00084	0.00048
1.11	0	0	0.00577	0.00077	0.00068	0.00074	0.00061	0.00062	0.00078	0.00063
