"Time"	"45 sw offset"	"44 sw onset"	"11 Gr"	"10 Gs"	"9 TA"	"8 St"	"7 VL"	"6 BF"	"5 Ip"	"4 GM"
2.83	0	0	0.00112	0.00210	0.00091	0.00307	0.00104	0.01516	0.00253	0.00086
2.84	0	0	0.00112	0.00056	0.00066	0.00080	0.00108	0.00212	0.00157	0.00097
2.85	0	0	0.00075	0.00085	0.00052	0.00098	0.00141	0.00131	0.00267	0.00044
2.86	0	0	0.00109	0.00068	0.00053	0.00056	0.00080	0.00228	0.00244	0.00047
2.87	0	0	0.00051	0.00045	0.00069	0.00052	0.00113	0.00084	0.00127	0.00480
2.88	0	1	0.00160	0.00402	0.00308	0.00315	0.00046	0.00065	0.00308	0.00105
2.89	0	0	0.01001	0.00170	0.00347	0.00106	0.00066	0.00067	0.00701	0.00052
2.90	0	0	0.00212	0.00574	0.00168	0.00283	0.00053	0.00067	0.01154	0.00182
2.91	0	0	0.00194	0.00052	0.00187	0.00050	0.00033	0.00076	0.00834	0.00036
2.92	0	0	0.00074	0.00150	0.00198	0.00072	0.00072	0.00039	0.01170	0.00077
2.93	0	0	0.00133	0.00070	0.00072	0.00056	0.00045	0.00058	0.00384	0.00406
2.94	0	0	0.00092	0.00057	0.00105	0.00040	0.00068	0.00070	0.03271	0.00744
2.95	0	0	0.00241	0.00138	0.00120	0.00063	0.00062	0.00133	0.01751	0.00625
2.96	0	0	0.00104	0.00054	0.00095	0.00077	0.00078	0.00091	0.00428	0.00052
2.97	1	0	0.00070	0.00061	0.00072	0.00093	0.00066	0.00063	0.00112	0.00066
2.98	0	0	0.00129	0.00046	0.00147	0.00051	0.00073	0.00076	0.00079	0.00060
2.99	0	0	0.00389	0.00159	0.00126	0.00073	0.00064	0.00064	0.00086	0.00049
3.00	0	0	0.00088	0.00085	0.00107	0.00051	0.00073	0.00069	0.00166	0.00058
3.01	0	0	0.00133	0.00088	0.00109	0.00299	0.00060	0.00064	0.00076	0.00050
3.02	0	0	0.00109	0.00168	0.00064	0.00205	0.00050	0.00063	0.00053	0.00054
3.03	0	0	0.00081	0.00528	0.00061	0.00578	0.00066	0.00063	0.00112	0.00047
3.04	0	0	0.00109	0.00106	0.00066	0.00089	0.00269	0.00105	0.00136	0.00048
3.05	0	0	0.00238	0.00091	0.00049	0.00152	0.00050	0.00095	0.00091	0.00044
3.06	0	0	0.00157	0.00112	0.00096	0.00151	0.00060	0.00081	0.00075	0.00079
3.07	0	0	0.00090	0.00104	0.00092	0.00063	0.00065	0.00079	0.00084	0.00050
3.08	0	0	0.00151	0.00479	0.00096	0.00215	0.00178	0.00133	0.00202	0.00064
3.09	0	0	0.00067	0.00070	0.00096	0.00112	0.00070	0.00091	0.00195	0.00055
3.10	0	0	0.00190	0.00065	0.00068	0.00051	0.00125	0.00162	0.00450	0.00053
3.11	0	0	0.00065	0.00066	0.00055	0.00049	0.00049	0.00075	0.00070	0.00066
3.12	0	0	0.00133	0.00067	0.00074	0.00075	0.00070	0.00093	0.02983	0.00270
3.13	0	1	0.00136	0.00293	0.00067	0.00113	0.00057	0.00059	0.00132	0.00054
3.14	0	0	0.00512	0.00478	0.00098	0.00269	0.00067	0.00070	0.00159	0.00455
3.15	0	0	0.00126	0.00155	0.00524	0.00075	0.00050	0.00088	0.02793	0.01002
3.16	0	0	0.00161	0.00128	0.00384	0.00220	0.00046	0.00061	0.00230	0.00065
3.17	0	0	0.00101	0.00053	0.00229	0.00069	0.00053	0.00071	0.01430	0.00476
3.18	0	0	0.00084	0.00055	0.00100	0.00053	0.00053	0.00072	0.01352	0.01525
3.19	0	0	0.00176	0.00067	0.00082	0.00040	0.00066	0.00098	0.00926	0.01590
3.20	0	0	0.00163	0.00096	0.00113	0.00064	0.00091	0.00079	0.00430	0.00062
3.21	0	0	0.00081	0.00104	0.00059	0.00060	0.00049	0.00072	0.00070	0.00072
3.22	1	0	0.00158	0.00053	0.00143	0.00086	0.00076	0.00075	0.00480	0.00046
3.23	0	0	0.00366	0.00071	0.00082	0.00101	0.00102	0.00074	0.00143	0.00063
3.24	0	0	0.00102	0.00046	0.00066	0.00100	0.00089	0.00063	0.00068	0.00059
3.25	0	0	0.00113	0.00054	0.00057	0.00097	0.00097	0.00138	0.00112	0.00049
3.26	0	0	0.00172	0.00094	0.00067	0.00075	0.00065	0.00075	0.00067	0.00052
3.27	0	0	0.00065	0.00084	0.00072	0.00113	0.00082	0.00075	0.00187	0.00070
3.28	0	0	0.00174	0.00058	0.00154	0.00048	0.00056	0.00068	0.00085	0.00048
3.29	0	0	0.00211	0.00120	0.00056	0.00082	0.00072	0.00071	0.00131	0.00048
3.30	0	0	0.00076	0.00050	0.00050	0.00042	0.00045	0.00077	0.00044	0.00064
3.31	0	0	0.00460	0.00059	0.00073	0.00069	0.00062	0.00068	0.00063	0.00045
3.32	0	0	0.00100	0.00084	0.00075	0.00097	0.00061	0.00091	0.00103	0.00054
3.33	0	0	0.00078	0.00092	0.00071	0.00104	0.00058	0.00061	0.00064	0.00054
3.34	0	0	0.00094	0.00061	0.00081	0.00076	0.00054	0.00086	0.00073	0.00057
3.35	0	0	0.00085	0.00082	0.00077	0.00056	0.00057	0.00085	0.00076	0.00216
3.36	0	0	0.00068	0.00054	0.00058	0.00080	0.00058	0.00070	0.00103	0.00061
3.37	0	0	0.00065	0.00095	0.00072	0.00087	0.00093	0.00075	0.00062	0.00075
3.38	0	0	0.00072	0.01171	0.00050	0.00070	0.00053	0.00081	0.00134	0.00071
3.39	0	0	0.00064	0.00179	0.00130	0.00057	0.00054	0.00092	0.02361	0.00566
3.40	0	1	0.00594	0.00481	0.00132	0.00141	0.00044	0.00076	0.00274	0.00553
3.41	0	0	0.00575	0.00543	0.00153	0.00064	0.00063	0.00063	0.01111	0.00084
3.42	0	0	0.00542	0.00511	0.00692	0.00110	0.00062	0.00076	0.01998	0.00746
3.43	0	0	0.00077	0.00120	0.00156	0.00051	0.00057	0.00063	0.01991	0.00874
3.44	0	0	0.00088	0.00361	0.00128	0.00048	0.00053	0.00105	0.01516	0.00103
3.45	0	0	0.00223	0.00132	0.00116	0.00075	0.00098	0.00079	0.02203	0.01366
3.46	0	0	0.00085	0.00213	0.00129	0.00054	0.00080	0.00082	0.01041	0.00068
3.47	0	0	0.00097	0.00080	0.00122	0.00079	0.00068	0.00071	0.00091	0.00058
3.48	1	0	0.00063	0.00045	0.00064	0.00057	0.00059	0.00056	0.00178	0.00048
3.49	0	0	0.00274	0.00273	0.00116	0.00121	0.00200	0.00106	0.00177	0.00055
3.50	0	0	0.00113	0.00058	0.00077	0.00153	0.00087	0.00119	0.00097	0.00065
3.51	0	0	0.00162	0.00062	0.00056	0.00093	0.00074	0.00096	0.00079	0.00052
3.52	0	0	0.00148	0.00094	0.00057	0.00117	0.00060	0.00067	0.00062	0.00042
3.53	0	0	0.00247	0.00129	0.00065	0.00205	0.00207	0.00197	0.00198	0.00055
3.54	0	0	0.00080	0.00079	0.00061	0.00065	0.00070	0.00097	0.00100	0.00062
3.55	0	0	0.00206	0.00204	0.00162	0.00077	0.00143	0.00219	0.00251	0.00119
3.56	0	0	0.00108	0.00082	0.00045	0.00085	0.00397	0.00354	0.00175	0.00046
3.57	0	0	0.00169	0.00049	0.00053	0.00060	0.00071	0.00059	0.00095	0.00087
3.58	0	1	0.00091	0.00256	0.00058	0.00258	0.00062	0.00063	0.01105	0.00282
