"Syn1"	"Syn2"	"Syn3"
"IP"	0.218708874864471	0.000971379380733034	0.761299836649718
"VL"	0.0693028014096115	9.92800810151893e-06	0.498257647222556
"BF"	0.426351333749723	8.43183880450688e-20	0.283691632678371
"ST"	0.786948686188199	0.314617086279772	4.9201165846423e-20
"GA"	0.382491640809048	0.260049103601213	0.241505781076311
"TA"	5.24550081283361e-18	0.912901752140155	0.18263595198196
