"Time","63 sinus","62 rm dwn st","61 rm dwn sw","60 rmp up st","59 rmp up sw","58 Ramp down","57 Ramp up","56 right DS","55 left DS","54 lHL swoff","53 lHL swon","52 rHL swoff","51 rHL swon","50 lFL swoff","49 lFL swon","48 rFL swoff","47 rFL swon","46 sw offset","45 sw onset","44 ramnp dwn","43 ramp up","42 sinus rmp","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","32 FLx (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.010,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,142.631485,56.900726,65.040771,96.793365,6.092853,8.415367,5.011485,9.506063,6.240111,11.385678,0,4.688057,5.257814,6.652575,5.685841,7.792844,9.292000,8.448794,4.810427,8.988862,4.912455,9.446662,5.142927,8.281809,5.935834,9.385442,6.591594,9.057479,7.329432,0,-0.01428,0.00108,-0.02426,-0.01329,0.00897,-0.01329,0.01389,0.00290,0.00015,0.10511,3.27746
0.011,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,140.663605,53.848675,64.493790,95.804199,6.091392,8.421334,5.011706,9.496729,6.238987,11.399994,0,4.684927,5.292763,6.650362,5.675594,7.793688,9.280132,8.353690,4.965759,8.994158,4.945514,9.450053,5.158270,8.283657,5.945726,9.387121,6.602616,9.058217,7.340786,0,-0.01871,0.00343,-0.02121,-0.01511,0.00766,-0.01271,0.00797,0.00130,0.00012,0.11865,3.27728
0.012,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,140.386002,50.243313,63.844463,94.360008,6.089943,8.427324,5.011897,9.487488,6.237994,11.413210,0,4.682605,5.327901,6.647992,5.665309,7.794505,9.268217,8.205722,5.172350,8.996106,4.975231,9.451845,5.168462,8.286304,5.954589,9.389566,6.614914,9.058528,7.354125,0,-0.01730,0.00323,-0.00748,-0.01279,0.00876,-0.01312,0.00488,0.00443,0.00031,0.10555,3.27728
0.013,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,140.108398,46.637951,63.195137,92.915810,6.088495,8.433315,5.012087,9.478246,6.237000,11.426426,0,4.680283,5.363039,6.645621,5.655025,7.795321,9.256302,8.057753,5.378941,8.998055,5.004948,9.453637,5.178655,8.288951,5.963452,9.392013,6.627213,9.058839,7.367465,0,-0.01724,0.00362,-0.01923,-0.01402,0.00729,-0.01282,0.00757,0.00557,0.00024,0.09829,3.27723
0.014,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,139.830795,43.032593,62.545811,91.471619,6.087047,8.439305,5.012277,9.469004,6.236007,11.439642,0,4.677961,5.398177,6.643250,5.644740,7.796138,9.244387,7.909783,5.585531,9.000003,5.034665,9.455430,5.188847,8.291597,5.972316,9.394458,6.639511,9.059150,7.380804,0,-0.01794,0.00369,0.00259,-0.01468,0.00900,-0.01228,0.02048,0.00847,0.00000,0.10267,3.27716
0.015,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,137.022064,43.627258,62.920235,89.228828,6.085966,8.447986,5.012242,9.459536,6.235718,11.450603,0,4.677576,5.433523,6.641309,5.634427,7.796688,9.232684,7.859750,5.637578,8.847734,5.068724,9.455416,5.192762,8.272987,6.021514,9.395546,6.649779,9.059076,7.392577,0,-0.01630,0.00835,-0.06805,-0.01163,0.00961,-0.01463,-0.00330,0.00412,0.00009,0.10152,3.27723
0.016,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,133.022232,46.198410,63.776432,86.610229,6.085058,8.457932,5.012101,9.449960,6.235762,11.460505,0,4.678103,5.468967,6.639570,5.624101,7.797113,9.221081,7.855804,5.616897,8.622894,5.104826,9.454552,5.193724,8.244375,6.089694,9.395995,6.659091,9.058823,7.403613,0,-0.02097,-0.00125,-0.02029,-0.01273,0.00845,-0.01215,0.00040,0.00122,-0.00009,0.08405,3.27738
0.017,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,129.022400,48.769562,64.632622,83.991623,6.084150,8.467879,5.011961,9.440385,6.235806,11.470406,0,4.678630,5.504412,6.637831,5.613775,7.797537,9.209477,7.851859,5.596216,8.398053,5.140928,9.453688,5.194685,8.215762,6.157874,9.396444,6.668404,9.058569,7.414648,0,-0.02081,0.00601,-0.00366,-0.01518,0.00897,-0.01350,0.01254,0.00519,0.00015,0.09244,3.27718
0.018,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,125.022568,51.340714,65.488823,81.373024,6.083242,8.477825,5.011819,9.430810,6.235849,11.480308,0,4.679157,5.539856,6.636092,5.603449,7.797962,9.197874,7.847913,5.575535,8.173212,5.177030,9.452824,5.195647,8.187150,6.226054,9.396894,6.677717,9.058315,7.425683,0,-0.01593,0.00397,-0.01846,-0.01338,0.00717,-0.01230,0.01126,0.00145,0.00009,0.11637,3.27680
0.019,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,123.294884,54.931473,67.749115,80.252731,6.080801,8.484504,5.011449,9.421048,6.235951,11.488409,0,4.682368,5.574862,6.634243,5.593141,7.797999,9.186292,7.847984,5.564077,8.105214,5.184621,9.332834,5.195543,8.168859,6.290251,9.397226,6.686566,9.058980,7.436887,0,-0.01682,0.00372,-0.02609,-0.01158,0.00815,-0.01196,0.00418,0.00359,-0.00009,0.11121,3.27667
0.020,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,122.636452,59.002045,70.670166,79.837524,6.077638,8.489643,5.010970,9.411200,6.236081,11.495663,0,4.686842,5.609661,6.632342,5.582841,7.797853,9.174719,7.849946,5.556960,8.111026,5.178795,9.156786,5.194939,8.155425,6.352574,9.397503,6.695198,9.060077,7.448169,0,-0.01740,0.00269,-0.01846,-0.01242,0.00769,-0.01317,0.00528,0.00473,0.00009,0.09167,3.27667
0.021,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,121.978020,63.072617,73.591217,79.422310,6.074474,8.494782,5.010491,9.401351,6.236210,11.502917,0,4.691316,5.644459,6.630442,5.572542,7.797709,9.163146,7.851908,5.549843,8.116837,5.172969,8.980737,5.194335,8.141992,6.414897,9.397780,6.703830,9.061174,7.459452,0,-0.01727,0.00261,-0.02228,-0.01231,0.00952,-0.01181,-0.00146,-0.00107,-0.00009,0.09579,3.27688
